time,p,voltage
10.015,0.04,5.47
10.027,0.040999999999999995,5.43
10.039,0.041999999999999996,5.39
10.051,0.043,5.34
10.064,0.044,5.30
10.076,0.046,5.25
10.09,0.048,5.19
10.11,0.049,5.20
10.131,0.051000000000000004,5.14
10.151,0.051000000000000004,5.08
10.172,0.053000000000000005,4.95
10.192,0.054000000000000006,4.94
10.208,0.05500000000000001,4.88
10.229,0.057999999999999996,4.80
10.25,0.059,4.78
10.27,0.063,4.70
10.291,0.068,4.76
10.311,0.06899999999999999,4.85
10.332,0.071,4.76
10.348,0.073,4.73
10.369,0.075,4.64
10.389,0.081,4.61
10.41,0.086,4.76
10.43,0.09,4.84
10.451,0.09,4.86
10.471,0.091,4.70
10.491,0.095,4.59
10.508,0.099,4.61
10.529,0.10400000000000001,4.68
10.549,0.10600000000000001,4.75
10.57,0.10800000000000001,4.64
10.59,0.11200000000000002,4.56
10.61,0.11399999999999999,4.58
10.631,0.121,4.52
10.651,0.124,4.71
10.668,0.126,4.63
10.688,0.129,4.58
10.709,0.132,4.51
10.729,0.13899999999999998,4.48
10.75,0.143,4.60
10.77,0.146,4.66
10.791,0.146,4.59
10.811,0.15,4.37
10.832,0.157,4.35
10.848,0.162,4.54
10.868,0.16399999999999998,4.56
10.889,0.16799999999999998,4.48
10.909,0.16999999999999998,4.46
10.931,0.173,4.37
10.951,0.181,4.28
10.971,0.185,4.50
10.991,0.186,4.47
11.007,0.191,4.30
11.028,0.196,4.35
11.049,0.2,4.38
11.069,0.20299999999999999,4.35
11.09,0.207,4.30
11.11,0.213,4.28
11.13,0.217,4.37
11.151,0.219,4.31
11.167,0.223,4.21
11.187,0.229,4.19
11.208,0.23399999999999999,4.28
11.229,0.238,4.28
11.249,0.24100000000000002,4.24
11.27,0.24500000000000002,4.22
11.29,0.24900000000000003,4.18
11.311,0.252,4.12
11.327,0.257,4.08
11.348,0.266,4.10
11.367,0.271,4.30
11.388,0.271,4.32
11.409,0.274,4.09
11.429,0.279,4.05
11.449,0.284,4.07
11.466,0.29,4.09
11.486,0.29700000000000004,4.16
11.507,0.3,4.29
11.527,0.301,4.18
11.548,0.306,4.04
11.569,0.311,4.06
11.589,0.319,4.06
11.61,0.324,4.26
11.63,0.324,4.28
11.647,0.32799999999999996,4.05
11.667,0.33399999999999996,4.01
11.687,0.33999999999999997,4.10
11.708,0.34500000000000003,4.18
11.729,0.348,4.18
11.749,0.352,4.10
11.77,0.357,4.13
11.79,0.361,4.13
11.807,0.367,4.10
11.827,0.371,4.19
11.847,0.377,4.15
11.868,0.38,4.24
11.888,0.383,4.21
11.909,0.387,4.12
11.925,0.393,4.07
11.946,0.399,4.17
11.966,0.40099999999999997,4.28
11.987,0.404,4.19
12.006,0.40700000000000003,4.09
12.027,0.41500000000000004,4.07
12.047,0.421,4.23
12.069,0.421,4.33
12.089,0.422,4.13
12.106,0.42800000000000005,3.99
12.125,0.434,4.10
12.146,0.438,4.19
12.166,0.442,4.18
12.187,0.445,4.19
12.208,0.449,4.16
12.228,0.454,4.16
12.248,0.457,4.21
12.265,0.45999999999999996,4.21
12.285,0.465,4.15
12.306,0.47000000000000003,4.21
12.326,0.472,4.28
12.347,0.475,4.21
12.368,0.479,4.15
12.387,0.483,4.22
12.408,0.484,4.25
12.425,0.488,4.13
12.446,0.493,4.15
12.466,0.497,4.23
12.486,0.499,4.24
12.507,0.503,4.21
12.527,0.505,4.24
12.548,0.509,4.21
12.564,0.511,4.23
12.585,0.516,4.20
12.605,0.521,4.31
12.625,0.52,4.41
12.647,0.521,4.20
12.666,0.528,4.12
12.687,0.53,4.35
12.707,0.533,4.27
12.728,0.534,4.33
12.745,0.536,4.26
12.765,0.5389999999999999,4.20
12.785,0.542,4.25
12.806,0.544,4.26
12.826,0.548,4.27
12.847,0.549,4.33
12.867,0.55,4.28
12.887,0.553,4.24
12.904,0.5549999999999999,4.26
12.925,0.558,4.27
12.945,0.5599999999999999,4.30
12.966,0.564,4.33
12.985,0.564,4.42
13.006,0.5660000000000001,4.33
13.027,0.5690000000000001,4.36
13.047,0.567,4.41
13.064,0.571,4.27
13.085,0.575,4.37
13.105,0.5740000000000001,4.48
13.125,0.575,4.35
13.145,0.5780000000000001,4.35
13.165,0.5780000000000001,4.47
13.187,0.5780000000000001,4.41
13.207,0.581,4.35
13.223,0.583,4.42
13.244,0.5820000000000001,4.50
13.264,0.5820000000000001,4.39
13.285,0.5860000000000001,4.35
13.306,0.587,4.49
13.326,0.587,4.52
13.346,0.588,4.48
13.363,0.591,4.52
13.383,0.588,4.61
13.404,0.588,4.47
13.424,0.593,4.45
13.445,0.591,4.68
13.465,0.592,4.55
13.486,0.592,4.60
13.506,0.591,4.60
13.527,0.592,4.53
13.543,0.593,4.60
13.563,0.593,4.66
13.584,0.592,4.67
13.604,0.593,4.62
13.625,0.592,4.70
13.645,0.591,4.66
13.665,0.591,4.62
13.686,0.592,4.65
13.702,0.591,4.74
13.724,0.592,4.71
13.744,0.589,4.81
13.764,0.587,4.73
13.784,0.588,4.65
13.804,0.588,4.76
13.822,0.588,4.81
13.842,0.587,4.86
13.863,0.5860000000000001,4.86
13.883,0.5860000000000001,4.86
13.903,0.585,4.92
13.924,0.583,4.93
13.944,0.5820000000000001,4.94
13.965,0.581,4.95
13.981,0.581,4.97
14.002,0.5780000000000001,5.05
14.022,0.577,5.00
14.043,0.5780000000000001,5.04
14.063,0.577,5.19
14.084,0.575,5.22
14.103,0.575,5.19
14.125,0.572,5.29
14.141,0.572,5.27
14.165,0.5700000000000001,5.37
14.182,0.5690000000000001,5.37
14.202,0.5700000000000001,5.42
14.223,0.567,5.59
14.244,0.564,5.58
14.264,0.563,5.52
14.284,0.5599999999999999,5.59
14.3,0.5599999999999999,5.59
14.321,0.558,5.73
14.342,0.553,5.73
