time,p,voltage
3.0,-0.001,10.00
3.01,0.0,-2.46
3.02,-0.001,-2.17
3.04,-0.001,-2.03
3.05,-0.001,-1.82
3.06,0.0,-1.61
3.07,-0.001,-1.32
3.08,-0.001,-1.17
3.1,-0.001,-0.99
3.11,0.0,-0.79
3.12,0.002,-0.52
3.13,-0.001,-0.23
3.14,-0.001,-0.20
3.16,-0.001,-0.02
3.17,0.0,0.17
3.18,0.11699999999999999,0.44
3.19,0.18,7.57
3.21,0.125,11.56
3.22,0.10200000000000001,8.45
3.23,0.086,7.23
3.24,0.08,6.43
3.25,0.079,6.22
3.27,0.076,6.32
3.28,0.075,6.33
3.29,0.076,6.41
3.3,0.076,6.64
3.31,0.074,6.78
3.32,0.071,6.78
3.34,0.063,6.76
3.35,0.057999999999999996,6.40
3.36,0.05500000000000001,6.24
3.37,0.053000000000000005,6.22
3.39,0.051000000000000004,6.21
3.4,0.049,6.17
3.41,0.051000000000000004,6.22
3.42,0.049,6.41
3.43,0.049,6.45
3.45,0.047,6.55
3.46,0.044,6.51
3.47,0.041999999999999996,6.47
3.48,0.040999999999999995,6.42
3.49,0.037,6.43
3.51,0.036,6.30
3.52,0.034999999999999996,6.32
3.53,0.036,6.32
3.54,0.033,6.47
3.55,0.032,6.40
3.57,0.031,6.39
3.58,0.03,6.38
3.59,0.028999999999999998,6.37
3.6,0.027000000000000003,6.35
3.61,0.027000000000000003,6.33
3.63,0.026000000000000002,6.38
3.64,0.027000000000000003,6.35
3.65,0.025,6.46
3.66,0.024,6.35
3.67,0.025,6.31
3.69,0.024,6.41
3.7,0.020999999999999998,6.36
3.71,0.022,6.24
3.72,0.020999999999999998,6.33
3.73,0.020999999999999998,6.26
3.75,0.02,6.27
3.76,0.022,6.20
3.77,0.020999999999999998,6.35
3.78,0.022,6.27
3.79,0.020999999999999998,6.33
3.81,0.02,6.25
3.82,0.020999999999999998,6.16
3.83,0.020999999999999998,6.21
3.84,0.019,6.18
3.86,0.02,6.01
3.87,0.02,6.05
3.88,0.020999999999999998,6.01
3.89,0.020999999999999998,6.04
3.9,0.022,5.99
3.91,0.024,6.02
3.93,0.025,6.04
3.94,0.024,6.05
3.95,0.024,5.92
3.96,0.025,5.85
3.98,0.026000000000000002,5.86
3.99,0.027000000000000003,5.85
4.0,0.027000000000000003,5.85
4.01,0.027000000000000003,5.77
4.02,0.03,5.68
4.03,0.03,5.74
4.05,0.031,5.65
4.06,0.032,5.62
4.07,0.032,5.60
4.08,0.037,5.49
4.1,0.037,5.68
4.11,0.038,5.55
4.12,0.038,5.52
4.13,0.040999999999999995,5.40
4.14,0.040999999999999995,5.42
4.16,0.041999999999999996,5.29
4.17,0.043,5.24
4.18,0.046,5.18
4.19,0.046,5.19
4.2,0.048,5.04
4.22,0.048,5.05
4.23,0.051000000000000004,4.90
4.24,0.052000000000000005,4.88
4.25,0.05500000000000001,4.80
4.26,0.057999999999999996,4.88
4.28,0.059,4.86
4.29,0.062,4.76
4.3,0.065,4.74
4.31,0.06899999999999999,4.80
4.32,0.071,4.83
4.34,0.071,4.80
4.35,0.075,4.62
4.36,0.081,4.67
4.37,0.086,4.83
4.38,0.08499999999999999,4.94
4.4,0.086,4.67
4.41,0.091,4.55
4.42,0.097,4.64
4.43,0.101,4.81
4.44,0.10200000000000001,4.83
4.46,0.10300000000000001,4.69
4.47,0.10700000000000001,4.56
4.48,0.11200000000000002,4.56
4.49,0.11499999999999999,4.63
4.5,0.12,4.65
4.52,0.124,4.72
4.53,0.125,4.72
4.54,0.126,4.55
4.55,0.131,4.42
4.56,0.137,4.48
4.58,0.143,4.62
4.59,0.146,4.73
4.6,0.147,4.66
4.61,0.148,4.50
4.63,0.153,4.31
4.64,0.161,4.37
4.65,0.16799999999999998,4.56
4.66,0.16899999999999998,4.78
4.67,0.16799999999999998,4.58
4.69,0.173,4.26
4.7,0.179,4.31
4.71,0.185,4.42
4.72,0.187,4.54
4.73,0.19,4.43
4.75,0.195,4.32
4.76,0.198,4.36
4.77,0.20299999999999999,4.32
4.78,0.20800000000000002,4.35
4.79,0.211,4.36
4.8,0.21400000000000002,4.27
4.82,0.219,4.23
4.83,0.225,4.26
4.84,0.229,4.34
4.85,0.231,4.31
4.87,0.236,4.19
4.88,0.24100000000000002,4.20
4.89,0.24700000000000003,4.22
4.9,0.251,4.34
4.91,0.252,4.29
4.93,0.256,4.07
4.94,0.263,4.02
4.95,0.269,4.22
4.96,0.272,4.29
4.97,0.275,4.16
4.99,0.279,4.11
5.0,0.284,4.06
5.01,0.28900000000000003,4.08
5.02,0.296,4.11
5.03,0.3,4.27
5.05,0.3,4.20
5.06,0.306,3.95
5.07,0.315,4.05
5.08,0.319,4.29
5.09,0.318,4.29
5.11,0.323,3.97
5.12,0.33399999999999996,3.99
5.13,0.33799999999999997,4.38
5.14,0.33399999999999996,4.31
5.15,0.341,3.85
5.17,0.35,4.02
5.18,0.354,4.25
5.19,0.357,4.20
5.2,0.362,4.18
5.22,0.365,4.21
5.23,0.368,4.07
5.24,0.373,4.03
5.25,0.379,4.09
5.26,0.385,4.17
5.28,0.389,4.28
5.29,0.39,4.25
5.3,0.395,4.09
5.31,0.40099999999999997,4.10
5.32,0.40499999999999997,4.22
5.34,0.40700000000000003,4.19
5.35,0.413,4.09
5.36,0.417,4.21
5.37,0.42000000000000004,4.18
5.38,0.426,4.08
5.4,0.429,4.21
5.41,0.433,4.19
5.42,0.437,4.17
5.43,0.44000000000000006,4.14
5.44,0.44400000000000006,4.14
5.46,0.449,4.13
5.47,0.453,4.20
5.48,0.45599999999999996,4.17
5.49,0.461,4.18
5.5,0.465,4.25
5.52,0.46799999999999997,4.24
5.53,0.472,4.24
5.54,0.47300000000000003,4.26
5.55,0.476,4.12
5.56,0.481,4.04
5.57,0.488,4.13
5.59,0.492,4.38
5.6,0.489,4.40
5.61,0.495,4.03
5.62,0.5,4.20
5.64,0.5,4.32
5.65,0.505,4.11
5.66,0.51,4.22
5.67,0.511,4.33
5.68,0.514,4.23
5.7,0.517,4.19
5.71,0.52,4.23
5.72,0.525,4.20
5.73,0.5269999999999999,4.33
5.74,0.528,4.31
5.76,0.532,4.22
5.77,0.534,4.28
5.78,0.537,4.26
5.79,0.5389999999999999,4.26
5.8,0.542,4.26
5.82,0.545,4.25
5.83,0.5469999999999999,4.33
5.84,0.55,4.27
5.85,0.553,4.36
5.86,0.553,4.36
5.88,0.5559999999999999,4.23
5.89,0.558,4.34
5.9,0.5589999999999999,4.28
5.91,0.563,4.24
5.92,0.564,4.34
5.94,0.5660000000000001,4.32
5.95,0.571,4.35
5.96,0.5700000000000001,4.54
5.97,0.5690000000000001,4.37
5.99,0.575,4.21
6.0,0.5740000000000001,4.48
6.01,0.5740000000000001,4.32
6.02,0.5780000000000001,4.23
6.03,0.581,4.45
6.05,0.581,4.52
6.06,0.583,4.45
6.07,0.583,4.53
6.08,0.583,4.46
6.09,0.5860000000000001,4.40
6.11,0.5860000000000001,4.50
6.12,0.5860000000000001,4.44
6.13,0.588,4.40
6.14,0.588,4.50
6.15,0.588,4.46
6.17,0.591,4.42
6.18,0.591,4.54
6.19,0.593,4.52
6.2,0.5940000000000001,4.64
6.21,0.592,4.69
6.23,0.593,4.53
6.24,0.593,4.60
6.25,0.592,4.59
6.26,0.593,4.51
6.27,0.5940000000000001,4.59
6.29,0.5940000000000001,4.67
6.3,0.596,4.68
6.31,0.5940000000000001,4.77
6.32,0.592,4.71
6.33,0.593,4.59
6.35,0.593,4.69
6.36,0.592,4.72
6.37,0.593,4.68
6.38,0.592,4.79
6.39,0.591,4.76
6.41,0.591,4.73
6.42,0.589,4.79
6.43,0.588,4.77
6.44,0.588,4.75
6.46,0.588,4.82
6.47,0.588,4.89
6.48,0.5860000000000001,4.95
6.49,0.585,4.88
6.5,0.585,4.89
6.51,0.5820000000000001,4.98
6.53,0.581,4.92
6.54,0.58,4.93
6.55,0.58,4.95
6.56,0.5780000000000001,5.05
6.57,0.576,5.08
6.59,0.576,5.04
6.6,0.576,5.15
6.61,0.5740000000000001,5.26
6.62,0.572,5.23
6.64,0.571,5.28
6.65,0.571,5.33
6.66,0.571,5.46
6.67,0.567,5.60
6.68,0.5660000000000001,5.51
6.7,0.5650000000000001,5.57
6.71,0.564,5.64
6.72,0.561,5.73
6.73,0.5559999999999999,5.73
6.74,0.5549999999999999,5.58
6.76,0.554,5.67
6.77,0.549,5.76
6.78,0.548,5.63
6.79,0.5469999999999999,5.71
6.8,0.544,5.82
