time,p,voltage
3.0,0.0,10.00
3.01,0.003,0.00
3.02,0.002,0.00
3.04,0.002,0.00
3.05,0.004,0.00
3.06,0.0,0.00
3.07,0.003,0.00
3.08,0.003,0.00
3.1,0.003,0.00
3.11,0.003,0.00
3.12,0.004,0.00
3.13,0.003,0.00
3.14,0.003,0.00
3.16,0.003,0.00
3.17,0.002,0.00
3.18,0.002,0.00
3.19,0.002,0.00
3.2,0.003,0.00
3.22,0.003,0.00
3.23,0.002,0.00
3.24,0.002,0.00
3.25,0.003,0.00
3.26,0.002,0.00
3.28,0.003,0.00
3.29,0.003,0.00
3.3,0.002,0.00
3.31,0.003,0.00
3.32,0.003,0.00
3.34,0.003,0.00
3.35,0.002,0.00
3.36,0.004,0.00
3.37,0.0,0.00
3.38,0.003,0.00
3.4,0.003,0.00
3.41,0.003,0.00
3.42,0.002,0.00
3.43,0.003,0.00
3.44,0.003,0.00
3.45,0.002,0.00
3.47,0.0,0.00
3.48,0.003,0.00
3.49,0.002,0.00
3.5,0.002,0.00
3.52,0.0,0.00
3.53,0.003,0.00
3.54,0.002,0.00
3.55,0.002,0.00
3.56,0.002,0.00
3.57,0.002,0.00
3.59,0.003,0.00
3.6,0.002,0.00
3.61,0.003,0.00
3.62,0.002,0.00
3.63,0.003,0.00
3.65,0.003,0.00
3.66,0.002,0.00
3.67,0.004,0.00
3.68,0.003,0.00
3.69,0.003,0.00
3.71,0.002,0.00
3.72,0.002,0.00
3.73,0.002,0.00
3.74,0.0,0.00
3.75,0.002,0.00
3.77,0.002,0.00
3.78,0.003,0.00
3.79,0.003,0.00
3.8,0.003,0.00
3.81,0.002,0.00
3.83,0.003,0.00
3.84,0.003,0.00
3.85,0.003,0.00
3.86,0.003,0.00
3.87,0.003,0.00
3.89,0.003,0.00
3.9,0.003,0.00
3.91,0.003,0.00
3.92,0.003,0.00
3.93,0.003,0.00
3.95,0.002,0.00
3.96,0.004,0.00
3.97,0.002,0.00
3.98,0.003,0.00
3.99,0.002,0.00
4.01,0.003,0.00
4.02,0.003,0.00
4.03,0.003,0.00
4.04,0.002,0.00
4.05,0.003,0.00
4.07,0.002,0.00
4.08,0.003,0.00
4.09,0.002,0.00
4.1,0.002,0.00
4.11,0.002,0.00
4.13,0.002,0.00
4.14,0.004,0.00
4.15,0.002,0.00
4.16,0.002,0.00
4.17,0.003,0.00
4.19,0.002,0.00
4.2,0.002,0.00
4.21,0.003,0.00
4.22,0.002,0.00
4.23,0.0,0.00
4.25,0.002,0.00
4.26,0.003,0.00
4.27,0.002,0.00
4.28,0.003,0.00
4.29,0.002,0.00
4.3,0.003,0.00
4.32,0.002,0.00
4.33,0.003,0.00
4.34,0.002,0.00
4.35,0.003,0.00
4.36,0.003,0.00
4.38,0.003,0.00
4.39,0.003,0.00
4.4,0.003,0.00
4.41,0.002,0.00
4.42,0.002,0.00
4.44,0.003,0.00
4.45,0.003,0.00
4.46,0.003,0.00
4.47,0.003,0.00
4.48,0.002,0.00
4.5,0.003,0.00
4.51,0.003,0.00
4.52,0.002,0.00
4.53,0.003,0.00
4.54,0.002,0.00
4.55,0.002,0.00
4.57,0.003,0.00
4.58,0.004,0.00
4.59,0.003,0.00
4.6,0.003,0.00
4.62,0.003,0.00
4.63,0.002,0.00
4.64,0.002,0.00
4.65,0.003,0.00
4.66,0.002,0.00
4.68,0.003,0.00
4.69,0.002,0.00
4.7,0.004,0.00
4.71,0.002,0.00
4.72,0.003,0.00
4.74,0.004,0.00
4.75,0.003,0.00
4.76,0.002,0.00
4.77,0.002,0.00
4.78,0.002,0.00
4.8,0.002,0.00
4.81,0.002,0.00
