time,p,voltage
3.902,0.002,10.00
3.914,0.003,0.00
3.926,0.11499999999999999,0.00
3.938,0.173,0.00
3.951,0.22400000000000003,0.00
3.963,0.26,0.00
3.975,0.28300000000000003,0.00
3.987,0.29900000000000004,0.00
3.999,0.307,0.00
4.008,0.323,0.00
4.021,0.33799999999999997,0.00
4.033,0.359,0.00
4.045,0.379,0.06
4.057,0.422,1.20
4.07,0.445,3.43
4.083,0.442,4.71
4.094,0.41500000000000004,4.62
4.108,0.433,3.38
4.119,0.46399999999999997,4.39
4.131,0.45599999999999996,6.01
4.143,0.45,5.74
4.155,0.45599999999999996,5.52
4.168,0.457,5.92
4.18,0.45099999999999996,6.07
4.192,0.449,5.85
4.201,0.44299999999999995,5.81
4.213,0.433,5.58
4.226,0.43099999999999994,5.18
4.238,0.42400000000000004,5.13
4.25,0.422,4.91
4.262,0.422,4.86
4.275,0.421,4.93
4.287,0.422,4.94
4.299,0.422,5.07
4.312,0.42400000000000004,5.13
4.326,0.426,5.31
4.336,0.42800000000000005,5.44
4.348,0.426,5.62
4.36,0.42400000000000004,5.56
4.373,0.422,5.55
4.385,0.42000000000000004,5.49
4.394,0.418,5.41
4.406,0.417,5.40
4.419,0.41600000000000004,5.39
4.43,0.41600000000000004,5.37
4.443,0.41600000000000004,5.41
4.455,0.41600000000000004,5.46
4.468,0.413,5.49
4.481,0.41200000000000003,5.41
4.492,0.41100000000000003,5.38
4.505,0.41200000000000003,5.35
4.517,0.41100000000000003,5.44
4.529,0.409,5.40
4.542,0.41,5.31
4.553,0.41,5.39
4.565,0.409,5.41
4.577,0.40700000000000003,5.37
4.588,0.409,5.32
4.598,0.40700000000000003,5.40
4.611,0.40599999999999997,5.35
4.623,0.40499999999999997,5.29
4.636,0.40499999999999997,5.24
4.647,0.40599999999999997,5.24
4.66,0.40499999999999997,5.31
4.672,0.40499999999999997,5.25
4.685,0.404,5.24
4.697,0.404,5.18
4.709,0.40499999999999997,5.17
4.721,0.404,5.22
4.734,0.404,5.15
4.746,0.404,5.14
4.757,0.404,5.12
4.77,0.404,5.10
4.781,0.40499999999999997,5.08
4.79,0.40199999999999997,5.12
4.803,0.40099999999999997,4.97
4.815,0.40099999999999997,4.88
4.828,0.40099999999999997,4.85
4.84,0.40199999999999997,4.82
4.853,0.40099999999999997,4.84
4.865,0.40099999999999997,4.75
4.877,0.404,4.71
4.89,0.40199999999999997,4.79
4.902,0.40199999999999997,4.68
4.913,0.40499999999999997,4.64
4.926,0.40499999999999997,4.71
4.939,0.40599999999999997,4.66
4.95,0.41,4.67
4.962,0.41,4.80
4.975,0.409,4.74
4.986,0.41,4.63
4.996,0.41100000000000003,4.63
5.008,0.41100000000000003,4.62
5.02,0.41200000000000003,4.56
5.032,0.41600000000000004,4.56
5.045,0.41600000000000004,4.67
5.057,0.41600000000000004,4.60
5.07,0.418,4.52
5.082,0.42000000000000004,4.58
5.094,0.421,4.56
5.107,0.422,4.54
5.119,0.42300000000000004,4.52
5.131,0.42699999999999994,4.50
