time,p,voltage
9.11,0.152,0.00
9.13,0.19,0.00
9.14,0.21600000000000003,0.00
9.15,0.238,0.00
9.16,0.26,0.00
9.18,0.27799999999999997,0.00
9.19,0.29700000000000004,0.00
9.2,0.322,0.00
9.21,0.344,0.00
9.22,0.389,0.57
9.23,0.41600000000000004,2.74
9.25,0.42400000000000004,4.00
9.26,0.40499999999999997,4.34
9.27,0.409,3.27
9.28,0.42699999999999994,3.36
9.3,0.445,4.19
9.31,0.442,5.01
9.32,0.434,4.73
9.33,0.43899999999999995,4.26
9.34,0.44000000000000006,4.41
9.36,0.43899999999999995,4.36
9.37,0.44400000000000006,4.20
9.38,0.44800000000000006,4.34
9.39,0.449,4.42
9.4,0.453,4.36
9.42,0.45599999999999996,4.44
9.43,0.45599999999999996,4.52
9.44,0.45899999999999996,4.41
9.45,0.462,4.41
9.46,0.46399999999999997,4.47
9.48,0.465,4.42
9.49,0.46799999999999997,4.36
9.5,0.471,4.42
9.51,0.47300000000000003,4.42
9.52,0.477,4.42
9.54,0.477,4.48
9.55,0.47800000000000004,4.36
9.56,0.484,4.29
9.57,0.48600000000000004,4.46
9.58,0.48600000000000004,4.40
9.6,0.49000000000000005,4.27
9.61,0.49400000000000005,4.38
9.62,0.49400000000000005,4.42
9.63,0.49800000000000005,4.30
9.65,0.503,4.35
9.66,0.504,4.45
9.67,0.505,4.37
9.68,0.51,4.31
9.69,0.512,4.41
9.71,0.514,4.39
9.72,0.517,4.31
9.73,0.521,4.35
9.74,0.523,4.39
9.75,0.526,4.37
9.77,0.528,4.35
9.78,0.5309999999999999,4.33
9.79,0.533,4.31
9.8,0.537,4.28
9.81,0.541,4.32
9.82,0.5429999999999999,4.34
9.84,0.5469999999999999,4.33
9.85,0.548,4.37
9.86,0.5519999999999999,4.28
9.87,0.5549999999999999,4.30
9.89,0.5589999999999999,4.35
9.9,0.561,4.38
9.91,0.561,4.36
9.92,0.5650000000000001,4.20
9.93,0.5700000000000001,4.23
9.95,0.572,4.34
9.96,0.5740000000000001,4.29
9.97,0.5780000000000001,4.21
9.98,0.581,4.30
9.99,0.5820000000000001,4.28
10.01,0.587,4.18
10.02,0.591,4.27
10.03,0.5940000000000001,4.31
10.04,0.596,4.33
10.05,0.597,4.25
10.07,0.6,4.16
10.08,0.605,4.19
10.09,0.609,4.28
10.1,0.611,4.31
10.11,0.613,4.29
10.13,0.618,4.19
10.14,0.62,4.29
10.15,0.621,4.26
10.16,0.625,4.17
10.18,0.629,4.20
10.19,0.632,4.25
10.2,0.633,4.28
10.21,0.635,4.18
10.22,0.64,4.10
10.24,0.643,4.20
10.25,0.644,4.24
10.26,0.648,4.16
10.27,0.653,4.20
10.28,0.654,4.30
10.3,0.657,4.20
10.31,0.6599999999999999,4.19
10.32,0.6599999999999999,4.24
10.33,0.6639999999999999,4.10
10.35,0.6679999999999999,4.14
10.36,0.671,4.18
10.37,0.674,4.23
10.38,0.6759999999999999,4.20
10.39,0.679,4.20
10.4,0.682,4.19
10.42,0.682,4.24
10.43,0.6849999999999999,4.10
10.44,0.6900000000000001,4.09
10.45,0.6910000000000001,4.22
10.47,0.693,4.14
10.48,0.697,4.14
10.49,0.6980000000000001,4.20
10.5,0.701,4.13
10.51,0.706,4.12
10.53,0.7070000000000001,4.26
10.54,0.7070000000000001,4.20
10.55,0.712,4.07
10.56,0.714,4.20
10.57,0.714,4.20
10.59,0.717,4.10
10.6,0.72,4.10
10.61,0.7230000000000001,4.17
10.62,0.725,4.19
10.64,0.726,4.19
10.65,0.728,4.16
10.66,0.729,4.11
10.67,0.731,4.07
10.68,0.735,4.08
10.7,0.736,4.17
10.71,0.739,4.13
10.72,0.741,4.16
10.73,0.742,4.19
10.74,0.745,4.15
10.76,0.746,4.19
10.77,0.746,4.15
10.78,0.747,4.06
10.79,0.75,4.05
10.81,0.751,4.09
10.82,0.753,4.06
10.83,0.757,4.10
10.84,0.756,4.21
10.85,0.758,4.07
10.86,0.762,4.12
10.88,0.762,4.23
10.89,0.762,4.17
10.9,0.764,4.09
10.91,0.765,4.15
10.93,0.768,4.15
10.94,0.768,4.21
10.95,0.77,4.15
10.96,0.77,4.22
10.97,0.77,4.16
10.99,0.773,4.11
11.0,0.773,4.18
11.01,0.774,4.13
11.02,0.775,4.15
11.03,0.779,4.16
11.05,0.778,4.30
11.06,0.776,4.21
11.07,0.779,4.11
11.08,0.778,4.19
11.1,0.7809999999999999,4.10
11.11,0.7809999999999999,4.25
11.12,0.7809999999999999,4.23
11.13,0.783,4.20
11.14,0.783,4.24
11.16,0.783,4.21
11.17,0.784,4.19
11.18,0.784,4.24
11.19,0.7849999999999999,4.22
11.2,0.786,4.27
11.22,0.786,4.33
11.23,0.7849999999999999,4.32
11.24,0.7849999999999999,4.25
11.25,0.7849999999999999,4.25
11.27,0.7849999999999999,4.25
11.28,0.7849999999999999,4.25
11.29,0.786,4.25
11.3,0.786,4.32
11.31,0.787,4.33
11.32,0.786,4.40
11.34,0.786,4.35
11.35,0.786,4.37
11.36,0.7849999999999999,4.39
11.37,0.7849999999999999,4.35
11.39,0.787,4.37
11.4,0.7849999999999999,4.51
11.41,0.784,4.42
11.42,0.7849999999999999,4.39
11.44,0.7849999999999999,4.48
11.45,0.783,4.52
11.46,0.783,4.43
11.47,0.783,4.46
11.48,0.78,4.50
11.5,0.7809999999999999,4.43
11.51,0.78,4.53
11.52,0.778,4.52
11.53,0.779,4.44
11.54,0.778,4.56
11.56,0.776,4.55
11.57,0.778,4.55
11.58,0.775,4.67
11.59,0.774,4.61
11.6,0.774,4.60
11.62,0.772,4.67
11.63,0.772,4.61
11.64,0.769,4.68
11.65,0.768,4.63
11.66,0.769,4.65
11.68,0.769,4.78
11.69,0.767,4.85
11.7,0.763,4.81
11.71,0.763,4.71
11.73,0.761,4.79
11.74,0.758,4.75
11.75,0.759,4.72
11.76,0.758,4.87
11.77,0.756,4.90
11.79,0.756,4.86
11.8,0.751,4.96
11.81,0.751,4.81
11.82,0.75,4.90
11.83,0.746,4.95
11.85,0.747,4.87
11.86,0.743,5.03
11.87,0.742,4.95
11.88,0.742,4.99
11.89,0.742,5.10
11.91,0.739,5.21
11.92,0.736,5.14
11.93,0.735,5.13
11.94,0.734,5.19
11.96,0.731,5.23
11.97,0.731,5.23
11.98,0.73,5.35
11.99,0.728,5.41
12.0,0.725,5.42
12.02,0.725,5.42
12.03,0.7230000000000001,5.53
12.04,0.718,5.53
12.05,0.717,5.42
12.06,0.713,5.49
12.08,0.709,5.43
12.09,0.709,5.39
12.1,0.708,5.51
12.11,0.7030000000000001,5.58
12.13,0.702,5.47
12.14,0.6990000000000001,5.55
12.15,0.6950000000000001,5.57
12.16,0.693,5.45
12.17,0.6910000000000001,5.53
12.19,0.687,5.55
12.2,0.687,5.50
12.21,0.6839999999999999,5.64
12.22,0.6799999999999999,5.61
12.23,0.6769999999999999,5.56
12.25,0.675,5.58
12.26,0.671,5.61
12.27,0.669,5.57
12.28,0.6679999999999999,5.59
12.29,0.663,5.68
12.31,0.659,5.58
12.32,0.658,5.54
12.33,0.655,5.63
12.34,0.6519999999999999,5.66
12.35,0.649,5.63
12.37,0.646,5.64
12.38,0.642,5.61
12.39,0.641,5.58
12.4,0.638,5.67
12.42,0.635,5.70
12.43,0.631,5.68
12.44,0.627,5.63
12.45,0.625,5.60
12.46,0.622,5.63
12.48,0.62,5.67
12.49,0.616,5.70
12.5,0.613,5.67
12.51,0.61,5.62
12.52,0.608,5.66
12.54,0.607,5.69
12.55,0.603,5.78
12.56,0.5980000000000001,5.76
12.57,0.596,5.67
12.58,0.593,5.68
12.6,0.589,5.71
12.61,0.588,5.69
12.62,0.583,5.78
12.63,0.58,5.68
12.65,0.577,5.65
12.66,0.576,5.67
12.67,0.5740000000000001,5.76
12.68,0.5690000000000001,5.79
12.69,0.5660000000000001,5.70
12.71,0.564,5.73
12.72,0.5599999999999999,5.74
12.73,0.558,5.71
12.74,0.5559999999999999,5.73
12.75,0.554,5.82
12.77,0.549,5.84
12.78,0.545,5.74
12.79,0.5429999999999999,5.70
12.8,0.541,5.71
12.81,0.537,5.74
12.83,0.536,5.70
12.84,0.534,5.78
12.85,0.528,5.84
12.86,0.525,5.69
12.88,0.525,5.64
12.89,0.521,5.77
12.9,0.519,5.74
12.91,0.517,5.74
12.92,0.514,5.81
12.94,0.512,5.75
12.95,0.51,5.83
12.96,0.505,5.84
12.97,0.503,5.72
12.98,0.5,5.72
13.0,0.499,5.73
13.01,0.497,5.79
13.02,0.49400000000000005,5.79
13.03,0.493,5.80
13.04,0.489,5.84
13.06,0.487,5.78
13.07,0.483,5.78
13.08,0.479,5.71
13.09,0.479,5.64
13.1,0.47800000000000004,5.75
13.12,0.475,5.80
13.13,0.472,5.73
13.14,0.47000000000000003,5.71
13.15,0.46799999999999997,5.71
13.17,0.46699999999999997,5.75
13.18,0.465,5.78
13.19,0.462,5.76
13.2,0.462,5.74
13.21,0.45899999999999996,5.84
13.23,0.45499999999999996,5.75
13.24,0.454,5.67
13.25,0.454,5.69
13.26,0.45099999999999996,5.78
13.27,0.44800000000000006,5.75
13.29,0.44800000000000006,5.66
13.3,0.446,5.74
13.31,0.44400000000000006,5.75
13.32,0.44299999999999995,5.71
13.34,0.44000000000000006,5.74
13.35,0.44000000000000006,5.69
13.36,0.438,5.76
13.37,0.43499999999999994,5.72
13.38,0.434,5.66
13.4,0.433,5.67
13.41,0.43200000000000005,5.67
13.42,0.43099999999999994,5.68
13.43,0.42800000000000005,5.68
13.44,0.42699999999999994,5.62
13.46,0.426,5.62
13.47,0.42400000000000004,5.61
13.48,0.426,5.60
13.49,0.42400000000000004,5.72
13.5,0.421,5.71
time,p,voltage
9.12,0.413,4.63
9.13,0.417,4.62
9.14,0.41600000000000004,4.73
9.15,0.417,4.60
9.17,0.42000000000000004,4.60
9.18,0.42000000000000004,4.64
9.19,0.422,4.56
9.2,0.42300000000000004,4.61
9.21,0.42400000000000004,4.59
9.23,0.42699999999999994,4.57
9.24,0.42699999999999994,4.60
9.25,0.429,4.52
9.26,0.43200000000000005,4.55
9.27,0.433,4.58
9.29,0.434,4.55
9.3,0.438,4.52
9.31,0.43899999999999995,4.61
