time,p,voltage
3.905,-0.002,10.00
3.918,-0.002,0.00
3.929,0.11399999999999999,0.00
3.941,0.175,0.00
3.953,0.22200000000000003,0.00
3.966,0.261,0.00
3.974,0.282,0.00
3.986,0.29700000000000004,0.00
3.999,0.306,0.00
4.012,0.317,0.00
4.024,0.333,0.00
4.036,0.354,0.00
4.049,0.373,0.00
4.061,0.418,0.90
4.073,0.44299999999999995,3.25
4.086,0.44299999999999995,4.58
4.097,0.41500000000000004,4.68
4.109,0.433,3.38
4.121,0.45999999999999996,4.39
4.133,0.461,5.83
4.142,0.45499999999999996,5.98
4.154,0.45599999999999996,5.77
4.166,0.457,5.92
4.179,0.45099999999999996,6.07
4.191,0.44800000000000006,5.85
4.203,0.44299999999999995,5.75
4.215,0.434,5.59
4.228,0.429,5.24
4.24,0.426,5.07
4.253,0.42300000000000004,4.97
4.265,0.422,4.92
4.277,0.42300000000000004,4.93
4.29,0.42300000000000004,5.06
4.302,0.42400000000000004,5.13
4.314,0.42800000000000005,5.26
4.326,0.42699999999999994,5.50
4.338,0.42699999999999994,5.50
4.347,0.42699999999999994,5.56
4.36,0.42400000000000004,5.62
4.371,0.42300000000000004,5.55
4.383,0.421,5.55
4.396,0.42000000000000004,5.48
4.408,0.417,5.46
4.42,0.417,5.39
4.433,0.418,5.43
4.446,0.41500000000000004,5.54
4.458,0.41500000000000004,5.40
4.471,0.41500000000000004,5.43
4.482,0.41500000000000004,5.47
4.494,0.41200000000000003,5.50
4.506,0.41100000000000003,5.41
4.518,0.41200000000000003,5.38
4.531,0.41200000000000003,5.47
4.539,0.41,5.49
4.551,0.41100000000000003,5.39
4.563,0.41,5.47
4.576,0.409,5.43
4.589,0.41,5.38
4.6,0.40700000000000003,5.46
4.613,0.40599999999999997,5.35
4.626,0.41,5.29
4.637,0.40700000000000003,5.49
4.651,0.40700000000000003,5.37
4.663,0.40700000000000003,5.37
4.675,0.40499999999999997,5.37
4.686,0.40599999999999997,5.24
4.699,0.40599999999999997,5.30
4.711,0.404,5.29
4.723,0.40599999999999997,5.16
4.736,0.40499999999999997,5.27
4.744,0.404,5.20
4.759,0.404,5.12
4.769,0.40499999999999997,5.10
4.782,0.404,5.14
4.793,0.40199999999999997,5.06
