time,p,voltage
10.018,0.41600000000000004,4.81
10.03,0.417,4.75
10.042,0.42000000000000004,4.73
10.055,0.418,4.79
10.067,0.422,4.65
10.079,0.42300000000000004,4.77
10.092,0.42300000000000004,4.74
10.104,0.426,4.67
10.116,0.426,4.71
10.129,0.426,4.63
10.141,0.429,4.54
10.149,0.43200000000000005,4.64
10.162,0.43099999999999994,4.67
10.174,0.433,4.52
10.186,0.43499999999999994,4.55
10.198,0.437,4.58
10.215,0.43899999999999995,4.55
10.235,0.442,4.57
10.256,0.442,4.60
10.273,0.445,4.50
10.295,0.44800000000000006,4.57
10.315,0.45,4.59
10.336,0.45099999999999996,4.61
10.355,0.453,4.57
10.375,0.45499999999999996,4.51
10.395,0.45599999999999996,4.52
10.415,0.45999999999999996,4.47
10.432,0.462,4.54
10.452,0.465,4.55
10.474,0.46699999999999997,4.56
10.496,0.47000000000000003,4.56
10.516,0.47000000000000003,4.56
10.536,0.471,4.44
10.557,0.476,4.38
10.573,0.477,4.49
10.594,0.47800000000000004,4.44
10.615,0.484,4.38
10.633,0.488,4.56
10.653,0.488,4.60
10.673,0.492,4.47
10.694,0.493,4.53
10.714,0.493,4.45
10.732,0.49800000000000005,4.32
10.754,0.504,4.43
10.774,0.503,4.61
10.794,0.504,4.40
10.815,0.51,4.33
10.836,0.51,4.50
10.854,0.512,4.37
10.87,0.517,4.34
10.893,0.52,4.44
10.913,0.521,4.42
10.934,0.525,4.34
10.954,0.528,4.38
10.975,0.532,4.42
10.995,0.534,4.46
11.014,0.536,4.44
11.032,0.538,4.36
11.053,0.542,4.33
11.071,0.544,4.36
11.092,0.549,4.33
11.112,0.5519999999999999,4.44
11.132,0.553,4.41
11.153,0.5559999999999999,4.32
11.173,0.5589999999999999,4.35
11.192,0.561,4.34
11.212,0.5650000000000001,4.30
11.232,0.5690000000000001,4.33
11.255,0.572,4.36
11.273,0.575,4.41
11.292,0.576,4.37
11.313,0.581,4.28
11.333,0.583,4.37
11.353,0.587,4.33
11.37,0.589,4.38
11.391,0.591,4.35
11.412,0.5940000000000001,4.26
11.432,0.5980000000000001,4.28
11.454,0.602,4.31
11.473,0.603,4.35
11.492,0.604,4.25
11.513,0.61,4.16
11.529,0.614,4.32
11.551,0.614,4.35
11.572,0.618,4.19
11.592,0.621,4.24
11.614,0.624,4.27
11.634,0.629,4.23
11.654,0.631,4.33
11.67,0.633,4.31
11.692,0.636,4.29
11.71,0.638,4.26
11.731,0.641,4.23
11.752,0.643,4.21
11.772,0.648,4.18
11.792,0.651,4.28
11.813,0.653,4.27
11.831,0.657,4.25
11.851,0.658,4.28
11.871,0.659,4.20
11.894,0.6639999999999999,4.12
11.912,0.665,4.24
11.932,0.669,4.15
11.952,0.673,4.20
11.972,0.674,4.24
11.988,0.6769999999999999,4.16
12.009,0.6799999999999999,4.21
12.03,0.682,4.21
12.051,0.687,4.20
12.072,0.688,4.30
12.093,0.6900000000000001,4.23
12.115,0.692,4.17
12.132,0.6950000000000001,4.16
12.152,0.6980000000000001,4.16
12.168,0.701,4.22
12.189,0.7030000000000001,4.22
12.21,0.706,4.21
12.232,0.7070000000000001,4.21
12.253,0.71,4.16
12.272,0.713,4.21
12.292,0.714,4.22
12.313,0.717,4.17
12.333,0.718,4.18
12.349,0.72,4.12
12.369,0.725,4.14
12.392,0.726,4.27
12.411,0.726,4.22
12.432,0.729,4.11
12.453,0.731,4.13
12.47,0.734,4.16
12.49,0.736,4.17
12.511,0.739,4.20
12.531,0.737,4.22
12.553,0.739,4.06
12.57,0.741,4.02
12.59,0.745,4.06
12.606,0.747,4.16
12.627,0.748,4.18
12.648,0.752,4.16
12.669,0.752,4.26
12.691,0.753,4.17
12.711,0.754,4.16
12.732,0.756,4.14
12.752,0.757,4.12
12.772,0.758,4.10
12.788,0.763,4.09
12.807,0.763,4.27
12.828,0.762,4.20
12.848,0.764,4.07
12.87,0.767,4.13
12.891,0.765,4.19
12.911,0.768,4.07
12.928,0.77,4.13
12.949,0.772,4.20
12.969,0.772,4.20
12.991,0.774,4.15
13.009,0.774,4.22
13.029,0.775,4.18
13.049,0.775,4.19
13.07,0.779,4.15
13.091,0.778,4.29
13.108,0.778,4.19
13.128,0.779,4.16
13.149,0.78,4.18
13.171,0.7809999999999999,4.21
13.19,0.783,4.24
13.209,0.783,4.28
13.228,0.783,4.25
13.246,0.7809999999999999,4.23
13.267,0.784,4.15
13.287,0.784,4.25
13.308,0.784,4.23
13.329,0.7849999999999999,4.22
13.35,0.784,4.27
13.37,0.784,4.20
13.391,0.7849999999999999,4.19
13.408,0.7849999999999999,4.25
13.428,0.786,4.25
13.447,0.787,4.31
13.467,0.786,4.37
13.487,0.786,4.32
13.509,0.7889999999999999,4.32
13.529,0.787,4.45
13.549,0.787,4.41
13.567,0.787,4.42
13.588,0.786,4.43
13.608,0.7849999999999999,4.39
13.629,0.7849999999999999,4.35
13.65,0.786,4.38
13.668,0.7849999999999999,4.46
13.688,0.7849999999999999,4.43
13.708,0.7849999999999999,4.46
13.725,0.784,4.49
13.746,0.783,4.47
13.767,0.783,4.44
13.788,0.7849999999999999,4.48
13.809,0.783,4.64
13.828,0.78,4.57
13.85,0.78,4.49
13.87,0.779,4.54
13.889,0.779,4.53
13.906,0.779,4.58
13.927,0.78,4.63
13.948,0.778,4.75
13.969,0.775,4.69
13.989,0.775,4.63
14.01,0.774,4.69
14.029,0.774,4.69
14.047,0.772,4.76
14.067,0.769,4.71
14.088,0.77,4.65
14.106,0.769,4.79
14.126,0.765,4.81
14.147,0.765,4.69
14.167,0.764,4.78
14.188,0.763,4.80
14.205,0.762,4.82
14.227,0.761,4.84
14.247,0.761,4.88
14.267,0.757,4.96
14.288,0.756,4.86
14.309,0.754,4.90
14.327,0.752,4.94
14.347,0.752,4.91
14.366,0.751,5.01
14.386,0.748,5.04
