Time(s),Pressure(MPa),voltage(V)
3.00,-0.003,10.00
Time(s),Pressure(MPa),voltage(V)
3.01,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.02,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.04,-0.002,0.00
Time(s),Pressure(MPa),voltage(V)
3.05,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.06,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.07,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.08,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.10,-0.002,0.00
Time(s),Pressure(MPa),voltage(V)
3.11,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.12,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.13,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.14,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.16,-0.002,0.00
Time(s),Pressure(MPa),voltage(V)
3.17,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.18,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.19,-0.002,0.00
Time(s),Pressure(MPa),voltage(V)
3.20,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.22,-0.002,0.00
Time(s),Pressure(MPa),voltage(V)
3.23,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.24,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.25,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.26,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.28,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.29,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.30,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.31,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.32,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.34,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.35,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.36,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.37,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.38,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.40,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.41,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.42,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.43,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.44,-0.002,0.00
Time(s),Pressure(MPa),voltage(V)
3.46,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.47,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.48,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.49,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.50,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.52,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.53,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.54,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.55,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.56,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.58,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.59,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.60,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.61,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.62,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.64,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.65,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.66,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.67,-0.002,0.00
Time(s),Pressure(MPa),voltage(V)
3.68,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.70,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.71,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.72,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.73,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.74,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.76,-0.002,0.00
Time(s),Pressure(MPa),voltage(V)
3.77,-0.002,0.00
Time(s),Pressure(MPa),voltage(V)
3.78,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.79,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.80,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.82,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.83,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.84,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.85,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.86,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.88,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.89,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.90,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.91,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.92,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.94,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.95,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.96,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.97,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
3.98,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
4.00,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
4.01,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
4.02,-0.003,0.00
Time(s),Pressure(MPa),voltage(V)
