time,p,voltage
3.00,-0.004,10.00
3.01,-0.002,0.00
3.02,0.19,0.00
3.04,0.307,0.00
3.05,0.376,0.00
3.06,0.426,1.11
3.07,0.43499999999999994,3.20
3.08,0.395,3.69
3.10,0.368,2.16
3.11,0.41,1.18
3.12,0.471,2.93
3.13,0.476,5.47
3.14,0.43899999999999995,5.74
3.16,0.418,4.36
3.17,0.422,3.61
3.18,0.45599999999999996,3.84
3.19,0.488,5.28
3.21,0.484,6.63
3.22,0.462,6.57
3.23,0.45899999999999996,5.77
3.24,0.46799999999999997,5.69
3.25,0.487,6.15
3.27,0.5,6.96
3.28,0.477,7.57
3.29,0.44800000000000006,6.70
3.30,0.44000000000000006,5.60
3.31,0.44400000000000006,5.37
3.32,0.442,5.59
3.34,0.433,5.54
3.35,0.42300000000000004,5.27
3.36,0.41600000000000004,4.94
3.37,0.41,4.70
3.39,0.41100000000000003,4.52
3.40,0.417,4.61
3.41,0.422,4.91
3.42,0.42300000000000004,5.16
3.43,0.42300000000000004,5.26
3.45,0.42300000000000004,5.30
3.46,0.426,5.35
3.47,0.42800000000000005,5.50
3.48,0.43200000000000005,5.64
3.49,0.433,5.82
3.51,0.43099999999999994,5.91
3.52,0.42800000000000005,5.85
3.53,0.42400000000000004,5.79
3.54,0.422,5.67
3.55,0.42300000000000004,5.61
3.57,0.422,5.69
3.58,0.422,5.67
3.59,0.42000000000000004,5.69
3.60,0.42000000000000004,5.62
3.61,0.42000000000000004,5.65
3.63,0.418,5.67
3.64,0.42000000000000004,5.64
3.65,0.418,5.70
3.66,0.417,5.67
3.68,0.41600000000000004,5.64
3.69,0.41500000000000004,5.60
3.70,0.41600000000000004,5.56
3.71,0.41500000000000004,5.62
3.72,0.41500000000000004,5.58
3.73,0.41500000000000004,5.58
3.75,0.41600000000000004,5.59
3.76,0.41500000000000004,5.64
3.77,0.41600000000000004,5.59
3.78,0.41500000000000004,5.63
3.79,0.413,5.58
3.81,0.41200000000000003,5.53
3.82,0.413,5.47
3.83,0.413,5.51
3.84,0.41200000000000003,5.50
3.86,0.41200000000000003,5.44
3.87,0.41200000000000003,5.42
3.88,0.413,5.40
3.89,0.41200000000000003,5.43
3.90,0.41200000000000003,5.37
3.92,0.413,5.34
3.93,0.41200000000000003,5.37
3.94,0.413,5.29
3.95,0.41200000000000003,5.32
3.96,0.41200000000000003,5.24
3.98,0.41200000000000003,5.21
3.99,0.41200000000000003,5.17
4.00,0.41200000000000003,5.14
4.01,0.413,5.10
4.02,0.41200000000000003,5.11
4.04,0.41200000000000003,5.02
4.05,0.41200000000000003,4.98
4.06,0.41200000000000003,4.94
4.07,0.413,4.89
4.08,0.41500000000000004,4.89
4.10,0.41600000000000004,4.89
4.11,0.418,4.89
4.12,0.418,4.94
4.13,0.42000000000000004,4.89
4.15,0.421,4.88
4.16,0.422,4.87
4.17,0.42300000000000004,4.86
4.18,0.42400000000000004,4.85
4.19,0.42699999999999994,4.84
4.20,0.42699999999999994,4.87
4.22,0.429,4.81
4.23,0.43200000000000005,4.84
4.24,0.433,4.87
4.25,0.434,4.85
4.26,0.434,4.82
4.28,0.43499999999999994,4.76
4.29,0.438,4.73
4.30,0.43899999999999995,4.75
4.31,0.44299999999999995,4.72
4.32,0.44400000000000006,4.79
4.34,0.445,4.76
4.35,0.446,4.73
4.36,0.449,4.70
4.37,0.453,4.71
