time,p,voltage
3.00,-0.003,10.00
3.01,-0.003,0.00
3.02,0.202,0.00
3.04,0.344,0.00
3.05,0.445,2.37
3.06,0.45499999999999996,4.45
3.07,0.37,4.69
3.08,0.322,3.03
3.10,0.36,2.12
3.11,0.42699999999999994,2.92
3.12,0.466,4.31
3.13,0.454,5.13
3.14,0.437,4.93
3.16,0.437,4.63
3.17,0.45099999999999996,4.67
3.18,0.465,5.01
3.19,0.47300000000000003,5.31
3.21,0.488,5.52
3.22,0.505,5.86
3.23,0.521,6.24
3.24,0.516,6.59
3.25,0.49400000000000005,6.53
3.27,0.471,6.13
3.28,0.45499999999999996,5.70
3.29,0.442,5.41
3.30,0.43099999999999994,5.18
3.31,0.421,4.99
3.33,0.41500000000000004,4.83
3.34,0.41600000000000004,4.74
3.35,0.42300000000000004,4.79
3.36,0.43099999999999994,4.97
3.37,0.438,5.14
3.39,0.44299999999999995,5.32
3.40,0.449,5.44
3.41,0.45499999999999996,5.59
3.42,0.45599999999999996,5.74
3.43,0.454,5.79
3.45,0.44800000000000006,5.76
3.46,0.442,5.66
3.47,0.43499999999999994,5.57
3.48,0.433,5.46
3.49,0.429,5.44
3.51,0.42800000000000005,5.38
3.52,0.429,5.38
3.53,0.429,5.42
3.54,0.43099999999999994,5.44
3.55,0.434,5.48
3.57,0.434,5.56
3.58,0.434,5.58
3.59,0.43499999999999994,5.59
3.60,0.433,5.63
3.61,0.43200000000000005,5.59
3.63,0.43200000000000005,5.58
3.64,0.43200000000000005,5.59
3.65,0.433,5.60
3.66,0.43099999999999994,5.63
3.68,0.43099999999999994,5.59
3.69,0.43099999999999994,5.59
3.70,0.43099999999999994,5.60
3.71,0.43099999999999994,5.60
3.72,0.429,5.61
3.73,0.429,5.59
3.75,0.42800000000000005,5.59
3.76,0.42800000000000005,5.56
3.77,0.42800000000000005,5.56
3.78,0.42699999999999994,5.56
3.79,0.42699999999999994,5.54
3.81,0.42699999999999994,5.53
3.82,0.42699999999999994,5.53
3.83,0.42699999999999994,5.52
3.84,0.42699999999999994,5.52
3.86,0.426,5.51
3.87,0.42699999999999994,5.48
3.88,0.42699999999999994,5.50
3.89,0.426,5.49
3.90,0.42400000000000004,5.45
3.92,0.42400000000000004,5.42
3.93,0.426,5.40
3.94,0.42400000000000004,5.41
3.95,0.42400000000000004,5.38
3.96,0.426,5.36
3.98,0.42400000000000004,5.37
3.99,0.42400000000000004,5.33
4.00,0.42300000000000004,5.31
4.01,0.422,5.27
4.02,0.426,5.23
4.04,0.42400000000000004,5.28
4.05,0.42300000000000004,5.23
4.06,0.422,5.19
4.07,0.42300000000000004,5.14
4.08,0.42300000000000004,5.14
4.10,0.42300000000000004,5.12
4.11,0.42300000000000004,5.09
4.12,0.42300000000000004,5.07
4.13,0.422,5.04
4.15,0.42300000000000004,4.99
4.16,0.42300000000000004,4.98
4.17,0.42400000000000004,4.96
4.18,0.42400000000000004,4.95
4.19,0.426,4.92
4.20,0.426,4.91
4.22,0.42800000000000005,4.88
4.23,0.429,4.90
4.24,0.43200000000000005,4.88
4.25,0.433,4.90
4.26,0.433,4.89
4.28,0.434,4.86
4.29,0.437,4.84
4.30,0.43899999999999995,4.85
4.31,0.442,4.86
4.32,0.44299999999999995,4.87
4.34,0.44400000000000006,4.86
4.35,0.445,4.84
4.36,0.446,4.82
4.37,0.45,4.81
4.39,0.449,4.84
4.40,0.453,4.77
4.41,0.45499999999999996,4.80
4.42,0.45499999999999996,4.80
4.43,0.45599999999999996,4.76
4.45,0.45999999999999996,4.74
4.46,0.465,4.76
4.47,0.465,4.81
4.48,0.46699999999999997,4.77
4.49,0.47000000000000003,4.77
4.51,0.472,4.77
4.52,0.472,4.77
4.53,0.477,4.72
4.54,0.47800000000000004,4.77
4.55,0.481,4.74
4.57,0.484,4.74
4.58,0.48600000000000004,4.76
4.59,0.488,4.73
4.60,0.489,4.73
4.61,0.49400000000000005,4.70
4.63,0.495,4.74
4.64,0.499,4.72
4.65,0.501,4.74
4.66,0.504,4.73
4.67,0.505,4.72
4.69,0.508,4.70
4.70,0.511,4.69
4.71,0.515,4.70
4.72,0.517,4.72
4.73,0.521,4.72
4.75,0.522,4.73
4.76,0.526,4.70
4.77,0.5269999999999999,4.71
4.78,0.53,4.68
4.80,0.532,4.67
4.81,0.536,4.66
4.82,0.541,4.67
4.83,0.5429999999999999,4.71
4.84,0.544,4.70
4.86,0.5469999999999999,4.67
4.87,0.549,4.66
4.88,0.5519999999999999,4.64
4.89,0.5549999999999999,4.64
4.90,0.5599999999999999,4.65
4.92,0.563,4.69
4.93,0.563,4.67
4.94,0.5660000000000001,4.62
4.95,0.571,4.63
4.96,0.5740000000000001,4.66
4.98,0.576,4.65
4.99,0.58,4.64
5.00,0.581,4.66
5.01,0.583,4.62
5.02,0.588,4.61
5.04,0.592,4.64
5.05,0.593,4.66
5.06,0.597,4.62
5.07,0.5980000000000001,4.63
5.08,0.6,4.60
5.10,0.604,4.59
5.11,0.609,4.60
5.12,0.611,4.64
5.13,0.614,4.62
5.14,0.616,4.62
5.16,0.619,4.61
5.17,0.621,4.60
5.18,0.625,4.58
5.19,0.627,4.60
5.20,0.631,4.59
5.22,0.631,4.61
5.23,0.635,4.54
5.24,0.638,4.56
5.25,0.642,4.58
5.26,0.644,4.59
5.28,0.647,4.58
5.29,0.649,4.57
5.30,0.653,4.57
5.31,0.655,4.58
5.32,0.658,4.58
5.34,0.662,4.57
5.35,0.665,4.59
5.36,0.665,4.61
5.37,0.666,4.55
5.39,0.6679999999999999,4.52
5.40,0.671,4.49
5.41,0.675,4.51
5.42,0.6759999999999999,4.53
5.43,0.679,4.50
5.45,0.682,4.50
5.46,0.682,4.52
5.47,0.6849999999999999,4.47
5.48,0.688,4.47
5.49,0.6910000000000001,4.50
5.51,0.693,4.49
5.52,0.696,4.49
5.53,0.6990000000000001,4.49
5.54,0.702,4.52
5.55,0.7030000000000001,4.52
5.57,0.7070000000000001,4.50
5.58,0.7070000000000001,4.52
5.59,0.709,4.48
5.60,0.712,4.48
5.61,0.714,4.49
5.63,0.7150000000000001,4.49
5.64,0.718,4.47
5.65,0.718,4.48
5.66,0.72,4.44
5.68,0.7230000000000001,4.45
5.69,0.726,4.45
5.70,0.728,4.49
5.71,0.73,4.47
5.72,0.731,4.49
5.73,0.732,4.47
5.75,0.735,4.46
5.76,0.736,4.47
5.77,0.737,4.46
5.78,0.74,4.45
5.79,0.741,4.47
5.81,0.741,4.46
5.82,0.743,4.42
5.83,0.745,4.44
5.84,0.746,4.44
5.86,0.747,4.43
5.87,0.75,4.42
5.88,0.751,4.44
5.89,0.753,4.44
5.90,0.754,4.46
5.92,0.756,4.46
5.93,0.757,4.46
5.94,0.757,4.46
5.95,0.757,4.44
5.96,0.758,4.42
5.98,0.759,4.42
5.99,0.761,4.42
6.00,0.762,4.43
6.01,0.764,4.43
6.02,0.764,4.46
6.03,0.765,4.44
6.05,0.765,4.45
6.06,0.767,4.44
6.07,0.765,4.45
6.08,0.77,4.41
6.09,0.769,4.49
6.11,0.77,4.46
6.12,0.77,4.47
6.13,0.769,4.46
6.14,0.77,4.43
6.16,0.77,4.44
6.17,0.77,4.43
6.18,0.773,4.43
6.19,0.773,4.47
6.20,0.772,4.47
6.22,0.773,4.44
6.23,0.773,4.46
6.24,0.773,4.46
6.25,0.775,4.45
6.26,0.774,4.50
6.28,0.774,4.48
6.29,0.774,4.48
6.30,0.775,4.48
6.31,0.775,4.51
6.32,0.774,4.52
6.34,0.774,4.50
6.35,0.775,4.50
6.36,0.773,4.53
6.37,0.773,4.49
6.38,0.773,4.50
6.40,0.774,4.51
6.41,0.772,4.55
6.42,0.773,4.51
6.43,0.774,4.55
6.45,0.774,4.58
6.46,0.77,4.60
6.47,0.772,4.54
6.48,0.773,4.58
6.49,0.77,4.62
6.51,0.769,4.59
6.52,0.769,4.58
6.53,0.768,4.60
6.54,0.769,4.60
6.55,0.768,4.65
6.57,0.767,4.64
6.58,0.765,4.64
6.59,0.763,4.64
6.60,0.762,4.62
6.61,0.762,4.62
6.63,0.761,4.65
6.64,0.759,4.65
6.65,0.759,4.65
6.66,0.758,4.68
6.67,0.757,4.69
6.69,0.757,4.69
6.70,0.757,4.72
6.71,0.753,4.75
6.72,0.753,4.71
6.73,0.75,4.75
6.75,0.75,4.71
6.76,0.748,4.74
6.77,0.747,4.75
6.78,0.743,4.77
6.80,0.743,4.73
6.81,0.741,4.77
6.82,0.741,4.76
6.83,0.741,4.80
6.84,0.739,4.84
6.85,0.736,4.83
6.87,0.735,4.82
6.88,0.732,4.84
6.89,0.73,4.83
6.90,0.73,4.83
6.92,0.726,4.87
6.93,0.726,4.84
6.94,0.724,4.89
6.95,0.72,4.88
6.96,0.721,4.86
6.98,0.718,4.93
6.99,0.7150000000000001,4.90
7.00,0.713,4.90
7.01,0.712,4.91
7.02,0.71,4.93
7.03,0.7070000000000001,4.95
7.05,0.706,4.93
7.06,0.704,4.96
7.07,0.6990000000000001,4.99
7.08,0.6980000000000001,4.93
7.10,0.697,4.97
7.11,0.696,4.99
7.12,0.692,5.02
7.13,0.6910000000000001,5.00
7.14,0.688,5.03
7.16,0.687,5.04
7.17,0.6839999999999999,5.07
7.18,0.682,5.05
7.19,0.679,5.08
7.20,0.6769999999999999,5.06
7.22,0.674,5.09
7.23,0.673,5.08
7.24,0.67,5.11
7.25,0.6679999999999999,5.12
7.26,0.666,5.13
7.28,0.6639999999999999,5.16
7.29,0.663,5.17
7.30,0.662,5.20
7.31,0.658,5.24
7.32,0.655,5.23
7.34,0.653,5.23
7.35,0.6519999999999999,5.24
7.36,0.651,5.28
7.37,0.648,5.32
7.39,0.647,5.32
7.40,0.644,5.36
7.41,0.644,5.37
7.42,0.641,5.43
7.43,0.64,5.41
7.45,0.637,5.45
7.46,0.635,5.47
7.47,0.632,5.48
7.48,0.632,5.49
7.49,0.63,5.55
7.51,0.629,5.56
7.52,0.626,5.60
7.53,0.625,5.61
7.54,0.622,5.64
7.55,0.62,5.65
7.57,0.619,5.67
