time,p,voltage
3.00,-0.003,10.00
3.01,-0.002,0.00
3.02,0.123,0.00
3.04,0.183,0.00
3.05,0.233,0.00
3.06,0.269,0.00
3.07,0.29,0.00
3.08,0.301,0.00
3.10,0.312,0.00
3.11,0.32599999999999996,0.00
3.12,0.339,0.00
3.13,0.356,0.00
3.14,0.379,0.00
3.16,0.413,0.44
3.17,0.449,2.61
3.18,0.465,4.87
3.19,0.437,5.94
3.20,0.45099999999999996,4.37
3.22,0.45999999999999996,5.37
3.23,0.45599999999999996,5.99
3.24,0.46399999999999997,5.88
3.25,0.46399999999999997,6.43
3.26,0.461,6.54
3.28,0.457,6.50
3.29,0.446,6.38
3.30,0.44000000000000006,5.83
3.31,0.43899999999999995,5.56
3.32,0.429,5.58
3.34,0.42800000000000005,5.08
3.35,0.426,5.11
3.36,0.42400000000000004,5.05
3.37,0.42300000000000004,5.06
3.39,0.42300000000000004,5.07
3.40,0.426,5.16
3.41,0.42699999999999994,5.38
3.42,0.429,5.52
3.43,0.43200000000000005,5.75
3.45,0.43099999999999994,5.97
3.46,0.42800000000000005,5.97
3.47,0.42699999999999994,5.88
3.48,0.42300000000000004,5.88
3.49,0.421,5.72
3.51,0.42000000000000004,5.63
3.52,0.42000000000000004,5.62
3.53,0.418,5.67
3.54,0.42000000000000004,5.64
3.55,0.42000000000000004,5.77
3.57,0.418,5.81
3.58,0.418,5.78
3.59,0.417,5.82
3.60,0.417,5.79
3.61,0.41500000000000004,5.82
3.63,0.41500000000000004,5.71
3.64,0.413,5.73
3.65,0.41600000000000004,5.69
3.66,0.413,5.86
3.67,0.41100000000000003,5.73
3.69,0.41200000000000003,5.61
3.70,0.41200000000000003,5.70
3.71,0.41100000000000003,5.71
3.72,0.41200000000000003,5.65
3.73,0.41200000000000003,5.73
3.75,0.41100000000000003,5.73
3.76,0.41100000000000003,5.66
3.77,0.41,5.66
3.78,0.41,5.59
3.79,0.41200000000000003,5.58
3.81,0.41100000000000003,5.72
3.82,0.409,5.63
3.83,0.41,5.47
3.84,0.41,5.53
3.86,0.41,5.51
3.87,0.41,5.49
3.88,0.409,5.46
3.89,0.41,5.36
3.90,0.41,5.40
3.91,0.41,5.37
3.93,0.409,5.34
3.94,0.409,5.22
3.95,0.41,5.18
3.96,0.409,5.21
3.98,0.409,5.09
3.99,0.409,5.04
4.00,0.41,4.99
4.01,0.41,5.01
4.02,0.41,4.94
4.03,0.41100000000000003,4.89
4.05,0.41200000000000003,4.90
4.06,0.41100000000000003,4.91
4.07,0.41200000000000003,4.76
4.08,0.41500000000000004,4.77
4.10,0.41500000000000004,4.85
4.11,0.417,4.77
4.12,0.42000000000000004,4.84
4.13,0.418,4.91
4.14,0.421,4.75
4.16,0.422,4.81
4.17,0.42300000000000004,4.79
4.18,0.42400000000000004,4.78
4.19,0.42400000000000004,4.77
4.20,0.42699999999999994,4.67
4.22,0.429,4.72
