time,p,voltage
3.00,-0.003,10.00
3.01,-0.003,0.00
3.02,0.071,0.00
3.04,0.10800000000000001,0.00
3.05,0.134,0.00
3.06,0.146,0.00
3.07,0.15,0.00
3.08,0.148,0.00
3.10,0.15,0.00
3.11,0.153,0.00
3.12,0.162,0.00
3.13,0.175,0.00
3.14,0.19,0.07
3.16,0.20800000000000002,1.08
3.17,0.22799999999999998,2.29
3.18,0.242,3.60
3.19,0.242,4.60
3.20,0.236,4.71
3.22,0.246,4.46
3.23,0.244,5.16
3.24,0.24,5.13
3.25,0.244,5.02
3.26,0.24100000000000002,5.34
3.28,0.244,5.30
3.29,0.24700000000000003,5.55
3.30,0.253,5.88
3.31,0.261,6.35
3.32,0.266,6.87
3.34,0.264,7.26
3.35,0.257,7.28
3.36,0.24500000000000002,6.93
3.37,0.233,6.28
3.39,0.22400000000000003,5.64
3.40,0.21400000000000002,5.21
3.41,0.207,4.70
3.42,0.205,4.33
3.43,0.205,4.26
3.45,0.20600000000000002,4.33
3.46,0.20800000000000002,4.48
3.47,0.209,4.69
3.48,0.211,4.83
3.49,0.21200000000000002,4.96
3.51,0.21400000000000002,5.09
3.52,0.217,5.29
3.53,0.22000000000000003,5.50
3.54,0.22400000000000003,5.77
3.55,0.227,6.04
3.57,0.22799999999999998,6.23
3.58,0.22799999999999998,6.34
3.59,0.225,6.38
3.60,0.22200000000000003,6.28
3.61,0.217,6.09
3.63,0.21200000000000002,5.83
3.64,0.207,5.56
3.65,0.20299999999999999,5.30
3.66,0.20099999999999998,5.10
3.67,0.198,4.98
3.69,0.197,4.85
3.70,0.197,4.79
3.71,0.197,4.81
3.72,0.198,4.82
3.73,0.2,4.90
3.75,0.20099999999999998,4.98
3.76,0.202,5.05
3.77,0.205,5.13
3.78,0.207,5.27
3.79,0.20800000000000002,5.41
3.81,0.20800000000000002,5.47
3.82,0.209,5.46
3.83,0.209,5.52
3.84,0.20800000000000002,5.51
3.85,0.207,5.41
3.87,0.207,5.32
3.88,0.20600000000000002,5.29
3.89,0.205,5.19
3.90,0.20299999999999999,5.08
3.91,0.20299999999999999,4.98
3.93,0.20299999999999999,4.95
3.94,0.20299999999999999,4.90
3.95,0.20299999999999999,4.86
3.96,0.205,4.82
3.98,0.205,4.85
3.99,0.205,4.80
4.00,0.20600000000000002,4.74
4.01,0.207,4.76
4.02,0.20800000000000002,4.78
4.03,0.20800000000000002,4.79
4.05,0.20800000000000002,4.73
4.06,0.209,4.67
4.07,0.211,4.67
4.08,0.211,4.68
4.10,0.21200000000000002,4.60
4.11,0.21400000000000002,4.60
4.12,0.21600000000000003,4.67
4.13,0.217,4.67
4.14,0.21800000000000003,4.66
4.16,0.21800000000000003,4.64
4.17,0.219,4.55
4.18,0.223,4.54
4.19,0.223,4.67
4.20,0.223,4.57
4.22,0.22799999999999998,4.47
4.23,0.22799999999999998,4.67
4.24,0.22799999999999998,4.57
4.25,0.231,4.46
4.26,0.233,4.58
4.28,0.233,4.54
4.29,0.23500000000000001,4.43
4.30,0.238,4.47
4.31,0.23900000000000002,4.50
4.32,0.24100000000000002,4.45
4.34,0.244,4.48
4.35,0.24500000000000002,4.51
4.36,0.246,4.46
4.37,0.24900000000000003,4.40
4.38,0.251,4.43
4.40,0.252,4.45
4.41,0.256,4.38
4.42,0.257,4.47
4.43,0.26,4.41
4.45,0.262,4.43
4.46,0.264,4.43
4.47,0.266,4.43
4.48,0.268,4.36
4.49,0.272,4.37
4.51,0.273,4.44
4.52,0.275,4.37
4.53,0.27799999999999997,4.37
4.54,0.279,4.37
4.55,0.28300000000000003,4.29
4.57,0.28500000000000003,4.36
4.58,0.288,4.34
4.59,0.29100000000000004,4.34
4.60,0.29300000000000004,4.40
4.61,0.29500000000000004,4.32
4.63,0.29900000000000004,4.29
4.64,0.3,4.35
4.65,0.304,4.28
4.66,0.306,4.33
4.67,0.308,4.30
4.69,0.311,4.28
4.70,0.313,4.28
4.71,0.316,4.24
4.72,0.319,4.22
4.73,0.323,4.27
4.75,0.32599999999999996,4.34
4.76,0.327,4.30
4.77,0.32999999999999996,4.20
4.78,0.333,4.24
4.79,0.335,4.22
4.81,0.339,4.19
4.82,0.341,4.23
4.83,0.34500000000000003,4.20
4.84,0.348,4.23
4.85,0.351,4.22
4.87,0.354,4.26
4.88,0.356,4.21
4.89,0.359,4.18
4.90,0.361,4.16
4.92,0.365,4.13
4.93,0.368,4.16
4.94,0.371,4.20
4.95,0.374,4.18
4.96,0.377,4.20
4.98,0.379,4.17
4.99,0.382,4.13
5.00,0.384,4.11
5.01,0.388,4.06
5.02,0.391,4.10
5.04,0.395,4.14
5.05,0.396,4.17
5.06,0.4,4.07
5.07,0.404,4.11
5.08,0.40599999999999997,4.15
5.09,0.409,4.11
5.11,0.41200000000000003,4.09
5.12,0.41500000000000004,4.13
5.13,0.417,4.08
5.14,0.42000000000000004,4.05
5.16,0.42300000000000004,4.03
5.17,0.426,4.07
5.18,0.429,4.03
5.19,0.43200000000000005,4.07
5.20,0.434,4.04
5.22,0.438,4.03
5.23,0.44000000000000006,4.06
5.24,0.44299999999999995,4.03
5.25,0.445,4.00
5.26,0.449,3.98
5.28,0.45099999999999996,4.03
5.29,0.45499999999999996,4.00
5.30,0.457,4.05
5.31,0.45899999999999996,4.03
5.32,0.462,3.94
5.34,0.465,3.99
5.35,0.46699999999999997,3.96
5.36,0.471,3.95
5.37,0.472,4.01
5.39,0.475,3.92
5.40,0.47800000000000004,3.89
5.41,0.481,3.97
5.42,0.483,3.96
5.43,0.48600000000000004,3.93
5.44,0.488,3.92
5.46,0.49000000000000005,3.93
5.47,0.493,3.92
5.48,0.495,3.90
5.49,0.49800000000000005,3.90
5.51,0.5,3.91
5.52,0.503,3.90
5.53,0.505,3.90
5.54,0.506,3.91
5.55,0.51,3.85
5.57,0.511,3.92
5.58,0.514,3.85
5.59,0.515,3.86
5.60,0.517,3.81
5.61,0.52,3.82
5.63,0.522,3.83
5.64,0.525,3.85
5.65,0.526,3.87
5.66,0.5269999999999999,3.82
5.67,0.53,3.77
5.69,0.532,3.79
5.70,0.533,3.82
5.71,0.536,3.78
5.72,0.537,3.81
5.73,0.5389999999999999,3.76
5.75,0.541,3.80
5.76,0.542,3.77
5.77,0.5429999999999999,3.74
5.78,0.545,3.70
5.79,0.5469999999999999,3.74
5.81,0.548,3.73
5.82,0.55,3.69
5.83,0.5519999999999999,3.75
5.84,0.5519999999999999,3.73
5.85,0.554,3.64
5.87,0.5549999999999999,3.70
5.88,0.5559999999999999,3.68
5.89,0.558,3.67
5.90,0.5589999999999999,3.67
5.91,0.5599999999999999,3.66
5.93,0.561,3.66
5.94,0.561,3.66
5.95,0.563,3.59
5.96,0.564,3.60
5.98,0.5650000000000001,3.60
5.99,0.5650000000000001,3.61
6.00,0.5660000000000001,3.55
6.01,0.567,3.57
6.02,0.5690000000000001,3.59
6.03,0.5690000000000001,3.61
6.05,0.5690000000000001,3.56
6.06,0.5700000000000001,3.51
6.07,0.5700000000000001,3.54
6.08,0.571,3.50
6.09,0.571,3.53
6.11,0.572,3.50
6.12,0.572,3.53
6.13,0.572,3.50
6.14,0.572,3.47
6.16,0.572,3.45
6.17,0.5740000000000001,3.43
6.18,0.5740000000000001,3.48
6.19,0.5740000000000001,3.46
6.20,0.5740000000000001,3.45
6.22,0.5740000000000001,3.43
6.23,0.575,3.43
6.24,0.575,3.49
6.25,0.575,3.49
6.26,0.575,3.49
6.28,0.575,3.49
6.29,0.575,3.49
6.30,0.575,3.50
6.31,0.576,3.51
6.32,0.575,3.60
6.34,0.575,3.54
6.35,0.575,3.56
6.36,0.575,3.58
6.37,0.575,3.60
6.38,0.575,3.63
6.40,0.575,3.66
6.41,0.575,3.69
6.42,0.575,3.72
6.43,0.575,3.76
6.44,0.575,3.80
6.46,0.575,3.84
6.47,0.5740000000000001,3.89
6.48,0.5740000000000001,3.86
6.49,0.5740000000000001,3.91
6.50,0.5740000000000001,3.96
6.52,0.5740000000000001,4.02
6.53,0.572,4.08
6.54,0.572,4.07
6.55,0.572,4.13
6.56,0.571,4.19
6.58,0.571,4.19
6.59,0.571,4.27
6.60,0.5700000000000001,4.34
6.61,0.5700000000000001,4.34
6.63,0.5690000000000001,4.41
6.64,0.5690000000000001,4.43
6.65,0.567,4.51
6.66,0.5660000000000001,4.52
6.67,0.5660000000000001,4.54
6.69,0.5650000000000001,4.63
6.70,0.564,4.65
6.71,0.564,4.67
6.72,0.563,4.77
6.73,0.561,4.79
6.75,0.5599999999999999,4.82
6.76,0.5589999999999999,4.86
6.77,0.5589999999999999,4.89
6.78,0.558,5.00
6.79,0.5549999999999999,5.03
6.80,0.554,5.01
6.82,0.554,5.04
6.83,0.553,5.16
6.84,0.5519999999999999,5.22
6.85,0.55,5.26
6.86,0.549,5.30
6.88,0.548,5.36
6.89,0.5469999999999999,5.42
6.90,0.545,5.48
6.91,0.5429999999999999,5.53
6.93,0.542,5.52
6.94,0.541,5.58
6.95,0.538,5.65
6.96,0.536,5.64
6.97,0.533,5.63
6.99,0.5309999999999999,5.63
7.00,0.528,5.62
7.01,0.5269999999999999,5.64
7.02,0.525,5.70
7.03,0.521,5.70
7.05,0.52,5.63
7.06,0.517,5.72
7.07,0.514,5.71
7.08,0.512,5.65
7.09,0.51,5.74
7.11,0.506,5.75
7.12,0.505,5.69
7.13,0.503,5.77
7.14,0.499,5.79
7.16,0.497,5.74
7.17,0.49400000000000005,5.75
7.18,0.492,5.76
7.19,0.489,5.79
7.20,0.48600000000000004,5.81
7.22,0.484,5.76
7.23,0.481,5.86
7.24,0.477,5.81
7.25,0.476,5.76
7.26,0.47300000000000003,5.85
7.28,0.47000000000000003,5.88
7.29,0.46699999999999997,5.83
7.30,0.46399999999999997,5.86
7.31,0.461,5.83
7.32,0.45899999999999996,5.86
7.34,0.45499999999999996,5.87
7.35,0.453,5.83
7.36,0.45,5.88
7.37,0.446,5.91
7.38,0.44299999999999995,5.85
7.40,0.442,5.83
7.41,0.438,5.93
7.42,0.43499999999999994,5.89
7.43,0.433,5.91
