time,length,pressure,force
3.905,-53.80,-0.004,0.00
3.916,-53.80,-0.004,0.00
3.928,-53.80,-0.004,0.00
3.94,-53.80,-0.003,0.00
3.953,-53.80,-0.004,0.00
3.965,-53.80,-0.004,0.00
3.977,-53.80,-0.004,0.00
3.99,-53.80,-0.004,0.00
4.002,-53.80,-0.004,0.00
4.015,-53.80,-0.004,0.00
4.025,-53.80,-0.004,0.00
4.037,-53.80,-0.004,0.00
4.048,-53.80,-0.004,0.00
4.06,-53.80,-0.004,0.00
4.073,-53.80,-0.004,0.00
4.082,-53.80,-0.004,0.00
4.094,-53.80,-0.004,0.00
4.109,-53.80,-0.004,0.00
4.119,-53.80,-0.004,0.00
4.131,-53.80,-0.004,0.00
4.143,-53.80,-0.004,0.00
4.156,-53.80,-0.004,0.00
4.172,-53.80,-0.003,0.00
4.181,-53.80,-0.004,0.00
4.193,-53.80,-0.006,0.00
4.205,-53.80,-0.003,0.00
4.218,-53.80,-0.004,0.00
4.23,-53.80,-0.004,0.00
4.242,-53.80,-0.004,0.00
4.255,-53.80,-0.004,0.00
4.267,-53.80,-0.004,0.00
4.277,-53.80,-0.004,0.00
4.288,-53.80,-0.004,0.00
4.301,-53.80,-0.006,0.00
4.313,-53.80,-0.004,0.00
4.327,-53.80,-0.004,0.00
4.338,-53.80,-0.004,0.00
4.349,-53.80,-0.004,0.00
4.36,-53.80,-0.006,0.00
4.373,-53.80,-0.004,0.00
4.385,-53.80,-0.004,0.00
4.398,-53.80,-0.004,0.00
4.41,-53.80,-0.004,0.00
4.423,-53.80,-0.004,0.00
4.435,-53.80,-0.004,0.00
4.447,-53.80,-0.004,0.00
4.456,-53.80,-0.004,0.00
4.469,-53.80,-0.004,0.00
4.481,-53.80,-0.004,0.00
4.494,-53.80,-0.003,0.00
4.506,-53.80,-0.004,0.00
4.518,-53.80,-0.003,0.00
4.53,-53.80,-0.004,0.00
4.543,-53.80,-0.004,0.00
4.553,-53.80,-0.004,0.00
4.565,-53.80,-0.004,0.00
4.577,-53.80,-0.004,0.00
4.59,-53.80,-0.004,0.00
4.602,-53.80,-0.004,0.00
4.614,-53.80,-0.004,0.00
4.626,-53.80,-0.004,0.00
4.639,-53.80,-0.004,0.00
4.648,-53.80,-0.004,0.00
4.661,-53.80,-0.004,0.00
4.673,-53.80,-0.004,0.00
4.686,-53.80,-0.004,0.00
4.697,-53.80,-0.004,0.00
4.71,-53.80,-0.004,0.00
4.723,-53.80,-0.004,0.00
4.735,-53.80,-0.004,0.00
4.747,-53.80,-0.004,0.00
4.761,-53.80,-0.004,0.00
4.771,-53.80,-0.004,0.00
4.783,-53.80,-0.004,0.00
4.795,-53.80,-0.004,0.00
4.807,-53.80,-0.004,0.00
4.819,-53.80,-0.004,0.00
4.831,-53.80,-0.004,0.00
4.843,-53.80,-0.004,0.00
4.852,-53.80,-0.004,0.00
4.866,-53.80,-0.004,0.00
4.878,-53.80,-0.004,0.00
4.889,-53.80,-0.004,0.00
4.902,-53.80,-0.004,0.00
4.913,-53.80,-0.004,0.00
4.926,-53.80,-0.004,0.00
4.938,-53.80,-0.004,0.00
4.95,-53.80,-0.004,0.00
4.962,-53.80,-0.004,0.00
4.975,-53.80,-0.004,0.00
4.987,-53.80,-0.004,0.00
5.0,-53.80,-0.004,0.00
5.011,-53.80,-0.004,0.00
5.023,-53.80,-0.004,0.00
5.036,-53.80,-0.004,0.00
5.044,-53.80,-0.004,0.00
5.056,-53.80,-0.004,0.00
5.068,-53.80,-0.004,0.00
5.082,-53.80,-0.004,0.00
5.094,-53.80,-0.004,0.00
5.106,-53.80,-0.004,0.00
5.119,-53.80,-0.004,0.00
5.132,-53.80,-0.006,0.00
5.146,-53.80,-0.004,0.00
5.156,-53.80,-0.004,0.00
5.169,-53.80,-0.004,0.00
5.181,-53.80,-0.004,0.00
5.195,-53.80,-0.004,0.00
5.205,-53.80,-0.004,0.00
5.216,-53.80,-0.004,0.00
5.228,-53.80,-0.004,0.00
5.241,-53.80,-0.004,0.00
5.249,-53.80,-0.004,0.00
5.261,-53.80,-0.004,0.00
5.274,-53.80,-0.004,0.00
5.286,-53.80,-0.004,0.00
5.302,-53.80,-0.004,0.00
5.313,-53.80,-0.004,0.00
5.323,-53.80,-0.004,0.00
5.335,-53.80,-0.004,0.00
5.347,-53.80,-0.004,0.00
5.359,-53.80,-0.004,0.00
5.372,-53.80,-0.004,0.00
5.384,-53.80,-0.004,0.00
5.396,-53.80,-0.004,0.00
5.409,-53.80,-0.004,0.00
5.42,-53.80,-0.004,0.00
5.432,-53.80,-0.004,0.00
5.442,-53.80,-0.004,0.00
5.454,-53.80,-0.004,0.00
5.466,-53.80,-0.004,0.00
5.478,-53.80,-0.004,0.00
5.491,-53.80,-0.004,0.00
5.503,-53.80,-0.004,0.00
5.516,-53.80,-0.004,0.00
5.529,-53.80,-0.004,0.00
5.54,-53.80,-0.004,0.00
5.553,-53.80,-0.004,0.00
5.567,-53.80,-0.004,0.00
5.579,-53.80,-0.004,0.00
5.59,-53.80,-0.004,0.00
5.602,-53.80,-0.004,0.00
5.615,-53.80,-0.004,0.00
5.626,-53.80,-0.004,0.00
5.635,-53.80,-0.004,0.00
5.648,-53.80,-0.004,0.00
5.66,-53.80,-0.004,0.00
5.673,-53.80,-0.004,0.00
5.684,-53.80,-0.004,0.00
5.697,-53.80,-0.004,0.00
5.709,-53.80,-0.004,0.00
5.722,-53.80,-0.003,0.00
5.735,-53.80,-0.004,0.00
5.747,-53.80,-0.004,0.00
5.759,-53.80,-0.006,0.00
5.771,-53.80,-0.004,0.00
5.784,-53.80,-0.004,0.00
5.796,-53.80,-0.004,0.00
5.808,-53.80,-0.004,0.00
5.819,-53.80,-0.003,0.00
5.832,-53.80,-0.004,0.00
5.84,-53.80,-0.004,0.00
5.852,-53.80,-0.004,0.00
5.863,-53.80,-0.004,0.00
5.876,-53.80,-0.004,0.00
5.888,-53.80,-0.004,0.00
5.9,-53.80,-0.006,0.00
5.913,-53.80,-0.004,0.00
5.925,-53.80,-0.004,0.00
5.937,-53.80,-0.006,0.00
5.95,-53.80,-0.004,0.00
5.962,-53.80,-0.004,0.00
5.975,-53.80,-0.004,0.00
5.987,-53.80,-0.004,0.00
5.999,-53.80,-0.004,0.00
6.012,-53.80,-0.004,0.00
6.025,-53.80,-0.004,0.00
6.037,-53.80,-0.004,0.00
6.05,-53.80,-0.004,0.00
6.061,-53.80,-0.004,0.00
6.072,-53.80,-0.004,0.00
6.081,-53.80,-0.004,0.00
6.094,-53.80,-0.003,0.00
6.106,-53.80,-0.004,0.00
6.117,-53.80,-0.003,0.00
6.129,-53.80,-0.004,0.00
6.143,-53.80,-0.004,0.00
6.155,-53.80,-0.004,0.00
6.167,-53.80,-0.004,0.00
6.18,-53.80,-0.004,0.00
6.193,-53.80,-0.004,0.00
6.205,-53.80,-0.004,0.00
6.218,-53.80,-0.004,0.00
6.23,-53.80,-0.004,0.00
6.242,-53.80,-0.004,0.00
6.253,-53.80,-0.004,0.00
6.265,-53.80,-0.004,0.00
6.277,-53.80,-0.004,0.00
6.289,-53.80,-0.004,0.00
6.301,-53.80,-0.004,0.00
6.313,-53.80,-0.004,0.00
6.321,-53.80,-0.006,0.00
6.335,-53.80,-0.004,0.00
6.347,-53.80,-0.003,0.00
6.359,-53.80,-0.004,0.00
6.371,-53.80,-0.004,0.00
6.383,-53.80,-0.004,0.00
6.396,-53.80,-0.004,0.00
6.41,-53.80,-0.006,0.00
6.422,-53.80,-0.006,0.00
6.433,-53.80,-0.006,0.00
6.446,-53.80,-0.004,0.00
6.457,-53.80,-0.004,0.00
6.47,-53.80,-0.004,0.00
6.482,-53.80,-0.004,0.00
6.495,-53.80,-0.004,0.00
6.506,-53.80,-0.004,0.00
6.518,-53.80,-0.004,0.00
6.531,-53.80,-0.004,0.00
6.543,-53.80,-0.004,0.00
6.555,-53.80,-0.004,0.00
6.567,-53.80,-0.004,0.00
6.576,-53.80,-0.004,0.00
6.588,-53.80,-0.004,0.00
6.601,-53.80,-0.004,0.00
6.613,-53.80,-0.004,0.00
6.625,-53.80,-0.003,0.00
6.637,-53.80,-0.004,0.00
6.649,-53.80,-0.004,0.00
6.662,-53.80,-0.004,0.00
6.674,-53.80,-0.004,0.00
6.687,-53.80,-0.004,0.00
6.699,-53.80,-0.004,0.00
6.711,-53.80,-0.004,0.00
6.723,-53.80,-0.006,0.00
6.735,-53.80,-0.004,0.00
6.748,-53.80,-0.004,0.00
6.76,-53.80,-0.006,0.00
6.772,-53.80,-0.004,0.00
6.785,-53.80,-0.004,0.00
6.797,-53.80,-0.006,0.00
6.809,-53.80,-0.004,0.00
6.817,-53.80,-0.004,0.00
6.83,-53.80,-0.004,0.00
6.843,-53.80,-0.004,0.00
6.854,-53.80,-0.004,0.00
6.867,-53.80,-0.004,0.00
6.879,-53.80,-0.004,0.00
6.892,-53.80,-0.004,0.00
6.904,-53.80,-0.004,0.00
