time,length,pressure,force
time,length,pressure,force
10.003,-53.80,-0.004,0.00
10.015,-53.80,-0.004,0.00
10.028,-53.80,-0.004,0.00
10.04,-53.80,-0.004,0.00
10.052,-53.80,-0.004,0.00
10.065,-53.80,-0.004,0.00
10.078,-53.80,-0.004,0.00
10.089,-53.80,-0.004,0.00
10.101,-53.80,-0.006,0.00
10.113,-53.80,-0.004,0.00
10.125,-53.80,-0.004,0.00
10.137,-53.80,-0.004,0.00
10.15,-53.80,-0.004,0.00
10.163,-53.80,-0.006,0.00
10.174,-53.80,-0.004,0.00
10.187,-53.80,-0.004,0.00
10.206,-53.80,-0.006,0.00
10.227,-53.80,-0.004,0.00
10.247,-53.80,-0.004,0.00
10.267,-53.80,-0.004,0.00
10.288,-53.80,-0.004,0.00
10.308,-53.80,-0.004,0.00
10.329,-53.80,-0.004,0.00
10.345,-53.80,-0.004,0.00
10.365,-53.80,-0.004,0.00
10.386,-53.80,-0.004,0.00
10.406,-53.80,-0.004,0.00
10.427,-53.80,-0.004,0.00
10.448,-53.80,-0.006,0.00
10.467,-53.80,-0.004,0.00
10.488,-53.80,-0.004,0.00
10.509,-53.80,-0.006,0.00
10.525,-53.80,-0.004,0.00
10.546,-53.80,-0.004,0.00
10.566,-53.80,-0.004,0.00
10.587,-53.80,-0.004,0.00
10.608,-53.80,-0.004,0.00
10.627,-53.80,-0.004,0.00
10.648,-53.80,-0.003,0.00
10.664,-53.80,-0.004,0.00
10.685,-53.80,-0.004,0.00
10.706,-53.80,-0.004,0.00
10.726,-53.80,-0.004,0.00
10.746,-53.80,-0.004,0.00
10.767,-53.80,-0.004,0.00
10.787,-53.80,-0.004,0.00
10.807,-53.80,-0.004,0.00
10.828,-53.80,-0.004,0.00
10.845,-53.80,-0.004,0.00
10.865,-53.80,-0.004,0.00
10.886,-53.80,-0.004,0.00
10.907,-53.80,-0.004,0.00
10.928,-53.80,-0.004,0.00
10.947,-53.80,-0.004,0.00
10.967,-53.80,-0.004,0.00
10.984,-53.80,-0.004,0.00
11.004,-53.80,-0.004,0.00
11.025,-53.80,-0.004,0.00
11.045,-53.80,-0.004,0.00
11.066,-53.80,-0.004,0.00
11.087,-53.80,-0.004,0.00
11.107,-53.80,-0.004,0.00
11.127,-53.80,-0.004,0.00
11.143,-53.80,-0.004,0.00
11.164,-53.80,-0.004,0.00
11.184,-53.80,-0.004,0.00
11.205,-53.80,-0.004,0.00
11.225,-53.80,-0.004,0.00
11.245,-53.80,-0.004,0.00
11.266,-53.80,-0.004,0.00
11.283,-53.80,-0.004,0.00
11.304,-53.80,-0.004,0.00
11.324,-53.80,-0.006,0.00
11.344,-53.80,-0.004,0.00
11.366,-53.80,-0.004,0.00
11.386,-53.80,-0.004,0.00
11.407,-53.80,-0.004,0.00
11.427,-53.80,-0.004,0.00
11.447,-53.80,-0.004,0.00
11.465,-53.80,-0.004,0.00
11.484,-53.80,-0.004,0.00
11.504,-53.80,-0.004,0.00
11.525,-53.80,-0.004,0.00
11.545,-53.80,-0.004,0.00
11.566,-53.80,-0.004,0.00
11.586,-53.80,-0.004,0.00
11.603,-53.80,-0.004,0.00
11.623,-53.80,-0.004,0.00
11.644,-53.80,-0.004,0.00
11.664,-53.80,-0.004,0.00
11.685,-53.80,-0.004,0.00
11.705,-53.80,-0.004,0.00
11.725,-53.80,-0.004,0.00
11.745,-53.80,-0.004,0.00
11.762,-53.80,-0.004,0.00
11.782,-53.80,-0.004,0.00
11.803,-53.80,-0.004,0.00
11.824,-53.80,-0.004,0.00
11.844,-53.80,-0.004,0.00
11.865,-53.80,-0.004,0.00
11.885,-53.80,-0.004,0.00
11.905,-53.80,-0.004,0.00
11.922,-53.80,-0.004,0.00
11.942,-53.80,-0.004,0.00
11.963,-53.80,-0.004,0.00
11.983,-53.80,-0.004,0.00
12.003,-53.80,-0.004,0.00
12.025,-53.80,-0.004,0.00
12.045,-53.80,-0.006,0.00
12.065,-53.80,-0.004,0.00
12.082,-53.80,-0.004,0.00
12.102,-53.80,-0.004,0.00
12.123,-53.80,-0.004,0.00
12.143,-53.80,-0.004,0.00
12.164,-53.80,-0.004,0.00
12.184,-53.80,-0.004,0.00
12.204,-53.80,-0.004,0.00
12.225,-53.80,-0.004,0.00
12.241,-53.80,-0.004,0.00
12.262,-53.80,-0.004,0.00
12.282,-53.80,-0.004,0.00
12.303,-53.80,-0.004,0.00
12.324,-53.80,-0.004,0.00
12.344,-53.80,-0.004,0.00
12.364,-53.80,-0.004,0.00
12.385,-53.80,-0.004,0.00
12.401,-53.80,-0.004,0.00
12.422,-53.80,-0.004,0.00
12.442,-53.80,-0.004,0.00
12.462,-53.80,-0.004,0.00
12.483,-53.80,-0.004,0.00
12.504,-53.80,-0.004,0.00
12.524,-53.80,-0.004,0.00
12.544,-53.80,-0.004,0.00
12.561,-53.80,-0.004,0.00
12.581,-53.80,-0.004,0.00
12.601,-53.80,-0.004,0.00
12.622,-53.80,-0.004,0.00
12.644,-53.80,-0.004,0.00
12.663,-53.80,-0.004,0.00
12.684,-53.80,-0.004,0.00
12.7,-53.80,-0.004,0.00
12.722,-53.80,-0.004,0.00
12.742,-53.80,-0.004,0.00
12.762,-53.80,-0.004,0.00
12.782,-53.80,-0.004,0.00
12.802,-53.80,-0.004,0.00
12.823,-53.80,-0.004,0.00
12.844,-53.80,-0.003,0.00
12.864,-53.80,-0.004,0.00
12.88,-53.80,-0.004,0.00
12.901,-53.80,-0.004,0.00
12.921,-53.80,-0.004,0.00
12.942,-53.80,-0.004,0.00
12.962,-53.80,-0.004,0.00
12.982,-53.80,-0.004,0.00
13.002,-53.80,-0.004,0.00
13.024,-53.80,-0.004,0.00
13.04,-53.80,-0.004,0.00
13.06,-53.80,-0.004,0.00
13.08,-53.80,-0.004,0.00
13.101,-53.80,-0.004,0.00
13.121,-53.80,-0.003,0.00
13.143,-53.80,-0.004,0.00
13.163,-53.80,-0.004,0.00
13.18,-53.80,-0.004,0.00
13.2,-53.80,-0.004,0.00
13.22,-53.80,-0.004,0.00
13.241,-53.80,-0.004,0.00
13.261,-53.80,-0.004,0.00
13.282,-53.80,-0.004,0.00
13.302,-53.80,-0.004,0.00
13.322,-53.80,-0.004,0.00
13.339,-53.80,-0.004,0.00
13.36,-53.80,-0.004,0.00
13.38,-53.80,-0.004,0.00
13.4,-53.80,-0.004,0.00
13.421,-53.80,-0.004,0.00
13.442,-53.80,-0.004,0.00
13.462,-53.80,-0.004,0.00
13.482,-53.80,-0.004,0.00
13.499,-53.80,-0.004,0.00
13.519,-53.80,-0.004,0.00
13.54,-53.80,-0.004,0.00
13.561,-53.80,-0.004,0.00
13.581,-53.80,-0.004,0.00
13.601,-53.80,-0.004,0.00
13.622,-53.80,-0.004,0.00
13.642,-53.80,-0.006,0.00
13.659,-53.80,-0.004,0.00
13.679,-53.80,-0.004,0.00
13.7,-53.80,-0.003,0.00
13.72,-53.80,-0.004,0.00
13.74,-53.80,-0.004,0.00
13.761,-53.80,-0.004,0.00
13.781,-53.80,-0.004,0.00
13.802,-53.80,-0.004,0.00
13.819,-53.80,-0.004,0.00
13.839,-53.80,-0.004,0.00
13.859,-53.80,-0.004,0.00
13.88,-53.80,-0.004,0.00
13.901,-53.80,-0.004,0.00
13.921,-53.80,-0.004,0.00
13.941,-53.80,-0.004,0.00
13.962,-53.80,-0.004,0.00
13.982,-53.80,-0.004,0.00
13.998,-53.80,-0.004,0.00
14.019,-53.80,-0.004,0.00
14.04,-53.80,-0.004,0.00
14.06,-53.80,-0.004,0.00
14.08,-53.80,-0.004,0.00
14.101,-53.80,-0.004,0.00
14.121,-53.80,-0.004,0.00
14.138,-53.80,-0.004,0.00
14.158,-53.80,-0.004,0.00
14.179,-53.80,-0.004,0.00
14.199,-53.80,-0.004,0.00
14.22,-53.80,-0.004,0.00
14.24,-53.80,-0.004,0.00
14.261,-53.80,-0.004,0.00
14.281,-53.80,-0.004,0.00
14.298,-53.80,-0.004,0.00
14.318,-53.80,-0.004,0.00
14.339,-53.80,-0.004,0.00
14.359,-53.80,-0.004,0.00
14.379,-53.80,-0.004,0.00
14.4,-53.80,-0.004,0.00
