time,length,pressure,force
10.002,-211.00,0.033,48.00
10.014,-211.00,0.035,48.60
10.026,-211.00,0.037,49.00
10.039,-211.00,0.04,49.30
10.051,-211.00,0.042,49.30
10.069,-211.00,0.044,49.40
10.089,-211.00,0.046,49.60
10.11,-211.00,0.048,49.70
10.13,-211.00,0.051,49.60
10.151,-211.00,0.053,49.60
10.17,-211.00,0.055,49.70
10.191,-211.00,0.06,50.00
10.208,-211.00,0.065,50.50
10.229,-211.00,0.068,51.00
10.249,-211.00,0.073,50.60
10.27,-211.00,0.08,49.20
10.29,-211.00,0.086,49.40
10.311,-211.00,0.088,51.00
10.33,-211.00,0.093,50.40
10.347,-211.00,0.101,49.20
10.367,-211.00,0.106,50.90
10.388,-211.00,0.11,51.70
10.408,-211.00,0.117,50.20
10.429,-211.00,0.124,50.10
10.45,-211.00,0.128,50.80
10.47,-211.00,0.135,50.10
10.491,-211.00,0.142,49.80
10.508,-211.00,0.146,51.00
10.527,-211.00,0.153,50.60
10.548,-211.00,0.162,49.40
10.569,-211.00,0.167,51.90
10.589,-211.00,0.172,51.40
10.61,-211.00,0.18,49.20
10.629,-211.00,0.186,49.40
10.65,-211.00,0.194,51.50
10.667,-211.00,0.2,51.00
10.687,-211.00,0.207,51.00
10.708,-211.00,0.213,50.90
10.728,-211.00,0.22,50.40
10.749,-211.00,0.228,50.70
10.769,-211.00,0.235,50.70
10.789,-211.00,0.241,51.70
10.81,-211.00,0.247,52.00
10.83,-211.00,0.256,50.70
10.847,-211.00,0.264,50.50
10.868,-211.00,0.271,51.70
10.888,-211.00,0.274,52.30
10.909,-211.00,0.285,50.30
10.929,-211.00,0.296,49.80
10.949,-211.00,0.301,51.00
10.97,-211.00,0.308,51.60
10.99,-211.00,0.316,50.20
11.007,-211.00,0.327,50.70
11.027,-211.00,0.332,51.70
11.048,-211.00,0.339,50.60
11.068,-211.00,0.346,50.70
11.088,-211.00,0.354,51.60
11.109,-211.00,0.36,51.20
11.129,-211.00,0.37,50.80
11.149,-211.00,0.376,50.90
11.166,-211.00,0.383,51.00
11.187,-211.00,0.389,50.90
11.208,-211.00,0.396,50.30
11.228,-211.00,0.404,50.80
11.248,-211.00,0.411,51.60
11.268,-211.00,0.418,51.40
11.289,-211.00,0.426,51.80
11.309,-211.00,0.431,51.80
11.326,-211.00,0.438,50.80
11.347,-211.00,0.444,51.20
11.367,-211.00,0.451,51.30
11.388,-211.00,0.459,51.00
11.408,-211.00,0.465,51.00
11.429,-211.00,0.471,51.20
11.449,-211.00,0.476,51.20
11.466,-211.00,0.481,51.30
11.486,-211.00,0.488,51.10
11.506,-211.00,0.495,51.40
11.527,-211.00,0.501,51.50
11.547,-211.00,0.504,51.60
11.568,-211.00,0.51,51.70
11.588,-211.00,0.515,51.30
11.609,-211.00,0.521,51.00
11.629,-211.00,0.525,51.00
11.646,-211.00,0.528,51.10
11.666,-211.00,0.534,50.90
11.687,-211.00,0.539,51.50
11.707,-211.00,0.544,51.70
11.728,-211.00,0.548,51.70
11.748,-211.00,0.552,51.70
11.768,-211.00,0.555,51.70
11.789,-211.00,0.559,51.30
11.806,-211.00,0.561,50.90
11.826,-211.00,0.567,51.00
11.846,-211.00,0.569,51.20
11.867,-211.00,0.571,51.20
11.887,-211.00,0.575,51.10
11.908,-211.00,0.577,51.20
11.924,-211.00,0.578,51.40
11.945,-211.00,0.582,51.30
11.965,-211.00,0.583,51.20
11.986,-211.00,0.586,51.10
12.006,-211.00,0.587,51.00
12.027,-211.00,0.591,51.00
12.047,-211.00,0.591,51.00
12.067,-211.00,0.593,51.10
12.088,-211.00,0.594,51.10
12.105,-211.00,0.593,51.10
12.125,-211.00,0.593,51.00
12.146,-211.00,0.597,51.10
12.166,-211.00,0.596,51.00
12.186,-211.00,0.596,51.00
12.207,-211.00,0.594,51.10
12.227,-211.00,0.594,51.00
12.247,-211.00,0.596,50.90
12.264,-211.00,0.594,50.80
12.285,-211.00,0.594,50.80
12.305,-211.00,0.593,50.70
12.326,-211.00,0.593,50.50
12.346,-211.00,0.592,50.30
12.366,-211.00,0.591,50.20
12.387,-211.00,0.588,49.90
12.407,-211.00,0.586,49.50
12.424,-211.00,0.585,49.10
12.444,-211.00,0.582,48.60
12.465,-211.00,0.581,48.10
12.485,-211.00,0.578,47.70
12.506,-211.00,0.577,47.30
12.526,-211.00,0.575,47.10
12.546,-211.00,0.575,46.90
12.563,-211.00,0.571,46.80
12.583,-211.00,0.569,46.80
12.604,-211.00,0.565,46.60
12.625,-211.00,0.563,46.20
12.645,-211.00,0.56,45.90
12.665,-211.00,0.554,45.80
12.685,-211.00,0.549,45.80
12.706,-211.00,0.547,45.80
12.726,-211.00,0.543,45.90
12.744,-211.00,0.538,46.00
12.764,-211.00,0.532,45.90
12.784,-211.00,0.528,45.50
12.805,-211.00,0.523,45.30
12.826,-211.00,0.519,45.30
12.845,-211.00,0.511,45.40
12.866,-211.00,0.508,45.30
12.886,-211.00,0.503,45.20
12.903,-211.00,0.497,45.20
12.923,-211.00,0.489,44.90
12.944,-211.00,0.483,45.00
12.964,-211.00,0.477,45.00
12.985,-211.00,0.47,44.80
13.006,-211.00,0.465,44.70
13.026,-211.00,0.459,44.60
13.046,-211.00,0.453,44.80
13.063,-211.00,0.445,44.90
13.083,-211.00,0.438,44.80
13.104,-211.00,0.432,44.40
13.125,-211.00,0.427,44.20
13.145,-211.00,0.42,44.30
13.165,-211.00,0.413,44.20
13.185,-211.00,0.406,44.30
13.206,-211.00,0.398,44.40
13.223,-211.00,0.393,44.00
13.243,-211.00,0.383,44.00
13.264,-211.00,0.378,44.20
13.284,-211.00,0.37,44.00
13.305,-211.00,0.362,44.40
13.324,-211.00,0.356,44.50
13.345,-211.00,0.35,44.30
13.362,-211.00,0.341,44.00
13.382,-211.00,0.334,43.70
13.403,-211.00,0.328,43.30
13.424,-211.00,0.322,43.20
13.444,-211.00,0.316,43.80
13.464,-211.00,0.307,44.50
13.484,-211.00,0.299,44.60
13.505,-211.00,0.293,43.80
13.525,-211.00,0.286,43.50
13.542,-211.00,0.279,43.60
13.563,-211.00,0.273,43.50
13.583,-211.00,0.264,43.80
13.604,-211.00,0.258,43.80
13.624,-211.00,0.252,43.80
13.644,-211.00,0.245,43.90
13.665,-211.00,0.238,44.00
13.685,-211.00,0.231,43.70
13.702,-211.00,0.225,43.50
13.723,-211.00,0.218,44.00
13.743,-211.00,0.212,44.60
13.764,-211.00,0.205,44.60
13.784,-211.00,0.198,44.50
13.804,-211.00,0.191,44.60
13.82,-211.00,0.185,44.60
13.841,-211.00,0.178,44.60
13.861,-211.00,0.172,45.10
13.882,-211.00,0.165,45.30
13.903,-211.00,0.159,45.20
13.923,-211.00,0.152,45.20
13.943,-211.00,0.146,45.50
13.964,-211.00,0.139,45.40
13.98,-211.00,0.132,45.20
14.0,-211.00,0.126,45.40
14.021,-211.00,0.121,45.90
14.041,-211.00,0.115,45.80
14.062,-211.00,0.11,45.30
14.083,-211.00,0.104,45.40
14.103,-211.00,0.098,45.40
14.123,-211.00,0.093,45.20
14.14,-211.00,0.088,45.20
14.164,-211.00,0.085,45.50
14.181,-211.00,0.08,45.90
14.202,-211.00,0.075,45.70
14.221,-211.00,0.073,45.00
14.242,-211.00,0.068,44.80
14.263,-211.00,0.063,45.20
14.283,-211.00,0.059,45.40
14.3,-211.00,0.055,45.10
14.321,-211.00,0.052,44.80
14.341,-211.00,0.048,45.30
14.361,-211.00,0.047,45.60
14.381,-211.00,0.043,45.40
14.402,-211.00,0.042,44.90
10.003,-211.00,0.025,45.00
10.016,-211.00,0.024,44.90
10.028,-211.00,0.024,44.90
10.04,-211.00,0.022,45.00
10.052,-211.00,0.021,45.20
10.064,-211.00,0.02,45.20
10.077,-211.00,0.021,45.00
10.089,-211.00,0.02,45.10
10.101,-211.00,0.021,45.20
10.109,-211.00,0.022,45.20
10.122,-211.00,0.021,45.40
10.134,-211.00,0.024,45.50
10.146,-211.00,0.024,45.60
10.159,-211.00,0.024,45.80
10.171,-211.00,0.025,46.00
10.184,-211.00,0.027,46.30
10.196,-211.00,0.027,46.80
10.208,-211.00,0.03,47.20
10.22,-211.00,0.031,47.60
10.232,-211.00,0.033,48.20
10.245,-211.00,0.035,48.70
10.257,-211.00,0.037,49.10
10.269,-211.00,0.038,49.20
10.281,-211.00,0.041,49.30
10.294,-211.00,0.043,49.40
10.302,-211.00,0.046,49.40
10.314,-211.00,0.048,49.40
10.327,-211.00,0.049,49.40
10.339,-211.00,0.053,49.40
10.351,-211.00,0.057,49.60
10.363,-211.00,0.062,50.10
10.376,-211.00,0.064,50.60
10.388,-211.00,0.069,50.50
10.4,-211.00,0.076,49.40
10.412,-211.00,0.08,50.10
10.424,-211.00,0.085,50.00
10.437,-211.00,0.09,50.40
10.449,-211.00,0.095,50.80
10.461,-211.00,0.102,50.00
10.473,-211.00,0.103,51.20
10.485,-211.00,0.11,50.20
10.494,-211.00,0.118,49.30
10.506,-211.00,0.124,50.80
10.519,-211.00,0.13,51.10
10.531,-211.00,0.136,50.10
10.544,-211.00,0.142,50.50
10.556,-211.00,0.147,51.50
10.568,-211.00,0.154,50.00
10.58,-211.00,0.162,50.00
10.593,-211.00,0.165,51.00
10.605,-211.00,0.175,50.50
10.617,-211.00,0.183,49.30
10.631,-211.00,0.185,52.00
10.651,-211.00,0.192,50.80
10.668,-211.00,0.2,49.80
10.688,-211.00,0.206,50.80
10.709,-211.00,0.213,50.50
10.729,-211.00,0.22,51.00
