Time,Length,Pressure,Force
2,0.00,-0.004,45.80
3,0.00,-0.004,45.80
3,0.00,-0.004,45.80
4,0.00,-0.004,"45.80.30"
4,0.00,-0.003,45.30
4,0.00,-0.004,45.30
5,0.00,-0.004,45.30
5,0.00,-0.004,45.20
6,0.00,-0.004,45.20
6,0.00,-0.004,45.30
7,0.00,-0.004,45.30
7,0.00,-0.004,45.20
8,0.00,-0.003,45.30
9,0.00,-0.004,45.30
9,0.00,-0.004,45.30
9,0.00,-0.004,45.20
10,0.00,-0.004,45.20
10,0.00,-0.004,45.30
11,0.00,-0.004,45.30
11,0.00,-0.004,45.20
12,0.00,-0.004,45.30
30,0.00,-0.006,45.20
51,0.00,-0.004,45.20
71,0.00,-0.004,45.30
88,0.00,-0.004,45.20
109,0.00,-0.004,45.20
129,0.00,-0.004,45.20
151,0.00,-0.004,45.30
171,0.00,-0.004,45.20
192,0.00,-0.004,45.20
211,0.00,-0.004,45.20
231,0.00,-0.004,45.20
248,0.00,-0.004,45.20
268,0.00,-0.004,45.20
289,0.00,-0.003,45.20
309,0.00,-0.004,45.20
329,0.00,-0.004,45.20
350,0.00,-0.004,45.20
371,0.00,-0.004,45.20
391,0.00,-0.004,45.20
408,0.00,-0.004,45.20
428,0.00,-0.004,45.20
449,0.00,-0.004,45.20
469,0.00,-0.004,45.20
489,0.00,-0.004,45.20
510,0.00,-0.004,45.20
531,0.00,-0.004,45.20
551,0.00,-0.004,45.20
568,0.00,-0.003,45.20
589,0.00,-0.004,45.20
609,0.00,-0.004,45.20
630,0.00,-0.004,45.20
650,0.00,-0.004,45.20
669,0.00,-0.004,45.20
690,0.00,-0.004,45.20
710,0.00,-0.004,45.20
727,0.00,-0.006,45.20
748,0.00,-0.004,45.20
769,0.00,-0.004,45.20
790,0.00,-0.004,45.20
810,0.00,-0.004,45.20
830,0.00,-0.004,45.20
850,0.00,-0.004,45.20
870,0.00,-0.004,45.20
891,0.00,-0.004,45.20
907,0.00,-0.004,45.20
929,0.00,-0.004,45.20
948,0.00,-0.004,45.20
969,0.00,-0.004,45.20
989,0.00,-0.004,45.20
1010,0.00,-0.004,45.20
1030,0.00,-0.004,45.20
1046,0.00,-0.004,45.20
1067,0.00,-0.004,45.20
1087,0.00,-0.004,45.20
1108,0.00,-0.004,45.20
1129,0.00,-0.004,45.20
1149,0.00,-0.004,45.20
1169,0.00,-0.006,45.20
1186,0.00,-0.004,45.20
1207,0.00,-0.004,45.20
1227,0.00,-0.004,45.20
1248,0.00,-0.004,45.20
1268,0.00,-0.004,45.20
1288,0.00,-0.004,45.20
1309,0.00,-0.004,45.20
1329,0.00,-0.004,45.20
1350,0.00,-0.004,45.20
1366,0.00,-0.003,45.20
1388,0.00,-0.004,45.20
1408,0.00,-0.004,45.20
1428,0.00,-0.004,45.20
1449,0.00,-0.004,45.20
1470,0.00,-0.004,45.20
1489,0.00,-0.004,45.20
1509,0.00,-0.004,45.20
1526,0.00,-0.004,45.20
1546,0.00,-0.004,45.20
1567,0.00,-0.004,45.20
1587,0.00,-0.004,45.20
1608,0.00,-0.004,45.20
1628,0.00,-0.004,45.20
1648,0.00,-0.006,45.20
1665,0.00,-0.003,45.20
1685,0.00,-0.004,45.20
1706,0.00,-0.004,45.20
1726,0.00,-0.004,45.20
1746,0.00,-0.004,45.20
1767,0.00,-0.004,45.20
1788,0.00,-0.006,45.20
1808,0.00,-0.004,45.20
1824,0.00,-0.004,45.20
1845,0.00,-0.006,45.30
1867,0.00,-0.004,45.20
1886,0.00,-0.004,45.20
1907,0.00,-0.004,45.20
1927,0.00,-0.004,45.20
1948,0.00,-0.004,45.20
1968,0.00,-0.004,45.20
1985,0.00,-0.004,45.20
2005,0.00,-0.003,45.20
2025,0.00,-0.004,45.20
2045,0.00,-0.004,45.20
2066,0.00,-0.004,45.20
2087,0.00,-0.004,45.20
2107,0.00,-0.004,45.20
2128,0.00,-0.004,45.20
2148,0.00,-0.004,45.20
2165,0.00,-0.004,45.20
2185,0.00,-0.004,45.20
2205,0.00,-0.004,45.20
2226,0.00,-0.004,45.20
2247,0.00,-0.004,45.20
2267,0.00,-0.004,45.20
2287,0.00,-0.004,45.20
2304,0.00,-0.004,45.20
2325,0.00,-0.004,45.20
2345,0.00,-0.004,45.20
2366,0.00,-0.004,45.20
2386,0.00,-0.004,45.20
2406,0.00,-0.004,45.20
2426,0.00,-0.004,45.20
2447,0.00,-0.004,45.20
2463,0.00,-0.004,45.20
2484,0.00,-0.004,45.20
2505,0.00,-0.004,45.20
2525,0.00,-0.004,45.20
2545,0.00,-0.004,45.20
2566,0.00,-0.004,45.20
2587,0.00,-0.004,45.20
2603,0.00,-0.004,45.20
2623,0.00,-0.004,45.20
2644,0.00,-0.004,45.20
2664,0.00,-0.004,45.20
2685,0.00,-0.004,45.20
2705,0.00,-0.004,45.20
2726,0.00,-0.006,45.20
2746,0.00,-0.004,45.20
2766,0.00,-0.004,45.20
2783,0.00,-0.004,45.20
2803,0.00,-0.004,45.20
2824,0.00,-0.004,45.20
2844,0.00,-0.004,45.20
2866,0.00,-0.004,45.20
2886,0.00,-0.004,45.20
2907,0.00,-0.004,45.20
2926,0.00,-0.004,45.20
2947,0.00,-0.006,45.20
2964,0.00,-0.004,45.20
2985,0.00,-0.004,45.20
3006,0.00,-0.004,45.20
3026,0.00,-0.004,45.20
3049,0.00,-0.004,45.20
3067,0.00,-0.004,45.20
3087,0.00,-0.004,45.20
3107,0.00,-0.004,45.20
3123,0.00,-0.004,45.20
3143,0.00,-0.004,45.20
3164,0.00,-0.006,45.20
3184,0.00,-0.004,45.20
3205,0.00,-0.004,45.20
3225,0.00,-0.004,45.20
3246,0.00,-0.004,45.20
3263,0.00,-0.004,45.20
3283,0.00,-0.004,45.20
3304,0.00,-0.004,45.20
3324,0.00,-0.003,45.20
3345,0.00,-0.004,45.20
3364,0.00,-0.004,45.20
3385,0.00,-0.004,45.20
3402,0.00,-0.004,45.20
3422,0.00,-0.004,45.20
3443,0.00,-0.004,45.20
3466,0.00,-0.004,45.20
3484,0.00,-0.004,45.20
3504,0.00,-0.004,45.20
3524,0.00,-0.004,45.20
3545,0.00,-0.004,45.20
3566,0.00,-0.006,45.20
3582,0.00,-0.004,45.20
3604,0.00,-0.004,45.20
3624,0.00,-0.004,45.20
3644,0.00,-0.004,45.20
3665,0.00,-0.004,45.20
3685,0.00,-0.004,45.20
3704,0.00,-0.004,45.20
3725,0.00,-0.004,45.20
3742,0.00,-0.004,45.20
3762,0.00,-0.004,45.20
3784,0.00,-0.004,45.20
3804,0.00,-0.004,45.20
3824,0.00,-0.004,45.20
3845,0.00,-0.004,45.20
3864,0.00,-0.004,45.20
3881,0.00,-0.004,45.20
3902,0.00,-0.004,45.20
3922,0.00,-0.004,45.20
3943,0.00,-0.004,45.20
3963,0.00,-0.004,45.20
3983,0.00,-0.004,45.20
4004,0.00,-0.004,45.20
4024,0.00,-0.004,45.20
4042,0.00,-0.004,45.20
4061,0.00,-0.004,45.20
4081,0.00,-0.004,45.20
4102,0.00,-0.006,45.20
4123,0.00,-0.004,45.20
