time,length,pressure,force
3.915,263.20,-0.004,46.20
3.929,263.20,-0.004,46.20
3.94,263.20,-0.003,46.20
3.953,263.20,-0.004,46.20
3.907,263.30,-0.003,45.40
3.919,263.30,-0.004,45.40
3.931,263.30,-0.004,45.40
3.94,263.30,-0.003,45.40
3.952,263.30,-0.003,45.40
3.965,263.30,-0.004,45.40
3.977,263.30,-0.003,45.40
3.989,263.30,-0.004,45.40
4.002,263.30,-0.003,45.40
4.014,263.30,-0.003,45.50
4.026,263.30,-0.003,45.50
4.039,263.30,-0.004,45.40
4.051,263.30,-0.004,45.50
4.063,263.30,-0.004,45.50
4.074,263.30,-0.003,45.50
4.087,263.30,-0.004,45.50
4.099,263.30,-0.004,45.50
4.108,263.30,-0.004,45.50
4.122,263.30,-0.003,45.50
4.132,263.30,-0.003,45.50
4.144,263.30,-0.004,45.50
4.155,263.30,-0.004,45.50
4.168,263.30,-0.004,45.50
4.18,263.30,-0.004,45.50
4.193,263.30,-0.003,45.50
4.205,263.30,-0.004,45.50
4.218,263.30,-0.004,45.50
4.23,263.30,-0.003,45.50
4.243,263.30,-0.004,45.50
4.256,263.30,-0.004,45.50
4.267,263.30,-0.003,45.50
4.279,263.30,-0.004,45.50
4.292,263.30,-0.004,45.50
4.301,263.30,-0.003,45.50
4.313,263.30,-0.003,45.50
4.324,263.30,-0.004,45.50
4.337,263.30,-0.003,45.50
4.348,263.30,-0.004,45.50
4.36,263.30,-0.003,45.50
4.373,263.30,-0.004,45.50
4.385,263.30,-0.003,45.50
4.397,263.30,-0.003,45.50
4.409,263.30,-0.004,45.50
4.423,263.30,-0.004,45.50
4.435,263.30,-0.003,45.50
4.447,263.30,-0.003,45.50
4.46,263.30,-0.004,45.50
4.472,263.30,-0.004,45.50
4.484,263.30,-0.004,45.50
4.496,263.30,-0.003,45.50
4.505,263.30,-0.004,45.50
4.517,263.30,-0.004,45.50
4.531,263.30,-0.004,45.50
4.542,263.30,-0.004,45.50
4.555,263.30,-0.004,45.50
4.567,263.30,-0.003,45.40
4.578,263.30,-0.004,45.50
4.589,263.30,-0.003,45.50
4.602,263.30,-0.003,45.40
4.614,263.30,-0.003,45.50
4.626,263.30,-0.004,45.40
4.639,263.30,-0.004,45.40
4.651,263.30,-0.004,45.40
