time,length,pressure,force
3.906,,-0.001,43.70
3.907,218.80,-0.002,43.70
3.926,218.80,-0.002,43.80
3.933,218.80,-0.002,43.80
3.95,218.80,-0.001,43.80
3.96,218.80,-0.002,43.80
3.97,218.80,-0.002,43.70
3.982,218.80,-0.002,43.70
3.997,218.80,-0.001,43.80
4.012,218.80,-0.002,43.80
4.023,218.80,-0.002,43.80
4.035,218.80,-0.002,43.80
4.047,218.80,-0.001,43.80
4.059,218.80,-0.002,43.70
4.072,218.80,-0.002,43.70
4.082,218.80,-0.002,43.70
4.082,218.80,-0.002,43.80
4.109,218.80,-0.001,43.70
4.123,218.80,-0.002,43.70
4.135,218.80,-0.002,43.70
4.143,218.80,-0.002,43.70
4.153,218.80,-0.002,43.70
4.166,218.80,-0.002,43.70
4.178,218.80,-0.002,43.70
4.191,218.80,-0.002,43.70
4.203,218.80,-0.001,43.70
4.21,218.80,-0.002,43.70
4.225,218.80,-0.002,43.70
4.242,218.80,-0.001,43.70
4.252,218.80,-0.002,43.70
4.257,218.80,-0.001,43.70
4.273,218.80,-0.002,43.70
4.29,218.80,-0.001,43.70
4.29,218.80,-0.002,43.70
4.31,218.80,-0.001,43.70
4.328,218.80,-0.001,43.70
4.337,218.80,-0.002,43.70
4.347,218.80,-0.001,43.70
4.359,218.80,-0.001,43.70
4.371,218.80,-0.002,43.70
4.384,218.80,-0.002,43.70
4.396,218.80,-0.001,43.70
4.401,218.80,-0.002,43.70
4.421,218.80,-0.002,43.70
4.433,218.80,-0.002,43.70
4.442,218.80,-0.002,43.70
4.457,218.80,-0.002,43.70
4.459,218.80,-0.001,43.70
4.479,218.80,-0.001,43.70
4.493,218.80,-0.002,43.70
4.496,218.80,-0.001,43.70
4.513,218.80,-0.002,43.70
4.53,218.80,-0.001,43.70
4.539,218.80,-0.002,43.70
4.55,218.80,-0.001,43.70
4.563,218.80,-0.002,43.70
4.576,218.80,-0.002,43.70
4.584,218.80,-0.002,43.70
4.6,218.80,-0.002,43.70
4.61,218.80,-0.002,43.70
4.621,218.80,-0.001,43.70
4.633,218.80,-0.002,43.70
4.649,218.80,-0.002,43.70
4.653,218.80,-0.002,43.70
4.671,218.80,-0.002,43.70
4.688,218.80,-0.002,43.70
4.689,218.80,-0.001,43.70
4.709,218.80,-0.002,43.70
4.723,218.80,-0.002,43.70
4.726,218.80,-0.001,43.70
4.746,218.80,-0.001,43.70
4.751,218.80,-0.001,43.70
4.769,218.80,-0.002,43.70
4.78,218.80,-0.001,43.70
4.793,218.80,-0.002,43.70
4.805,218.80,-0.002,43.70
4.813,218.80,-0.002,43.70
4.827,218.80,-0.001,43.70
4.843,218.80,-0.001,43.70
4.853,218.80,-0.001,43.70
4.86,218.80,-0.002,43.70
4.88,218.80,-0.002,43.70
4.891,218.80,-0.002,43.70
4.891,218.80,-0.002,43.70
4.917,218.80,-0.001,43.70
4.928,218.80,-0.002,43.70
4.94,218.80,-0.002,43.70
4.949,218.80,-0.002,43.70
4.962,218.80,-0.001,43.70
4.965,218.80,-0.002,43.70
4.986,218.80,-0.001,43.70
4.998,218.80,-0.002,43.70
5.01,218.80,-0.002,43.70
5.022,218.80,-0.002,43.70
5.034,218.80,-0.002,43.70
5.047,218.80,-0.002,43.70
5.059,218.80,-0.002,43.70
5.071,218.80,-0.002,43.70
5.079,218.80,-0.002,43.70
5.096,218.80,-0.001,43.70
5.097,218.80,-0.001,43.70
5.114,218.80,-0.001,43.70
5.13,218.80,-0.002,43.70
5.146,218.80,-0.002,43.70
5.15,218.80,-0.001,43.70
5.168,218.80,-0.001,43.70
5.18,218.80,-0.002,43.70
5.183,218.80,-0.001,43.70
5.202,218.80,-0.002,43.70
5.215,218.80,-0.002,43.70
5.226,218.80,-0.002,43.70
5.238,218.80,-0.002,43.70
5.238,218.80,-0.002,43.70
5.264,218.80,-0.002,43.70
5.274,218.80,-0.002,43.70
5.287,218.80,-0.002,43.70
5.287,218.80,-0.001,43.70
5.314,218.80,-0.001,43.70
5.324,218.80,-0.002,43.70
5.338,218.80,-0.002,43.70
5.338,218.80,-0.002,43.70
5.359,218.80,-0.002,43.70
5.375,218.80,-0.001,43.70
5.384,218.80,-0.002,43.70
5.396,218.80,-0.002,43.70
5.408,218.80,-0.001,43.70
5.419,218.80,-0.001,43.70
5.432,218.80,-0.001,43.80
5.444,218.80,-0.002,43.70
5.449,218.80,-0.001,43.80
5.464,218.80,-0.002,43.70
5.48,218.80,-0.002,43.80
5.495,218.80,-0.002,43.70
5.505,218.80,-0.002,43.70
5.507,218.80,-0.002,43.70
5.523,218.80,-0.001,43.70
5.543,218.80,-0.001,43.70
5.543,218.80,-0.002,43.70
5.556,218.80,-0.002,43.70
5.569,218.80,-0.002,43.70
5.589,218.80,-0.002,43.70
5.598,218.80,-0.001,43.70
5.608,218.80,-0.002,43.70
5.625,218.80,-0.002,43.70
