time,length,pressure,force
3.902,172.40,-0.001,45.10
3.913,172.40,-0.002,45.10
3.925,172.40,-0.001,45.10
3.925,172.40,-0.002,45.10
3.951,172.40,-0.002,45.10
3.956,172.40,-0.001,45.10
3.974,172.40,-0.002,45.10
3.989,172.40,-0.001,45.10
3.99,172.40,-0.001,45.00
4.008,172.40,-0.002,45.00
4.023,172.40,-0.002,45.00
4.027,172.40,-0.001,45.00
4.043,172.40,-0.001,45.00
4.058,172.40,-0.002,45.00
4.068,172.40,-0.001,45.00
4.083,172.40,-0.001,45.00
4.095,172.40,-0.001,45.00
4.108,172.40,-0.001,45.00
4.119,172.40,-0.002,45.00
4.131,172.40,-0.002,45.00
4.143,172.40,-0.001,45.00
4.157,172.40,-0.001,45.00
4.17,172.40,-0.002,45.00
4.173,172.40,-0.002,45.00
4.194,172.40,-0.001,45.00
4.194,172.40,-0.002,45.00
4.21,172.40,-0.002,45.00
4.229,172.40,-0.001,45.00
4.241,172.40,-0.002,45.00
4.25,172.40,-0.002,45.00
4.257,172.40,-0.001,45.00
4.275,172.40,-0.001,45.00
4.284,172.40,-0.001,45.00
4.3,172.40,-0.002,45.00
4.314,172.40,-0.002,45.00
4.325,172.40,-0.001,45.00
4.337,172.40,-0.002,45.00
4.348,172.40,-0.002,45.00
4.36,172.40,-0.002,45.00
4.373,172.40,-0.001,45.00
4.384,172.40,-0.002,45.00
4.396,172.40,-0.002,45.00
4.396,172.40,-0.001,45.00
4.414,172.40,-0.002,45.00
4.433,172.40,-0.002,45.00
4.444,172.40,-0.002,45.00
4.46,172.40,-0.001,45.00
4.461,172.40,-0.002,45.00
4.481,172.40,-0.002,45.00
4.492,172.40,-0.001,45.00
4.492,172.40,-0.001,45.00
4.509,172.40,-0.001,45.00
4.53,172.40,-0.001,45.00
4.542,172.40,-0.002,45.00
4.553,172.40,-0.002,45.00
4.565,172.40,-0.001,45.00
4.577,172.40,-0.001,45.00
4.589,172.40,-0.001,45.00
4.599,172.40,-0.002,45.00
4.614,172.40,-0.002,45.00
4.626,172.40,-0.002,45.00
4.636,172.40,-0.001,45.00
4.652,172.40,-0.001,45.00
4.662,172.40,-0.002,45.00
4.672,172.40,-0.001,45.00
4.684,172.40,-0.002,45.00
4.694,172.40,-0.001,45.00
4.701,172.40,-0.002,45.00
4.719,172.40,-0.002,45.00
4.738,172.40,-0.001,45.00
4.747,172.40,-0.002,45.00
4.759,172.40,-0.002,45.00
4.77,172.40,-0.001,45.00
4.782,172.40,-0.001,45.00
4.795,172.40,-0.002,45.00
4.807,172.40,-0.002,45.00
4.816,172.40,-0.002,45.00
4.827,172.40,-0.002,45.00
4.842,172.40,-0.001,45.00
4.855,172.40,-0.002,45.00
4.855,172.40,-0.001,44.90
4.873,172.40,-0.001,45.00
4.884,172.40,-0.002,45.00
4.9,172.40,-0.001,45.00
4.913,172.40,-0.001,45.00
4.923,172.40,-0.001,45.00
4.933,172.40,-0.001,45.00
4.953,172.40,-0.002,44.90
4.961,172.40,-0.001,44.90
4.974,172.40,-0.001,45.00
4.987,172.40,-0.001,45.00
4.999,172.40,-0.002,45.00
5.011,172.40,-0.001,44.90
5.024,172.40,-0.001,45.00
5.036,172.40,-0.002,45.00
5.048,172.40,-0.002,44.90
5.056,172.40,-0.002,45.00
5.066,172.40,-0.002,44.90
5.078,172.40,-0.002,44.90
5.094,172.40,-0.002,44.90
5.103,172.40,-0.001,44.90
5.12,172.40,-0.002,44.90
5.129,172.40,-0.001,44.90
5.14,172.40,-0.002,44.90
5.149,172.40,-0.001,44.90
5.17,172.40,-0.001,44.90
5.176,172.50,-0.002,44.90
5.192,172.50,-0.002,44.90
5.204,172.50,-0.002,45.00
5.216,172.50,-0.002,45.00
5.229,172.50,-0.002,45.00
5.24,172.50,-0.002,44.90
5.24,172.50,-0.002,44.90
5.266,172.50,-0.001,45.00
5.276,172.50,-0.001,44.90
5.288,172.50,-0.002,44.90
5.298,172.50,-0.001,44.90
5.306,172.50,-0.002,44.90
5.324,172.50,-0.001,44.90
5.332,172.50,-0.001,44.90
5.339,172.50,-0.002,45.00
5.358,172.50,-0.002,44.90
5.376,172.50,-0.001,44.90
5.385,172.50,-0.001,44.90
5.397,172.50,-0.001,44.90
5.409,172.50,-0.001,44.90
5.421,172.50,-0.001,44.90
5.433,172.50,-0.001,44.90
5.445,172.50,-0.001,44.90
5.449,172.50,-0.002,44.90
5.469,172.50,-0.002,44.90
5.475,172.50,-0.002,44.90
5.491,172.50,-0.001,44.90
5.497,172.50,-0.001,44.90
5.514,172.50,-0.002,44.90
5.529,172.50,-0.002,44.90
5.533,172.50,-0.001,44.90
5.546,172.50,-0.002,44.90
5.563,172.50,-0.002,45.00
5.581,172.50,-0.001,44.90
5.59,172.50,-0.002,45.00
5.602,172.50,-0.001,45.00
5.613,172.50,-0.002,45.00
5.626,172.50,-0.002,45.00
5.638,172.50,-0.002,45.00
5.65,172.50,-0.001,45.00
5.652,172.50,-0.001,45.00
5.67,172.50,-0.001,45.00
5.685,172.50,-0.002,45.00
5.689,172.50,-0.001,45.00
5.704,172.50,-0.001,45.00
5.721,172.50,-0.001,45.00
5.734,172.50,-0.002,45.00
5.743,172.50,-0.002,45.00
5.75,172.50,-0.001,45.00
5.768,172.50,-0.002,45.00
5.785,172.50,-0.001,45.00
5.795,172.50,-0.001,45.00
5.803,172.50,-0.002,45.00
5.819,172.50,-0.002,45.00
5.83,172.50,-0.002,45.00
5.843,172.50,-0.001,45.00
5.855,172.50,-0.001,45.00
5.856,172.50,-0.001,45.00
5.874,172.50,-0.002,45.00
5.888,172.50,-0.001,45.00
5.893,172.50,-0.001,45.00
5.906,172.50,-0.001,45.00
5.924,172.50,-0.002,45.00
5.933,172.50,-0.001,45.00
5.94,172.50,-0.002,45.00
5.958,172.50,-0.002,45.00
5.975,172.50,-0.001,45.00
5.983,172.50,-0.002,44.90
6.0,172.50,-0.001,45.00
6.008,172.50,-0.002,45.00
6.023,172.50,-0.002,45.00
6.036,172.50,-0.001,45.00
6.047,172.50,-0.001,45.00
6.06,172.50,-0.001,45.00
6.072,172.50,-0.002,45.00
6.079,172.50,-0.002,44.90
6.087,172.50,-0.001,45.00
6.106,172.50,-0.002,44.90
6.114,172.50,-0.002,44.90
6.125,172.50,-0.002,45.00
6.137,172.50,-0.001,44.90
6.155,172.50,-0.002,44.90
6.164,172.50,-0.002,44.90
6.174,172.50,-0.002,44.90
6.186,172.50,-0.001,44.90
6.206,172.50,-0.001,44.90
6.216,172.50,-0.001,44.90
6.228,172.50,-0.002,44.90
6.24,172.50,-0.002,44.90
6.252,172.50,-0.002,44.90
6.265,172.20,0.163,44.90
6.273,168.20,0.394,49.00
6.285,161.40,0.448,102.80
6.294,152.90,0.349,123.50
6.31,144.00,0.404,67.60
6.321,137.30,0.46,17.60
6.332,134.10,0.47,6.30
6.343,134.00,0.465,0.90
6.361,137.00,0.473,0.40
6.361,142.10,0.495,6.70
6.378,146.90,0.52,27.10
6.394,149.70,0.528,59.10
6.413,149.80,0.492,88.00
6.421,147.80,0.467,90.20
6.433,145.20,0.438,68.40
6.445,143.20,0.424,45.60
6.457,142.70,0.428,30.10
6.469,143.50,0.438,24.10
6.478,145.20,0.453,28.20
6.49,146.80,0.461,39.10
6.501,147.60,0.465,51.40
6.501,147.40,0.46,59.90
6.528,146.60,0.449,60.20
6.531,145.80,0.44,53.60
6.548,145.40,0.437,46.00
6.565,145.50,0.437,41.20
6.574,145.80,0.439,40.40
6.584,146.20,0.442,42.70
6.597,146.50,0.443,45.80
6.618,146.50,0.443,48.10
6.626,146.40,0.44,48.70
6.638,146.40,0.44,47.90
6.65,146.40,0.439,47.30
6.662,146.40,0.439,47.20
6.67,146.40,0.438,47.00
6.683,146.40,0.437,46.80
6.689,146.40,0.437,46.70
6.706,146.40,0.435,46.50
6.715,146.40,0.435,46.30
6.726,146.40,0.434,46.20
6.738,146.40,0.434,46.10
6.756,146.40,0.434,46.10
6.77,146.40,0.434,46.00
6.775,146.40,0.434,45.90
6.788,146.40,0.434,45.90
6.804,146.40,0.433,45.80
6.819,146.40,0.432,45.70
6.832,146.40,0.433,45.60
6.843,146.40,0.432,45.50
6.854,146.40,0.432,45.50
6.863,146.40,0.432,45.40
6.875,146.40,0.431,45.30
6.888,146.40,0.431,45.30
6.894,146.40,0.431,45.20
6.911,146.40,0.431,45.20
6.92,146.40,0.431,45.20
6.931,146.40,0.431,45.30
6.942,146.40,0.432,45.30
6.958,146.40,0.432,45.40
6.974,146.40,0.434,45.60
6.984,146.40,0.437,45.90
6.998,146.40,0.439,46.40
7.007,146.40,0.442,47.10
7.025,146.40,0.444,47.80
7.033,146.40,0.446,48.30
7.047,146.30,0.451,49.00
7.048,146.20,0.453,49.90
7.068,146.10,0.454,50.20
7.08,145.90,0.456,50.00
7.092,145.80,0.46,49.90
7.104,145.60,0.464,49.80
7.117,145.40,0.467,49.80
7.125,145.30,0.472,49.80
7.139,145.10,0.476,49.90
7.139,144.90,0.478,50.10
7.166,144.70,0.483,49.80
7.176,144.50,0.487,49.60
7.189,144.30,0.492,49.60
7.189,144.20,0.494,49.90
7.215,144.00,0.498,50.00
7.226,143.80,0.504,50.00
7.238,143.60,0.509,49.90
7.254,143.40,0.511,50.10
7.26,143.20,0.516,49.90
7.272,143.00,0.521,49.70
7.284,142.80,0.527,49.60
7.297,142.70,0.531,49.80
7.309,142.50,0.534,50.00
7.322,142.30,0.538,50.00
7.327,142.20,0.543,49.90
7.339,142.00,0.549,50.00
7.356,141.80,0.554,50.20
7.372,141.60,0.558,50.50
7.376,141.40,0.563,50.20
7.389,141.30,0.567,49.70
7.405,141.10,0.572,49.60
7.421,140.90,0.577,49.80
7.431,140.80,0.582,49.70
7.438,140.60,0.587,49.70
7.456,140.50,0.592,50.00
7.465,140.30,0.597,49.90
7.48,140.20,0.602,49.70
7.49,140.00,0.608,49.70
7.503,139.90,0.611,49.70
7.514,139.80,0.616,49.50
7.526,139.70,0.622,49.60
7.539,139.60,0.626,49.90
7.551,139.40,0.631,50.00
7.563,139.30,0.635,49.70
7.576,139.20,0.641,49.40
7.583,139.00,0.646,49.30
7.601,138.90,0.649,49.10
7.613,138.90,0.655,49.00
7.625,138.80,0.66,49.10
7.637,138.80,0.664,49.20
7.647,138.70,0.669,49.30
7.663,138.70,0.674,49.70
7.664,138.60,0.679,49.90
7.685,138.50,0.681,50.00
7.695,138.40,0.685,50.00
7.706,138.30,0.69,50.20
7.718,138.10,0.693,50.80
7.731,137.80,0.697,51.00
7.743,137.60,0.701,50.20
7.754,137.40,0.704,49.40
7.754,137.30,0.709,48.80
7.78,137.20,0.713,48.70
7.788,137.10,0.718,49.00
7.804,137.10,0.721,49.30
7.815,137.00,0.724,49.40
7.825,137.00,0.728,49.50
7.841,136.90,0.731,49.60
7.848,136.80,0.734,49.50
7.865,136.70,0.737,49.30
7.874,136.60,0.741,49.20
7.881,136.50,0.745,49.10
7.904,136.50,0.747,49.10
7.912,136.40,0.75,49.00
7.924,136.40,0.752,49.00
7.936,136.30,0.756,49.10
7.948,136.30,0.757,49.20
7.961,136.20,0.759,49.20
7.973,136.20,0.763,49.20
7.985,136.10,0.765,49.10
7.994,136.10,0.767,49.10
8.011,136.00,0.769,49.00
8.02,136.00,0.77,49.00
8.032,136.00,0.772,49.00
8.039,136.00,0.774,49.00
8.058,135.90,0.778,49.10
8.065,135.90,0.779,49.30
8.075,135.90,0.779,49.40
8.092,135.80,0.78,49.30
8.105,135.80,0.783,49.10
8.118,135.80,0.784,49.10
8.129,135.80,0.784,49.10
8.14,135.80,0.784,49.20
8.153,135.80,0.785,49.20
8.166,135.70,0.787,49.20
8.177,135.70,0.787,49.30
8.191,135.70,0.787,49.30
8.192,135.70,0.789,49.20
8.215,135.70,0.789,49.10
8.222,135.70,0.789,49.20
8.239,135.70,0.789,49.20
8.249,135.70,0.789,49.10
8.249,135.60,0.789,49.00
8.267,135.60,0.789,49.00
8.282,135.60,0.789,49.00
8.298,135.60,0.789,48.90
8.298,135.60,0.789,48.90
8.316,135.60,0.787,48.90
8.336,135.60,0.787,48.90
8.342,135.60,0.785,48.80
8.358,135.60,0.784,48.70
8.37,135.60,0.783,48.60
8.382,135.60,0.783,48.40
8.395,135.60,0.78,48.30
8.407,135.60,0.78,48.20
8.42,135.60,0.778,48.00
8.423,135.70,0.775,47.80
8.443,135.70,0.775,47.60
8.456,135.70,0.774,47.50
8.469,135.70,0.772,47.40
8.472,135.70,0.769,47.20
8.488,135.70,0.767,47.00
8.488,135.70,0.764,46.70
8.515,135.70,0.763,46.40
8.525,135.70,0.761,46.10
8.541,135.70,0.757,45.90
8.552,135.70,0.754,45.70
8.563,135.70,0.752,45.50
8.575,135.70,0.75,45.30
8.587,135.80,0.747,45.20
8.6,135.80,0.743,45.00
8.612,135.90,0.741,45.00
8.624,135.90,0.737,45.00
8.629,136.00,0.734,44.90
8.647,136.00,0.731,44.90
8.662,136.10,0.728,44.80
8.664,136.20,0.724,44.80
8.682,136.20,0.72,44.80
8.696,136.30,0.717,44.80
8.698,136.40,0.714,44.80
8.716,136.40,0.709,44.70
8.73,136.50,0.706,44.70
8.74,136.60,0.703,44.80
8.757,136.70,0.699,44.80
8.763,136.70,0.696,44.80
8.78,136.80,0.691,44.80
8.793,136.90,0.688,44.80
8.804,137.00,0.685,44.80
8.816,137.10,0.68,44.80
8.829,137.10,0.677,44.80
8.838,137.20,0.674,44.80
8.838,137.30,0.67,44.80
8.865,137.40,0.666,44.80
8.87,137.40,0.664,44.80
8.887,137.50,0.66,44.80
8.897,137.60,0.658,44.70
8.903,137.70,0.654,44.70
8.921,137.70,0.651,44.70
8.935,137.80,0.647,44.70
8.935,137.90,0.644,44.70
8.955,138.00,0.642,44.70
8.974,138.00,0.638,44.70
8.985,138.10,0.636,44.70
8.993,138.20,0.632,44.60
9.009,138.30,0.627,44.50
9.021,138.40,0.624,44.40
9.033,138.50,0.621,44.30
9.045,138.60,0.616,44.30
9.058,138.80,0.61,44.40
9.066,138.90,0.607,44.40
9.079,139.10,0.602,44.60
9.083,139.20,0.597,44.80
9.1,139.30,0.593,44.70
9.116,139.40,0.588,44.60
9.125,139.60,0.582,44.60
9.135,139.70,0.578,44.60
9.148,139.80,0.574,44.50
9.166,140.00,0.57,44.50
9.175,140.10,0.565,44.40
9.192,140.30,0.561,44.40
9.192,140.40,0.556,44.50
9.214,140.60,0.553,44.70
9.226,140.70,0.548,44.70
9.237,140.90,0.542,44.50
9.251,141.00,0.539,44.40
9.258,141.20,0.536,44.60
9.271,141.30,0.531,44.70
9.284,141.40,0.526,44.70
9.289,141.60,0.522,44.50
9.306,141.70,0.52,44.30
9.322,141.90,0.515,44.30
9.326,142.00,0.512,44.40
9.338,142.20,0.509,44.50
9.354,142.30,0.505,44.70
9.372,142.50,0.501,44.70
9.381,142.60,0.499,44.60
9.388,142.70,0.494,44.60
9.409,142.80,0.492,44.50
9.419,143.00,0.488,44.30
9.425,143.10,0.486,44.30
9.443,143.30,0.483,44.50
9.455,143.40,0.478,44.70
9.464,143.50,0.476,44.50
9.476,143.70,0.473,44.40
9.488,143.80,0.471,44.60
9.498,143.90,0.468,44.80
9.498,144.00,0.466,44.80
9.525,144.10,0.465,44.60
9.532,144.20,0.461,44.50
9.551,144.30,0.459,44.60
9.563,144.40,0.457,44.50
9.574,144.50,0.455,44.30
9.588,144.60,0.455,44.40
9.599,144.70,0.453,44.70
9.613,144.80,0.45,44.70
9.623,144.90,0.449,44.50
9.635,144.90,0.449,44.40
9.647,145.00,0.448,44.70
9.656,145.10,0.445,44.90
9.668,145.10,0.445,44.90
9.681,145.10,0.444,44.80
9.685,145.20,0.443,44.70
9.702,145.20,0.443,44.60
9.719,145.30,0.442,44.60
9.722,145.30,0.442,44.70
9.743,145.40,0.44,44.90
9.75,145.40,0.44,44.90
9.768,145.40,0.44,44.90
9.781,145.40,0.44,44.90
9.791,145.40,0.44,44.80
9.799,145.40,0.44,44.80
9.821,145.40,0.44,44.90
9.834,145.40,0.44,45.00
9.853,145.40,0.442,45.00
9.873,145.40,0.442,45.00
9.894,145.40,0.442,45.10
9.911,145.40,0.442,45.20
9.93,145.40,0.442,45.20
9.941,145.40,0.442,45.20
9.973,145.40,0.442,45.30
9.99,145.40,0.443,45.30
10.01,145.40,0.443,45.40
10.033,145.40,0.443,45.30
10.041,145.40,0.443,45.40
10.073,145.40,0.443,45.40
10.091,145.40,0.443,45.40
10.111,145.40,0.443,45.40
10.13,145.40,0.444,45.50
10.138,145.40,0.444,45.50
10.172,145.40,0.445,45.70
10.186,145.40,0.446,45.80
10.21,145.40,0.45,46.10
10.225,145.40,0.453,46.60
10.251,145.40,0.455,47.30
10.271,145.40,0.456,47.90
10.291,145.30,0.461,48.40
10.312,145.30,0.465,49.10
10.333,145.10,0.468,49.70
10.352,145.00,0.471,49.80
10.368,144.80,0.475,49.80
10.386,144.60,0.479,49.60
10.401,144.40,0.481,49.50
10.428,144.20,0.486,49.40
10.449,144.10,0.489,49.20
10.472,143.90,0.494,49.20
10.492,143.80,0.498,49.60
10.512,143.60,0.501,49.90
10.533,143.40,0.505,49.70
10.553,143.20,0.51,49.50
10.559,143.00,0.515,49.30
10.586,142.80,0.519,49.30
10.609,142.70,0.523,49.30
10.632,142.50,0.528,49.50
10.645,142.30,0.533,49.50
10.672,142.10,0.537,49.50
10.691,142.00,0.542,49.50
10.709,141.80,0.548,49.50
10.729,141.60,0.552,49.50
10.75,141.40,0.556,49.50
10.769,141.20,0.563,49.30
10.788,141.10,0.567,49.30
10.812,140.90,0.572,49.40
10.822,140.80,0.576,49.60
10.844,140.60,0.581,49.60
10.87,140.50,0.586,49.40
10.881,140.30,0.591,49.40
10.911,140.20,0.594,49.50
10.919,140.00,0.598,49.40
10.951,139.90,0.607,49.20
10.971,139.80,0.611,49.50
10.992,139.60,0.615,49.80
11.003,139.50,0.62,49.60
11.021,139.30,0.625,49.40
11.049,139.20,0.63,49.50
11.07,139.10,0.635,49.40
11.088,138.90,0.64,49.30
11.107,138.80,0.643,49.40
11.13,138.70,0.648,49.40
11.151,138.60,0.653,49.40
11.168,138.50,0.657,49.40
11.189,138.40,0.663,49.60
11.208,138.20,0.666,49.70
11.225,138.10,0.67,49.50
11.24,138.00,0.676,49.30
11.266,137.90,0.68,49.30
11.289,137.80,0.686,49.40
11.306,137.70,0.688,49.50
11.323,137.60,0.692,49.40
11.349,137.50,0.697,49.10
11.368,137.40,0.701,49.00
11.389,137.30,0.707,49.20
11.409,137.20,0.709,49.50
11.429,137.20,0.713,49.50
11.45,137.10,0.717,49.40
11.465,137.00,0.72,49.30
11.481,136.90,0.725,49.30
11.508,136.80,0.728,49.30
11.529,136.80,0.731,49.30
11.549,136.70,0.735,49.30
11.57,136.60,0.736,49.30
11.581,136.60,0.74,49.20
11.61,136.50,0.743,49.10
11.631,136.50,0.746,49.20
11.651,136.40,0.75,49.20
11.668,136.30,0.753,49.10
11.68,136.30,0.754,49.10
11.697,136.20,0.758,49.10
11.73,136.10,0.759,49.00
11.747,136.10,0.762,48.90
11.765,136.10,0.764,48.90
11.79,136.00,0.767,49.00
11.807,136.00,0.769,49.10
11.827,136.00,0.769,49.10
11.847,135.90,0.773,49.00
11.868,135.90,0.774,49.00
11.886,135.90,0.775,49.10
11.91,135.80,0.779,49.10
11.929,135.80,0.779,49.10
11.948,135.80,0.781,49.20
11.963,135.80,0.781,49.20
11.984,135.70,0.783,49.10
12.005,135.70,0.785,49.10
12.028,135.70,0.785,49.20
12.048,135.70,0.786,49.20
12.069,135.70,0.786,49.20
12.089,135.70,0.787,49.10
12.11,135.70,0.787,49.10
12.126,135.60,0.789,49.10
12.147,135.60,0.789,49.10
12.167,135.60,0.79,49.20
12.188,135.60,0.789,49.20
12.208,135.60,0.789,49.10
12.228,135.60,0.79,49.10
12.249,135.60,0.79,49.10
12.269,135.60,0.789,49.10
12.286,135.60,0.787,49.00
