time,length,pressure,force
10.033,145.40,0.443,45.30
10.041,145.40,0.443,45.40
10.073,145.40,0.443,45.40
10.091,145.40,0.443,45.40
10.111,145.40,0.443,45.40
10.13,145.40,0.444,45.50
10.138,145.40,0.444,45.50
10.172,145.40,0.445,45.70
10.186,145.40,0.446,45.80
10.21,145.40,0.45,46.10
10.225,145.40,0.453,46.60
10.251,145.40,0.455,47.30
10.271,145.40,0.456,47.90
10.291,145.30,0.461,48.40
10.312,145.30,0.465,49.10
10.333,145.10,0.468,49.70
10.352,145.00,0.471,49.80
10.368,144.80,0.475,49.80
10.386,144.60,0.479,49.60
10.401,144.40,0.481,49.50
10.428,144.20,0.486,49.40
10.449,144.10,0.489,49.20
10.472,143.90,0.494,49.20
10.492,143.80,0.498,49.60
10.512,143.60,0.501,49.90
10.533,143.40,0.505,49.70
10.553,143.20,0.51,49.50
10.559,143.00,0.515,49.30
10.586,142.80,0.519,49.30
10.609,142.70,0.523,49.30
10.632,142.50,0.528,49.50
10.645,142.30,0.533,49.50
10.672,142.10,0.537,49.50
10.691,142.00,0.542,49.50
10.709,141.80,0.548,49.50
10.729,141.60,0.552,49.50
10.75,141.40,0.556,49.50
10.769,141.20,0.563,49.30
10.788,141.10,0.567,49.30
10.812,140.90,0.572,49.40
10.822,140.80,0.576,49.60
10.844,140.60,0.581,49.60
10.87,140.50,0.586,49.40
10.881,140.30,0.591,49.40
10.911,140.20,0.594,49.50
10.919,140.00,0.598,49.40
10.951,139.90,0.607,49.20
10.971,139.80,0.611,49.50
10.992,139.60,0.615,49.80
11.003,139.50,0.62,49.60
11.021,139.30,0.625,49.40
11.049,139.20,0.63,49.50
11.07,139.10,0.635,49.40
11.088,138.90,0.64,49.30
11.107,138.80,0.643,49.40
11.13,138.70,0.648,49.40
11.151,138.60,0.653,49.40
11.168,138.50,0.657,49.40
11.189,138.40,0.663,49.60
11.208,138.20,0.666,49.70
11.225,138.10,0.67,49.50
11.24,138.00,0.676,49.30
11.266,137.90,0.68,49.30
11.289,137.80,0.686,49.40
11.306,137.70,0.688,49.50
11.323,137.60,0.692,49.40
11.349,137.50,0.697,49.10
11.368,137.40,0.701,49.00
11.389,137.30,0.707,49.20
11.409,137.20,0.709,49.50
11.429,137.20,0.713,49.50
11.45,137.10,0.717,49.40
11.465,137.00,0.72,49.30
11.481,136.90,0.725,49.30
11.508,136.80,0.728,49.30
11.529,136.80,0.731,49.30
11.549,136.70,0.735,49.30
11.57,136.60,0.736,49.30
11.581,136.60,0.74,49.20
11.61,136.50,0.743,49.10
11.631,136.50,0.746,49.20
11.651,136.40,0.75,49.20
11.668,136.30,0.753,49.10
11.68,136.30,0.754,49.10
11.697,136.20,0.758,49.10
11.73,136.10,0.759,49.00
11.747,136.10,0.762,48.90
11.765,136.10,0.764,48.90
11.79,136.00,0.767,49.00
11.807,136.00,0.769,49.10
11.827,136.00,0.769,49.10
11.847,135.90,0.773,49.00
11.868,135.90,0.774,49.00
11.886,135.90,0.775,49.10
11.91,135.80,0.779,49.10
11.929,135.80,0.779,49.10
11.948,135.80,0.781,49.20
11.963,135.80,0.781,49.20
11.984,135.70,0.783,49.10
12.005,135.70,0.785,49.10
12.028,135.70,0.785,49.20
12.048,135.70,0.786,49.20
12.069,135.70,0.786,49.20
12.089,135.70,0.787,49.10
12.11,135.70,0.787,49.10
12.126,135.60,0.789,49.10
12.147,135.60,0.789,49.10
12.167,135.60,0.79,49.20
12.188,135.60,0.789,49.20
12.208,135.60,0.789,49.10
12.228,135.60,0.79,49.10
12.249,135.60,0.79,49.10
12.269,135.60,0.789,49.10
12.286,135.60,0.787,49.00
12.306,135.60,0.787,49.00
12.327,135.60,0.787,48.90
12.347,135.60,0.787,48.80
12.368,135.60,0.786,48.80
12.388,135.60,0.785,48.70
12.409,135.60,0.783,48.60
12.429,135.60,0.781,48.40
12.446,135.60,0.781,48.30
12.466,135.60,0.78,48.10
12.486,135.60,0.779,48.00
12.506,135.60,0.778,47.90
12.528,135.60,0.775,47.80
12.548,135.60,0.774,47.60
12.568,135.60,0.772,47.30
12.585,135.60,0.77,47.20
12.605,135.60,0.768,47.00
12.626,135.60,0.765,46.70
12.646,135.60,0.763,46.50
12.667,135.60,0.762,46.20
12.687,135.60,0.759,46.00
12.708,135.70,0.756,45.80
12.727,135.70,0.753,45.50
12.749,135.70,0.75,45.30
12.765,135.70,0.748,45.20
12.786,135.80,0.745,45.10
12.806,135.80,0.742,45.10
12.827,135.90,0.737,45.10
12.847,135.90,0.735,45.10
12.868,136.00,0.731,44.90
12.888,136.00,0.729,44.80
12.904,136.10,0.725,44.80
12.924,136.20,0.721,44.90
12.945,136.20,0.719,44.90
12.965,136.30,0.715,44.90
12.986,136.40,0.71,44.90
13.007,136.40,0.708,44.80
13.027,136.50,0.704,44.70
13.043,136.60,0.701,44.70
13.064,136.70,0.697,44.80
13.084,136.80,0.692,44.90
13.105,136.80,0.688,44.90
13.125,136.90,0.686,44.90
13.146,137.00,0.682,44.80
13.166,137.10,0.679,44.80
13.186,137.10,0.675,44.80
13.207,137.20,0.671,44.80
13.227,137.30,0.668,44.80
13.244,137.40,0.664,44.80
13.265,137.40,0.662,44.80
13.285,137.50,0.659,44.80
13.306,137.60,0.655,44.80
13.326,137.70,0.652,44.80
13.346,137.80,0.649,44.80
13.367,137.80,0.647,44.70
13.387,137.90,0.643,44.70
13.403,138.00,0.64,44.70
13.425,138.00,0.637,44.70
13.445,138.10,0.633,44.70
13.465,138.20,0.63,44.70
13.486,138.30,0.626,44.60
13.506,138.40,0.621,44.50
13.527,138.50,0.618,44.40
13.543,138.60,0.613,44.40
13.564,138.80,0.608,44.40
13.584,138.90,0.604,44.40
13.605,139.10,0.6,44.60
13.626,139.20,0.594,44.80
13.646,139.30,0.591,44.80
13.666,139.40,0.586,44.60
13.682,139.60,0.58,44.60
13.703,139.70,0.575,44.50
13.724,139.90,0.571,44.30
13.744,140.00,0.567,44.40
13.764,140.20,0.563,44.60
13.785,140.30,0.558,44.60
13.805,140.40,0.553,44.50
13.825,140.60,0.548,44.40
13.845,140.80,0.544,44.30
13.862,140.90,0.542,44.50
13.883,141.10,0.537,44.70
13.904,141.20,0.532,44.90
13.924,141.30,0.528,44.70
13.945,141.40,0.525,44.40
13.965,141.60,0.521,44.20
13.986,141.70,0.516,44.30
14.002,141.90,0.511,44.20
14.022,142.00,0.509,44.10
14.043,142.20,0.506,44.30
14.063,142.40,0.503,44.70
14.084,142.50,0.499,44.80
14.104,142.60,0.495,44.70
14.125,142.80,0.492,44.60
14.146,142.90,0.488,44.50
14.162,143.00,0.486,44.40
14.183,143.10,0.484,44.40
14.203,143.30,0.481,44.50
14.223,143.40,0.477,44.50
14.243,143.50,0.475,44.40
14.263,143.70,0.472,44.30
14.284,143.80,0.47,44.50
14.305,143.90,0.467,44.80
14.322,144.10,0.464,44.80
14.342,144.10,0.462,44.80
14.362,144.20,0.46,44.70
14.383,144.30,0.459,44.60
14.403,144.40,0.456,44.50
