time,length,pressure,force
3.906,,-0.002,44.80
3.908,263.80,-0.003,44.80
3.925,263.80,-0.002,44.80
3.941,263.80,-0.003,44.80
3.951,263.80,-0.003,44.80
3.958,263.80,-0.003,44.80
3.976,263.80,-0.003,44.80
3.985,263.80,-0.003,44.80
4.001,263.80,-0.003,44.80
4.011,263.80,-0.003,44.80
4.025,263.80,-0.002,44.80
4.027,263.80,-0.003,44.80
4.05,263.80,-0.002,44.80
4.059,263.80,-0.003,44.80
4.074,263.80,-0.003,44.80
4.086,263.80,-0.003,44.80
4.096,263.80,-0.002,44.80
4.111,263.80,-0.003,44.80
4.119,263.80,-0.003,44.80
4.131,263.80,-0.002,44.80
4.142,263.80,-0.003,44.80
4.154,263.80,-0.003,44.80
4.167,263.80,-0.003,44.80
4.179,263.80,-0.003,44.80
4.179,263.80,-0.002,44.80
4.205,263.80,-0.002,44.80
4.216,263.80,-0.003,44.80
4.228,263.80,-0.003,44.80
4.228,263.80,-0.003,44.80
4.246,263.80,-0.002,44.80
4.263,263.80,-0.003,44.80
4.279,263.80,-0.003,44.80
4.289,263.80,-0.003,44.80
4.3,263.80,-0.002,44.80
4.304,263.80,-0.002,44.80
4.323,263.80,-0.002,44.80
4.334,263.80,-0.003,44.80
4.347,263.80,-0.002,44.80
4.36,263.80,-0.003,44.80
4.372,263.80,-0.003,44.80
4.384,263.80,-0.003,44.80
4.394,263.80,-0.002,44.80
4.407,263.80,-0.003,44.80
4.407,263.80,-0.002,44.80
4.434,263.80,-0.002,44.80
4.443,263.80,-0.002,44.80
4.456,263.80,-0.003,44.80
4.471,263.80,-0.002,44.80
4.473,263.80,-0.002,44.80
4.49,263.80,-0.003,44.80
4.505,263.80,-0.002,44.80
4.506,263.80,-0.003,44.80
4.529,263.80,-0.002,44.80
4.543,263.80,-0.002,44.80
4.553,263.80,-0.003,44.80
4.564,263.80,-0.002,44.80
4.576,263.80,-0.003,44.80
4.589,263.80,-0.003,44.80
4.602,263.80,-0.003,44.80
4.614,263.80,-0.002,44.80
4.614,263.80,-0.002,44.80
4.631,263.80,-0.003,44.80
4.651,263.80,-0.003,44.80
4.663,263.80,-0.003,44.80
4.673,263.80,-0.003,44.80
4.679,263.80,-0.003,44.80
4.698,263.80,-0.003,44.80
4.706,263.80,-0.002,44.80
4.713,263.80,-0.002,44.80
4.73,263.80,-0.003,44.90
4.749,263.80,-0.003,44.80
4.758,263.80,-0.002,44.80
4.765,263.80,-0.003,44.90
4.781,263.80,-0.003,44.90
4.793,263.80,-0.002,44.90
4.806,263.80,-0.003,44.90
4.818,263.80,-0.003,44.90
4.822,263.80,-0.002,44.90
4.843,263.80,-0.002,44.90
4.855,263.80,-0.002,44.90
4.855,263.80,-0.002,44.90
4.873,263.80,-0.003,44.90
4.886,263.80,-0.003,44.90
4.886,263.80,-0.002,44.90
4.913,263.80,-0.003,44.90
4.918,263.80,-0.002,44.90
4.935,263.80,-0.002,44.90
4.953,263.80,-0.003,44.90
4.962,263.80,-0.002,44.90
4.975,263.80,-0.002,44.90
4.986,263.80,-0.003,44.90
4.999,263.80,-0.002,44.90
5.011,263.80,-0.003,44.90
5.024,263.80,-0.003,44.90
5.036,263.80,-0.003,44.90
5.048,263.80,-0.002,44.90
5.062,263.80,-0.003,44.90
5.068,263.80,-0.003,44.90
5.086,263.80,-0.003,45.00
5.095,263.80,-0.003,45.00
5.106,263.80,-0.002,45.00
5.117,263.80,-0.003,44.90
5.127,263.80,-0.003,45.00
5.134,263.80,-0.003,45.00
5.153,263.80,-0.003,45.00
5.171,263.80,-0.002,45.00
5.179,263.80,-0.002,45.00
5.179,263.80,-0.002,45.00
5.203,263.80,-0.002,45.00
5.215,263.80,-0.003,45.00
5.228,263.80,-0.003,45.00
5.24,263.80,-0.003,45.00
5.248,263.80,-0.002,45.00
5.256,263.80,-0.002,45.00
5.274,263.80,-0.003,45.00
5.289,263.80,-0.002,45.00
5.298,263.80,-0.002,45.00
5.306,263.80,-0.003,45.00
5.323,263.80,-0.003,45.00
5.332,263.80,-0.002,45.00
5.339,263.80,-0.003,45.00
5.359,263.80,-0.003,45.00
5.369,263.80,-0.002,45.00
5.387,263.80,-0.003,45.00
5.396,263.80,-0.002,45.00
5.408,263.80,-0.003,45.00
5.42,263.80,-0.002,45.00
5.432,263.80,-0.002,45.00
5.444,263.80,-0.003,45.00
5.457,263.80,-0.002,45.00
5.46,263.80,-0.003,45.00
5.482,263.80,-0.002,45.00
5.485,263.80,-0.003,45.00
5.502,263.80,-0.003,45.00
5.512,263.80,-0.002,45.00
5.519,263.80,-0.003,45.00
5.537,263.80,-0.003,45.00
