time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length
10.028,222.4,0.422,46.0,0.0,0.422,222.4,46.0,,,,,220.27922925166595,
10.048,222.4,0.423,47.0,0.019999999999999574,0.423,222.4,47.0,,,,,220.31811667636057,
10.065,222.4,0.424,47.4,0.036999999999999034,0.424,222.4,47.4,,,,,220.30751574924565,
10.086,222.3,0.427,48.0,0.05799999999999983,0.427,222.3,48.0,,,,,220.22587058956395,
10.106,222.2,0.431,48.4,0.0779999999999994,0.431,222.2,48.4,,,,,220.08271707239703,
10.127,222.1,0.433,49.3,0.0990000000000002,0.433,222.1,49.3,,,,,220.06971839071426,
10.146,221.8,0.435,49.4,0.11800000000000033,0.435,221.8,49.4,,,,,219.98908275062942,
10.167,221.6,0.438,49.3,0.13899999999999935,0.438,221.6,49.3,,,,,219.8459821566451,
10.188,221.3,0.442,49.3,0.16000000000000014,0.442,221.3,49.3,,,,,219.66470788929226,
10.208,221.0,0.445,49.1,0.17999999999999972,0.445,221.0,49.1,,,,,219.51003040216574,
10.229,220.8,0.446,48.9,0.20099999999999874,0.446,220.8,48.9,,,,,219.4465326101217,
10.245,220.6,0.451,48.7,0.21699999999999875,0.451,220.6,48.7,,,,,219.19645750173476,
10.266,220.4,0.455,48.7,0.23799999999999955,0.455,220.4,48.7,,,,,219.00806802393163,
10.287,220.3,0.456,49.1,0.25900000000000034,0.456,220.3,49.1,,,,,218.9963917703318,
10.31,220.0,0.462,49.6,0.28200000000000003,0.462,220.0,49.6,,,,,218.75502740843163,
10.328,219.8,0.464,49.7,0.29999999999999893,0.464,219.8,49.7,,,,,218.66777161850032,
10.348,219.5,0.468,49.6,0.3200000000000003,0.468,219.5,49.6,,,,,218.46445697421603,
10.368,219.2,0.472,49.5,0.33999999999999986,0.472,219.2,49.5,,,,,218.25893820055734,
10.385,218.9,0.476,49.3,0.3569999999999993,0.476,218.9,49.3,,,,,218.04186045329294,
10.402,218.7,0.479,49.3,0.3739999999999988,0.479,218.7,49.3,,,,,217.89162175216876,
10.426,218.5,0.484,49.2,0.3979999999999997,0.484,218.5,49.2,,,,,217.62915710333448,
10.441,218.2,0.489,49.2,0.41300000000000026,0.489,218.2,49.2,,,,,217.3729391324319,
10.463,218.0,0.493,49.7,0.4349999999999987,0.493,218.0,49.7,,,,,217.21426323662416,
10.488,217.7,0.497,49.8,0.4599999999999991,0.497,217.7,49.8,,,,,217.0151972443941,
10.508,217.5,0.5,49.8,0.47999999999999865,0.5,217.5,49.8,,,,,216.85728086928393,
10.528,217.2,0.504,49.7,0.5,0.504,217.2,49.7,,,,,216.6350012698929,
10.544,217.0,0.51,49.5,0.516,0.51,217.0,49.5,,,,,216.29240958907192,
10.565,216.7,0.515,49.6,0.536999999999999,0.515,216.7,49.6,,,,,216.03019321944564,
10.585,216.4,0.52,50.2,0.5570000000000004,0.52,216.4,50.2,,,,,215.81644425211002,
10.606,216.1,0.523,50.3,0.5779999999999994,0.523,216.1,50.3,,,,,215.6603692661041,
10.626,215.9,0.527,50.0,0.597999999999999,0.527,215.9,50.0,,,,,215.4054874645628,
10.646,215.6,0.532,49.5,0.6180000000000003,0.532,215.6,49.5,,,,,215.07009942095172,
10.668,215.4,0.537,49.3,0.6399999999999988,0.537,215.4,49.3,,,,,214.76241461418311,
10.687,215.2,0.544,49.6,0.6589999999999989,0.544,215.2,49.6,,,,,214.38829076393557,
10.708,215.0,0.547,50.2,0.6799999999999997,0.547,215.0,50.2,,,,,214.2775294767567,
10.725,214.7,0.552,50.4,0.6969999999999992,0.552,214.7,50.4,,,,,214.00431720612872,
10.745,214.5,0.555,50.2,0.7169999999999987,0.555,214.5,50.2,,,,,213.80378032774533,
10.765,214.2,0.56,50.3,0.7370000000000001,0.56,214.2,50.3,,,,,213.51469721617417,
10.786,213.9,0.566,49.8,0.7579999999999991,0.566,213.9,49.8,,,,,213.0940326845227,
10.806,213.7,0.571,49.5,0.7779999999999987,0.571,213.7,49.5,,,,,212.75225792374823,
10.827,213.5,0.577,49.7,0.7989999999999995,0.577,213.5,49.7,,,,,212.40154884133693,
10.847,213.3,0.582,50.0,0.8189999999999991,0.582,213.3,50.0,,,,,212.1216696841273,
10.862,213.1,0.586,50.4,0.8339999999999996,0.586,213.1,50.4,,,,,211.91463812165864,
10.879,212.9,0.591,50.4,0.8509999999999991,0.591,212.9,50.4,,,,,211.59495377341418,
10.906,212.7,0.596,50.0,0.8780000000000001,0.596,212.7,50.0,,,,,211.2244671119449,
10.927,212.5,0.6,50.0,0.8989999999999991,0.6,212.5,50.0,,,,,210.96355295969772,
10.946,212.3,0.604,50.3,0.9179999999999993,0.604,212.3,50.3,,,,,210.73684448119678,
10.966,212.1,0.609,50.2,0.9379999999999988,0.609,212.1,50.2,,,,,210.39344252284837,
10.987,211.8,0.615,50.0,0.9589999999999996,0.615,211.8,50.0,,,,,209.96703308799874,
11.006,211.6,0.621,49.9,0.9779999999999998,0.621,211.6,49.9,,,,,209.5479807220343,
11.024,211.4,0.625,50.1,0.9959999999999987,0.625,211.4,50.1,,,,,209.29934631892885,
11.044,211.2,0.629,50.1,1.016,0.629,211.2,50.1,,,,,209.0237903544146,
11.064,211.1,0.635,50.1,1.0359999999999996,0.635,211.1,50.1,,,,,208.60664760748065,
11.085,210.9,0.64,50.2,1.0570000000000004,0.64,210.9,50.2,,,,,208.26838619808385,
11.106,210.7,0.644,50.0,1.0779999999999994,0.644,210.7,50.0,,,,,207.95942751925722,
11.126,210.5,0.648,50.1,1.097999999999999,0.648,210.5,50.1,,,,,207.687158761788,
11.144,210.4,0.654,50.1,1.1159999999999997,0.654,210.4,50.1,,,,,207.2555425742364,
11.157,210.2,0.658,50.1,1.1289999999999996,0.658,210.2,50.1,,,,,206.9652592490936,
11.185,210.1,0.66,50.2,1.157,0.66,210.1,50.2,,,,,206.8326325148273,
11.205,209.9,0.668,50.1,1.1769999999999996,0.668,209.9,50.1,,,,,206.2306637358574,
11.224,209.8,0.671,50.2,1.1959999999999997,0.671,209.8,50.2,,,,,206.02132130811242,
11.245,209.6,0.676,50.6,1.2169999999999987,0.676,209.6,50.6,,,,,205.70192388814593,
11.265,209.4,0.679,50.5,1.237,0.679,209.4,50.5,,,,,205.46266692749992,
11.286,209.3,0.684,50.2,1.2579999999999991,0.684,209.3,50.2,,,,,205.04269321205868,
11.306,209.1,0.69,50.0,1.2779999999999987,0.69,209.1,50.0,,,,,204.55594371121737,
11.322,209.0,0.692,50.0,1.2939999999999987,0.692,209.0,50.0,,,,,204.401872074086,
