time,length,pressure,force
3.906,264.30,-0.002,84.10
3.938,264.30,-0.002,84.10
3.949,264.30,-0.002,84.10
3.956,264.30,-0.002,84.10
3.973,264.30,-0.002,84.10
3.991,264.30,-0.002,84.10
4.001,264.30,-0.002,84.00
4.001,264.30,-0.002,84.10
4.035,264.30,-0.002,84.10
4.046,264.30,-0.002,84.10
4.046,264.30,-0.002,84.10
4.072,264.30,-0.002,84.10
4.081,264.30,-0.002,84.10
4.097,264.30,-0.002,84.00
4.108,264.30,-0.002,84.10
4.132,264.30,-0.002,84.10
4.144,264.30,-0.002,84.10
4.156,264.30,-0.002,84.10
4.169,264.30,-0.002,84.10
4.181,264.30,-0.002,84.10
4.194,264.30,-0.002,84.00
4.194,264.30,-0.002,84.10
4.21,264.30,-0.002,84.00
4.226,264.30,-0.002,84.00
4.226,264.30,-0.002,84.00
4.252,264.30,-0.002,84.00
4.261,264.30,-0.002,84.00
4.275,264.30,-0.001,84.00
4.289,264.30,-0.002,84.10
4.289,264.30,-0.002,84.10
4.306,264.30,-0.002,84.10
4.325,264.30,-0.002,84.00
4.339,264.30,-0.002,84.00
4.349,264.30,-0.002,84.00
4.359,264.30,-0.002,84.00
4.359,264.30,-0.003,84.10
4.386,264.30,-0.002,84.00
4.398,264.30,-0.002,84.00
4.41,264.30,-0.002,84.00
4.423,264.30,-0.002,84.00
4.432,264.30,-0.003,84.00
4.438,264.30,-0.002,84.00
4.455,264.30,-0.002,84.00
4.47,264.30,-0.002,84.00
4.475,264.30,-0.002,84.00
4.487,264.30,-0.002,84.00
4.503,264.30,-0.002,84.10
4.519,264.30,-0.002,84.00
4.529,264.30,-0.002,84.00
4.536,264.30,-0.002,84.00
4.557,264.30,-0.002,84.00
4.567,264.30,-0.002,84.00
4.577,264.30,-0.002,84.00
4.59,264.30,-0.002,84.00
4.603,264.30,-0.002,84.00
4.615,264.30,-0.002,84.00
4.624,264.30,-0.002,84.00
4.629,264.30,-0.002,84.00
4.645,264.30,-0.002,84.00
4.661,264.30,-0.003,84.00
4.671,264.30,-0.002,84.00
4.678,264.30,-0.002,84.10
4.696,264.30,-0.002,84.00
4.711,264.30,-0.002,84.00
4.721,264.30,-0.002,84.00
4.731,264.30,-0.002,84.00
4.745,264.30,-0.002,84.00
4.745,264.30,-0.002,84.00
4.772,264.30,-0.002,84.00
4.784,264.30,-0.002,84.10
4.795,264.30,-0.003,84.00
4.808,264.30,-0.002,84.00
4.816,264.30,-0.002,84.00
4.829,264.30,-0.002,84.00
4.835,264.30,-0.002,84.00
4.852,264.30,-0.002,84.00
4.867,264.30,-0.002,84.00
4.872,264.30,-0.002,84.00
4.882,264.30,-0.002,84.00
4.9,264.30,-0.002,84.00
4.917,264.30,-0.001,84.00
4.92,264.30,-0.002,84.00
4.941,264.30,-0.002,84.00
4.946,264.30,-0.002,84.00
4.962,264.30,-0.002,84.00
4.973,264.30,-0.002,84.00
4.99,264.30,-0.002,84.00
5.001,264.30,-0.002,84.00
5.013,264.30,-0.002,84.00
5.02,264.30,-0.002,84.00
5.033,264.30,-0.003,84.00
5.045,264.30,-0.002,84.00
5.055,264.30,-0.003,84.00
5.071,264.30,-0.002,84.00
5.082,264.30,-0.002,84.00
5.092,264.30,-0.002,84.00
5.103,264.30,-0.002,84.00
5.12,264.30,-0.002,84.00
5.13,264.30,-0.002,84.00
5.145,264.30,-0.002,84.00
5.152,264.30,-0.002,84.00
5.17,264.30,-0.002,84.00
5.179,264.30,-0.002,84.00
5.189,264.30,-0.002,84.00
5.208,264.30,-0.002,84.00
5.218,264.30,-0.002,84.00
5.225,264.30,-0.002,84.00
5.238,264.30,-0.002,84.00
5.25,264.30,-0.001,84.00
5.263,264.30,-0.002,84.00
5.275,264.30,-0.002,84.00
5.283,264.30,-0.002,84.00
5.3,264.30,-0.002,84.00
5.309,264.30,-0.002,84.00
5.319,264.30,-0.002,84.00
5.335,264.30,-0.003,84.00
