time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length
10.003,221.4,0.422,42.6,0.0,0.422,221.4,42.6,,,,,219.39515680574675,
10.02,221.4,0.423,42.7,0.01699999999999946,0.423,221.4,42.7,,,,,219.35852928475947,
10.029,221.4,0.421,42.8,0.0259999999999998,0.421,221.4,42.8,,,,,219.45753302466875,
10.037,221.4,0.422,42.8,0.034000000000000696,0.422,221.4,42.8,,,,,219.4124222516808,
10.057,221.4,0.423,42.9,0.05400000000000027,0.423,221.4,42.9,,,,,219.37583566281913,
10.068,221.4,0.423,43.0,0.0649999999999995,0.423,221.4,43.0,,,,,219.38448766518988,
10.068,221.4,0.424,43.1,0.0649999999999995,0.424,221.4,43.1,,,,,219.34783465627208,
10.093,221.4,0.426,43.3,0.08999999999999986,0.426,221.4,43.3,,,,,219.27426798007977,
10.105,221.4,0.427,43.6,0.10200000000000031,0.427,221.4,43.6,,,,,219.25481967273097,
10.117,221.4,0.429,44.1,0.11400000000000077,0.429,221.4,44.1,,,,,219.20712844704641,
10.13,221.4,0.432,45.0,0.12700000000000067,0.432,221.4,45.0,,,,,219.14862863794502,
10.142,221.3,0.433,45.9,0.13899999999999935,0.433,221.3,45.9,,,,,219.18217398748814,
10.155,221.3,0.437,46.6,0.15199999999999925,0.437,221.3,46.6,,,,,219.05988635318818,
10.166,221.3,0.439,47.4,0.16300000000000026,0.439,221.3,47.4,,,,,219.03871686169538,
10.178,221.3,0.44,48.4,0.1750000000000007,0.44,221.3,48.4,,,,,219.08201109508315,
10.181,221.2,0.444,49.2,0.17799999999999905,0.444,221.2,49.2,,,,,218.96820062790883,
10.201,221.1,0.448,49.9,0.1980000000000004,0.448,221.1,49.9,,,,,218.8445141849759,
10.214,221.0,0.449,50.8,0.2110000000000003,0.449,221.0,50.8,,,,,218.87975554073122,
10.231,220.8,0.453,51.5,0.22799999999999976,0.453,220.8,51.5,,,,,218.75551276662543,
10.247,220.6,0.456,51.6,0.24399999999999977,0.456,220.6,51.6,,,,,218.62228169684658,
10.263,220.5,0.46,51.8,0.2599999999999998,0.46,220.5,51.8,,,,,218.44928275482374,
10.28,220.2,0.464,52.0,0.27699999999999925,0.464,220.2,52.0,,,,,218.2745630134696,
10.313,220.0,0.467,52.4,0.3100000000000005,0.467,220.0,52.4,,,,,218.16617780079548,
10.333,219.7,0.471,52.4,0.33000000000000007,0.471,219.7,52.4,,,,,217.96946168507404,
10.353,219.5,0.472,52.2,0.34999999999999964,0.472,219.5,52.2,,,,,217.90072186230995,
10.373,219.3,0.477,52.2,0.3699999999999992,0.477,219.3,52.2,,,,,217.6510773888304,
10.386,219.1,0.482,52.3,0.3829999999999991,0.482,219.1,52.3,,,,,217.40805028405768,
10.414,218.8,0.487,52.5,0.4109999999999996,0.487,218.8,52.5,,,,,217.17195703220617,
10.423,218.6,0.489,52.7,0.41999999999999993,0.489,218.6,52.7,,,,,217.08871160092446,
10.451,218.3,0.494,52.9,0.4480000000000004,0.494,218.3,52.9,,,,,216.8488334366964,
10.468,218.1,0.497,52.7,0.46499999999999986,0.497,218.1,52.7,,,,,216.67109654623243,
10.483,217.8,0.501,52.6,0.4800000000000004,0.501,217.8,52.6,,,,,216.4489690702202,
10.509,217.5,0.508,52.6,0.5060000000000002,0.508,217.5,52.6,,,,,216.07305404446552,
