time,length,pressure,force
10.004,221.90,0.417,42.60
10.02,221.90,0.417,42.40
10.02,221.90,0.417,42.40
10.042,221.90,0.418,42.60
10.054,221.90,0.417,42.70
10.067,221.90,0.418,42.80
10.076,221.90,0.418,42.80
10.091,221.90,0.42,42.90
10.103,221.90,0.418,43.00
10.115,221.90,0.42,43.20
10.128,221.90,0.421,43.30
10.139,221.90,0.421,43.50
10.152,221.90,0.421,43.60
10.155,221.90,0.422,43.80
10.173,221.90,0.421,43.90
10.189,221.90,0.422,44.00
10.193,221.90,0.423,44.20
10.213,221.90,0.424,44.50
10.219,221.80,0.427,44.80
10.237,221.80,0.432,45.40
10.246,221.60,0.433,46.40
10.254,221.50,0.434,47.10
10.272,221.30,0.437,46.60
10.28,221.10,0.44,46.50
10.291,220.90,0.443,46.80
10.311,220.70,0.446,46.90
10.32,220.40,0.45,46.90
10.332,220.20,0.451,47.20
10.344,220.00,0.451,47.10
10.356,219.80,0.459,46.30
10.369,219.60,0.464,46.30
10.382,219.40,0.465,47.20
10.391,219.10,0.467,47.80
10.398,218.80,0.471,47.70
10.415,218.50,0.481,47.50
10.431,218.30,0.484,46.70
10.435,218.00,0.486,46.70
10.447,217.80,0.488,46.70
10.463,217.50,0.49,47.40
10.463,217.30,0.498,47.50
10.495,217.00,0.506,47.10
10.513,216.80,0.51,47.20
10.535,216.50,0.508,47.60
10.555,216.30,0.511,47.80
10.576,216.00,0.517,47.40
10.596,215.80,0.522,47.40
10.603,215.60,0.528,47.10
10.633,215.40,0.533,47.40
10.651,215.20,0.538,48.00
10.662,214.90,0.544,48.50
10.694,214.50,0.547,48.60
10.713,214.20,0.55,48.10
10.736,214.00,0.556,47.30
10.756,213.80,0.563,47.10
10.776,213.60,0.567,47.70
10.797,213.40,0.571,48.10
10.813,213.20,0.575,48.10
10.822,213.00,0.581,48.00
10.854,212.80,0.586,48.10
10.875,212.50,0.593,48.40
10.893,212.30,0.597,48.80
10.915,212.00,0.602,48.50
10.935,211.80,0.607,48.20
10.952,211.60,0.611,48.30
10.972,211.40,0.614,48.10
10.993,211.20,0.621,48.10
11.013,211.10,0.627,48.30
11.033,211.00,0.631,48.40
11.054,210.80,0.635,48.80
11.075,210.60,0.64,49.00
11.094,210.40,0.647,49.00
11.116,210.10,0.653,49.20
11.132,209.90,0.657,49.10
11.153,209.70,0.662,48.70
11.173,209.60,0.665,48.30
11.194,209.50,0.671,48.40
11.213,209.40,0.675,48.80
11.234,209.20,0.68,49.30
11.255,209.10,0.682,49.40
11.271,208.90,0.687,49.20
11.292,208.70,0.692,49.10
11.312,208.60,0.697,49.10
11.333,208.50,0.702,49.00
11.353,208.30,0.707,49.00
11.374,208.20,0.709,49.10
11.395,208.10,0.713,49.30
11.415,208.00,0.717,49.20
11.431,207.80,0.724,49.30
11.451,207.70,0.726,49.50
11.472,207.60,0.729,49.40
11.493,207.50,0.734,49.30
11.513,207.40,0.737,49.30
11.533,207.30,0.741,49.40
11.554,207.20,0.743,49.40
11.575,207.10,0.747,49.10
11.591,207.00,0.75,49.20
11.611,207.00,0.754,49.50
11.632,206.90,0.757,49.70
11.652,206.80,0.761,49.90
11.673,206.70,0.763,49.80
11.693,206.60,0.764,49.50
11.713,206.50,0.769,49.40
11.73,206.50,0.772,49.40
11.75,206.40,0.775,49.50
11.772,206.30,0.776,49.80
11.792,206.30,0.776,50.00
11.812,206.20,0.779,49.70
11.832,206.10,0.783,49.30
11.853,206.10,0.784,49.30
11.873,206.10,0.786,49.50
11.89,206.00,0.787,49.80
11.91,206.00,0.79,49.80
11.931,205.90,0.791,49.70
11.952,205.90,0.792,49.50
11.972,205.90,0.795,49.50
11.992,205.80,0.796,49.50
12.013,205.80,0.796,49.60
12.034,205.80,0.798,49.50
12.049,205.70,0.798,49.50
12.07,205.70,0.798,49.50
12.091,205.70,0.8,49.40
12.111,205.70,0.8,49.30
12.131,205.70,0.8,49.40
12.152,205.70,0.801,49.50
12.172,205.70,0.801,49.50
12.193,205.60,0.802,49.40
12.214,205.60,0.802,49.40
12.23,205.60,0.801,49.40
12.25,205.60,0.801,49.20
12.271,205.60,0.801,49.10
12.291,205.60,0.801,49.10
