time,length,pressure,force
10.038,182.50,0.429,46.40
10.058,182.50,0.432,46.50
10.078,182.50,0.433,46.70
10.096,182.50,0.435,47.20
10.116,182.50,0.438,47.70
10.137,182.40,0.44,48.30
10.157,182.40,0.443,48.90
10.177,182.30,0.445,49.50
10.198,182.10,0.448,49.80
10.219,181.90,0.45,49.80
10.239,181.70,0.454,49.70
10.256,181.40,0.456,49.60
10.276,181.20,0.461,49.40
10.296,181.00,0.465,49.10
10.316,180.70,0.468,49.50
10.338,180.50,0.471,49.50
10.358,180.30,0.476,49.50
10.378,180.00,0.481,49.50
10.395,179.80,0.483,49.80
10.415,179.60,0.486,49.70
10.436,179.30,0.492,49.50
10.456,179.10,0.495,49.70
10.477,178.90,0.498,49.80
10.497,178.70,0.503,49.60
10.518,178.50,0.51,49.80
10.538,178.20,0.515,50.10
10.554,177.90,0.519,50.50
10.575,177.60,0.523,50.20
10.59,177.30,0.528,49.40
10.616,177.10,0.532,49.60
10.636,176.80,0.534,49.80
10.656,176.60,0.539,49.40
10.677,176.40,0.545,49.20
10.698,176.30,0.548,49.50
10.715,176.10,0.553,49.90
10.734,175.90,0.559,49.80
10.755,175.70,0.564,49.90
10.776,175.40,0.57,50.40
10.796,175.20,0.574,50.30
10.817,174.90,0.578,49.80
10.837,174.70,0.585,49.50
10.857,174.50,0.588,49.50
10.878,174.30,0.593,49.50
10.895,174.20,0.597,49.50
10.915,174.00,0.604,49.70
10.936,173.80,0.61,50.10
10.956,173.60,0.614,50.40
10.976,173.30,0.619,50.20
10.997,173.10,0.625,49.90
11.017,172.90,0.629,49.70
11.034,172.70,0.635,49.50
11.054,172.50,0.64,49.10
11.075,172.40,0.643,49.20
11.095,172.30,0.649,49.50
11.116,172.20,0.653,49.70
11.133,172.00,0.658,50.00
11.156,171.80,0.662,50.20
11.177,171.70,0.665,49.90
11.193,171.50,0.673,49.70
11.214,171.30,0.675,49.80
11.234,171.20,0.679,49.70
11.254,171.00,0.686,49.30
11.275,170.90,0.691,49.50
11.296,170.80,0.696,49.80
11.316,170.60,0.698,49.80
11.337,170.50,0.702,49.60
11.357,170.40,0.707,49.40
11.375,170.30,0.709,49.60
11.395,170.20,0.714,49.50
11.415,170.10,0.719,49.40
11.435,170.00,0.723,49.80
11.455,169.90,0.725,50.00
11.476,169.70,0.729,49.80
11.494,169.60,0.735,49.70
11.517,169.50,0.74,49.70
11.533,169.40,0.742,49.80
11.552,169.30,0.745,49.80
11.574,169.30,0.747,49.50
11.595,169.20,0.751,49.50
11.615,169.10,0.753,49.60
11.635,169.10,0.757,49.60
11.655,169.00,0.759,49.70
11.673,169.00,0.762,49.90
11.692,168.90,0.764,49.90
11.714,168.80,0.767,49.90
11.734,168.70,0.77,49.90
11.754,168.70,0.772,49.90
11.775,168.60,0.774,49.80
11.795,168.60,0.775,49.70
11.816,168.50,0.778,49.70
11.833,168.50,0.78,49.70
11.852,168.50,0.783,49.80
11.874,168.40,0.784,50.00
11.894,168.40,0.786,50.00
11.914,168.30,0.787,50.00
11.935,168.30,0.789,49.90
11.955,168.20,0.791,49.80
11.971,168.20,0.792,49.80
11.992,168.20,0.792,49.70
12.013,168.10,0.795,49.70
12.033,168.10,0.795,49.60
12.054,168.10,0.796,49.60
12.074,168.10,0.796,49.60
12.094,168.10,0.796,49.60
12.114,168.10,0.796,49.60
12.135,168.00,0.797,49.60
12.153,168.00,0.797,49.50
12.172,168.00,0.797,49.50
12.193,168.00,0.798,49.50
12.213,168.00,0.797,49.40
12.233,168.00,0.797,49.50
12.255,168.00,0.797,49.50
12.275,168.00,0.798,49.40
12.291,168.00,0.797,49.40
12.311,168.00,0.798,49.40
12.332,168.00,0.797,49.30
12.352,168.00,0.795,49.20
12.373,168.00,0.795,49.10
12.393,168.00,0.792,49.00
12.414,168.00,0.791,48.90
12.433,168.00,0.791,48.80
12.454,168.00,0.789,48.60
12.471,168.00,0.787,48.40
12.491,168.00,0.785,48.20
12.512,168.00,0.784,48.00
12.532,168.00,0.784,47.90
12.553,168.00,0.781,47.70
12.573,168.00,0.779,47.50
12.593,168.00,0.776,47.30
12.614,168.00,0.775,47.00
12.631,168.10,0.773,46.70
12.651,168.10,0.769,46.50
12.672,168.10,0.768,46.30
12.692,168.10,0.764,46.20
12.713,168.20,0.762,46.00
12.733,168.20,0.759,46.00
12.753,168.30,0.756,46.00
12.77,168.40,0.753,45.90
12.791,168.40,0.75,45.80
12.811,168.50,0.746,45.80
12.833,168.60,0.743,45.80
12.853,168.60,0.74,45.70
12.873,168.70,0.736,45.60
12.893,168.80,0.734,45.60
12.913,168.80,0.73,45.40
12.934,168.90,0.726,45.30
12.949,169.00,0.723,45.30
12.971,169.10,0.719,45.30
12.992,169.20,0.717,45.30
13.012,169.30,0.713,45.40
13.032,169.40,0.709,45.40
13.052,169.50,0.706,45.40
13.073,169.50,0.703,45.40
13.09,169.60,0.699,45.30
13.11,169.70,0.696,45.20
13.13,169.80,0.692,45.20
13.151,169.90,0.69,45.10
13.172,170.00,0.687,45.20
13.192,170.10,0.682,45.20
13.212,170.20,0.676,45.10
13.232,170.30,0.674,45.00
13.249,170.40,0.669,44.80
13.269,170.60,0.665,44.80
13.291,170.80,0.66,44.90
13.311,170.90,0.653,45.10
13.331,171.10,0.651,44.90
13.352,171.30,0.646,44.90
13.372,171.40,0.64,45.30
13.392,171.60,0.635,45.20
13.409,171.70,0.63,45.00
13.43,171.90,0.625,45.00
13.45,172.10,0.619,45.00
13.471,172.20,0.615,44.80
13.491,172.40,0.609,44.80
13.512,172.70,0.604,44.80
13.532,172.90,0.6,44.90
13.55,173.00,0.597,45.20
13.57,173.20,0.591,45.50
13.59,173.40,0.585,45.30
13.61,173.60,0.581,44.90
13.631,173.80,0.576,45.00
13.651,174.00,0.57,45.00
13.671,174.20,0.565,45.00
13.691,174.40,0.563,44.90
13.712,174.60,0.555,45.30
13.728,174.80,0.55,45.50
13.749,175.00,0.547,45.00
13.77,175.20,0.543,44.90
13.79,175.40,0.538,45.00
13.811,175.60,0.533,44.80
13.831,175.80,0.53,44.70
13.851,176.10,0.526,44.70
13.871,176.30,0.522,45.10
13.889,176.50,0.517,45.40
13.909,176.70,0.512,45.10
13.929,176.90,0.509,45.00
13.948,177.10,0.505,45.00
13.97,177.30,0.5,44.90
13.99,177.50,0.497,44.80
14.012,177.80,0.492,44.80
14.031,178.00,0.489,44.60
14.048,178.30,0.486,45.10
14.069,178.50,0.482,45.50
14.089,178.60,0.477,45.50
14.11,178.80,0.475,45.10
14.13,179.00,0.472,45.00
14.151,179.10,0.47,45.00
14.171,179.30,0.466,44.80
14.191,179.50,0.464,44.60
14.208,179.80,0.461,44.80
14.228,179.90,0.457,45.20
14.246,180.10,0.454,45.30
14.27,180.30,0.451,45.00
14.29,180.50,0.449,45.00
14.31,180.60,0.448,45.00
14.33,180.80,0.445,45.00
14.351,180.90,0.443,45.10
14.367,181.10,0.44,45.00
14.388,181.20,0.439,44.90
14.409,181.30,0.438,45.00
