time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length
10.007,112.69999999999999,0.439,44.8,0.0,0.439,145.7,44.8,,,,,112.34411383300338,
10.019,112.69999999999999,0.437,44.9,0.012000000000000455,0.437,145.7,44.9,,,,,112.37146364220742,
10.026,112.69999999999999,0.438,44.9,0.019000000000000128,0.438,145.7,44.9,,,,,112.3596005739392,
10.044,112.69999999999999,0.438,44.9,0.03700000000000081,0.438,145.7,44.9,,,,,112.3596005739392,
10.056,112.69999999999999,0.438,44.9,0.04899999999999949,0.438,145.7,44.9,,,,,112.3596005739392,
10.068,112.69999999999999,0.438,44.9,0.06099999999999994,0.438,145.7,44.9,,,,,112.3596005739392,
10.08,112.80000000000001,0.438,44.9,0.0730000000000004,0.438,145.8,44.9,,,,,112.3596005739392,
10.092,112.80000000000001,0.438,44.9,0.08500000000000085,0.438,145.8,44.9,,,,,112.3596005739392,
10.105,112.80000000000001,0.437,45.0,0.09800000000000075,0.437,145.8,45.0,,,,,112.3749592151705,
10.117,112.80000000000001,0.437,44.9,0.11000000000000121,0.437,145.8,44.9,,,,,112.37146364220742,
10.123,112.80000000000001,0.437,44.9,0.11599999999999966,0.437,145.8,44.9,,,,,112.37146364220742,
10.142,112.80000000000001,0.437,44.9,0.1349999999999998,0.437,145.8,44.9,,,,,112.37146364220742,
10.155,112.80000000000001,0.437,44.9,0.1479999999999997,0.437,145.8,44.9,,,,,112.37146364220742,
10.16,112.80000000000001,0.437,44.9,0.15300000000000047,0.437,145.8,44.9,,,,,112.37146364220742,
10.179,112.80000000000001,0.437,44.9,0.1720000000000006,0.437,145.8,44.9,,,,,112.37146364220742,
10.19,112.80000000000001,0.437,44.9,0.18299999999999983,0.437,145.8,44.9,,,,,112.37146364220742,
10.202,112.80000000000001,0.438,45.0,0.19500000000000028,0.438,145.8,45.0,,,,,112.36311840635021,
10.211,112.80000000000001,0.437,45.0,0.20400000000000063,0.437,145.8,45.0,,,,,112.3749592151705,
10.22,112.80000000000001,0.438,45.1,0.21300000000000097,0.438,145.8,45.1,,,,,112.36663016848266,
10.234,112.80000000000001,0.439,45.2,0.2270000000000003,0.439,145.8,45.2,,,,,112.35826252072759,
10.25,112.80000000000001,0.443,45.5,0.24300000000000033,0.443,145.8,45.5,,,,,112.32081086458429,
10.26,112.80000000000001,0.445,45.9,0.2530000000000001,0.445,145.8,45.9,,,,,112.31086102590993,
10.267,112.80000000000001,0.448,46.5,0.2599999999999998,0.448,145.8,46.5,,,,,112.29584362670306,
10.284,112.80000000000001,0.45,47.2,0.277000000000001,0.45,145.8,47.2,,,,,112.29675335054442,
10.284,112.80000000000001,0.454,47.8,0.277000000000001,0.454,145.8,47.8,,,,,112.26918847951042,
10.311,112.80000000000001,0.457,48.3,0.30400000000000027,0.457,145.8,48.3,,,,,112.2501324113459,
10.318,112.69999999999999,0.46,49.0,0.31099999999999994,0.46,145.7,49.0,,,,,112.23845535556076,
10.334,112.6,0.464,49.6,0.32699999999999996,0.464,145.6,49.6,,,,,112.2100791513401,
10.348,112.5,0.465,49.8,0.3410000000000011,0.465,145.5,49.8,,,,,112.20484525351905,
10.361,112.30000000000001,0.468,49.7,0.354000000000001,0.468,145.3,49.7,,,,,112.16180213881478,
10.372,112.1,0.472,49.6,0.3650000000000002,0.472,145.1,49.6,,,,,112.10440060469193,
10.388,111.9,0.476,49.5,0.3810000000000002,0.476,144.9,49.5,,,,,112.04549893083738,
10.405,111.69999999999999,0.478,49.4,0.3979999999999997,0.478,144.7,49.4,,,,,112.01339464555237,
10.426,111.5,0.483,49.3,0.4190000000000005,0.483,144.5,49.3,,,,,111.93765885283787,
10.439,111.4,0.488,49.2,0.4320000000000004,0.488,144.4,49.2,,,,,111.85953160458887,
10.465,111.19999999999999,0.492,49.4,0.4580000000000002,0.492,144.2,49.4,,,,,111.80795192279842,
10.488,111.1,0.497,49.6,0.48099999999999987,0.497,144.1,49.6,,,,,111.73971914762596,
10.504,110.9,0.5,49.7,0.4969999999999999,0.5,143.9,49.7,,,,,111.6970063083841,
10.525,110.69999999999999,0.504,49.6,0.5180000000000007,0.504,143.7,49.6,,,,,111.62780689588476,
10.547,110.5,0.509,49.5,0.5400000000000009,0.509,143.5,49.5,,,,,111.54017144410288,
10.555,110.30000000000001,0.514,49.5,0.548,0.514,143.3,49.5,,,,,111.4550323178141,
10.586,110.1,0.517,49.5,0.5790000000000006,0.517,143.1,49.5,,,,,111.40281617586453,
10.606,109.9,0.521,49.4,0.5990000000000002,0.521,142.9,49.4,,,,,111.32654327597677,
10.626,109.80000000000001,0.526,49.3,0.6189999999999998,0.526,142.8,49.3,,,,,111.23004565423193,
10.647,109.6,0.531,49.3,0.6400000000000006,0.531,142.6,49.3,,,,,111.13640889421426,
10.663,109.5,0.536,49.4,0.6560000000000006,0.536,142.5,49.4,,,,,111.04605057735183,
10.682,109.30000000000001,0.541,49.5,0.6750000000000007,0.541,142.3,49.5,,,,,110.95346004165026,
10.704,109.1,0.544,49.7,0.697000000000001,0.544,142.1,49.7,,,,,110.90522351419841,
10.71,108.9,0.549,49.6,0.7030000000000012,0.549,141.9,49.6,,,,,110.79690055489945,
10.744,108.80000000000001,0.554,49.4,0.7370000000000001,0.554,141.8,49.4,,,,,110.67926395088259,
10.761,108.6,0.56,49.4,0.7539999999999996,0.56,141.6,49.4,,,,,110.54939862392517,
10.781,108.4,0.564,49.4,0.7740000000000009,0.564,141.4,49.4,,,,,110.46065331848567,
10.807,108.30000000000001,0.569,49.3,0.8000000000000007,0.569,141.3,49.3,,,,,110.34037117562976,
10.826,108.1,0.574,49.2,0.8190000000000008,0.574,141.1,49.2,,,,,110.2169357548991,
10.848,108.0,0.578,49.3,0.8410000000000011,0.578,141.0,49.3,,,,,110.12887888513733,
10.867,107.80000000000001,0.583,49.5,0.8600000000000012,0.583,140.8,49.5,,,,,110.0221543890774,
10.881,107.69999999999999,0.589,49.8,0.8740000000000006,0.589,140.7,49.8,,,,,109.89570506925355,
10.905,107.5,0.592,49.8,0.8979999999999997,0.592,140.5,49.8,,,,,109.8198926373153,
10.915,107.30000000000001,0.597,49.4,0.9079999999999995,0.597,140.3,49.4,,,,,109.65966756144707,
10.941,107.19999999999999,0.602,49.0,0.934000000000001,0.602,140.2,49.0,,,,,109.49466065929414,
10.96,107.1,0.608,49.2,0.9530000000000012,0.608,140.1,49.2,,,,,109.34750200605015,
10.987,107.0,0.611,49.4,0.9800000000000004,0.611,140.0,49.4,,,,,109.28106780532691,
11.008,106.80000000000001,0.618,49.5,1.0009999999999994,0.618,139.8,49.5,,,,,109.09144228356746,
11.027,106.69999999999999,0.621,49.6,1.0199999999999996,0.621,139.7,49.6,,,,,109.01351436402648,
11.044,106.6,0.626,49.7,1.0370000000000008,0.626,139.6,49.7,,,,,108.87559530718792,
11.064,106.4,0.631,49.6,1.0570000000000004,0.631,139.4,49.6,,,,,108.71638703894318,
11.085,106.30000000000001,0.636,49.4,1.0780000000000012,0.636,139.3,49.4,,,,,108.5439849594898,
11.1,106.1,0.642,49.3,1.093,0.642,139.1,49.3,,,,,108.34524011358796,
11.126,106.0,0.647,49.4,1.1189999999999998,0.647,139.0,49.4,,,,,108.1938904674763,
11.146,105.9,0.649,49.4,1.1390000000000011,0.649,138.9,49.4,,,,,108.1284946346411,
11.162,105.80000000000001,0.653,49.3,1.1550000000000011,0.653,138.8,49.3,,,,,107.98579536867634,
11.18,105.69999999999999,0.659,49.1,1.173,0.659,138.7,49.1,,,,,107.76161256518895,
11.204,105.6,0.664,49.3,1.197000000000001,0.664,138.6,49.3,,,,,107.60978977803443,
11.215,105.5,0.668,49.6,1.2080000000000002,0.668,138.5,49.6,,,,,107.50174898871121,
11.246,105.4,0.67,49.6,1.2390000000000008,0.67,138.4,49.6,,,,,107.4307301539516,
11.265,105.30000000000001,0.676,49.4,1.258000000000001,0.676,138.3,49.4,,,,,107.19160278973044,
11.285,105.19999999999999,0.68,49.4,1.2780000000000005,0.68,138.2,49.4,,,,,107.04403843561451,
11.306,105.1,0.684,49.5,1.2989999999999995,0.684,138.1,49.5,,,,,106.90588788638257,
11.322,105.0,0.69,49.4,1.3149999999999995,0.69,138.0,49.4,,,,,106.66494167460233,
11.34,104.9,0.693,49.5,1.3330000000000002,0.693,137.9,49.5,,,,,106.56052362765395,
11.358,104.80000000000001,0.696,49.5,1.3510000000000009,0.696,137.8,49.5,,,,,106.44273620999358,
11.381,104.69999999999999,0.701,49.2,1.3740000000000006,0.701,137.7,49.2,,,,,106.20559145922985,
11.404,104.6,0.706,49.2,1.3970000000000002,0.706,137.6,49.2,,,,,106.00172627142561,
11.422,104.5,0.708,49.4,1.415000000000001,0.708,137.5,49.4,,,,,105.94508556517948,
11.441,104.5,0.712,49.4,1.434000000000001,0.712,137.5,49.4,,,,,105.77843116002815,
11.466,104.4,0.717,49.4,1.4589999999999996,0.717,137.4,49.4,,,,,105.56663275040745,
11.486,104.30000000000001,0.719,49.4,1.479000000000001,0.719,137.3,49.4,,,,,105.48082283347128,
11.506,104.19999999999999,0.723,49.4,1.4990000000000006,0.723,137.2,49.4,,,,,105.30732017547057,
11.527,104.19999999999999,0.726,49.4,1.5199999999999996,0.726,137.2,49.4,,,,,105.17553618601004,
11.543,104.1,0.729,49.4,1.5359999999999996,0.729,137.1,49.4,,,,,105.0423228430146,
11.562,104.0,0.732,49.5,1.5549999999999997,0.732,137.0,49.5,,,,,104.92191698424963,
11.581,104.0,0.735,49.4,1.5739999999999998,0.735,137.0,49.4,,,,,104.77157543979848,
11.603,103.9,0.739,49.4,1.596,0.739,136.9,49.4,,,,,104.5878504337797,
11.627,103.80000000000001,0.742,49.4,1.620000000000001,0.742,136.8,49.4,,,,,104.4483488841181,
11.644,103.80000000000001,0.745,49.4,1.6370000000000005,0.745,136.8,49.4,,,,,104.30737443876086,
11.661,103.69999999999999,0.747,49.3,1.654,0.747,136.7,49.3,,,,,104.19745557029425,
11.684,103.69999999999999,0.75,49.3,1.6769999999999996,0.75,136.7,49.3,,,,,104.05383597266659,
11.704,103.6,0.751,49.3,1.697000000000001,0.751,136.6,49.3,,,,,104.0056307826717,
11.724,103.6,0.753,49.2,1.7170000000000005,0.753,136.6,49.2,,,,,103.89323573627537,
11.745,103.5,0.758,49.2,1.7379999999999995,0.758,136.5,49.2,,,,,103.64773904759375,
11.765,103.5,0.758,49.3,1.758000000000001,0.758,136.5,49.3,,,,,103.66351553776013,
11.785,103.4,0.761,49.3,1.7780000000000005,0.761,136.4,49.3,,,,,103.51437152624699,
11.805,103.4,0.762,49.2,1.798,0.762,136.4,49.2,,,,,103.44830621112753,
11.822,103.4,0.763,49.1,1.8149999999999995,0.763,136.4,49.1,,,,,103.38192614970421,
11.842,103.4,0.765,49.1,1.8350000000000009,0.765,136.4,49.1,,,,,103.2807315678005,
11.855,103.30000000000001,0.767,49.2,1.8480000000000008,0.767,136.3,49.2,,,,,103.19518905915145,
11.882,103.30000000000001,0.769,49.3,1.875,0.769,136.3,49.3,,,,,103.109172970939,
11.905,103.30000000000001,0.77,49.3,1.8979999999999997,0.77,136.3,49.3,,,,,103.05775258692066,
11.924,103.19999999999999,0.773,49.3,1.9169999999999998,0.773,136.2,49.3,,,,,102.90245675836579,
11.945,103.19999999999999,0.774,49.3,1.9380000000000006,0.774,136.2,49.3,,,,,102.85034558209381,
11.965,103.19999999999999,0.775,49.2,1.9580000000000002,0.775,136.2,49.2,,,,,102.78126995882951,
11.98,103.19999999999999,0.775,49.2,1.9730000000000008,0.775,136.2,49.2,,,,,102.78126995882951,
11.997,103.1,0.778,49.1,1.9900000000000002,0.778,136.1,49.1,,,,,102.60618829196113,
12.024,103.1,0.776,49.1,2.0169999999999995,0.776,136.1,49.1,,,,,102.71187155205044,
12.045,103.1,0.779,49.2,2.0380000000000003,0.779,136.1,49.2,,,,,102.57014698221204,
12.063,103.1,0.779,49.2,2.056000000000001,0.779,136.1,49.2,,,,,102.57014698221204,
12.085,103.1,0.779,49.2,2.078000000000001,0.779,136.1,49.2,,,,,102.57014698221204,
12.105,103.1,0.78,49.2,2.0980000000000008,0.78,136.1,49.2,,,,,102.51692927206054,
12.125,103.1,0.78,49.2,2.1180000000000003,0.78,136.1,49.2,,,,,102.51692927206054,
12.142,103.1,0.781,49.2,2.135,0.781,136.1,49.2,,,,,102.46353617075793,
12.162,103.1,0.781,49.2,,,,,2.155000000000001,0.781,136.1,49.2,,101.168660751094
12.183,103.1,0.781,49.3,,,,,2.176,0.781,136.1,49.3,,101.18822372977885
12.203,103.0,0.781,49.2,,,,,2.1959999999999997,0.781,136.0,49.2,,101.168660751094
12.224,103.0,0.781,49.1,,,,,2.2170000000000005,0.781,136.0,49.1,,101.14907086148345
12.236,103.0,0.781,49.1,,,,,2.229000000000001,0.781,136.0,49.1,,101.14907086148345
12.262,103.0,0.78,49.1,,,,,2.255000000000001,0.78,136.0,49.1,,101.21171937960094
12.285,103.0,0.78,49.1,,,,,2.2780000000000005,0.78,136.0,49.1,,101.21171937960094
12.302,103.0,0.78,49.0,,,,,2.295,0.78,136.0,49.0,,101.19216965240585
12.32,103.0,0.779,48.9,,,,,2.3130000000000006,0.779,136.0,48.9,,101.23517298405054
12.343,103.0,0.779,48.9,,,,,2.3360000000000003,0.779,136.0,48.9,,101.23517298405054
12.363,103.0,0.778,48.9,,,,,2.356,0.778,136.0,48.9,,101.29755049575279
12.383,103.0,0.778,48.8,,,,,2.3759999999999994,0.778,136.0,48.8,,101.27808096259129
12.404,103.0,0.776,48.7,,,,,2.3970000000000002,0.776,136.0,48.7,,101.38300079858035
12.424,103.0,0.776,48.7,,,,,2.417,0.776,136.0,48.7,,101.38300079858035
12.442,103.0,0.775,48.5,,,,,2.4350000000000005,0.775,136.0,48.5,,101.40623384132756
12.461,103.0,0.774,48.5,,,,,2.4540000000000006,0.774,136.0,48.5,,101.46807113747377
12.48,103.0,0.773,48.4,,,,,2.4730000000000008,0.773,136.0,48.4,,101.51046408587959
12.5,103.0,0.772,48.3,,,,,2.4930000000000003,0.772,136.0,48.3,,101.55276236182317
12.513,103.0,0.769,48.1,,,,,2.5060000000000002,0.769,136.0,48.1,,101.69817437808913
12.539,103.0,0.768,47.9,,,,,2.532,0.768,136.0,47.9,,101.72101086445053
12.562,103.0,0.767,47.7,,,,,2.5549999999999997,0.767,136.0,47.7,,101.74380578737698
12.584,103.0,0.764,47.6,,,,,2.577,0.764,136.0,47.6,,101.90663960884373
12.603,103.1,0.762,47.4,,,,,2.596,0.762,136.1,47.4,,101.98936924483462
12.625,103.1,0.762,47.1,,,,,2.6180000000000003,0.762,136.1,47.1,,101.93286643148053
12.636,103.1,0.758,47.0,,,,,2.6289999999999996,0.758,136.1,47.0,,102.15370783478616
