time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length
10.004,195.7,0.42,93.9,0.0,0.42,229.7,93.9,,,,,191.7364930126881,
10.015,195.7,0.42,93.8,0.011000000000001009,0.42,229.7,93.8,,,,,191.72831285652018,
10.024,195.7,0.42,94.0,0.019999999999999574,0.42,229.7,94.0,,,,,191.74467237622662,
10.032,195.8,0.42,94.1,0.02800000000000047,0.42,229.8,94.1,,,,,191.75285094713573,
10.054,195.8,0.418,94.3,0.05000000000000071,0.418,229.8,94.3,,,,,191.8367131828814,
10.064,195.8,0.42,94.2,0.0600000000000005,0.42,229.8,94.2,,,,,191.76102872541546,
10.079,195.8,0.42,94.3,0.07500000000000107,0.42,229.8,94.3,,,,,191.76920571106578,
10.091,195.8,0.42,94.5,0.08699999999999974,0.42,229.8,94.5,,,,,191.78555730447826,
10.103,195.8,0.42,94.7,0.0990000000000002,0.42,229.8,94.7,,,,,191.80190572737314,
10.115,195.8,0.422,94.9,0.11100000000000065,0.422,229.8,94.9,,,,,191.75048496898992,
10.127,195.8,0.422,95.0,0.12300000000000111,0.422,229.8,95.0,,,,,191.75869890165762,
10.135,195.8,0.422,95.2,0.13100000000000023,0.422,229.8,95.2,,,,,191.77512438910477,
10.152,195.8,0.422,95.3,0.1479999999999997,0.422,229.8,95.3,,,,,191.78333594388425,
10.161,195.7,0.423,95.5,0.15700000000000003,0.423,229.7,95.5,,,,,191.7658085896378,
10.177,195.7,0.423,95.7,0.17300000000000004,0.423,229.7,95.7,,,,,191.78226864621413,
10.182,195.7,0.426,95.9,0.17800000000000082,0.426,229.7,95.9,,,,,191.69636597983447,
10.201,195.7,0.427,96.2,0.19700000000000095,0.427,229.7,96.2,,,,,191.68692373018624,
10.208,195.7,0.431,96.8,0.20400000000000063,0.431,229.7,96.8,,,,,191.59874575569398,
10.215,195.7,0.432,98.0,0.2110000000000003,0.432,229.7,98.0,,,,,191.66480237354597,
10.234,195.7,0.434,99.2,0.23000000000000043,0.434,229.7,99.2,,,,,191.69655234280202,
10.247,195.6,0.437,100.6,0.24300000000000033,0.437,229.6,100.6,,,,,191.71096762867214,
10.257,195.6,0.44,101.7,0.2530000000000001,0.44,229.6,101.7,,,,,191.70023186597132,
10.271,195.5,0.443,102.4,0.26700000000000124,0.443,229.5,102.4,,,,,191.65524914939186,
10.283,195.3,0.443,102.8,0.2789999999999999,0.443,229.3,102.8,,,,,191.68964714323846,
10.295,195.1,0.445,103.5,0.29100000000000037,0.445,229.1,103.5,,,,,191.6797963298048,
10.307,194.9,0.449,103.7,0.3030000000000008,0.449,228.9,103.7,,,,,191.55566033936108,
10.32,194.6,0.453,103.7,0.3160000000000007,0.453,228.6,103.7,,,,,191.41220216780113,
10.332,194.3,0.457,103.4,0.3280000000000012,0.457,228.3,103.4,,,,,191.24002164097368,
10.343,194.0,0.459,103.8,0.3390000000000004,0.459,228.0,103.8,,,,,191.20209392094236,
10.354,193.7,0.461,103.7,0.34999999999999964,0.461,227.7,103.7,,,,,191.1191236868773,
10.369,193.3,0.465,102.8,0.3650000000000002,0.465,227.3,102.8,,,,,190.88794721328844,
10.371,193.0,0.471,102.7,0.3670000000000009,0.471,227.0,102.7,,,,,190.64932479124923,
10.386,192.7,0.473,102.5,0.3819999999999997,0.473,226.7,102.5,,,,,190.5533050210423,
10.406,192.4,0.477,102.3,0.402000000000001,0.477,226.4,102.3,,,,,190.37785567189204,
10.409,192.2,0.482,102.0,0.40500000000000114,0.482,226.2,102.0,,,,,190.15045659289217,
10.426,191.9,0.486,102.4,0.4220000000000006,0.486,225.9,102.4,,,,,190.02667298029107,
10.428,191.7,0.489,103.4,0.42400000000000126,0.489,225.7,103.4,,,,,189.99993846705928,
10.444,191.4,0.493,103.6,0.4400000000000013,0.493,225.4,103.6,,,,,189.8549943643647,
10.464,191.1,0.497,103.1,0.46000000000000085,0.497,225.1,103.1,,,,,189.64015204584896,
10.485,190.8,0.501,103.3,0.48099999999999987,0.501,224.8,103.3,,,,,189.49118959790775,
10.508,190.5,0.506,103.1,0.5039999999999996,0.506,224.5,103.1,,,,,189.25787604108345,
10.529,190.2,0.51,103.8,0.5250000000000004,0.51,224.2,103.8,,,,,189.15475227438358,
10.548,189.9,0.515,103.8,0.5440000000000005,0.515,223.9,103.8,,,,,188.93605960318493,
10.567,189.5,0.519,104.0,0.5630000000000006,0.519,223.5,104.0,,,,,188.77920270526639,
10.578,189.2,0.523,103.5,0.5739999999999998,0.523,223.2,103.5,,,,,188.54860270164494,
10.611,188.9,0.528,103.1,0.6070000000000011,0.528,222.9,103.1,,,,,188.27964673100774,
10.626,188.6,0.533,103.2,0.6219999999999999,0.533,222.6,103.2,,,,,188.05916381456274,
10.641,188.3,0.538,103.1,0.6370000000000005,0.538,222.3,103.1,,,,,187.8144565852632,
10.667,188.0,0.543,103.3,0.6630000000000003,0.543,222.0,103.3,,,,,187.59848636991515,
10.689,187.7,0.545,103.5,0.6850000000000005,0.545,221.7,103.5,,,,,187.52422986646457,
10.699,187.4,0.552,103.5,0.6950000000000003,0.552,221.4,103.5,,,,,187.18526270137286,
10.73,187.1,0.559,103.6,0.7260000000000009,0.559,221.1,103.6,,,,,186.85106172363024,
