time,length,pressure,force
10.011,192.50,0.213,45.50
10.029,192.50,0.214,45.70
10.047,192.50,0.218,46.10
10.067,192.50,0.22,46.50
10.091,192.50,0.222,47.30
10.114,192.50,0.224,47.90
10.134,192.40,0.227,48.50
10.149,192.40,0.229,49.00
10.168,192.30,0.233,49.40
10.192,192.10,0.234,49.70
10.213,191.80,0.239,50.00
10.234,191.60,0.24,50.10
10.242,191.20,0.242,49.90
10.277,190.90,0.246,49.50
10.289,190.70,0.251,49.40
10.309,190.40,0.256,49.10
10.329,190.20,0.261,49.00
10.353,190.00,0.262,49.30
10.371,189.90,0.263,49.40
10.391,189.70,0.269,49.70
10.407,189.50,0.274,50.00
10.424,189.20,0.278,50.20
10.451,189.00,0.282,49.90
10.461,188.70,0.285,49.80
10.491,188.50,0.29,49.90
10.512,188.20,0.294,49.90
10.532,188.00,0.296,49.60
10.552,187.80,0.304,49.40
10.568,187.60,0.308,49.70
10.587,187.40,0.311,49.90
10.605,187.20,0.316,49.80
10.62,187.00,0.321,49.80
10.651,186.80,0.326,49.90
10.669,186.60,0.329,50.00
10.683,186.40,0.335,49.90
10.711,186.20,0.341,50.00
10.729,186.00,0.345,50.20
10.751,185.80,0.349,50.40
10.773,185.60,0.354,50.20
10.791,185.40,0.359,49.90
10.808,185.30,0.362,49.80
10.832,185.10,0.368,49.80
10.852,185.00,0.373,49.80
10.869,184.80,0.378,50.10
10.887,184.70,0.383,50.20
10.912,184.60,0.388,50.20
10.931,184.40,0.394,50.30
10.946,184.20,0.4,50.50
10.966,184.10,0.404,50.50
10.989,183.90,0.409,50.20
11.012,183.70,0.413,50.00
11.032,183.60,0.418,49.90
11.051,183.50,0.422,49.70
11.069,183.40,0.428,49.70
11.085,183.30,0.433,49.80
11.112,183.20,0.437,50.00
11.128,183.10,0.443,50.10
11.138,183.00,0.448,50.10
11.172,182.80,0.451,50.20
11.191,182.70,0.456,50.00
11.206,182.60,0.461,49.80
11.232,182.50,0.466,49.70
11.25,182.40,0.471,49.60
11.27,182.30,0.476,49.70
11.287,182.20,0.479,49.80
11.305,182.10,0.483,49.80
11.321,182.10,0.488,49.80
11.348,182.00,0.493,49.80
11.371,181.90,0.497,49.90
11.39,181.80,0.5,49.90
11.409,181.80,0.504,49.90
11.429,181.70,0.509,49.90
11.449,181.60,0.514,49.90
11.463,181.50,0.517,50.00
11.491,181.40,0.521,49.90
11.511,181.40,0.522,49.80
11.522,181.30,0.527,49.60
11.551,181.30,0.53,49.60
11.565,181.20,0.533,49.70
11.583,181.20,0.537,49.80
11.609,181.10,0.541,50.00
11.625,181.10,0.543,50.00
11.643,181.00,0.548,49.90
11.671,181.00,0.549,49.90
11.691,180.90,0.552,49.80
11.71,180.90,0.556,49.80
11.729,180.80,0.559,49.70
11.742,180.80,0.563,49.70
11.768,180.80,0.564,49.80
11.79,180.70,0.566,49.80
11.808,180.70,0.569,49.80
11.831,180.70,0.57,49.70
11.848,180.60,0.572,49.70
11.868,180.60,0.574,49.70
11.89,180.60,0.575,49.70
11.908,180.60,0.577,49.70
11.928,180.50,0.58,49.70
11.938,180.50,0.582,49.80
