time,length,pressure,force
3.902,249.20,-0.004,46.30
3.914,249.20,-0.003,46.30
3.926,249.20,-0.003,46.20
3.934,249.20,-0.003,46.20
3.964,249.20,-0.004,46.30
3.974,249.20,-0.003,46.30
3.988,249.20,-0.003,46.30
4.0,249.20,-0.004,46.30
4.012,249.20,-0.003,46.30
4.022,249.20,-0.003,46.20
4.034,249.20,-0.003,46.20
4.042,249.20,-0.003,46.30
4.058,249.20,-0.004,46.30
4.07,249.20,-0.004,46.30
4.083,249.20,-0.004,46.30
4.095,249.20,-0.004,46.30
4.108,249.20,-0.004,46.30
4.121,249.20,-0.003,46.20
4.127,249.20,-0.004,46.30
4.144,249.20,-0.004,46.30
4.156,249.20,-0.004,46.30
4.168,249.20,-0.003,46.30
4.18,249.20,-0.004,46.30
4.193,249.20,-0.003,46.30
4.204,249.20,-0.004,46.30
4.213,249.20,-0.004,46.30
4.224,249.20,-0.004,46.30
4.237,249.20,-0.004,46.30
4.25,249.20,-0.004,46.30
4.262,249.20,-0.004,46.30
4.275,249.20,-0.004,46.30
4.287,249.20,-0.004,46.30
4.301,249.20,-0.004,46.30
4.313,249.20,-0.004,46.30
4.325,249.20,-0.004,46.30
4.337,249.20,-0.003,46.30
4.348,249.20,-0.003,46.30
4.361,249.20,-0.004,46.30
4.372,249.20,-0.004,46.30
4.385,249.20,-0.004,46.30
4.395,249.20,-0.004,46.30
4.409,249.20,-0.004,46.30
4.417,249.20,-0.004,46.30
4.425,249.20,-0.003,46.30
4.441,249.20,-0.003,46.30
4.456,249.20,-0.004,46.30
4.462,249.20,-0.003,46.30
4.479,249.20,-0.003,46.30
4.492,249.20,-0.003,46.30
4.492,249.20,-0.003,46.30
4.517,249.20,-0.004,46.30
4.532,249.20,-0.004,46.30
4.539,249.20,-0.004,46.30
4.553,249.20,-0.004,46.30
4.565,249.20,-0.004,46.30
4.574,249.20,-0.004,46.30
4.588,249.20,-0.004,46.30
4.602,249.20,-0.004,46.30
4.612,249.20,-0.003,46.30
4.616,249.20,-0.004,46.30
4.636,249.20,-0.004,46.30
4.647,249.20,-0.004,46.30
4.657,249.20,-0.004,46.30
4.673,249.20,-0.004,46.30
4.685,249.20,-0.003,46.30
4.698,249.20,-0.004,46.30
4.711,249.20,-0.003,46.30
4.722,249.20,-0.003,46.30
4.734,249.20,-0.004,46.30
4.748,249.20,-0.004,46.30
4.758,249.20,-0.004,46.30
4.77,249.20,-0.004,46.30
4.783,249.20,-0.004,46.30
4.795,249.20,-0.004,46.30
4.803,249.20,-0.004,46.30
4.812,249.20,-0.003,46.30
4.826,249.20,-0.004,46.30
4.834,249.20,-0.006,46.30
4.85,249.20,-0.003,46.30
4.865,249.20,-0.004,46.30
4.877,249.20,-0.003,46.30
4.885,249.20,-0.003,46.30
4.9,249.20,-0.003,46.30
4.914,249.20,-0.003,46.30
4.926,249.20,-0.003,46.30
4.939,249.20,-0.004,46.30
4.955,249.20,-0.004,46.30
4.963,249.20,-0.004,46.30
4.975,249.20,-0.004,46.30
4.987,249.20,-0.004,46.30
5.0,249.20,-0.004,46.30
5.009,249.20,-0.004,46.30
5.021,249.20,-0.004,46.30
5.033,249.20,-0.004,46.30
5.046,249.20,-0.004,46.30
5.058,249.20,-0.004,46.30
5.07,249.20,-0.004,46.30
5.079,249.20,-0.004,46.30
5.094,249.20,-0.004,46.30
5.105,249.20,-0.004,46.30
5.119,249.20,-0.004,46.30
5.132,249.20,-0.004,46.30
5.144,249.20,-0.004,46.30
5.155,249.20,-0.004,46.30
5.169,249.20,-0.003,46.30
5.181,249.20,-0.004,46.30
5.189,249.20,-0.003,46.30
5.206,249.20,-0.006,46.30
5.213,249.20,-0.003,46.30
5.225,249.20,-0.003,46.30
5.234,249.20,-0.004,46.30
5.251,249.20,-0.003,46.30
5.26,249.20,-0.004,46.30
5.275,249.20,-0.003,46.30
5.284,249.20,-0.004,46.30
5.3,249.20,-0.004,46.30
5.302,249.20,-0.003,46.30
5.318,249.20,-0.003,46.30
5.334,249.20,-0.004,46.30
5.349,249.20,-0.004,46.30
5.36,249.20,-0.003,46.30
5.369,249.20,-0.004,46.30
5.386,249.20,-0.004,46.30
5.396,249.20,-0.004,46.30
5.408,249.20,-0.003,46.30
5.413,249.20,-0.003,46.30
5.429,249.20,-0.004,46.30
5.442,249.20,-0.004,46.30
5.45,249.20,-0.004,46.30
5.467,249.20,-0.003,46.30
5.479,249.20,-0.003,46.30
5.488,249.20,-0.003,46.30
5.502,249.20,-0.004,46.30
5.515,249.20,-0.004,46.30
5.526,249.20,-0.004,46.30
5.54,249.20,-0.004,46.30
5.552,249.20,-0.004,46.30
5.564,249.20,-0.004,46.30
5.577,249.20,-0.004,46.30
5.585,249.20,-0.004,46.30
5.602,249.20,-0.003,46.30
5.61,249.20,-0.004,46.30
5.622,249.20,-0.003,46.30
5.634,249.20,-0.003,46.30
5.646,249.20,-0.004,46.30
5.659,249.20,-0.004,46.30
5.67,249.20,-0.004,46.30
5.681,249.20,-0.004,46.30
5.695,249.20,-0.004,46.30
5.707,249.20,-0.003,46.30
5.72,249.20,-0.004,46.30
5.732,249.20,-0.004,46.30
5.745,249.20,-0.004,46.30
5.757,249.20,-0.003,46.30
5.768,249.20,-0.003,46.30
5.777,249.20,-0.004,46.30
5.795,249.20,-0.004,46.30
5.804,249.20,-0.004,46.30
5.816,249.20,-0.004,46.30
5.825,249.20,-0.004,46.30
5.837,249.20,-0.006,46.30
5.852,249.20,-0.004,46.30
5.864,249.20,-0.004,46.30
5.869,249.20,-0.004,46.20
5.888,249.20,-0.003,46.30
5.897,249.20,-0.004,46.30
5.913,249.20,-0.004,46.30
5.924,249.20,-0.004,46.30
5.924,249.20,-0.004,46.30
5.951,249.20,-0.004,46.30
5.961,249.20,-0.004,46.30
5.974,249.20,-0.004,46.30
5.983,249.20,-0.003,46.30
5.993,249.20,-0.004,46.30
6.01,249.20,-0.004,46.20
6.019,249.20,-0.004,46.30
6.033,249.20,-0.003,46.30
6.045,249.20,-0.004,46.30
6.052,249.20,-0.004,46.30
6.071,249.20,-0.004,46.30
6.081,249.20,-0.006,46.30
6.094,249.20,-0.004,46.20
6.103,249.20,-0.004,46.30
6.119,249.20,-0.003,46.30
6.119,249.20,-0.004,46.30
6.135,249.20,-0.004,46.30
6.154,249.20,-0.004,46.20
6.167,249.20,-0.004,46.30
6.167,249.20,-0.004,46.30
6.185,249.20,-0.004,46.30
6.202,249.20,-0.004,46.30
6.21,249.20,-0.004,46.30
6.22,249.20,-0.003,46.20
6.236,249.20,-0.004,46.30
6.236,249.20,-0.003,46.30
6.262,249.20,-0.004,46.30
6.267,249.20,-0.004,46.30
6.285,249.20,-0.004,46.20
6.297,249.20,-0.004,46.30
6.311,249.20,-0.004,46.30
6.322,249.20,-0.004,46.30
6.334,249.20,-0.004,46.20
6.344,249.20,-0.004,46.20
6.357,249.20,-0.004,46.20
6.371,249.20,-0.004,46.30
6.379,249.20,-0.004,46.30
6.395,249.20,-0.004,46.20
6.403,248.80,0.073,46.30
6.417,245.60,0.128,53.40
6.426,238.20,0.148,105.60
6.442,226.60,0.15,123.80
6.452,212.10,0.154,101.00
6.47,197.50,0.168,71.00
6.48,183.70,0.192,45.90
6.492,172.90,0.224,23.50
6.505,168.90,0.234,5.30
6.517,167.10,0.241,0.30
6.53,165.30,0.246,0.10
6.54,166.50,0.249,0.10
6.553,171.40,0.244,0.60
6.564,182.50,0.249,3.50
6.576,191.90,0.258,17.80
6.589,200.60,0.268,49.90
6.598,205.10,0.264,89.10
6.612,203.90,0.247,115.30
6.623,198.50,0.228,112.80
6.635,192.20,0.212,88.50
6.647,185.60,0.208,60.40
6.658,180.90,0.207,35.90
6.671,178.20,0.213,20.00
6.683,178.80,0.213,11.80
6.694,181.70,0.217,11.00
6.707,186.30,0.222,16.90
6.72,191.70,0.227,29.00
6.731,195.90,0.23,46.60
6.745,198.50,0.231,64.30
6.757,198.30,0.225,77.10
6.769,196.30,0.216,78.30
6.781,193.50,0.206,70.20
6.793,190.40,0.202,58.50
6.802,188.10,0.2,46.00
6.814,186.80,0.198,37.30
6.826,187.00,0.201,31.20
6.839,188.10,0.203,30.90
6.85,190.10,0.206,33.70
6.863,192.00,0.209,39.90
6.875,193.70,0.211,47.00
6.888,194.40,0.212,54.00
6.903,194.20,0.211,57.50
6.913,193.50,0.209,58.30
6.925,192.50,0.207,55.30
6.937,191.60,0.206,52.00
6.949,191.00,0.206,48.30
6.961,190.80,0.206,45.70
6.974,190.90,0.206,44.60
6.986,191.10,0.207,44.60
6.995,191.20,0.208,45.90
7.008,191.20,0.209,46.20
7.019,191.20,0.211,47.00
7.031,191.20,0.212,47.00
7.044,191.20,0.214,47.50
7.057,191.10,0.216,47.90
7.069,191.20,0.218,48.30
7.081,191.10,0.22,49.20
7.092,191.10,0.222,49.50
7.109,191.10,0.224,50.30
7.117,191.00,0.227,50.70
7.13,191.00,0.23,51.40
7.143,190.80,0.235,51.80
7.154,190.50,0.235,52.00
7.167,190.20,0.236,52.00
7.179,189.90,0.24,51.70
7.187,189.50,0.244,51.20
7.198,189.20,0.247,50.90
7.212,188.90,0.251,50.40
7.221,188.70,0.255,50.30
7.237,188.60,0.257,50.10
7.25,188.40,0.262,50.60
7.257,188.30,0.266,51.00
7.273,188.10,0.268,51.50
7.287,187.90,0.273,51.80
7.295,187.60,0.277,51.90
7.31,187.30,0.28,51.90
7.325,187.00,0.284,51.70
7.335,186.70,0.289,51.30
7.345,186.40,0.294,51.00
7.359,186.20,0.297,50.90
7.371,186.00,0.301,50.90
7.383,185.90,0.305,50.80
7.392,185.70,0.31,51.10
7.405,185.60,0.315,51.40
7.416,185.40,0.318,51.70
7.429,185.20,0.324,51.90
7.441,184.90,0.329,51.90
7.441,184.70,0.333,52.00
7.466,184.40,0.338,51.80
7.477,184.20,0.343,51.50
7.488,184.00,0.349,51.30
7.503,183.80,0.352,51.20
7.515,183.70,0.357,51.20
7.517,183.50,0.363,51.30
7.54,183.40,0.367,51.50
7.552,183.30,0.372,51.60
7.563,183.10,0.377,51.70
7.575,182.90,0.382,51.80
7.589,182.60,0.387,51.60
7.597,182.40,0.391,51.20
7.608,182.30,0.398,50.80
7.622,182.20,0.402,50.80
7.634,182.10,0.407,51.10
7.646,182.00,0.411,51.40
7.659,181.90,0.417,51.50
7.671,181.70,0.421,51.60
7.685,181.50,0.427,51.50
7.697,181.40,0.432,51.30
7.708,181.30,0.437,51.10
7.717,181.10,0.44,51.00
7.73,181.00,0.445,51.10
7.744,181.00,0.451,51.10
7.757,180.90,0.455,51.30
7.765,180.80,0.461,51.50
7.778,180.70,0.465,51.60
7.793,180.50,0.468,51.60
7.803,180.40,0.473,51.50
7.812,180.30,0.478,51.20
7.826,180.20,0.483,51.00
7.837,180.10,0.487,50.90
7.845,180.00,0.492,50.90
7.862,180.00,0.495,51.10
7.874,179.90,0.5,51.40
