Time,Length,Pressure,Force
2,181.90,0.702,28.24
2,181.90,0.701,28.24
3,181.90,0.701,28.24
3,181.90,0.701,28.24
3,181.90,0.701,28.24
4,181.90,0.701,28.24
4,181.90,0.701,28.24
4,181.90,0.702,28.24
5,181.90,0.701,28.24
5,181.90,0.701,28.24
11,181.90,0.701,28.24
23,181.90,0.701,28.24
35,181.90,0.699,28.24
47,181.90,0.699,28.24
59,181.90,0.699,28.24
66,181.90,0.699,28.24
84,181.90,0.699,28.24
97,181.90,0.699,28.24
103,181.90,0.699,28.24
115,181.90,0.699,28.24
132,181.90,0.698,28.24
148,181.90,0.701,28.24
157,181.90,0.699,28.24
164,181.90,0.701,28.24
176,181.90,0.701,28.24
195,181.90,0.699,28.24
211,181.90,0.699,28.24
220,181.90,0.699,28.24
233,181.90,0.701,28.24
248,181.90,0.701,28.24
260,181.90,0.701,28.24
273,181.90,0.701,28.24
280,181.90,0.701,28.24
295,181.90,0.699,28.24
306,181.90,0.699,28.24
312,181.90,0.699,28.24
329,181.90,0.699,28.24
345,181.90,0.699,28.24
359,181.90,0.698,28.24
369,181.90,0.699,28.24
378,181.90,0.699,28.24
393,181.90,0.699,28.24
410,181.90,0.699,28.24
420,181.90,0.699,28.24
437,181.90,0.701,28.24
448,181.90,0.701,28.24
456,181.90,0.699,28.24
473,181.90,0.699,28.24
485,181.90,0.701,28.24
497,181.90,0.699,28.24
510,181.90,0.701,28.24
522,181.90,0.701,28.24
527,181.90,0.701,28.24
543,181.90,0.701,28.24
556,181.90,0.699,28.24
572,181.90,0.699,28.24
582,181.90,0.699,28.24
589,181.90,0.699,28.24
608,181.90,0.699,28.24
620,181.90,0.699,28.24
630,181.90,0.699,28.24
638,181.90,0.699,28.24
658,181.90,0.699,28.24
672,181.90,0.699,28.24
672,181.90,0.699,28.24
699,181.90,0.701,28.24
709,181.90,0.699,28.24
724,181.90,0.699,28.24
729,181.90,0.699,28.24
741,181.90,0.699,28.24
757,181.90,0.699,28.24
773,181.90,0.699,28.24
783,181.90,0.699,28.24
791,181.90,0.701,28.24
810,181.90,0.699,28.15
821,181.90,0.699,28.15
821,181.90,0.699,28.15
848,181.90,0.699,28.15
858,181.90,0.699,28.15
872,181.90,0.699,28.15
883,181.90,0.699,28.15
896,181.90,0.699,28.15
908,181.90,0.698,28.15
923,181.90,0.698,28.15
936,181.90,0.701,28.15
948,181.90,0.699,28.15
951,181.90,0.699,28.15
971,181.90,0.701,28.15
986,181.90,0.699,28.15
989,181.90,0.699,28.15
1009,181.90,0.699,28.15
1022,181.90,0.699,28.15
1033,181.90,0.701,28.15
1036,181.90,0.699,28.15
1055,181.90,0.701,28.15
1069,181.90,0.701,28.15
1085,181.90,0.699,28.15
1094,181.90,0.699,28.15
1108,181.90,0.698,28.15
1121,181.90,0.699,28.15
1133,181.90,0.699,28.15
1145,181.90,0.698,28.15
1158,181.90,0.699,28.15
1168,181.90,0.699,28.15
1184,181.90,0.698,28.15
1184,181.90,0.699,28.15
1210,181.90,0.698,28.15
1220,181.90,0.699,28.15
1234,181.90,0.699,28.15
1239,181.90,0.699,28.15
1258,181.90,0.699,28.15
1271,181.90,0.699,28.15
1271,181.90,0.699,28.15
1297,181.90,0.699,28.15
1309,181.90,0.699,28.15
1317,181.90,0.699,28.15
1334,181.90,0.699,28.15
1345,181.90,0.698,28.15
1358,181.90,0.698,28.15
1364,181.90,0.698,28.15
1379,181.90,0.698,28.15
1394,181.90,0.699,28.15
1402,181.90,0.698,28.15
1419,181.90,0.698,28.15
1432,181.90,0.699,28.15
1448,181.90,0.698,28.15
1460,181.90,0.699,28.15
1472,181.90,0.699,28.15
1485,181.90,0.699,28.15
1498,181.90,0.699,28.15
1510,181.90,0.698,28.15
1521,181.90,0.699,28.15
1534,181.90,0.699,28.15
1546,181.90,0.698,28.15
1559,181.90,0.699,28.15
1571,181.90,0.698,28.15
1584,181.90,0.699,28.15
1596,181.90,0.699,28.15
1605,181.90,0.698,28.15
1611,181.90,0.699,28.15
1632,181.90,0.698,28.15
1645,181.90,0.698,28.15
1648,181.90,0.699,28.15
1661,181.90,0.699,28.15
1671,181.90,0.698,28.15
1694,181.90,0.699,28.15
1707,181.90,0.698,28.15
1722,181.90,0.699,28.15
1734,181.90,0.699,28.15
1747,181.90,0.699,28.15
1759,181.90,0.699,28.15
1772,181.90,0.699,28.15
1784,181.90,0.698,28.15
1796,181.90,0.699,28.15
1808,181.90,0.698,28.15
1821,181.90,0.699,28.15
1833,181.90,0.699,28.15
1845,181.90,0.699,28.15
1858,181.90,0.699,28.15
1870,181.90,0.698,28.15
1882,181.90,0.698,28.15
1895,181.90,0.699,28.15
1907,181.90,0.699,28.05
1919,181.90,0.698,28.05
1932,181.90,0.698,28.05
1944,181.90,0.698,28.05
1956,181.90,0.698,28.05
1972,181.90,0.698,28.05
1984,181.90,0.699,28.05
1996,181.90,0.699,28.05
2009,181.90,0.698,28.15
2022,181.90,0.698,28.15
2034,181.90,0.699,28.15
2046,181.90,0.698,28.15
2059,181.90,0.698,28.05
2070,181.90,0.699,28.05
2083,181.90,0.698,28.05
2095,181.90,0.698,28.05
2107,181.90,0.698,28.05
2120,181.90,0.698,28.05
2132,181.90,0.698,28.05
2144,181.90,0.698,28.05
2157,181.90,0.698,28.05
2169,181.90,0.698,28.05
2181,181.90,0.697,28.05
2194,181.90,0.698,28.05
2206,181.90,0.697,28.05
2218,181.90,0.698,28.05
2235,181.90,0.698,28.05
2247,181.90,0.699,28.05
2259,181.90,0.698,28.05
2272,181.90,0.699,28.05
