Time,Length,Pressure,Force
3,175.70,0.611,-0.10
3,175.70,0.611,-0.10
4,175.70,0.613,-0.10
4,175.70,0.611,-0.10
5,175.70,0.613,-0.10
6,175.70,0.613,-0.10
7,175.70,0.613,-0.10
7,175.70,0.611,-0.10
8,175.70,0.611,-0.10
8,175.70,0.613,-0.10
9,175.70,0.611,-0.10
9,175.70,0.61,-0.10
22,175.70,0.61,-0.10
32,175.70,0.61,-0.10
50,175.70,0.61,-0.10
62,175.70,0.611,-0.10
74,175.70,0.611,-0.10
87,175.70,0.611,-0.10
99,175.70,0.611,-0.10
110,175.70,0.611,-0.10
117,175.70,0.611,-0.10
135,175.70,0.611,-0.10
149,175.70,0.611,-0.10
161,175.70,0.61,-0.10
173,175.70,0.61,-0.10
186,175.70,0.611,-0.10
198,175.70,0.61,-0.10
203,175.70,0.61,-0.10
222,175.70,0.611,-0.10
235,175.70,0.61,-0.10
247,175.70,0.611,-0.10
259,175.70,0.61,-0.10
272,175.70,0.61,-0.10
282,175.70,0.61,-0.10
293,175.70,0.611,-0.10
311,175.70,0.61,-0.10
324,175.70,0.611,-0.10
324,175.70,0.611,-0.10
342,175.70,0.611,-0.10
359,175.70,0.61,-0.10
375,175.70,0.61,-0.10
386,175.70,0.611,-0.10
398,175.70,0.611,-0.10
409,175.70,0.61,-0.10
423,175.70,0.611,-0.10
426,175.70,0.611,-0.10
448,175.70,0.611,-0.10
460,175.70,0.611,-0.10
472,175.70,0.609,-0.10
485,175.70,0.61,0.00
495,175.70,0.61,0.00
504,175.70,0.61,0.00
523,175.70,0.61,0.00
531,175.70,0.61,0.00
541,175.70,0.61,0.00
553,175.70,0.61,0.00
568,175.70,0.61,0.00
585,175.70,0.611,0.00
594,175.70,0.611,0.00
607,175.70,0.611,0.00
621,175.70,0.611,0.00
637,175.70,0.611,0.00
647,175.70,0.611,0.00
660,175.70,0.611,0.00
672,175.70,0.611,0.00
686,175.70,0.611,0.00
698,175.70,0.61,0.00
711,175.70,0.611,0.00
722,175.70,0.611,0.00
734,175.70,0.611,0.00
743,175.70,0.61,0.00
760,175.70,0.61,0.00
770,175.70,0.61,0.00
775,175.70,0.611,0.00
792,175.70,0.61,0.00
808,175.70,0.61,0.00
808,175.70,0.61,0.00
835,175.70,0.61,-0.10
848,175.70,0.611,-0.10
857,175.70,0.61,-0.10
873,175.70,0.611,-0.10
886,175.70,0.611,0.00
898,175.70,0.611,0.00
908,175.70,0.611,0.00
922,175.70,0.611,0.00
