Time,Length,Pressure,Force
1,196.20,0.517,12.60
3,196.20,0.517,12.60
3,196.20,0.517,12.60
4,196.20,0.517,12.60
4,196.20,0.517,12.60
5,196.20,0.517,12.60
5,196.20,0.517,12.60
6,196.20,0.517,12.60
7,196.20,0.517,12.60
7,196.20,0.517,12.60
8,196.20,0.517,12.60
8,196.20,0.517,12.60
9,196.20,0.517,12.60
9,196.20,0.517,12.60
9,196.20,0.517,12.60
9,196.20,0.516,12.60
26,196.20,0.516,12.60
45,196.20,0.516,12.60
62,196.20,0.516,12.60
83,196.20,0.516,12.60
102,196.20,0.515,12.60
122,196.20,0.516,12.60
143,196.20,0.516,12.60
165,196.20,0.516,12.60
185,196.20,0.515,12.60
199,196.20,0.515,12.60
222,196.20,0.516,12.60
243,196.20,0.516,12.60
264,196.20,0.515,12.60
283,196.20,0.515,12.60
299,196.20,0.516,12.60
317,196.20,0.516,12.60
333,196.20,0.517,12.60
366,196.20,0.515,12.60
383,196.20,0.516,12.60
402,196.20,0.516,12.60
420,196.20,0.516,12.60
443,196.20,0.516,12.60
464,196.20,0.515,12.60
485,196.20,0.516,12.60
505,196.20,0.516,12.60
526,196.20,0.516,12.60
537,196.20,0.516,12.60
561,196.20,0.515,12.60
579,196.20,0.516,12.60
592,196.20,0.516,12.60
624,196.20,0.516,12.60
645,196.20,0.516,12.60
666,196.20,0.516,12.60
685,196.20,0.515,12.60
689,196.20,0.516,12.60
723,196.20,0.516,12.60
743,196.20,0.516,12.60
759,196.20,0.516,12.60
778,196.20,0.515,12.60
796,196.20,0.516,12.60
824,196.20,0.516,12.60
835,196.20,0.516,12.60
861,196.20,0.516,12.60
881,196.20,0.516,12.60
903,196.20,0.516,12.60
923,196.20,0.517,12.60
944,196.20,0.517,12.60
963,196.20,0.516,12.60
980,196.20,0.516,12.60
991,196.20,0.516,12.60
1025,196.20,0.516,12.60
1041,196.20,0.516,12.60
1060,196.20,0.516,12.60
1075,196.20,0.516,12.60
1103,196.20,0.515,12.60
1123,196.20,0.516,12.60
1144,196.20,0.516,12.60
1164,196.20,0.515,12.60
1167,196.20,0.515,12.60
1199,196.20,0.516,12.60
1216,196.20,0.516,12.60
1231,196.20,0.516,12.60
1264,196.20,0.515,12.60
1271,196.20,0.515,12.60
1289,196.20,0.516,12.60
1322,196.20,0.516,12.60
1326,196.20,0.516,12.60
1361,196.20,0.516,12.60
1377,196.20,0.516,12.60
1402,196.20,0.516,12.60
1420,196.20,0.516,12.60
1433,196.20,0.516,12.60
1459,196.20,0.516,12.60
1482,196.20,0.516,12.60
1499,196.20,0.515,12.60
1517,196.20,0.516,12.60
1542,196.20,0.516,12.60
1562,196.20,0.516,12.60
1582,196.20,0.516,12.60
1603,196.20,0.516,12.60
1620,196.20,0.516,12.60
1644,196.20,0.516,12.60
1649,196.20,0.516,12.60
1681,196.20,0.515,12.60
1698,196.20,0.516,12.60
1720,196.20,0.516,12.60
1735,196.20,0.516,12.60
1763,196.20,0.515,12.60
1783,196.20,0.515,12.60
1803,196.20,0.516,12.60
1820,196.20,0.516,12.60
1840,196.20,0.516,12.60
1861,196.20,0.515,12.60
1878,196.20,0.516,12.60
1895,196.20,0.515,12.60
1919,196.20,0.516,12.60
1942,196.20,0.516,12.60
1945,196.20,0.516,12.60
1980,196.20,0.516,12.60
2001,196.20,0.516,12.60
2022,196.20,0.515,12.60
2033,196.20,0.516,12.60
2059,196.20,0.516,12.60
2082,196.20,0.516,12.60
2097,196.20,0.515,12.60
2113,196.20,0.516,12.60
2131,196.20,0.516,12.60
2158,196.20,0.516,12.60
2181,196.20,0.516,12.60
2188,196.20,0.515,12.60
2217,196.20,0.516,12.60
2241,196.10,0.517,12.50
2259,196.00,0.516,12.00
2276,195.90,0.515,11.30
2296,195.90,0.516,10.70
2321,195.80,0.515,10.30
2330,195.70,0.516,9.90
2362,195.70,0.515,9.60
2379,195.60,0.516,9.20
2395,195.50,0.516,8.80
2412,195.40,0.516,8.40
2439,195.30,0.516,8.10
2459,195.10,0.515,7.70
2480,195.00,0.515,7.30
2498,194.90,0.515,6.90
2517,194.80,0.515,6.50
2538,194.70,0.516,6.20
2552,194.60,0.516,5.90
2579,194.60,0.515,5.80
2602,194.50,0.515,5.70
2620,194.50,0.516,5.70
2636,194.50,0.516,5.80
2661,194.50,0.516,5.90
2681,194.50,0.515,5.90
2700,194.50,0.515,6.00
2721,194.50,0.516,6.00
2729,194.50,0.516,6.00
2756,194.50,0.516,6.00
2780,194.50,0.515,6.00
2798,194.50,0.516,6.00
2817,194.50,0.515,6.00
2839,194.50,0.516,6.10
2853,194.50,0.516,6.10
2880,194.50,0.515,6.10
2901,194.50,0.516,6.10
2914,194.50,0.516,6.10
2938,194.50,0.516,6.10
2959,194.50,0.516,6.10
2967,194.50,0.515,6.10
3000,194.50,0.516,6.20
3018,194.50,0.515,6.20
3036,194.50,0.516,6.20
3049,194.50,0.516,6.20
3076,194.50,0.516,6.20
3099,194.50,0.516,6.20
3118,194.50,0.515,6.20
3139,194.50,0.516,6.20
3160,194.50,0.516,6.20
3180,194.60,0.515,6.30
3200,194.60,0.516,6.30
3217,194.60,0.516,6.40
3227,194.60,0.515,6.40
3257,194.60,0.516,6.40
3273,194.60,0.515,6.40
3287,194.60,0.516,6.50
3320,194.60,0.516,6.60
3338,194.70,0.516,6.80
3359,194.70,0.516,7.00
3379,194.70,0.516,7.10
3391,194.70,0.515,7.20
3417,194.70,0.515,7.30
3438,194.70,0.516,7.30
3456,194.70,0.516,7.30
3472,194.70,0.516,7.30
3499,194.70,0.516,7.30
3520,194.70,0.516,7.30
3537,194.70,0.516,7.30
3556,194.70,0.516,7.30
3577,194.70,0.515,7.30
3597,194.70,0.516,7.30
3608,194.70,0.516,7.30
3635,194.70,0.515,7.40
3657,194.80,0.516,7.60
3677,194.80,0.516,7.70
3688,194.80,0.516,7.80
3702,194.80,0.516,7.80
3736,194.80,0.516,7.90
3761,194.80,0.515,8.00
3778,194.90,0.515,8.20
3799,194.90,0.515,8.40
3819,195.00,0.515,8.60
3836,195.00,0.515,8.90
3854,195.00,0.516,9.00
3873,195.00,0.516,9.00
3893,195.00,0.515,9.00
3918,195.00,0.515,9.00
3935,195.00,0.515,9.00
3951,195.00,0.516,8.90
3978,195.00,0.515,8.90
3986,195.00,0.516,9.00
4016,195.10,0.515,9.10
4035,195.20,0.515,9.40
4046,195.30,0.516,9.90
4078,195.40,0.516,10.50
4098,195.50,0.516,11.10
4118,195.60,0.516,11.60
4128,195.70,0.516,12.30
4155,195.90,0.516,12.90
4179,196.00,0.516,13.50
4196,196.10,0.516,14.10
4216,196.20,0.516,14.50
4236,196.30,0.516,14.90
4257,196.40,0.516,15.30
4278,196.50,0.516,15.70
4286,196.60,0.516,16.10
4319,196.80,0.516,16.70
4335,197.00,0.516,17.30
4352,197.20,0.517,18.00
4377,197.30,0.517,18.70
4382,197.50,0.516,19.50
4417,197.70,0.516,20.30
4437,197.90,0.516,21.10
4458,198.10,0.517,21.90
4478,198.20,0.517,22.50
4494,198.30,0.517,23.10
4512,198.50,0.516,23.80
4528,198.60,0.517,24.30
4555,198.70,0.517,24.90
4576,198.80,0.517,25.40
4594,199.00,0.516,26.00
4611,199.10,0.517,26.50
4637,199.20,0.516,27.10
4645,199.40,0.517,27.80
4675,199.60,0.517,28.40
4681,199.80,0.517,29.10
4714,199.90,0.517,30.00
4729,200.20,0.517,30.80
4757,200.40,0.517,31.70
4766,200.60,0.517,32.80
