Time,Pressure_in,Pressure_out,Flow,Voltage
5913,0.00,0.00,0.00,10.00
5922,0.00,0.00,0.00,-15.03
5941,0.00,0.00,0.00,-15.33
5954,0.00,0.00,0.00,-15.65
5956,0.00,0.00,0.00,-16.00
5976,0.00,0.00,0.00,-16.31
5989,0.00,0.00,0.00,-16.63
6004,0.00,0.00,0.00,-16.98
6019,0.00,0.00,0.00,-17.28
6029,0.00,0.00,0.00,-17.61
6043,0.00,0.00,0.00,-17.91
6056,0.00,0.00,0.00,-18.25
6060,0.00,0.00,0.00,-18.57
6080,0.00,0.00,0.00,-18.87
6093,0.00,0.00,0.00,-19.22
6110,0.00,0.00,0.00,-19.53
6122,0.00,0.00,0.00,-19.83
6134,0.00,0.00,0.00,-20.17
6146,0.00,0.00,0.00,-20.48
6159,0.00,0.00,0.00,-20.77
6171,0.00,0.00,0.00,-21.08
6187,0.00,0.00,0.00,-21.42
6196,0.00,0.00,0.00,-21.70
6212,0.00,0.00,0.00,-22.01
6221,0.00,0.00,0.00,-22.32
6237,0.00,0.00,0.00,-22.62
6249,0.00,0.00,0.00,-22.92
6265,0.00,0.00,0.00,-23.22
6278,0.00,0.00,0.00,-23.52
6290,0.00,0.00,0.00,-23.81
6303,0.00,0.00,0.00,-24.10
6315,0.00,0.00,0.00,-24.39
6327,0.00,0.00,0.00,-24.68
6343,0.00,0.00,0.00,-24.94
6355,0.00,0.00,0.00,-25.25
6368,0.00,0.00,0.00,-25.50
6380,0.00,0.00,0.00,-25.78
6391,0.00,0.00,0.00,-26.07
6404,0.00,0.00,0.00,-26.32
6421,0.00,0.00,0.00,-26.59
6429,0.00,0.00,0.00,-26.88
6445,0.00,0.00,0.00,-27.12
6456,0.00,0.00,0.00,-27.38
6470,0.00,0.00,0.00,-27.63
6472,0.00,0.00,0.00,-27.88
6487,0.00,0.00,0.00,-28.13
6510,0.00,0.00,0.00,-28.36
6522,0.00,0.00,0.00,-28.62
6537,0.00,0.00,0.00,-28.85
6548,0.00,0.00,0.00,-29.07
6560,0.00,0.00,0.00,-29.32
6573,0.00,0.00,0.00,-29.54
6589,0.00,0.00,0.00,-29.75
6602,0.00,0.00,0.00,-29.97
6614,0.00,0.00,0.00,-30.20
6626,0.00,0.00,0.00,-30.39
6639,0.00,0.00,0.00,-30.60
6651,0.00,0.00,0.00,-30.80
