Time,Length,Pressure,Force
14,0.00,0.803,0.00
35,0.00,0.804,0.00
55,0.00,0.802,0.00
68,0.00,0.802,0.00
89,0.00,0.803,0.00
106,0.00,0.804,0.00
133,0.00,0.802,0.00
143,0.00,0.803,0.00
175,0.00,0.803,0.00
195,0.00,0.803,0.00
213,0.00,0.803,0.00
222,0.00,0.803,0.00
256,0.00,0.804,0.00
263,0.00,0.803,0.00
293,0.00,0.804,0.00
300,0.00,0.802,0.00
321,0.00,0.803,0.00
355,0.00,0.803,0.00
372,0.00,0.803,0.00
390,0.00,0.803,0.00
408,0.00,0.803,0.00
425,0.00,0.804,0.00
450,0.00,0.802,0.00
473,0.00,0.803,0.00
492,0.00,0.803,0.00
514,0.00,0.803,0.00
524,0.00,0.803,0.00
550,0.00,0.803,0.00
574,0.00,0.804,0.00
592,0.00,0.803,0.00
613,0.00,0.804,0.00
633,0.00,0.803,0.00
649,0.00,0.803,0.00
671,0.00,0.802,0.00
694,0.00,0.802,0.00
714,0.00,0.803,0.00
731,0.00,0.803,0.00
749,0.00,0.802,0.00
757,0.00,0.803,0.00
792,0.00,0.802,0.00
806,0.00,0.803,0.00
834,0.00,0.804,0.00
855,0.00,0.803,0.00
873,0.00,0.803,0.00
891,0.00,0.803,0.00
912,0.00,0.803,0.00
932,0.00,0.804,0.00
952,0.00,0.804,0.00
972,0.00,0.803,0.00
992,0.00,0.803,0.00
1008,0.00,0.803,0.00
1027,0.00,0.803,0.00
1045,0.00,0.803,0.00
1056,0.00,0.803,0.00
1092,0.00,0.802,0.00
1113,0.00,0.803,0.00
1133,0.00,0.803,0.00
1149,0.00,0.802,0.00
1173,0.00,0.803,0.00
1193,0.00,0.803,0.00
1199,0.00,0.803,0.00
1230,0.00,0.803,0.00
1247,0.00,0.804,0.00
1264,0.00,0.803,0.00
1289,0.00,0.803,0.00
1313,0.00,0.803,0.00
1330,0.00,0.803,0.00
1353,0.00,0.803,0.00
1370,0.00,0.803,0.00
1390,0.00,0.804,0.00
1411,0.00,0.803,0.00
1428,0.00,0.803,0.00
1452,0.00,0.803,0.00
1472,0.00,0.802,0.00
1493,0.00,0.803,0.00
1510,0.00,0.804,0.00
1530,0.00,0.803,0.00
1551,0.00,0.803,0.00
1570,0.00,0.803,0.00
1591,0.00,0.803,0.00
1611,0.00,0.803,0.00
1629,0.00,0.803,0.00
1652,0.00,0.803,0.00
1669,0.00,0.802,0.00
1690,0.00,0.803,0.00
1709,0.00,0.803,0.00
1729,0.00,0.803,0.00
1751,0.00,0.803,0.00
1771,0.00,0.803,0.00
1792,0.00,0.803,0.00
1812,0.00,0.803,0.00
1820,0.00,0.803,0.00
1849,0.00,0.803,0.00
1869,0.00,0.803,0.00
1891,0.00,0.803,0.00
1910,0.00,0.803,0.00
1931,0.00,0.802,0.00
1951,0.00,0.803,0.00
1972,0.00,0.802,0.00
1988,0.00,0.803,0.00
2009,0.00,0.803,0.00
2029,0.00,0.803,0.00
2049,0.00,0.803,0.00
2070,0.00,0.803,0.00
2091,0.00,0.804,0.00
2111,0.00,0.803,0.00
2119,0.00,0.803,0.00
2148,0.00,0.803,0.00
2168,0.00,0.803,0.00
2189,0.00,0.803,0.00
2209,0.00,0.803,0.00
2230,0.00,0.803,0.00
2251,0.00,0.802,0.00
2271,0.00,0.803,0.00
2291,0.00,0.803,0.00
2307,0.00,0.803,0.00
2328,0.00,0.803,0.00
2349,0.00,0.803,0.00
2370,0.00,0.802,0.00
2389,0.00,0.803,0.00
2410,0.00,0.804,0.00
2431,0.00,0.803,0.00
2451,0.00,0.804,0.00
2467,0.00,0.803,0.00
2488,0.00,0.803,0.00
2501,0.00,0.803,0.00
2528,0.00,0.803,0.00
2551,0.00,0.802,0.00
2569,0.00,0.802,0.00
2590,0.00,0.803,0.00
2611,0.00,0.803,0.00
2631,0.00,0.804,0.00
2648,0.00,0.803,0.00
2667,0.00,0.803,0.00
2689,0.00,0.802,0.00
2709,0.00,0.803,0.00
2730,0.00,0.802,0.00
2750,0.00,0.803,0.00
2770,0.00,0.803,0.00
2779,0.00,0.803,0.00
2807,0.00,0.803,0.00
2828,0.00,0.803,0.00
2848,0.00,0.803,0.00
2864,0.00,0.803,0.00
2889,0.00,0.803,0.00
2910,0.00,0.803,0.00
2926,0.00,0.802,0.00
2947,0.00,0.803,0.00
2967,0.00,0.802,0.00
2987,0.00,0.803,0.00
3008,0.00,0.803,0.00
3029,0.00,0.803,0.00
3049,0.00,0.803,0.00
3069,0.00,0.803,0.00
3087,0.00,0.803,0.00
3106,0.00,0.803,0.00
3127,0.00,0.803,0.00
3147,0.00,0.803,0.00
3163,0.00,0.803,0.00
3189,0.00,0.802,0.00
3203,0.00,0.803,0.00
3221,0.00,0.803,0.00
3241,0.00,0.803,0.00
3269,0.00,0.802,0.00
3287,0.00,0.803,0.00
3307,0.00,0.803,0.00
3327,0.00,0.802,0.00
3347,0.00,0.803,0.00
3369,0.00,0.802,0.00
3389,0.00,0.803,0.00
3405,0.00,0.803,0.00
3423,0.00,0.803,0.00
3445,0.00,0.803,0.00
3467,0.00,0.803,0.00
