Time,Length,Pressure,Force
2,0.00,0.398,0.00
2,0.00,0.396,0.00
2,0.00,0.396,0.00
2,0.00,0.398,0.00
3,0.00,0.396,0.00
3,0.00,0.398,0.00
3,0.00,0.398,0.00
4,0.00,0.396,0.00
4,0.00,0.398,0.00
5,0.00,0.396,0.00
5,0.00,0.396,0.00
7,0.00,0.398,0.00
26,0.00,0.395,0.00
43,0.00,0.396,0.00
60,0.00,0.396,0.00
85,0.00,0.396,0.00
105,0.00,0.396,0.00
121,0.00,0.396,0.00
138,0.00,0.396,0.00
163,0.00,0.396,0.00
172,0.00,0.396,0.00
205,0.00,0.396,0.00
224,0.00,0.396,0.00
244,0.00,0.396,0.00
259,0.00,0.396,0.00
285,0.00,0.396,0.00
302,0.00,0.396,0.00
318,0.00,0.395,0.00
344,0.00,0.396,0.00
360,0.00,0.398,0.00
384,0.00,0.396,0.00
400,0.00,0.396,0.00
425,0.00,0.396,0.00
445,0.00,0.396,0.00
466,0.00,0.398,0.00
486,0.00,0.396,0.00
506,0.00,0.396,0.00
522,0.00,0.398,0.00
538,0.00,0.396,0.00
565,0.00,0.396,0.00
571,0.00,0.396,0.00
605,0.00,0.396,0.00
623,0.00,0.396,0.00
646,0.00,0.396,0.00
666,0.00,0.396,0.00
686,0.00,0.396,0.00
703,0.00,0.396,0.00
716,0.00,0.396,0.00
742,0.00,0.396,0.00
764,0.00,0.396,0.00
785,0.00,0.396,0.00
805,0.00,0.396,0.00
826,0.00,0.396,0.00
845,0.00,0.396,0.00
862,0.00,0.396,0.00
882,0.00,0.396,0.00
903,0.00,0.396,0.00
924,0.00,0.396,0.00
945,0.00,0.396,0.00
964,0.00,0.396,0.00
984,0.00,0.396,0.00
1000,0.00,0.396,0.00
1022,0.00,0.396,0.00
1042,0.00,0.396,0.00
1063,0.00,0.396,0.00
1084,0.00,0.396,0.00
1104,0.00,0.396,0.00
1121,0.00,0.396,0.00
1145,0.00,0.396,0.00
1162,0.00,0.396,0.00
1172,0.00,0.396,0.00
1199,0.00,0.396,0.00
1214,0.00,0.396,0.00
1232,0.00,0.396,0.00
1264,0.00,0.395,0.00
1272,0.00,0.396,0.00
1305,0.00,0.395,0.00
1321,0.00,0.396,0.00
1342,0.00,0.396,0.00
1362,0.00,0.396,0.00
1381,0.00,0.396,0.00
1401,0.00,0.396,0.00
1417,0.00,0.398,0.00
1443,0.00,0.396,0.00
1462,0.00,0.398,0.00
1476,0.00,0.396,0.00
1502,0.00,0.396,0.00
1522,0.00,0.396,0.00
1543,0.00,0.396,0.00
1563,0.00,0.396,0.00
1581,0.00,0.396,0.00
1598,0.00,0.396,0.00
1618,0.00,0.396,0.00
1646,0.00,0.396,0.00
1663,0.00,0.398,0.00
1680,0.00,0.396,0.00
1698,0.00,0.396,0.00
1717,0.00,0.396,0.00
1744,0.00,0.396,0.00
1764,0.00,0.396,0.00
1784,0.00,0.396,0.00
1801,0.00,0.396,0.00
1819,0.00,0.395,0.00
1839,0.00,0.396,0.00
1862,0.00,0.396,0.00
1873,0.00,0.396,0.00
1890,0.00,0.396,0.00
1923,0.00,0.396,0.00
1941,0.00,0.396,0.00
1960,0.00,0.396,0.00
