Time,Length,Pressure,Force
13,0.00,0.701,0.00
35,0.00,0.701,0.00
52,0.00,0.701,0.00
63,0.00,0.701,0.00
95,0.00,0.702,0.00
116,0.00,0.702,0.00
133,0.00,0.701,0.00
153,0.00,0.701,0.00
174,0.00,0.701,0.00
186,0.00,0.701,0.00
213,0.00,0.701,0.00
236,0.00,0.701,0.00
256,0.00,0.701,0.00
276,0.00,0.701,0.00
291,0.00,0.701,0.00
309,0.00,0.701,0.00
329,0.00,0.701,0.00
355,0.00,0.702,0.00
373,0.00,0.701,0.00
390,0.00,0.701,0.00
410,0.00,0.701,0.00
424,0.00,0.701,0.00
453,0.00,0.702,0.00
472,0.00,0.701,0.00
493,0.00,0.699,0.00
513,0.00,0.701,0.00
534,0.00,0.701,0.00
555,0.00,0.702,0.00
573,0.00,0.701,0.00
593,0.00,0.701,0.00
610,0.00,0.701,0.00
631,0.00,0.701,0.00
655,0.00,0.701,0.00
674,0.00,0.701,0.00
694,0.00,0.702,0.00
714,0.00,0.702,0.00
729,0.00,0.701,0.00
756,0.00,0.701,0.00
761,0.00,0.702,0.00
793,0.00,0.701,0.00
810,0.00,0.701,0.00
828,0.00,0.701,0.00
854,0.00,0.701,0.00
865,0.00,0.701,0.00
895,0.00,0.701,0.00
915,0.00,0.701,0.00
932,0.00,0.701,0.00
952,0.00,0.702,0.00
961,0.00,0.701,0.00
994,0.00,0.702,0.00
1014,0.00,0.701,0.00
1023,0.00,0.701,0.00
1049,0.00,0.702,0.00
1067,0.00,0.701,0.00
1086,0.00,0.702,0.00
1112,0.00,0.701,0.00
1132,0.00,0.702,0.00
1153,0.00,0.701,0.00
1166,0.00,0.701,0.00
1191,0.00,0.701,0.00
1209,0.00,0.701,0.00
1228,0.00,0.701,0.00
1240,0.00,0.701,0.00
1272,0.00,0.701,0.00
1288,0.00,0.701,0.00
1309,0.00,0.701,0.00
1333,0.00,0.702,0.00
1354,0.00,0.701,0.00
1374,0.00,0.701,0.00
1381,0.00,0.701,0.00
1408,0.00,0.702,0.00
1431,0.00,0.702,0.00
1452,0.00,0.701,0.00
1466,0.00,0.701,0.00
1483,0.00,0.701,0.00
1509,0.00,0.702,0.00
1530,0.00,0.702,0.00
1554,0.00,0.701,0.00
1567,0.00,0.701,0.00
1591,0.00,0.702,0.00
1611,0.00,0.702,0.00
1623,0.00,0.701,0.00
1650,0.00,0.701,0.00
1672,0.00,0.701,0.00
1691,0.00,0.701,0.00
1710,0.00,0.699,0.00
1718,0.00,0.702,0.00
1748,0.00,0.701,0.00
1772,0.00,0.701,0.00
1791,0.00,0.701,0.00
1812,0.00,0.701,0.00
1830,0.00,0.702,0.00
1845,0.00,0.702,0.00
1873,0.00,0.702,0.00
1875,0.00,0.701,0.00
1909,0.00,0.702,0.00
1930,0.00,0.701,0.00
1953,0.00,0.701,0.00
1961,0.00,0.701,0.00
1993,0.00,0.701,0.00
2013,0.00,0.701,0.00
2029,0.00,0.702,0.00
2048,0.00,0.702,0.00
2059,0.00,0.701,0.00
2091,0.00,0.702,0.00
2112,0.00,0.702,0.00
2124,0.00,0.701,0.00
2140,0.00,0.702,0.00
2172,0.00,0.701,0.00
2190,0.00,0.701,0.00
2210,0.00,0.702,0.00
2230,0.00,0.701,0.00
2251,0.00,0.701,0.00
2271,0.00,0.701,0.00
2283,0.00,0.701,0.00
2310,0.00,0.701,0.00
2333,0.00,0.701,0.00
2349,0.00,0.699,0.00
2370,0.00,0.701,0.00
2391,0.00,0.702,0.00
2411,0.00,0.701,0.00
2424,0.00,0.702,0.00
2442,0.00,0.701,0.00
2472,0.00,0.702,0.00
2488,0.00,0.701,0.00
2506,0.00,0.701,0.00
2524,0.00,0.701,0.00
2550,0.00,0.701,0.00
2561,0.00,0.701,0.00
2590,0.00,0.702,0.00
2611,0.00,0.701,0.00
2631,0.00,0.701,0.00
2639,0.00,0.702,0.00
2669,0.00,0.701,0.00
2689,0.00,0.701,0.00
2710,0.00,0.702,0.00
2727,0.00,0.701,0.00
2739,0.00,0.701,0.00
2767,0.00,0.701,0.00
2790,0.00,0.701,0.00
2812,0.00,0.701,0.00
2828,0.00,0.701,0.00
2847,0.00,0.701,0.00
2863,0.00,0.702,0.00
2890,0.00,0.701,0.00
2910,0.00,0.701,0.00
2930,0.00,0.702,0.00
2951,0.00,0.701,0.00
2957,0.00,0.701,0.00
2973,0.00,0.701,0.00
3007,0.00,0.701,0.00
3023,0.00,0.701,0.00
3037,0.00,0.702,0.00
3071,0.00,0.701,0.00
3091,0.00,0.701,0.00
3114,0.00,0.702,0.00
3122,0.00,0.701,0.00
3147,0.00,0.701,0.00
3168,0.00,0.702,0.00
3187,0.00,0.701,0.00
3208,0.00,0.702,0.00
3224,0.00,0.701,0.00
3250,0.00,0.702,0.00
3270,0.00,0.701,0.10
3286,0.10,0.701,0.40
3307,0.20,0.701,0.80
3327,0.30,0.701,1.20
3348,0.40,0.701,1.60
3364,0.50,0.701,1.90
3381,0.60,0.701,2.30
3407,0.70,0.702,2.50
3431,0.80,0.702,2.80
3448,0.90,0.701,3.00
3464,0.90,0.701,3.30
3482,1.00,0.701,3.40
3502,1.10,0.702,3.60
3529,1.20,0.701,3.90
3549,1.30,0.702,4.10
3569,1.40,0.702,4.40
3590,1.50,0.702,4.70
3610,1.60,0.702,5.00
3626,1.70,0.701,5.30
3643,1.90,0.702,5.60
3668,2.00,0.702,5.90
3684,2.10,0.702,6.30
3709,2.20,0.702,6.70
3722,2.30,0.702,7.00
3749,2.30,0.702,7.20
3766,2.30,0.702,7.20
3786,2.30,0.702,7.10
3807,2.30,0.702,7.10
3827,2.30,0.702,7.00
3844,2.30,0.702,7.00
3864,2.30,0.702,7.00
3877,2.30,0.702,7.00
3909,2.30,0.702,7.00
3930,2.30,0.702,7.00
3945,2.30,0.703,7.00
3967,2.30,0.703,7.00
3988,2.30,0.702,7.00
4007,2.30,0.702,6.90
4028,2.30,0.702,6.90
4045,2.30,0.703,6.90
4062,2.30,0.702,6.90
4079,2.30,0.701,6.90
4104,2.30,0.702,6.90
4128,2.30,0.702,6.90
4146,2.30,0.702,6.90
4164,2.30,0.702,6.90
4189,2.30,0.702,6.90
4208,2.30,0.702,6.90
4229,2.30,0.702,6.80
4245,2.30,0.702,6.90
4252,2.30,0.702,6.90
4286,2.30,0.701,6.80
4302,2.30,0.702,6.80
4327,2.30,0.702,6.80
4346,2.30,0.702,6.80
4366,2.30,0.702,6.80
4389,2.30,0.702,6.80
4405,2.30,0.702,6.80
4426,2.30,0.702,6.80
4446,2.30,0.702,6.80
4466,2.30,0.702,6.80
4476,2.30,0.702,6.80
4503,2.30,0.702,6.80
4527,2.30,0.702,6.80
4546,2.30,0.702,6.80
4563,2.30,0.702,6.80
4585,2.30,0.702,6.80
4594,2.30,0.702,6.80
4627,2.30,0.702,6.80
4646,2.30,0.702,6.80
4667,2.30,0.703,6.80
4687,2.30,0.702,6.80
4694,2.30,0.701,6.80
4725,2.30,0.701,6.80
4743,2.30,0.701,6.80
4759,2.30,0.702,6.80
4775,2.30,0.702,6.80
4807,2.30,0.702,6.80
4827,2.30,0.702,6.80
4840,2.30,0.701,6.80
4861,2.30,0.702,6.80
4884,2.30,0.702,6.70
4905,2.30,0.702,6.80
4925,2.30,0.702,6.80
4946,2.30,0.703,6.70
4956,2.30,0.702,6.80
4984,2.30,0.702,6.80
5002,2.30,0.702,6.70
5018,2.30,0.702,6.80
5045,2.30,0.701,6.80
5065,2.30,0.701,6.80
