Time,Length,Pressure,Force
16,0.00,0.5,0.00
32,0.00,0.5,0.00
52,0.00,0.5,0.00
71,0.00,0.5,0.00
93,0.00,0.5,0.00
105,0.00,0.5,0.00
135,0.00,0.5,0.00
153,0.00,0.5,0.00
175,0.00,0.5,0.00
192,0.00,0.5,0.00
208,0.00,0.5,0.00
233,0.00,0.5,0.00
253,0.00,0.5,0.00
262,0.00,0.5,0.00
295,0.00,0.5,0.00
301,0.00,0.5,0.00
330,0.00,0.5,0.00
349,0.00,0.5,0.00
372,0.00,0.5,0.00
389,0.00,0.5,0.00
404,0.00,0.5,0.00
431,0.00,0.5,0.00
447,0.00,0.5,0.00
474,0.00,0.5,0.00
494,0.00,0.5,0.00
515,0.00,0.5,0.00
532,0.00,0.5,0.00
552,0.00,0.5,0.00
559,0.00,0.5,0.00
593,0.00,0.5,0.00
610,0.00,0.5,0.00
627,0.00,0.5,0.00
651,0.00,0.5,0.00
671,0.00,0.5,0.00
692,0.00,0.5,0.00
712,0.00,0.5,0.00
717,0.00,0.5,0.00
751,0.00,0.5,0.00
767,0.00,0.5,0.00
786,0.00,0.5,0.00
815,0.00,0.5,0.00
828,0.00,0.5,0.00
847,0.00,0.5,0.00
872,0.00,0.5,0.00
893,0.00,0.5,0.00
914,0.00,0.5,0.00
923,0.00,0.5,0.00
950,0.00,0.5,0.00
975,0.00,0.5,0.00
992,0.00,0.5,0.00
1009,0.00,0.5,0.00
1026,0.00,0.5,0.00
1052,0.00,0.5,0.00
1074,0.00,0.5,0.00
1093,0.00,0.5,0.00
1113,0.00,0.5,0.00
1134,0.00,0.5,0.00
1147,0.00,0.5,0.00
1159,0.00,0.5,0.00
1186,0.00,0.5,0.00
1213,0.00,0.5,0.00
1233,0.00,0.5,0.00
1251,0.00,0.5,0.00
1274,0.00,0.5,0.00
1293,0.00,0.5,0.00
1309,0.00,0.5,0.00
1331,0.00,0.5,0.00
1351,0.00,0.5,0.00
1370,0.00,0.5,0.00
1392,0.00,0.5,0.00
1411,0.00,0.5,0.00
1430,0.00,0.5,0.00
1450,0.00,0.5,0.00
1459,0.00,0.5,0.00
1491,0.00,0.5,0.00
1511,0.00,0.5,0.00
1532,0.00,0.5,0.00
1552,0.00,0.5,0.00
1571,0.00,0.5,0.00
1592,0.00,0.5,0.00
1613,0.00,0.5,0.00
1629,0.00,0.5,0.00
1650,0.00,0.5,0.00
1670,0.00,0.5,0.00
1687,0.00,0.5,0.00
1708,0.00,0.5,0.00
1732,0.00,0.5,0.00
1752,0.00,0.5,0.00
1772,0.00,0.5,0.00
1793,0.00,0.5,0.00
1811,0.00,0.5,0.00
1831,0.00,0.5,0.00
1846,0.00,0.5,0.00
1871,0.00,0.5,0.00
1889,0.00,0.5,0.00
1901,0.00,0.5,0.00
1928,0.00,0.5,0.00
1935,0.00,0.5,0.00
1971,0.00,0.5,0.00
1991,0.00,0.5,0.00
2011,0.00,0.5,0.00
2031,0.00,0.5,0.00
2052,0.00,0.5,0.00
2059,0.00,0.5,0.00
2092,0.00,0.5,0.00
2110,0.00,0.5,0.00
2130,0.00,0.5,0.00
2136,0.00,0.5,0.00
2170,0.00,0.5,0.00
2191,0.00,0.5,0.00
2211,0.00,0.5,0.00
2232,0.00,0.5,0.00
2248,0.00,0.5,0.00
2268,0.00,0.5,0.00
2288,0.00,0.5,0.00
2304,0.00,0.5,0.00
2324,0.00,0.5,0.00
2351,0.00,0.5,0.00
2368,0.00,0.5,0.00
2391,0.00,0.5,0.00
2407,0.00,0.5,0.00
2428,0.00,0.5,0.00
2449,0.00,0.5,0.00
2460,0.00,0.5,0.00
2486,0.00,0.5,0.00
2510,0.00,0.5,0.00
2528,0.00,0.5,0.00
2544,0.00,0.5,0.00
2563,0.00,0.5,0.00
2589,0.00,0.5,0.00
2596,0.00,0.5,0.00
2629,0.00,0.5,0.00
2648,0.00,0.5,0.00
2670,0.00,0.5,0.00
2688,0.00,0.5,0.00
2705,0.00,0.5,0.00
2726,0.00,0.5,0.00
2746,0.00,0.5,0.00
2769,0.00,0.5,0.00
2788,0.00,0.5,0.00
2810,0.00,0.5,0.00
2828,0.00,0.5,0.00
2850,0.00,0.5,0.00
2870,0.00,0.5,0.00
2887,0.00,0.5,0.00
2908,0.00,0.5,0.00
2927,0.00,0.5,0.00
2946,0.00,0.5,0.00
2958,0.00,0.5,0.00
2990,0.00,0.5,0.00
3009,0.00,0.5,0.00
3026,0.00,0.5,0.00
3038,0.00,0.5,0.00
3068,0.00,0.5,0.00
3088,0.00,0.5,0.00
3108,0.00,0.5,0.00
3128,0.00,0.5,0.00
3149,0.00,0.5,0.00
3169,0.00,0.5,0.00
3185,0.00,0.5,0.00
3201,0.00,0.5,0.00
3227,0.00,0.5,0.00
3244,0.00,0.5,0.00
3269,0.00,0.5,0.00
3289,0.00,0.5,0.00
3309,0.00,0.5,0.00
3329,0.00,0.5,0.00
3346,0.00,0.5,0.00
3363,0.00,0.5,0.00
3382,0.00,0.5,0.00
3403,0.00,0.5,0.00
3428,0.00,0.5,0.00
3448,0.00,0.5,0.00
3457,0.00,0.5,0.00
3489,0.00,0.5,0.00
