Time,Length,Pressure,Force
1,0.00,0.6,0.00
3,0.00,0.6,0.00
4,0.00,0.6,0.00
4,0.00,0.6,0.00
5,0.00,0.6,0.00
5,0.00,0.6,0.00
5,0.00,0.6,0.00
5,0.00,0.6,0.00
6,0.00,0.6,0.00
7,0.00,0.6,0.00
7,0.00,0.6,0.00
9,0.00,0.6,0.00
9,0.00,0.6,0.00
9,0.00,0.6,0.00
10,0.00,0.6,0.00
11,0.00,0.6,0.00
14,0.00,0.6,0.00
36,0.00,0.6,0.00
52,0.00,0.6,0.00
72,0.00,0.6,0.00
80,0.00,0.6,0.00
114,0.00,0.6,0.00
133,0.00,0.6,0.00
151,0.00,0.6,0.00
175,0.00,0.6,0.00
193,0.00,0.6,0.00
212,0.00,0.6,0.00
228,0.00,0.6,0.00
253,0.00,0.6,0.00
271,0.00,0.6,0.00
295,0.00,0.6,0.00
308,0.00,0.6,0.00
335,0.00,0.6,0.00
345,0.00,0.6,0.00
373,0.00,0.6,0.00
393,0.00,0.6,0.00
409,0.00,0.6,0.00
434,0.00,0.6,0.00
453,0.00,0.6,0.00
474,0.00,0.6,0.00
494,0.00,0.6,0.00
513,0.00,0.6,0.00
529,0.00,0.6,0.00
549,0.00,0.6,0.00
570,0.00,0.6,0.00
594,0.00,0.6,0.00
608,0.00,0.6,0.00
634,0.00,0.6,0.00
655,0.00,0.6,0.00
675,0.00,0.6,0.00
685,0.00,0.6,0.00
712,0.00,0.6,0.00
722,0.00,0.6,0.00
751,0.00,0.6,0.00
767,0.00,0.6,0.00
794,0.00,0.6,0.00
810,0.00,0.6,0.00
817,0.00,0.6,0.00
850,0.00,0.6,0.00
872,0.00,0.6,0.00
891,0.00,0.6,0.00
912,0.00,0.6,0.00
933,0.00,0.6,0.00
941,0.00,0.6,0.00
973,0.00,0.6,0.00
991,0.00,0.6,0.00
1011,0.00,0.6,0.00
1030,0.00,0.6,0.00
1052,0.00,0.6,0.00
1059,0.00,0.6,0.00
1092,0.00,0.6,0.00
1113,0.00,0.6,0.00
1133,0.00,0.6,0.00
1145,0.00,0.6,0.00
1169,0.00,0.6,0.00
1185,0.00,0.6,0.00
1208,0.00,0.6,0.00
1225,0.00,0.6,0.00
1245,0.00,0.6,0.00
1273,0.00,0.6,0.00
1291,0.00,0.6,0.00
1313,0.00,0.6,0.00
1330,0.00,0.6,0.00
1351,0.00,0.6,0.00
1372,0.00,0.6,0.00
1379,0.00,0.6,0.00
1412,0.00,0.6,0.00
1428,0.00,0.6,0.00
1448,0.00,0.6,0.00
1470,0.00,0.6,0.00
1477,0.00,0.6,0.00
1511,0.00,0.6,0.00
1532,0.00,0.6,0.00
1551,0.00,0.6,0.00
1572,0.00,0.6,0.00
1578,0.00,0.6,0.00
1611,0.00,0.6,0.00
1628,0.00,0.6,0.00
1636,0.00,0.6,0.00
1670,0.00,0.6,0.00
1685,0.00,0.6,0.00
1710,0.00,0.6,0.00
1718,0.00,0.6,0.00
1751,0.00,0.6,0.00
1770,0.00,0.6,0.00
1789,0.00,0.6,0.00
1809,0.00,0.6,0.00
1828,0.00,0.6,0.00
1847,0.00,0.6,0.00
1868,0.00,0.6,0.00
1890,0.00,0.6,0.00
1910,0.00,0.6,0.00
1927,0.00,0.6,0.00
1947,0.00,0.6,0.00
1970,0.00,0.6,0.00
1990,0.00,0.6,0.00
2010,0.00,0.6,0.00
2028,0.00,0.6,0.00
2051,0.00,0.6,0.00
2069,0.00,0.6,0.00
2091,0.00,0.6,0.00
2109,0.00,0.6,0.00
2129,0.00,0.6,0.00
2150,0.00,0.6,0.00
2167,0.00,0.6,0.00
2190,0.00,0.6,0.00
2210,0.00,0.6,0.00
2231,0.00,0.6,0.00
2251,0.00,0.6,0.00
2268,0.00,0.6,0.00
2287,0.00,0.6,0.00
2302,0.00,0.6,0.00
2317,0.00,0.6,0.00
2350,0.00,0.6,0.00
2366,0.00,0.6,0.00
2384,0.00,0.6,0.00
2411,0.00,0.6,0.00
2428,0.00,0.6,0.00
2448,0.00,0.6,0.00
2469,0.00,0.6,0.00
2491,0.00,0.6,0.00
2507,0.00,0.6,0.00
2525,0.00,0.6,0.10
2544,0.00,0.6,0.00
2557,0.00,0.6,0.10
2588,0.00,0.6,0.10
2597,0.00,0.6,0.00
2629,0.00,0.6,0.10
2649,0.00,0.6,0.10
2669,0.00,0.6,0.10
2678,0.00,0.6,0.00
2708,0.00,0.6,0.10
2725,0.00,0.6,0.10
2742,0.00,0.6,0.00
2761,0.00,0.6,0.00
2775,0.00,0.6,0.10
2809,0.00,0.6,0.10
2823,0.00,0.6,0.00
2849,0.00,0.6,0.10
2870,0.00,0.6,0.20
2886,-0.10,0.6,0.50
2907,-0.10,0.6,0.70
2914,-0.10,0.6,0.90
2948,-0.10,0.6,0.90
2965,-0.10,0.6,1.00
2981,-0.10,0.6,0.90
3001,-0.10,0.6,0.90
3027,-0.10,0.6,0.90
3044,-0.10,0.6,0.90
3067,-0.10,0.6,0.90
3087,-0.10,0.6,0.90
3107,-0.10,0.6,0.90
3128,-0.10,0.6,0.90
3145,-0.10,0.6,0.90
3155,-0.10,0.6,0.90
3188,-0.10,0.6,0.90
3193,-0.10,0.6,0.90
3227,-0.10,0.6,0.90
3237,-0.10,0.6,0.90
3264,-0.10,0.6,0.90
3288,-0.10,0.6,0.80
3309,-0.10,0.6,0.80
3329,-0.10,0.6,0.80
3348,0.00,0.6,0.70
3367,0.00,0.6,0.50
3385,0.00,0.6,0.20
3399,0.00,0.6,0.10
3425,0.00,0.6,0.30
3448,0.00,0.6,0.50
3465,0.00,0.6,0.70
3483,0.10,0.6,0.90
3509,0.10,0.6,1.00
3526,0.10,0.6,1.10
3546,0.10,0.6,1.30
3566,0.20,0.6,1.70
3578,0.20,0.6,1.90
3605,0.20,0.6,2.10
3629,0.30,0.6,2.30
3648,0.30,0.6,2.50
3661,0.30,0.6,2.60
3678,0.30,0.6,2.70
3704,0.30,0.6,2.70
3726,0.30,0.6,2.70
3747,0.30,0.6,2.70
3767,0.30,0.6,2.70
3785,0.40,0.6,2.70
3805,0.40,0.6,2.70
3827,0.40,0.6,2.90
3847,0.50,0.6,3.20
3865,0.60,0.6,3.50
3879,0.60,0.6,3.80
3906,0.70,0.6,4.20
3912,0.80,0.6,4.60
3948,0.90,0.6,5.00
3967,1.00,0.6,5.40
3984,1.10,0.6,5.80
4001,1.20,0.6,6.10
4023,1.20,0.6,6.40
4044,1.30,0.6,6.70
4056,1.40,0.6,7.00
4088,1.40,0.6,7.30
4107,1.50,0.6,7.60
4117,1.60,0.6,7.90
4144,1.60,0.6,8.20
4164,1.70,0.6,8.40
4185,1.80,0.6,8.70
4206,1.80,0.6,9.00
4226,1.90,0.6,9.40
4246,2.00,0.6,9.70
4267,2.10,0.6,10.00
4287,2.10,0.6,10.40
4305,2.20,0.6,10.70
4322,2.30,0.6,11.20
4343,2.40,0.6,11.60
4353,2.50,0.6,12.10
4386,2.60,0.6,12.50
4406,2.70,0.6,13.00
4426,2.80,0.6,13.40
4447,2.80,0.6,13.90
4464,2.90,0.6,14.30
4482,3.00,0.6,14.80
4501,3.10,0.6,15.10
4514,3.10,0.6,15.50
4546,3.20,0.6,15.90
4565,3.30,0.6,16.20
4581,3.30,0.6,16.50
4607,3.30,0.6,16.80
4626,3.40,0.6,17.00
4643,3.40,0.6,17.20
4664,3.40,0.6,17.40
4683,3.40,0.6,17.50
4699,3.40,0.6,17.50
4715,3.40,0.6,17.50
4747,3.40,0.6,17.40
4766,3.40,0.6,17.30
4783,3.40,0.6,17.30
4804,3.40,0.6,17.20
4824,3.40,0.6,17.20
4844,3.40,0.6,17.20
4865,3.40,0.6,17.20
4885,3.40,0.6,17.20
4903,3.40,0.6,17.10
4919,3.40,0.6,17.10
4940,3.40,0.6,17.10
4960,3.40,0.6,17.10
4983,3.40,0.6,17.00
5000,3.40,0.6,17.00
5015,3.40,0.6,17.00
