Time,Length,Pressure,Force
11,0.00,0.798,0.00
34,0.00,0.8,0.00
54,0.00,0.8,0.00
70,0.00,0.8,0.00
94,0.00,0.8,0.00
104,0.00,0.798,0.00
129,0.00,0.8,0.00
141,0.00,0.8,0.00
169,0.00,0.798,0.00
187,0.00,0.798,0.00
213,0.00,0.8,0.00
234,0.00,0.8,0.00
251,0.00,0.8,0.00
271,0.00,0.8,0.00
292,0.00,0.8,0.00
312,0.00,0.798,0.00
329,0.00,0.8,0.00
344,0.00,0.8,0.00
370,0.00,0.8,0.00
392,0.00,0.798,0.00
412,0.00,0.8,0.00
424,0.00,0.8,0.00
452,0.00,0.798,0.00
471,0.00,0.8,0.00
492,0.00,0.798,0.00
512,0.00,0.8,0.00
527,0.00,0.8,0.00
543,0.00,0.8,0.00
572,0.00,0.801,0.00
592,0.00,0.8,0.00
611,0.00,0.8,0.00
628,0.00,0.8,0.00
639,0.00,0.801,0.00
669,0.00,0.8,0.00
693,0.00,0.8,0.00
713,0.00,0.8,0.00
726,0.00,0.801,0.00
742,0.00,0.8,0.00
767,0.00,0.798,0.00
790,0.00,0.8,0.00
806,0.00,0.8,0.00
823,0.00,0.798,0.00
852,0.00,0.8,0.00
872,0.00,0.8,0.00
893,0.00,0.8,0.00
913,0.00,0.798,0.00
930,0.00,0.798,0.00
947,0.00,0.798,0.00
964,0.00,0.8,0.00
989,0.00,0.798,0.00
1012,0.00,0.798,0.00
1026,0.00,0.798,0.00
1052,0.00,0.8,0.00
1073,0.00,0.798,0.00
1090,0.00,0.798,0.00
1110,0.00,0.798,0.00
1131,0.00,0.798,0.00
1152,0.00,0.8,0.00
1172,0.00,0.8,0.00
1193,0.00,0.798,0.00
1200,0.00,0.798,0.00
1226,0.00,0.798,0.00
1250,0.00,0.798,0.00
1269,0.00,0.8,0.00
1288,0.00,0.798,0.00
1299,0.00,0.798,0.00
1331,0.00,0.798,0.00
1352,0.00,0.798,0.00
1370,0.00,0.798,0.00
1388,0.00,0.8,0.00
1407,0.00,0.798,0.00
1422,0.00,0.798,0.00
1448,0.00,0.798,0.00
1469,0.00,0.798,0.00
1487,0.00,0.798,0.00
1505,0.00,0.798,0.00
1532,0.00,0.798,0.00
1539,0.00,0.8,0.00
1570,0.00,0.798,0.00
1590,0.00,0.798,0.00
1610,0.00,0.8,0.00
1631,0.00,0.798,0.00
1648,0.00,0.798,0.00
1670,0.00,0.798,0.00
1691,0.00,0.8,0.00
1709,0.00,0.8,0.00
1725,0.00,0.798,0.00
1741,0.00,0.8,0.00
1766,0.00,0.8,0.00
1789,0.00,0.797,0.00
1811,0.00,0.798,0.00
1832,0.00,0.797,0.00
1844,0.00,0.798,0.00
1869,0.00,0.8,0.00
1889,0.00,0.798,0.00
1906,0.00,0.8,0.00
1927,0.00,0.798,0.00
1945,0.00,0.8,0.00
1969,0.00,0.8,0.00
1991,0.00,0.798,0.00
2010,0.00,0.8,0.00
2028,0.00,0.8,0.00
2048,0.00,0.8,0.00
2055,0.00,0.798,0.00
2083,0.00,0.8,0.00
2109,0.00,0.797,0.00
2131,0.00,0.798,0.00
2143,0.00,0.798,0.00
2171,0.00,0.8,0.00
2188,0.00,0.798,0.00
2209,0.00,0.8,0.00
2229,0.00,0.798,0.00
2249,0.00,0.798,0.00
2270,0.00,0.8,0.00
2279,0.00,0.8,0.00
2296,0.00,0.8,0.00
2322,0.00,0.798,0.00
2345,0.00,0.798,0.00
2361,0.00,0.798,0.00
2377,0.00,0.798,0.00
2409,0.00,0.8,0.00
2430,0.00,0.798,0.00
2444,0.00,0.8,0.00
2471,0.00,0.798,0.00
2479,0.00,0.8,0.00
2507,0.00,0.8,0.00
2527,0.00,0.8,0.00
2548,0.00,0.798,0.00
2565,0.00,0.797,0.00
2587,0.00,0.798,0.00
2610,0.00,0.8,0.00
2630,0.00,0.798,0.00
2646,0.00,0.798,0.00
2667,0.00,0.798,0.00
2687,0.00,0.8,0.00
2707,0.00,0.798,0.00
2715,0.00,0.8,0.00
2748,0.00,0.798,0.00
2767,0.00,0.8,0.00
2789,0.00,0.798,0.00
2796,0.00,0.8,0.00
2828,0.00,0.8,0.00
2846,0.00,0.8,0.00
2868,0.00,0.8,0.00
2889,0.00,0.798,0.00
2909,0.00,0.797,0.00
2930,0.00,0.798,0.00
2950,0.00,0.798,0.00
2967,0.00,0.8,0.00
2980,0.00,0.797,0.00
3007,0.00,0.798,0.00
3029,0.00,0.8,0.00
3048,0.00,0.798,0.00
3067,0.00,0.797,0.00
3089,0.00,0.798,0.00
3109,0.00,0.798,0.00
3126,0.00,0.798,0.00
3146,0.00,0.798,0.00
3154,0.00,0.798,0.00
3188,0.00,0.798,0.00
3208,0.00,0.798,0.00
3225,0.00,0.798,0.00
3235,0.00,0.8,0.00
3268,0.00,0.798,0.00
3289,0.00,0.797,0.00
3306,0.00,0.798,0.00
3326,0.00,0.798,0.00
3346,0.00,0.798,0.00
3367,0.00,0.798,0.00
3376,0.00,0.798,0.00
3407,0.00,0.798,0.00
3426,0.00,0.798,0.00
3445,0.00,0.798,0.00
3459,0.00,0.798,0.00
3478,0.00,0.797,0.00
3507,0.00,0.797,0.00
3526,0.00,0.798,0.00
3536,0.10,0.798,0.00
3568,0.10,0.8,0.20
3588,0.20,0.798,0.60
3595,0.30,0.798,1.20
3621,0.40,0.798,1.70
3640,0.50,0.798,2.30
3666,0.60,0.8,2.70
3687,0.70,0.798,3.10
3707,0.80,0.798,3.40
3726,0.90,0.798,3.70
3748,1.00,0.798,4.00
3765,1.00,0.8,4.30
3786,1.10,0.8,4.60
3796,1.20,0.8,4.90
3822,1.30,0.8,5.20
3843,1.40,0.801,5.50
3868,1.50,0.801,5.80
3888,1.60,0.8,6.10
3909,1.70,0.801,6.40
3919,1.80,0.8,6.70
3946,1.90,0.8,6.90
3966,1.90,0.8,7.10
3987,1.90,0.801,7.20
4007,1.90,0.801,7.30
4027,1.90,0.801,7.30
4037,1.90,0.8,7.20
4064,1.90,0.8,7.20
4083,1.90,0.801,7.10
4104,1.90,0.801,7.10
4124,1.90,0.801,7.10
4146,1.90,0.801,7.10
4165,1.90,0.801,7.10
4187,1.90,0.801,7.00
4207,1.90,0.801,7.00
4227,1.90,0.801,7.00
4244,1.90,0.801,7.00
4262,1.90,0.801,7.00
4272,1.90,0.8,7.00
4301,1.90,0.801,7.00
4318,1.90,0.801,7.00
4344,1.90,0.8,7.00
4364,1.90,0.8,6.90
4380,1.90,0.8,6.90
4404,1.90,0.801,6.90
4424,1.90,0.8,6.90
4445,1.90,0.801,6.90
4463,1.90,0.801,6.90
4481,1.90,0.801,6.90
4499,1.90,0.8,6.90
4525,1.90,0.8,6.90
4546,1.90,0.8,6.90
4563,1.90,0.8,6.90
4584,1.90,0.801,6.90
4604,1.90,0.801,6.90
4625,1.90,0.801,6.90
4646,1.90,0.801,6.90
4666,1.90,0.8,6.90
4685,1.90,0.8,6.90
4698,1.90,0.801,6.80
4721,1.90,0.8,6.80
4742,1.90,0.8,6.80
4762,1.90,0.8,6.80
4778,1.90,0.801,6.80
4804,1.90,0.8,6.80
4826,1.90,0.8,6.80
4846,1.90,0.801,6.80
4859,1.90,0.8,6.80
4884,1.90,0.8,6.80
4905,1.90,0.8,6.80
4924,1.90,0.8,6.80
4936,1.90,0.8,6.80
4963,1.90,0.8,6.80
4986,1.90,0.8,6.80
4993,1.90,0.8,6.80
5023,1.90,0.8,6.80
5034,2.00,0.8,6.80
5063,2.00,0.8,6.80
5084,2.00,0.798,7.00
5104,2.10,0.801,7.30
5125,2.20,0.801,7.70
5142,2.30,0.798,8.10
5164,2.40,0.801,8.30
5186,2.40,0.8,8.60
5203,2.50,0.801,8.90
5221,2.60,0.798,9.10
5244,2.60,0.8,9.20
5264,2.70,0.801,9.40
5284,2.80,0.801,9.70
5296,2.90,0.8,9.90
5325,2.90,0.801,10.20
5344,3.00,0.801,10.40
5347,3.10,0.801,10.70
5379,3.20,0.801,11.00
5396,3.30,0.801,11.30
5416,3.40,0.801,11.60
5443,3.50,0.802,11.90
5462,3.60,0.801,12.20
5477,3.70,0.801,12.40
5499,3.80,0.802,12.70
5520,3.90,0.801,13.00
5542,4.00,0.801,13.10
5563,4.10,0.802,13.40
5577,4.20,0.802,13.80
5603,4.30,0.801,14.10
5624,4.40,0.801,14.40
5635,4.50,0.801,14.80
5661,4.50,0.802,15.10
5679,4.60,0.802,15.30
5696,4.60,0.802,15.50
5723,4.60,0.802,15.50
5743,4.60,0.802,15.40
5763,4.60,0.802,15.40
5769,4.60,0.803,15.30
5802,4.60,0.802,15.30
5819,4.60,0.801,15.30
5835,4.60,0.802,15.20
5862,4.60,0.802,15.20
5883,4.60,0.802,15.20
5903,4.60,0.801,15.20
5920,4.60,0.802,15.10
5944,4.60,0.802,15.10
5964,4.60,0.802,15.10
5981,4.60,0.802,15.10
6001,4.60,0.802,15.10
6019,4.60,0.802,15.10
6038,4.60,0.802,15.10
6063,4.60,0.802,15.10
6084,4.60,0.802,15.10
6099,4.60,0.802,15.10
6120,4.60,0.802,15.10
6131,4.60,0.802,15.10
6163,4.60,0.801,15.00
6182,4.60,0.802,15.00
6202,4.60,0.802,15.00
6223,4.60,0.802,15.00
6240,4.60,0.801,15.00
6256,4.60,0.802,15.00
6283,4.60,0.802,15.00
6301,4.60,0.801,15.00
6321,4.60,0.802,15.00
6338,4.60,0.801,15.00
6354,4.60,0.802,15.00
6382,4.60,0.802,15.00
6402,4.60,0.801,15.00
6423,4.60,0.802,15.00
6439,4.60,0.802,15.00
6460,4.60,0.802,15.00
6480,4.60,0.801,15.00
6501,4.60,0.801,15.00
6521,4.60,0.801,14.90
6542,4.60,0.802,15.00
6562,4.60,0.801,14.90
6581,4.60,0.802,14.90
6599,4.60,0.801,14.90
6618,4.60,0.802,14.90
6640,4.60,0.802,14.90
6660,4.60,0.802,14.90
6679,4.60,0.802,14.90
6696,4.60,0.801,14.90
6722,4.60,0.803,14.90
6740,4.60,0.802,14.90
6754,4.60,0.802,14.90
6771,4.60,0.802,14.90
6790,4.60,0.802,14.90
6820,4.60,0.801,14.90
6833,4.60,0.802,14.90
6861,4.60,0.801,14.90
6879,4.60,0.802,14.90
6899,4.60,0.801,14.90
6915,4.60,0.802,14.90
6936,4.60,0.801,14.90
