Time,Length,Pressure,Force
19,0.00,0.599,0.00
39,0.00,0.6,0.00
60,0.00,0.6,0.00
68,0.00,0.6,0.00
101,0.00,0.599,0.00
117,0.00,0.6,0.00
142,0.00,0.6,0.00
162,0.00,0.6,0.00
168,0.00,0.6,0.00
187,0.00,0.599,0.00
221,0.00,0.6,0.00
241,0.00,0.6,0.00
251,0.00,0.599,0.00
281,0.00,0.599,0.00
299,0.00,0.599,0.00
317,0.00,0.599,0.00
337,0.00,0.599,0.00
355,0.00,0.6,0.00
378,0.00,0.599,0.00
392,0.00,0.599,0.00
418,0.00,0.6,0.00
437,0.00,0.6,0.00
461,0.00,0.6,0.00
481,0.00,0.6,0.00
495,0.00,0.6,0.00
511,0.00,0.6,0.00
539,0.00,0.599,0.00
556,0.00,0.599,0.00
580,0.00,0.599,0.00
598,0.00,0.599,0.00
616,0.00,0.6,0.00
636,0.00,0.6,0.00
658,0.00,0.599,0.00
678,0.00,0.6,0.00
698,0.00,0.6,0.00
717,0.00,0.599,0.00
734,0.00,0.6,0.00
760,0.00,0.599,0.00
770,0.00,0.6,0.00
799,0.00,0.599,0.00
816,0.00,0.6,0.00
837,0.00,0.6,0.00
848,0.00,0.599,0.00
879,0.00,0.599,0.00
900,0.00,0.6,0.00
917,0.00,0.599,0.00
930,0.00,0.6,0.00
956,0.00,0.599,0.00
978,0.00,0.599,0.00
995,0.00,0.6,0.00
1012,0.00,0.599,0.00
1028,0.00,0.599,0.00
1060,0.00,0.599,0.00
1077,0.00,0.599,0.00
1101,0.00,0.599,0.00
1120,0.00,0.6,0.00
1137,0.00,0.6,0.00
1158,0.00,0.6,0.00
1172,0.00,0.599,0.00
1199,0.00,0.599,0.00
1219,0.00,0.599,0.00
1232,0.00,0.6,0.00
1259,0.00,0.6,0.00
1280,0.00,0.6,0.00
1296,0.00,0.6,0.00
1318,0.00,0.599,0.00
1338,0.00,0.599,0.00
1358,0.00,0.6,0.00
1378,0.00,0.599,0.00
1387,0.00,0.599,0.00
1419,0.00,0.599,0.00
1440,0.00,0.599,0.00
1455,0.00,0.599,0.00
1473,0.00,0.599,0.00
1494,0.00,0.6,0.00
1517,0.00,0.6,0.00
1538,0.00,0.599,0.00
1559,0.00,0.599,0.00
1579,0.00,0.599,0.00
1596,0.00,0.599,0.00
1603,0.00,0.599,0.00
1636,0.00,0.6,0.00
1651,0.00,0.599,0.00
1678,0.00,0.599,0.00
1683,0.00,0.599,0.00
1714,0.00,0.6,0.00
1731,0.00,0.6,0.00
1755,0.00,0.599,0.00
1773,0.00,0.6,0.00
1797,0.00,0.599,0.00
1817,0.00,0.599,0.00
1830,0.00,0.6,0.00
1856,0.00,0.599,0.00
1878,0.00,0.6,0.00
1896,0.00,0.599,0.00
1913,0.00,0.6,0.00
1929,0.00,0.6,0.00
1955,0.00,0.599,0.00
1977,0.00,0.6,0.00
1997,0.00,0.599,0.00
2018,0.00,0.6,0.00
2031,0.00,0.599,0.00
2048,0.00,0.599,0.00
2074,0.00,0.6,0.00
2096,0.00,0.6,0.00
2117,0.00,0.6,0.00
2138,0.00,0.599,0.00
2156,0.00,0.599,0.00
2181,0.00,0.599,0.00
2198,0.00,0.6,0.00
2218,0.00,0.6,0.00
2235,0.00,0.599,0.00
2251,0.00,0.6,0.00
