Time,Length,Pressure,Force
7,0.00,0.801,0.00
29,0.00,0.8,0.00
49,0.00,0.8,0.00
65,0.00,0.8,0.00
86,0.00,0.8,0.00
105,0.00,0.801,0.00
127,0.00,0.8,0.00
148,0.00,0.801,0.00
165,0.00,0.8,0.00
181,0.00,0.8,0.00
208,0.00,0.801,0.00
229,0.00,0.8,0.00
246,0.00,0.8,0.00
265,0.00,0.8,0.00
286,0.00,0.798,0.00
296,0.00,0.8,0.00
328,0.00,0.801,0.00
335,0.00,0.8,0.00
369,0.00,0.8,0.00
370,0.00,0.798,0.00
403,0.00,0.798,0.00
419,0.00,0.8,0.00
445,0.00,0.8,0.00
461,0.00,0.8,0.00
487,0.00,0.8,0.00
506,0.00,0.801,0.00
518,0.00,0.798,0.00
545,0.00,0.801,0.00
567,0.00,0.798,0.00
583,0.00,0.798,0.00
602,0.00,0.8,0.00
620,0.00,0.8,0.00
649,0.00,0.798,0.00
669,0.00,0.8,0.00
689,0.00,0.8,0.00
705,0.00,0.798,0.00
723,0.00,0.8,0.00
740,0.00,0.8,0.00
760,0.00,0.8,0.00
788,0.00,0.8,0.00
806,0.00,0.798,0.00
825,0.00,0.8,0.00
848,0.00,0.798,0.00
865,0.00,0.8,0.00
885,0.00,0.8,0.00
905,0.00,0.8,0.00
926,0.00,0.8,0.00
932,0.00,0.798,0.00
965,0.00,0.8,0.00
985,0.00,0.8,0.00
996,0.00,0.8,0.00
1022,0.00,0.8,0.00
1045,0.00,0.8,0.00
1065,0.00,0.798,0.00
1085,0.00,0.8,0.00
1106,0.00,0.8,0.00
1126,0.00,0.8,0.00
1147,0.00,0.8,0.00
1167,0.00,0.8,0.00
1183,0.00,0.8,0.00
1204,0.00,0.8,0.00
1225,0.00,0.8,0.00
1245,0.00,0.8,0.00
1265,0.00,0.801,0.00
1286,0.00,0.798,0.00
1306,0.00,0.8,0.00
1327,0.00,0.798,0.00
1344,0.00,0.8,0.00
1364,0.00,0.798,0.00
1385,0.00,0.8,0.00
1405,0.00,0.8,0.00
1426,0.00,0.8,0.00
1446,0.00,0.8,0.00
1466,0.00,0.8,0.00
1483,0.00,0.798,0.00
1503,0.00,0.801,0.00
1524,0.00,0.8,0.00
1537,0.00,0.8,0.00
1566,0.00,0.8,0.00
1582,0.00,0.8,0.00
1594,0.00,0.8,0.00
1625,0.00,0.8,0.00
1646,0.00,0.8,0.00
1663,0.00,0.8,0.00
1677,0.00,0.8,0.00
1703,0.00,0.8,0.00
1727,0.00,0.798,0.00
1746,0.00,0.8,0.00
1766,0.00,0.798,0.00
1786,0.00,0.798,0.00
1802,0.00,0.8,0.00
1809,0.00,0.8,0.00
1843,0.00,0.8,0.00
1863,0.00,0.8,0.00
1884,0.00,0.8,0.00
1891,0.00,0.8,0.00
1923,0.00,0.8,0.00
1946,0.00,0.8,0.00
1962,0.00,0.8,0.00
1983,0.00,0.8,0.00
2003,0.00,0.8,0.00
2014,0.00,0.801,0.00
2044,0.00,0.798,0.00
2063,0.00,0.8,0.00
2085,0.00,0.801,0.00
2105,0.00,0.8,0.00
2122,0.00,0.8,0.00
2142,0.00,0.8,0.00
2162,0.00,0.798,0.00
2183,0.00,0.8,0.00
2203,0.00,0.8,0.00
2224,0.00,0.8,0.00
2245,0.00,0.8,0.00
2265,0.00,0.798,0.00
2282,0.00,0.798,0.00
2302,0.00,0.8,0.00
2323,0.00,0.8,0.00
2343,0.00,0.8,0.00
2364,0.00,0.8,0.00
2384,0.10,0.798,0.00
2405,0.30,0.8,0.20
2425,0.40,0.8,0.40
2442,0.60,0.798,0.60
2462,0.70,0.798,0.90
2481,0.90,0.8,1.20
2493,1.00,0.8,1.60
2519,1.20,0.8,2.00
2543,1.40,0.798,2.40
2562,1.60,0.8,2.90
2583,1.80,0.8,3.30
2600,2.00,0.8,3.80
2618,2.30,0.8,4.50
2643,2.60,0.801,5.30
2662,2.80,0.801,6.10
2676,3.00,0.801,6.70
2703,3.20,0.801,7.40
2725,3.50,0.801,8.20
2743,3.80,0.801,9.10
2762,4.00,0.801,10.10
2775,4.40,0.801,11.10
2792,4.70,0.803,12.40
2823,5.00,0.802,13.80
2843,5.10,0.803,14.90
2863,5.30,0.802,15.80
2882,5.50,0.803,16.80
2904,5.70,0.803,17.80
2908,5.90,0.804,18.80
2942,6.10,0.804,19.80
2960,6.40,0.803,21.10
2974,6.70,0.806,22.50
3000,7.00,0.806,24.20
3023,7.20,0.807,26.10
3044,7.30,0.808,27.50
3063,7.60,0.806,28.40
3080,7.80,0.807,29.60
3101,8.10,0.808,31.40
3118,8.30,0.808,33.30
3142,8.60,0.811,35.10
3162,9.00,0.809,36.90
3182,9.40,0.812,39.10
3190,9.60,0.812,42.00
3223,9.80,0.812,44.40
3238,10.00,0.813,45.90
3260,10.20,0.813,47.10
3268,10.40,0.814,48.80
