Time,Length,Pressure,Force
5,0.00,0.695,0.00
25,0.00,0.695,0.00
45,0.00,0.696,0.00
62,0.00,0.695,0.00
82,0.00,0.696,0.00
103,0.00,0.695,0.00
123,0.00,0.695,0.00
144,0.00,0.695,0.00
163,0.00,0.695,0.00
184,0.00,0.695,0.00
202,0.00,0.695,0.00
221,0.00,0.695,0.00
242,0.00,0.696,0.00
263,0.00,0.695,0.00
283,0.00,0.695,0.00
304,0.00,0.695,0.00
324,0.00,0.693,0.00
344,0.00,0.695,0.00
364,0.00,0.695,0.00
378,0.00,0.695,0.00
400,0.00,0.695,0.00
422,0.00,0.695,0.00
443,0.00,0.695,0.00
463,0.00,0.695,0.00
484,0.00,0.695,0.00
504,0.00,0.695,0.00
524,0.00,0.696,0.00
539,0.00,0.695,0.00
560,0.00,0.695,0.00
582,0.00,0.693,0.00
601,0.00,0.693,0.00
620,0.00,0.695,0.00
644,0.00,0.695,0.00
663,0.00,0.695,0.00
684,0.00,0.695,0.00
700,0.00,0.695,0.00
721,0.00,0.696,0.00
741,0.00,0.693,0.00
760,0.00,0.695,0.00
782,0.00,0.695,0.00
803,0.00,0.695,0.00
823,0.00,0.695,0.00
842,0.00,0.693,0.00
861,0.00,0.695,0.00
881,0.00,0.695,0.00
902,0.00,0.695,0.00
922,0.00,0.696,0.00
942,0.00,0.695,0.00
963,0.00,0.696,0.00
982,0.00,0.695,0.00
1003,0.00,0.695,0.00
1020,0.00,0.695,0.00
1040,0.00,0.695,0.00
1061,0.00,0.696,0.00
1082,0.00,0.696,0.00
1102,0.00,0.695,0.00
1123,0.00,0.695,0.00
1143,0.00,0.696,0.00
1163,0.00,0.695,0.00
1178,0.00,0.695,0.00
1199,0.00,0.693,0.00
1218,0.00,0.695,0.00
1241,0.00,0.695,0.00
1259,0.00,0.695,0.00
1281,0.00,0.695,0.00
1303,0.00,0.696,0.00
1323,0.00,0.695,0.00
1340,0.00,0.695,0.00
1360,0.00,0.695,0.00
1380,0.00,0.696,0.00
1400,0.00,0.695,0.00
1422,0.00,0.695,0.00
1442,0.00,0.695,0.00
1460,0.00,0.695,0.00
1480,0.00,0.695,0.00
1493,0.00,0.695,0.00
1519,0.00,0.695,0.00
1540,0.00,0.695,0.00
1561,0.00,0.695,0.00
1581,0.00,0.695,0.00
1601,0.00,0.693,0.00
1622,0.00,0.695,0.00
1640,0.00,0.695,0.00
1659,0.00,0.693,0.00
1680,0.00,0.695,0.00
1700,0.00,0.695,0.00
1721,0.00,0.696,0.00
1740,0.00,0.693,0.00
1761,0.10,0.695,0.10
1782,0.30,0.693,0.50
1802,0.50,0.695,0.90
1819,0.80,0.693,1.30
1839,1.00,0.696,1.80
1858,1.40,0.695,2.40
1880,1.60,0.696,3.00
1901,1.80,0.696,3.70
1921,2.00,0.695,4.10
1941,2.20,0.696,4.50
1955,2.50,0.696,5.00
1974,2.70,0.696,5.70
1999,3.10,0.697,6.40
2020,3.40,0.697,7.30
2040,3.80,0.698,8.30
2060,4.20,0.697,9.60
2081,4.40,0.698,10.80
2102,4.60,0.698,11.70
2114,4.90,0.698,12.60
2138,5.20,0.699,13.60
2158,5.50,0.699,14.70
2178,5.80,0.701,15.90
2200,6.20,0.699,17.10
2221,6.60,0.701,18.60
2240,6.80,0.702,20.30
2261,7.10,0.702,21.70
2281,7.30,0.703,22.70
2298,7.60,0.703,23.80
2318,7.90,0.704,25.10
2335,8.30,0.704,26.60
2360,8.70,0.706,28.30
2379,9.10,0.706,30.30
2401,9.30,0.707,32.60
2419,9.60,0.708,34.20
2441,9.90,0.708,35.40
2458,10.10,0.709,36.80
2478,10.50,0.709,38.30
2498,10.80,0.71,40.10
2516,11.30,0.712,42.00
2539,11.60,0.712,44.50
2560,11.80,0.713,46.80
2580,11.90,0.714,47.90
2594,12.10,0.714,48.60
2618,12.40,0.714,49.70
2638,12.60,0.715,51.10
2658,13.00,0.715,52.60
2679,13.30,0.717,54.40
2700,13.70,0.719,56.30
2720,14.10,0.719,58.60
2740,14.40,0.72,61.10
2757,14.60,0.72,63.10
2778,14.90,0.721,64.80
2795,15.20,0.721,66.50
2818,15.50,0.724,68.20
2839,15.90,0.725,70.20
2859,16.30,0.725,72.50
2879,16.60,0.726,75.20
2900,16.70,0.726,77.20
2916,16.90,0.728,78.30
2937,17.20,0.729,79.40
2957,17.50,0.73,81.10
2978,17.80,0.731,83.00
2999,18.20,0.732,85.10
3019,18.60,0.734,87.60
3038,18.90,0.736,90.50
3058,19.20,0.735,93.10
3076,19.30,0.736,94.70
3097,19.60,0.737,95.80
3117,19.90,0.737,97.40
3138,20.20,0.737,99.50
3158,20.60,0.737,101.50
3179,20.90,0.737,103.40
3198,21.20,0.737,105.80
3216,21.40,0.737,108.00
3236,21.60,0.736,109.20
3256,21.80,0.736,110.00
3277,22.10,0.737,111.40
3297,22.40,0.737,113.20
3319,22.80,0.739,115.40
3339,23.20,0.739,117.60
3359,23.60,0.739,120.30
3375,23.90,0.74,123.20
3396,24.20,0.739,125.70
3415,24.50,0.739,127.30
3437,24.80,0.739,129.10
3457,25.10,0.739,130.90
3478,25.30,0.737,132.80
3499,25.60,0.739,134.40
3519,26.00,0.737,136.40
3535,26.20,0.739,138.80
3555,26.40,0.737,140.80
3577,26.60,0.737,142.10
3597,26.90,0.737,143.20
3616,27.20,0.736,144.80
3636,27.40,0.737,146.60
3655,27.80,0.739,148.50
3678,28.10,0.739,150.70
3692,28.60,0.74,153.30
3715,28.80,0.739,156.40
3735,28.90,0.739,158.60
3756,29.10,0.737,159.60
3776,29.30,0.739,160.20
3797,29.60,0.737,161.60
3816,29.80,0.737,163.40
3837,30.00,0.736,165.00
3854,30.20,0.736,166.00
3874,30.50,0.737,167.50
3894,30.90,0.737,169.70
3913,31.20,0.739,172.40
3930,31.30,0.737,174.90
3956,31.40,0.737,176.10
3977,31.70,0.737,176.70
3997,31.90,0.737,177.90
4018,32.20,0.737,179.60
4034,32.50,0.737,181.50
4055,32.80,0.739,183.80
4076,33.20,0.74,186.30
4096,33.50,0.741,189.30
4117,33.70,0.74,192.40
4134,33.80,0.739,194.00
4154,33.90,0.736,194.40
4174,34.10,0.736,194.70
4195,34.30,0.736,195.80
4215,34.60,0.737,197.40
4236,34.80,0.737,199.00
4256,35.10,0.737,200.60
4276,35.40,0.74,202.70
4297,35.80,0.741,205.80
4317,36.00,0.739,209.20
4333,36.00,0.737,210.80
4352,36.10,0.735,210.20
4373,36.20,0.736,209.90
4390,36.40,0.737,210.80
4416,36.70,0.737,212.60
4436,37.10,0.739,215.10
4457,37.40,0.739,218.00
4476,37.70,0.741,220.80
4493,38.10,0.741,223.80
4514,38.50,0.74,227.10
4530,38.60,0.739,230.20
4555,38.60,0.736,231.30
4574,38.60,0.734,230.20
4594,38.60,0.734,229.20
4616,38.60,0.732,228.60
4636,38.60,0.732,228.10
4649,38.60,0.731,227.70
4673,38.60,0.731,227.40
4695,38.60,0.731,227.20
4714,38.60,0.731,227.00
4735,38.60,0.731,226.90
4756,38.60,0.731,226.80
4775,38.60,0.731,226.70
4797,38.60,0.731,226.60
4817,38.60,0.731,226.50
4834,38.60,0.731,226.50
4854,38.60,0.73,226.40
4875,38.60,0.73,226.30
4895,38.60,0.73,226.30
4916,38.60,0.73,226.20
4936,38.60,0.73,226.20
4956,38.60,0.73,226.10
4976,38.60,0.73,226.10
4993,38.60,0.73,226.00
5014,38.60,0.729,226.00
5028,38.60,0.729,226.00
5055,38.60,0.73,225.90
5075,38.60,0.729,225.90
5095,38.60,0.73,225.80
5115,38.60,0.729,225.80
5132,38.60,0.729,225.80
5153,38.60,0.729,225.70
5174,38.60,0.73,225.70
5194,38.30,0.726,225.50
5214,38.10,0.725,222.40
5235,37.90,0.724,218.30
5255,37.70,0.721,215.90
5275,37.50,0.72,214.00
5293,37.30,0.719,212.10
5313,37.10,0.717,209.80
5333,36.80,0.714,207.10
5353,36.40,0.712,204.00
5374,35.90,0.706,200.30
5395,35.50,0.704,195.90
5414,35.40,0.702,191.20
5435,35.10,0.702,188.90
5450,34.90,0.699,186.80
5473,34.60,0.697,184.90
5493,34.30,0.695,182.20
5514,34.00,0.692,179.20
5534,33.60,0.69,176.00
5554,33.30,0.688,172.60
5575,33.10,0.687,169.80
5595,32.90,0.687,168.20
5611,32.60,0.687,166.40
5632,32.40,0.686,164.70
5653,32.20,0.686,163.10
5673,31.90,0.687,161.50
5693,31.70,0.686,159.80
5714,31.50,0.688,158.40
5734,31.20,0.687,157.00
5754,30.80,0.687,155.60
5772,30.50,0.687,153.20
5792,30.30,0.687,150.10
5813,30.10,0.687,148.70
5833,29.80,0.688,147.60
5853,29.60,0.688,146.50
5872,29.30,0.688,144.80
5894,28.90,0.687,142.90
5915,28.50,0.686,140.60
5931,28.20,0.687,137.80
5952,28.00,0.687,135.70
5972,27.70,0.688,134.40
5993,27.50,0.688,132.90
6012,27.20,0.688,131.30
6032,26.90,0.688,129.70
6054,26.60,0.688,127.80
6074,26.10,0.687,125.60
6089,25.70,0.686,123.00
6108,25.50,0.687,120.00
6132,25.20,0.688,118.20
6152,25.00,0.688,117.00
6172,24.60,0.688,115.60
6193,24.30,0.688,113.60
6213,23.90,0.688,111.40
6230,23.60,0.688,109.10
6250,23.40,0.69,106.80
6271,23.20,0.688,105.60
6289,22.90,0.69,104.60
6310,22.70,0.69,103.10
6332,22.40,0.688,101.60
6353,22.20,0.688,100.10
6369,21.90,0.69,98.50
6390,21.60,0.69,96.90
6410,21.30,0.688,95.40
6431,20.90,0.688,93.60
6451,20.60,0.69,91.10
6468,20.40,0.688,88.70
6492,20.10,0.69,87.60
6513,19.90,0.688,86.30
6532,19.60,0.69,84.80
6550,19.20,0.69,83.00
6566,18.90,0.688,81.20
6591,18.50,0.69,79.10
6611,18.40,0.691,76.90
6632,18.20,0.69,75.80
6652,18.00,0.692,75.00
6673,17.70,0.691,73.80
6689,17.50,0.691,72.30
6709,17.20,0.691,70.90
6729,16.90,0.69,69.50
6749,16.60,0.691,67.80
6770,16.20,0.69,66.00
6791,15.90,0.688,63.80
6811,15.80,0.691,61.90
6828,15.60,0.69,61.00
6852,15.30,0.691,60.00
6869,15.10,0.691,58.80
6890,14.90,0.691,57.60
6910,14.60,0.691,56.20
6931,14.40,0.691,55.00
6951,14.10,0.691,53.60
6972,13.80,0.691,52.10
6991,13.50,0.69,50.40
7007,13.30,0.691,48.50
7029,13.10,0.691,47.30
7049,12.80,0.692,46.30
7069,12.60,0.691,45.10
7090,12.40,0.691,43.90
7111,12.10,0.691,42.60
7131,11.90,0.691,41.30
7150,11.60,0.691,40.00
7172,11.30,0.69,38.60
7188,11.00,0.691,37.00
7208,10.80,0.691,35.30
7229,10.50,0.691,34.10
7249,10.30,0.691,32.90
7271,10.00,0.691,31.70
7291,9.70,0.691,30.10
7311,9.30,0.692,28.60
7332,9.10,0.692,26.90
7348,9.00,0.692,25.50
7369,8.80,0.691,24.60
7389,8.60,0.692,24.00
7410,8.40,0.691,23.10
7429,8.10,0.692,22.00
7451,7.90,0.692,20.80
7471,7.60,0.691,19.70
7488,7.40,0.692,18.60
7508,7.10,0.692,17.40
7529,6.80,0.692,16.20
7549,6.50,0.692,15.00
7569,6.30,0.692,13.90
7588,6.20,0.692,13.00
7608,5.90,0.692,12.30
7630,5.70,0.692,11.40
7650,5.50,0.692,10.50
7668,5.20,0.693,9.70
7688,5.00,0.693,8.80
7709,4.70,0.693,8.00
7729,4.50,0.693,7.30
7749,4.30,0.693,6.70
7770,4.10,0.693,6.20
7790,3.90,0.695,5.60
7807,3.60,0.693,5.00
7827,3.30,0.693,4.30
7848,3.10,0.693,3.70
7866,2.80,0.693,3.20
7889,2.60,0.693,2.80
7907,2.40,0.693,2.40
7929,2.20,0.695,2.10
7950,2.00,0.693,1.80
7967,1.80,0.693,1.50
7987,1.60,0.693,1.20
8007,1.30,0.695,0.90
8027,1.10,0.693,0.60
8048,0.90,0.695,0.40
8070,0.70,0.695,0.10
8089,0.60,0.695,0.00
8106,0.50,0.695,0.10
8126,0.30,0.695,0.30
8147,0.10,0.695,0.50
8167,0.00,0.696,0.60
8188,0.00,0.693,0.70
8209,-0.10,0.696,0.80
8229,-0.10,0.695,0.80
8249,-0.10,0.696,0.80
8269,-0.10,0.695,0.70
8286,-0.10,0.696,0.70
8307,-0.10,0.696,0.70
8327,-0.10,0.696,0.70
8347,-0.10,0.697,0.70
8368,-0.10,0.696,0.60
8388,-0.10,0.696,0.60
