Time,Length,Pressure,Force
19,0.00,0.501,0.00
40,0.00,0.5,0.00
57,0.00,0.5,0.00
70,0.00,0.5,0.00
96,0.00,0.5,0.00
108,0.00,0.5,0.00
134,0.00,0.5,0.00
157,0.00,0.501,0.00
174,0.00,0.5,0.00
199,0.00,0.5,0.00
207,0.00,0.5,0.00
237,0.00,0.5,0.00
257,0.00,0.5,0.00
278,0.00,0.501,0.00
299,0.00,0.5,0.00
315,0.00,0.5,0.00
330,0.00,0.5,0.00
360,0.00,0.5,0.00
365,0.00,0.5,0.00
397,0.00,0.5,0.00
414,0.00,0.5,0.00
433,0.00,0.501,0.00
458,0.00,0.5,0.00
478,0.00,0.5,0.00
499,0.00,0.5,0.00
519,0.00,0.5,0.00
540,0.00,0.5,0.00
555,0.00,0.5,0.00
571,0.00,0.5,0.00
592,0.00,0.5,0.00
611,0.00,0.5,0.00
630,0.00,0.499,0.00
659,0.00,0.5,0.00
678,0.00,0.5,0.00
696,0.00,0.5,0.00
716,0.00,0.5,0.00
737,0.00,0.5,0.00
751,0.00,0.5,0.00
778,0.00,0.5,0.00
785,0.00,0.5,0.00
819,0.00,0.5,0.00
827,0.00,0.5,0.00
857,0.00,0.5,0.00
877,0.00,0.5,0.00
897,0.00,0.5,0.00
917,0.00,0.5,0.00
937,0.00,0.501,0.00
955,0.00,0.5,0.00
973,0.00,0.5,0.00
990,0.00,0.5,0.00
1014,0.00,0.5,0.00
1037,0.00,0.501,0.00
1054,0.00,0.5,0.00
1073,0.00,0.5,0.00
1097,0.00,0.5,0.00
1118,0.00,0.5,0.00
1138,0.00,0.5,0.00
1158,0.00,0.5,0.00
1179,0.00,0.5,0.00
1195,0.00,0.5,0.00
1216,0.00,0.5,0.00
1236,0.00,0.501,0.00
1257,0.00,0.5,0.00
1277,0.00,0.5,0.00
1297,0.00,0.5,0.00
1318,0.00,0.5,0.00
1334,0.00,0.501,0.00
1355,0.00,0.5,0.00
1375,0.00,0.5,0.00
1396,0.00,0.5,0.00
1416,0.00,0.5,0.00
1437,0.00,0.499,0.00
1449,0.00,0.5,0.00
1477,0.00,0.5,0.00
1495,0.00,0.5,0.00
1511,0.00,0.499,0.00
1530,0.00,0.5,0.00
1556,0.00,0.5,0.00
1575,0.00,0.501,0.00
1590,0.00,0.5,0.00
1616,0.00,0.501,0.00
1637,0.00,0.5,0.00
1654,0.00,0.5,0.00
1674,0.00,0.5,0.00
1689,0.00,0.5,0.00
1705,0.00,0.501,0.00
1738,0.00,0.5,0.00
1757,0.00,0.5,0.00
1777,0.00,0.5,0.00
1793,0.00,0.5,0.00
1814,0.00,0.5,0.00
1835,0.00,0.5,0.00
1852,0.00,0.499,0.00
1869,0.00,0.5,0.00
1885,0.00,0.5,0.00
1916,0.00,0.5,0.00
1935,0.00,0.499,0.00
1953,0.00,0.499,0.00
1972,0.00,0.5,0.00
1994,0.00,0.5,0.00
2015,0.20,0.5,0.00
2035,0.50,0.501,0.70
2056,0.80,0.5,2.30
2072,1.00,0.5,3.80
2094,1.20,0.501,5.00
2101,1.50,0.5,6.10
2134,1.80,0.5,7.20
2150,2.00,0.5,8.50
2168,2.20,0.5,9.60
