Time,Length,Pressure,Force
1,.00,0.696,0.00
2,0.00,0.696,0.00
2,0.00,0.696,0.00
2,0.00,0.696,0.00
3,0.00,0.696,0.00
10,0.00,0.693,0.00
30,0.00,0.695,0.00
50,0.00,0.695,0.00
67,0.00,0.695,0.00
87,0.00,0.695,0.00
106,0.00,0.695,0.00
128,0.00,0.693,0.00
149,0.00,0.696,0.00
168,0.00,0.693,0.00
187,0.00,0.695,0.00
210,0.00,0.695,0.00
230,0.00,0.695,0.00
246,0.00,0.695,0.00
267,0.00,0.696,0.00
288,0.00,0.695,0.00
308,0.00,0.695,0.00
329,0.00,0.695,0.00
349,0.00,0.696,0.00
369,0.00,0.695,0.00
388,0.00,0.695,0.00
406,0.00,0.695,0.00
427,0.00,0.695,0.00
448,0.00,0.695,0.00
467,0.00,0.695,0.00
488,0.00,0.695,0.00
509,0.00,0.693,0.00
529,0.00,0.693,0.00
546,0.00,0.693,0.00
566,0.00,0.695,0.00
586,0.00,0.695,0.00
607,0.00,0.695,0.00
627,0.00,0.695,0.00
648,0.00,0.695,0.00
667,0.00,0.695,0.00
688,0.00,0.695,0.00
709,0.00,0.695,0.00
728,0.00,0.695,0.00
746,0.00,0.693,0.00
767,0.00,0.695,0.00
786,0.00,0.695,0.00
807,0.00,0.695,0.00
829,0.00,0.693,0.00
848,0.00,0.695,0.00
869,0.00,0.695,0.00
886,0.00,0.695,0.00
906,0.00,0.693,0.00
927,0.00,0.695,0.00
943,0.00,0.695,0.00
967,0.00,0.695,0.00
988,0.00,0.693,0.00
1008,0.00,0.695,0.00
1025,0.00,0.693,0.00
1046,0.00,0.693,0.00
1064,0.00,0.695,0.00
1087,0.00,0.695,0.00
1107,0.00,0.695,0.00
1127,0.00,0.695,0.00
1148,0.00,0.693,0.00
1166,0.00,0.695,0.00
1180,0.00,0.693,0.00
1206,0.00,0.695,0.00
1226,0.00,0.695,0.00
1246,0.00,0.695,0.00
1267,0.00,0.695,0.00
1285,0.00,0.695,0.00
1307,0.00,0.695,0.00
1324,0.00,0.696,0.00
1344,0.00,0.695,0.00
1365,0.00,0.695,0.00
1385,0.00,0.693,0.00
1406,0.00,0.695,0.00
1426,0.00,0.693,0.00
1446,0.00,0.695,0.00
1467,0.00,0.695,0.00
1484,0.00,0.695,0.00
1505,0.00,0.695,0.00
1526,0.00,0.695,0.00
1545,0.00,0.695,0.00
1566,0.00,0.696,0.00
1586,0.00,0.695,0.00
1606,0.00,0.696,0.00
1627,0.00,0.695,0.00
1646,0.00,0.693,0.00
1664,0.00,0.695,0.00
1684,0.00,0.693,0.00
1705,0.00,0.693,0.00
1726,0.00,0.695,0.00
1746,0.00,0.695,0.00
1766,0.00,0.693,0.00
1787,0.00,0.695,0.00
1804,0.00,0.695,0.00
1824,0.00,0.695,0.00
1844,0.00,0.693,0.00
1865,0.00,0.695,0.00
1885,0.00,0.695,0.00
1905,0.00,0.693,0.00
1926,0.00,0.695,0.00
1946,0.00,0.695,0.00
1963,0.20,0.695,0.10
1984,0.40,0.695,0.50
2004,0.70,0.695,1.00
2025,0.90,0.695,1.40
2045,1.20,0.695,1.90
2065,1.60,0.695,2.50
2086,1.90,0.696,3.40
2106,2.00,0.696,4.10
2126,2.10,0.696,4.50
2142,2.30,0.695,4.70
2163,2.60,0.696,5.10
2184,2.90,0.696,5.70
2205,3.20,0.697,6.50
2225,3.60,0.697,7.50
2245,4.00,0.697,8.50
2266,4.40,0.697,9.90
2281,4.60,0.698,11.20
2303,4.90,0.698,12.10
2323,5.20,0.699,13.10
2344,5.50,0.699,14.20
2365,5.80,0.699,15.40
2385,6.20,0.699,16.60
2405,6.60,0.701,18.00
2426,6.90,0.702,19.90
2446,7.10,0.702,21.60
2462,7.30,0.702,22.50
2483,7.60,0.703,23.20
2504,7.90,0.703,24.40
2523,8.20,0.704,25.90
2545,8.50,0.704,27.40
2565,9.00,0.706,29.10
2585,9.30,0.707,31.20
2602,9.60,0.707,33.30
2623,9.90,0.708,34.90
2643,10.20,0.708,36.20
2663,10.50,0.709,37.80
2683,10.80,0.709,39.60
2704,11.20,0.71,41.30
2725,11.70,0.712,43.50
2745,11.90,0.713,46.00
2762,12.00,0.713,47.80
2780,12.30,0.713,48.70
2803,12.60,0.714,49.70
2822,12.90,0.715,51.30
2843,13.20,0.715,53.10
2863,13.60,0.717,55.10
2884,14.10,0.718,57.50
2903,14.40,0.719,60.20
2923,14.60,0.72,62.30
2942,14.90,0.72,63.70
2962,15.20,0.721,65.30
2983,15.50,0.723,67.10
3003,15.80,0.724,69.20
3024,16.20,0.725,71.20
3044,16.60,0.728,73.80
3064,16.80,0.728,76.60
3082,17.00,0.728,78.30
3102,17.30,0.728,79.40
3122,17.60,0.73,80.90
3143,17.90,0.731,82.80
3162,18.30,0.732,85.00
3184,18.70,0.735,87.40
3203,19.10,0.736,90.40
3224,19.40,0.736,93.40
3238,19.60,0.737,95.40
3261,19.90,0.736,96.80
3282,20.20,0.737,98.60
3303,20.50,0.736,100.70
3323,20.80,0.737,102.40
3343,21.20,0.737,104.40
3363,21.50,0.737,106.60
3383,21.70,0.737,108.70
3397,21.90,0.736,110.00
3421,22.30,0.737,111.30
3441,22.60,0.737,113.30
3460,23.00,0.737,115.70
3483,23.30,0.739,118.20
3503,23.70,0.74,120.70
3523,24.10,0.737,123.30
3544,24.30,0.739,125.70
3560,24.60,0.739,127.30
3581,24.90,0.739,128.80
3601,25.20,0.737,130.80
3620,25.40,0.737,132.60
3638,25.70,0.737,134.20
3661,26.00,0.736,135.90
3679,26.20,0.737,137.80
3703,26.40,0.736,139.40
3720,26.70,0.737,140.60
3741,27.00,0.737,142.30
3762,27.40,0.739,144.80
3782,27.70,0.739,147.50
3802,28.00,0.739,149.90
3823,28.30,0.739,152.10
3838,28.60,0.739,154.20
3858,28.70,0.737,156.20
3876,28.70,0.736,157.10
3900,28.70,0.734,156.70
3920,28.70,0.734,156.10
3942,28.70,0.732,155.80
3962,28.70,0.732,155.60
3982,28.70,0.732,155.40
4002,28.70,0.731,155.20
4023,28.70,0.731,155.10
4039,28.70,0.732,155.00
4060,28.70,0.731,154.90
4080,28.70,0.731,154.70
4101,28.70,0.731,154.60
4121,28.70,0.731,154.60
4141,28.70,0.731,154.50
4162,28.70,0.731,154.50
4183,28.70,0.731,154.40
4200,28.80,0.73,154.50
4220,29.10,0.732,154.90
4240,29.30,0.735,157.40
4260,29.40,0.735,159.10
4281,29.60,0.735,160.10
4302,29.80,0.736,161.40
4322,30.10,0.737,163.40
4338,30.40,0.739,165.80
4359,30.90,0.741,168.30
4380,31.20,0.741,171.70
4400,31.40,0.739,175.00
4420,31.50,0.737,176.00
4440,31.70,0.736,176.40
4461,32.00,0.737,177.60
4482,32.40,0.739,179.70
4502,32.90,0.74,182.70
4518,33.40,0.742,186.20
4539,33.90,0.741,190.20
4560,34.00,0.739,194.30
4581,34.00,0.736,195.20
4601,34.30,0.736,194.90
4621,34.50,0.737,195.70
4640,34.80,0.736,197.80
4658,34.90,0.736,199.60
4679,35.10,0.736,200.60
4698,35.30,0.736,201.70
4719,35.60,0.736,203.50
4740,35.90,0.737,205.80
4760,36.20,0.737,207.90
4780,36.30,0.737,210.10
4800,36.40,0.736,211.40
4821,36.60,0.736,212.00
4839,36.70,0.736,212.60
4859,36.90,0.736,213.50
4880,37.10,0.736,214.80
4900,37.40,0.736,216.70
4920,37.60,0.737,218.60
4940,37.80,0.739,220.60
4961,38.20,0.739,222.80
4978,38.50,0.74,225.40
4993,38.80,0.74,228.50
5009,38.80,0.737,231.20
5035,38.90,0.735,231.20
5059,38.90,0.734,230.40
5080,38.90,0.735,230.20
5100,38.90,0.732,230.10
5121,38.90,0.731,229.50
5137,38.90,0.731,229.10
5158,38.90,0.732,228.80
5178,38.90,0.731,228.60
5199,38.90,0.731,228.40
5219,38.90,0.731,228.30
5239,38.90,0.729,228.10
5260,38.90,0.731,228.00
5277,38.90,0.731,227.90
5297,38.90,0.731,227.90
5318,38.90,0.731,227.80
5337,38.90,0.73,227.70
5359,38.90,0.73,227.70
5379,38.90,0.73,227.60
5400,38.90,0.73,227.60
5420,38.90,0.73,227.50
5440,38.90,0.73,227.50
5457,38.90,0.73,227.40
5477,38.90,0.73,227.40
5498,38.90,0.73,227.30
5518,38.90,0.73,227.30
5539,38.90,0.729,227.30
5559,38.90,0.73,227.20
5580,38.90,0.73,227.20
5600,38.80,0.729,227.10
5616,38.30,0.724,226.00
5637,38.00,0.721,220.20
5658,37.80,0.719,215.70
5678,37.70,0.718,213.10
5699,37.40,0.715,211.00
5719,37.10,0.714,208.80
5739,36.70,0.71,205.90
5760,36.20,0.706,201.80
5776,35.70,0.702,196.50
5794,35.60,0.699,191.40
5817,35.40,0.699,189.00
5837,35.20,0.698,187.30
5858,34.90,0.697,185.50
5879,34.60,0.693,183.30
5899,34.20,0.692,180.30
5916,33.90,0.69,177.00
5936,33.60,0.687,173.80
5956,33.30,0.687,170.70
5977,33.10,0.687,168.60
5998,32.80,0.686,166.70
6018,32.50,0.686,164.80
6038,32.20,0.687,162.70
6059,32.00,0.687,161.00
6079,31.70,0.687,159.10
6095,31.30,0.687,157.30
6116,30.80,0.686,155.20
6137,30.50,0.686,151.80
6157,30.30,0.687,148.90
6177,30.00,0.687,148.00
6198,29.70,0.688,146.80
6218,29.40,0.687,144.90
6239,29.00,0.687,142.70
6255,28.60,0.687,140.20
6276,28.40,0.688,137.60
6296,28.20,0.688,136.20
6316,27.90,0.688,134.90
6338,27.60,0.687,133.10
6358,27.20,0.687,131.10
6378,26.90,0.687,129.10
6398,26.40,0.687,126.70
6415,25.90,0.687,124.00
6435,25.70,0.687,120.70
6455,25.40,0.688,118.60
6474,25.10,0.688,117.10
6497,24.70,0.688,115.50
6516,24.30,0.687,113.10
6526,23.90,0.687,110.60
6552,23.70,0.688,107.80
6575,23.50,0.69,106.30
6592,23.30,0.688,105.70
6615,23.00,0.69,104.40
