Time,Length,Pressure,Force
2,0.00,0.699,0.00
2,0.00,0.699,0.00
3,0.00,0.699,0.00
3,0.00,0.699,0.00
3,0.00,0.699,0.00
4,0.00,0.699,0.00
4,0.00,0.699,0.00
5,0.00,0.699,0.00
5,0.00,0.699,0.00
5,0.00,0.699,0.00
6,0.00,0.699,0.00
6,0.00,0.699,0.00
6,0.00,0.699,0.00
7,0.00,0.699,0.00
7,0.00,0.699,0.00
8,0.00,0.699,0.00
9,0.00,0.698,0.00
26,0.00,0.698,0.00
46,0.00,0.698,0.00
62,0.00,0.697,0.00
86,0.00,0.698,0.00
99,0.00,0.698,0.00
129,0.00,0.698,0.00
147,0.00,0.698,0.00
167,0.00,0.698,0.00
180,0.00,0.698,0.00
195,0.00,0.698,0.00
228,0.00,0.698,0.00
244,0.00,0.698,0.00
266,0.00,0.698,0.00
288,0.00,0.698,0.00
309,0.00,0.697,0.00
328,0.00,0.698,0.00
346,0.00,0.698,0.00
363,0.00,0.698,0.00
375,0.00,0.698,0.00
407,0.00,0.698,0.00
424,0.00,0.698,0.00
448,0.00,0.698,0.00
468,0.00,0.698,0.00
485,0.00,0.698,0.00
505,0.00,0.698,0.00
525,0.00,0.698,0.00
542,0.00,0.698,0.00
567,0.00,0.698,0.00
575,0.00,0.698,0.00
607,0.00,0.698,0.00
628,0.00,0.698,0.00
646,0.00,0.698,0.00
661,0.00,0.698,0.00
677,0.00,0.698,0.00
702,0.00,0.698,0.00
726,0.00,0.698,0.00
746,0.00,0.698,0.00
767,0.00,0.698,0.00
787,0.00,0.698,0.00
806,0.00,0.698,0.00
816,0.00,0.698,0.00
842,0.00,0.698,0.00
865,0.00,0.697,0.00
886,0.00,0.698,0.00
906,0.00,0.698,0.00
926,0.00,0.698,0.00
947,0.00,0.698,0.00
968,0.00,0.698,0.00
985,0.00,0.698,0.00
1000,0.00,0.698,0.00
1014,0.00,0.698,0.00
1046,0.00,0.698,0.00
1062,0.00,0.698,0.00
1083,0.00,0.698,0.00
1107,0.00,0.697,0.00
1124,0.00,0.698,0.00
1144,0.00,0.698,0.00
1153,0.00,0.698,0.00
1185,0.00,0.698,0.00
1204,0.00,0.698,0.00
1222,0.00,0.698,0.00
1244,0.00,0.697,0.00
1262,0.00,0.697,0.00
1283,0.00,0.697,0.00
1298,0.00,0.697,0.00
1325,0.00,0.698,0.00
1345,0.00,0.698,0.00
1366,0.00,0.698,0.00
1381,0.00,0.698,0.00
1404,0.00,0.698,0.00
1426,0.00,0.697,0.00
1447,0.00,0.698,0.00
1463,0.00,0.698,0.00
1479,0.00,0.697,0.00
1506,0.00,0.698,0.00
