Time,Length,Pressure,Force
14,0.00,-0.001,45.80
34,0.00,-0.001,45.80
55,0.00,-0.001,45.90
71,0.00,-0.001,45.80
92,0.00,-0.001,45.80
112,0.00,-0.001,45.80
133,0.00,-0.001,45.80
154,0.00,-0.001,45.80
174,0.00,-0.002,45.80
194,0.00,-0.001,45.90
214,0.00,-0.001,45.80
232,0.00,-0.001,45.80
252,0.00,-0.001,45.80
272,0.00,-0.001,45.80
292,0.00,-0.001,45.80
313,0.00,-0.001,45.90
333,0.00,-0.001,45.80
354,0.00,-0.001,45.80
370,0.00,-0.001,45.80
391,0.00,-0.001,45.80
412,0.00,-0.002,45.80
433,0.00,-0.002,45.80
453,0.00,-0.001,45.80
473,0.00,-0.001,45.80
493,0.00,-0.001,45.80
513,0.00,-0.001,45.90
534,0.00,-0.001,45.80
551,0.00,-0.001,45.80
572,0.00,-0.001,45.80
592,0.00,-0.001,45.80
613,0.00,-0.002,45.80
634,0.00,-0.001,45.80
656,0.00,-0.001,45.80
673,0.00,-0.001,45.80
694,0.00,-0.001,45.80
710,0.00,-0.002,45.80
731,0.00,-0.001,45.80
751,0.00,-0.002,45.80
772,0.00,-0.001,45.80
793,0.00,-0.002,45.80
813,0.00,-0.001,45.80
833,0.00,-0.001,45.80
851,0.00,-0.001,45.80
871,0.00,-0.001,45.80
891,0.00,-0.001,45.80
911,0.00,-0.001,45.80
931,0.00,-0.001,45.80
952,0.00,-0.001,45.80
972,0.00,-0.001,45.80
993,0.00,-0.002,45.80
1013,0.00,-0.001,45.80
1031,0.00,-0.001,45.80
1051,0.00,-0.001,45.80
1072,0.00,-0.001,45.80
1092,0.00,-0.001,45.80
1111,0.00,-0.001,45.80
1131,0.00,-0.002,45.80
1152,0.00,-0.001,45.80
1169,0.00,-0.001,45.80
1190,0.00,-0.001,45.80
1210,0.00,-0.001,45.80
1232,0.00,-0.002,45.80
1252,0.00,-0.002,45.80
1272,0.00,-0.001,45.80
1292,0.00,-0.001,45.80
1308,0.00,-0.001,45.80
1329,0.00,-0.001,45.80
1349,0.00,-0.001,45.80
1370,0.00,-0.001,45.80
1390,0.00,-0.001,45.80
1410,0.00,-0.001,45.80
1431,0.00,-0.001,45.80
1451,0.00,-0.002,45.80
1472,0.00,-0.001,45.80
1489,0.00,-0.001,45.80
1510,0.00,-0.001,45.80
1530,0.00,-0.001,45.80
1550,0.00,-0.001,45.80
1570,0.00,-0.001,45.80
1591,0.00,-0.001,45.80
1611,0.00,-0.002,45.80
1632,0.00,-0.001,45.80
1648,0.00,-0.001,45.80
1670,0.00,-0.001,45.80
1690,0.00,-0.001,45.80
1711,0.00,-0.001,45.80
1731,0.00,-0.002,45.80
1751,0.00,-0.002,45.80
1771,0.00,-0.001,45.80
1787,0.00,-0.002,45.80
1807,0.00,-0.001,45.80
1828,0.00,-0.002,45.80
1849,0.00,-0.001,45.80
1869,0.00,-0.001,45.80
1890,0.00,-0.002,45.80
1911,0.00,-0.001,45.80
1930,0.00,-0.001,45.80
1951,0.00,-0.002,45.80
1968,0.00,-0.002,45.80
1988,0.00,-0.001,45.80
2008,0.00,-0.001,45.80
2029,0.00,-0.001,45.80
2050,0.00,-0.002,45.80
2071,0.00,-0.001,45.80
2091,0.00,-0.001,45.80
2111,0.00,-0.001,45.80
2128,0.00,-0.001,45.80
2148,0.00,-0.002,45.80
2169,0.00,-0.001,45.80
2190,0.00,-0.002,45.80
2210,0.00,-0.001,45.80
2230,0.00,-0.001,45.80
2250,0.00,-0.001,45.80
2268,0.00,-0.002,45.80
2288,0.00,-0.002,45.80
2309,0.00,-0.001,45.80
2329,0.00,-0.001,45.80
2350,0.00,-0.001,45.80
2369,0.00,-0.001,45.80
2390,0.00,-0.001,45.80
2410,0.00,-0.002,45.80
2427,0.00,-0.002,45.80
2447,0.00,-0.001,45.80
2467,0.00,-0.001,45.80
2488,0.00,-0.001,45.80
2510,0.00,-0.002,45.80
2529,0.00,-0.002,45.80
2549,0.00,-0.001,45.80
2569,0.00,-0.001,45.80
2590,0.00,-0.001,45.80
2606,0.00,-0.001,45.80
2627,0.00,-0.001,45.80
2648,0.00,-0.001,45.80
2668,0.00,-0.001,45.80
2689,0.00,-0.001,45.80
2709,0.00,-0.001,45.80
2729,0.00,-0.001,45.80
2747,0.00,-0.001,45.80
2767,0.00,-0.002,45.80
2788,0.00,-0.002,45.80
2809,0.00,-0.001,45.80
2829,0.00,-0.001,45.80
2850,0.00,-0.001,45.80
