Time,Length,Pressure,Force
11,0.00,-0.25,0.00
31,0.00,-0.25,0.00
52,0.00,-0.25,0.00
64,0.00,-0.25,0.00
84,0.00,-0.25,0.00
109,0.00,-0.25,0.00
115,0.00,-0.25,0.00
149,0.00,-0.25,0.00
165,0.00,-0.25,0.00
190,0.00,-0.25,0.00
207,0.00,-0.25,0.00
229,0.00,-0.25,0.00
249,0.00,-0.25,0.00
270,0.00,-0.25,0.00
287,0.00,-0.25,0.00
311,0.00,-0.25,0.00
317,0.00,-0.25,0.00
352,0.00,-0.25,0.00
369,0.00,-0.25,0.00
389,0.00,-0.25,0.00
410,0.00,-0.25,0.00
417,0.00,-0.25,0.00
450,0.00,-0.25,0.00
469,0.00,-0.25,0.00
490,0.00,-0.25,0.00
510,0.00,-0.25,0.00
529,0.00,-0.25,0.00
546,0.00,-0.25,0.00
569,0.00,-0.25,0.00
584,0.00,-0.25,0.00
601,0.00,-0.25,0.00
628,0.00,-0.25,0.00
650,0.00,-0.25,0.00
670,0.00,-0.25,0.00
687,0.00,-0.25,0.00
708,0.00,-0.25,0.00
728,0.00,-0.25,0.00
744,0.00,-0.25,0.00
769,0.00,-0.25,0.00
787,0.00,-0.25,0.00
803,0.00,-0.25,0.00
827,0.00,-0.25,0.00
840,0.00,-0.25,0.00
864,0.00,-0.25,0.00
888,0.00,-0.25,0.00
909,0.00,-0.25,0.00
929,0.00,-0.25,0.00
950,0.00,-0.25,0.00
967,0.00,-0.25,0.00
990,0.00,-0.25,0.00
1006,0.00,-0.25,0.00
1026,0.00,-0.25,0.00
1047,0.00,-0.25,0.00
1069,0.00,-0.25,0.00
1087,0.00,-0.25,0.00
1108,0.00,-0.25,0.00
1129,0.00,-0.25,0.00
1146,0.00,-0.25,0.00
1166,0.00,-0.25,0.00
1185,0.00,-0.25,0.00
1208,0.00,-0.25,0.00
1228,0.00,-0.25,0.00
1249,0.00,-0.25,0.00
1270,0.00,-0.25,0.00
1289,0.00,-0.25,0.00
1306,0.00,-0.25,0.00
1326,0.00,-0.25,0.00
1347,0.00,-0.25,0.00
1367,0.00,-0.25,0.00
1387,0.00,-0.25,0.00
1408,0.00,-0.25,0.00
1428,0.00,-0.25,0.00
1449,0.00,-0.25,0.00
1469,0.00,-0.25,0.00
1487,0.00,-0.25,0.00
1508,0.00,-0.25,0.00
1527,0.00,-0.25,0.00
1546,0.00,-0.25,0.00
1560,0.00,-0.25,0.00
1588,0.00,-0.25,0.00
1608,0.00,-0.25,0.00
1622,0.00,-0.25,0.00
1645,0.00,-0.25,0.00
1667,0.00,-0.25,0.00
1686,0.00,-0.25,0.00
1701,0.00,-0.25,0.00
1728,0.00,-0.25,0.00
1738,0.00,-0.25,0.00
1768,0.00,-0.25,0.00
1785,0.00,-0.25,0.00
1805,0.00,-0.25,0.00
1826,0.00,-0.25,0.00
1848,0.00,-0.25,0.00
1867,0.00,-0.25,0.00
1887,0.00,-0.25,0.00
1908,0.00,-0.25,0.00
1925,0.00,-0.25,0.00
1940,0.00,-0.25,0.00
1964,0.00,-0.25,0.00
1981,0.00,-0.25,0.00
2006,0.00,-0.25,0.00
2027,0.00,-0.25,0.00
2046,0.00,-0.25,0.00
2067,0.00,-0.25,0.00
2088,0.00,-0.25,0.00
2104,0.00,-0.25,0.00
2121,0.00,-0.25,0.00
2146,0.00,-0.25,0.00
2162,0.00,-0.25,0.00
2180,0.00,-0.25,0.00
2206,0.00,-0.25,0.00
2227,0.00,-0.25,0.00
2247,0.00,-0.25,0.00
2264,0.00,-0.25,0.00
2281,0.00,-0.25,0.00
2304,0.00,-0.25,0.00
2321,0.00,-0.25,0.00
2347,0.00,-0.25,0.00
2367,0.00,-0.25,0.00
2387,0.00,-0.25,0.00
2403,0.00,-0.25,0.00
2423,0.00,-0.25,0.00
2445,0.00,-0.25,0.00
2466,0.00,-0.25,0.00
2485,0.00,-0.25,0.00
2506,0.00,-0.25,0.00
2526,0.00,-0.25,0.00
2547,0.00,-0.25,0.00
2566,0.00,-0.25,0.00
2584,0.00,-0.25,0.00
2604,0.00,-0.25,0.00
2624,0.00,-0.25,0.00
2645,0.00,-0.25,0.00
2665,0.00,-0.25,0.00
2686,0.00,-0.25,0.00
2706,0.00,-0.25,0.00
2726,0.00,-0.25,0.00
2743,0.00,-0.25,0.00
2764,0.00,-0.25,0.00
2784,0.00,-0.25,0.00
2805,0.00,-0.25,0.00
2825,0.00,-0.25,0.00
2845,0.00,-0.25,0.00
2866,0.00,-0.25,0.00
2886,0.00,-0.25,0.00
2903,0.00,-0.25,0.00
2923,0.00,-0.25,0.00
2944,0.00,-0.25,0.00
2964,0.00,-0.25,0.00
