Time,Length,Pressure,Force
14,0.00,0.302,0.00
14,0.00,0.304,0.00
14,0.00,0.304,0.00
15,0.00,0.304,0.00
15,0.00,0.304,0.00
15,0.00,0.302,0.00
15,0.00,0.302,0.00
16,0.00,0.302,0.00
16,0.00,0.302,0.00
16,0.00,0.304,0.00
17,0.00,0.304,0.00
17,0.00,0.304,0.00
17,0.00,0.304,0.00
17,0.00,0.302,0.00
18,0.00,0.302,0.00
18,0.00,0.302,0.00
18,0.00,0.302,0.00
18,0.00,0.304,0.00
27,0.00,0.302,0.00
47,0.00,0.302,0.00
54,0.00,0.302,0.00
88,0.00,0.302,0.00
108,0.00,0.302,0.00
123,0.00,0.302,0.00
140,0.00,0.302,0.00
166,0.00,0.302,0.00
186,0.00,0.302,0.00
203,0.00,0.301,0.00
228,0.00,0.302,0.00
248,0.00,0.302,0.00
268,0.00,0.302,0.00
285,0.00,0.302,0.00
296,0.00,0.302,0.00
326,0.00,0.302,0.00
346,0.00,0.302,0.00
367,0.00,0.301,0.00
381,0.00,0.304,0.00
408,0.00,0.302,0.00
428,0.00,0.301,0.00
439,0.00,0.302,0.00
465,0.00,0.302,0.00
485,0.00,0.302,0.00
502,0.00,0.302,0.00
520,0.00,0.302,0.00
545,0.00,0.302,0.00
567,0.00,0.302,0.00
582,0.00,0.302,0.00
605,0.00,0.302,0.00
619,0.00,0.302,0.00
640,0.00,0.302,0.00
667,0.00,0.302,0.00
686,0.00,0.302,0.00
707,0.00,0.302,0.00
727,0.00,0.302,0.00
745,0.00,0.302,0.00
765,0.00,0.304,0.00
778,0.00,0.302,0.00
792,0.00,0.302,0.00
824,0.00,0.302,0.00
842,0.00,0.302,0.00
867,0.00,0.302,0.00
887,0.00,0.302,0.00
903,0.00,0.302,0.00
924,0.00,0.302,0.00
945,0.00,0.302,0.00
966,0.00,0.302,0.00
983,0.00,0.302,0.00
998,0.00,0.302,0.00
1024,0.00,0.302,0.00
1031,0.00,0.302,0.00
1064,0.00,0.302,0.00
1081,0.00,0.301,0.00
1104,0.00,0.302,0.00
1124,0.00,0.302,0.00
1145,0.00,0.302,0.00
1165,0.00,0.302,0.00
1173,0.00,0.302,0.00
1206,0.00,0.302,0.00
1224,0.00,0.302,0.00
1238,0.00,0.302,0.00
1264,0.00,0.302,0.00
1269,0.00,0.302,0.00
1302,0.00,0.302,0.00
1325,0.00,0.302,0.00
1346,0.00,0.302,0.00
1365,0.00,0.302,0.00
1382,0.00,0.302,0.00
1403,0.00,0.302,0.00
1420,0.00,0.302,0.00
1436,0.00,0.302,0.00
1452,0.00,0.302,0.00
1485,0.00,0.302,0.00
1503,0.00,0.302,0.00
1519,0.00,0.302,0.00
1543,0.00,0.302,0.00
1563,0.00,0.302,0.00
1583,0.00,0.302,0.00
1604,0.00,0.302,0.00
1611,0.00,0.302,0.00
1645,0.00,0.302,0.00
1664,0.00,0.302,0.00
1686,0.00,0.302,0.00
1692,0.00,0.302,0.00
1719,0.00,0.302,0.00
1741,0.00,0.302,0.10
1764,0.00,0.302,0.00
1784,0.00,0.302,0.00
1804,0.00,0.302,0.00
1825,0.00,0.302,0.00
1842,0.00,0.302,0.00
1850,0.00,0.302,0.00
1883,0.00,0.302,0.00
1898,0.00,0.302,0.00
1924,0.00,0.302,0.00
1935,0.00,0.302,0.10
1962,0.00,0.302,0.10
1984,0.00,0.302,0.00
2004,0.00,0.302,0.10
2021,0.00,0.302,0.10
2042,0.00,0.302,0.00
2059,0.00,0.302,0.00
2076,0.00,0.302,0.00
2103,0.00,0.302,0.00
2124,0.00,0.302,0.00
2140,0.00,0.302,0.00
2156,0.00,0.302,0.00
2174,0.00,0.302,0.00
2202,0.00,0.302,0.00
2222,0.00,0.302,0.00
2242,0.00,0.302,0.00
2263,0.00,0.304,0.00
2283,0.00,0.301,0.00
2301,0.00,0.304,0.00
2320,0.00,0.302,0.00
2332,0.00,0.302,0.00
2363,0.00,0.302,0.00
2371,0.00,0.302,0.00
2389,0.00,0.302,0.00
2423,0.00,0.302,0.00
2443,0.00,0.302,0.00
2464,0.00,0.302,0.00
2470,0.00,0.302,0.00
2497,0.00,0.302,0.00
2518,0.00,0.302,0.00
2536,0.00,0.302,0.00
2562,0.00,0.302,0.00
