Time,Length,Pressure,Force
2,181.9,0.702,28.24
4005,182.0,0.696,28.05
4042,182.1,0.696,28.05
4094,182.2,0.698,27.56
4243,182.3,0.697,27.46
4453,182.4,0.697,27.95
4541,182.5,0.697,28.15
4594,182.6,0.697,28.34
4643,182.7,0.699,27.85
4667,182.8,0.699,28.24
4678,182.9,0.699,28.24
4704,183.0,0.699,28.15
4715,183.1,0.701,28.15
4729,183.2,0.701,28.15
4742,183.3,0.701,28.15
4752,183.4,0.699,37.27
4766,183.6,0.699,37.27
4778,183.7,0.699,37.27
4790,183.8,0.702,37.27
4797,183.9,0.701,37.46
4814,184.0,0.701,37.46
4817,184.1,0.701,37.46
4853,184.2,0.702,37.66
4866,184.4,0.703,37.66
4866,184.5,0.703,37.66
4893,184.6,0.702,37.66
4903,184.7,0.703,37.66
4916,184.8,0.704,37.66
4933,184.9,0.704,37.66
4943,185.0,0.704,37.66
4948,185.1,0.704,37.85
4966,185.2,0.704,37.85
4979,185.3,0.706,37.85
4991,185.4,0.706,37.85
5012,185.5,0.707,47.86
5028,185.6,0.704,47.86
5053,185.7,0.706,47.76
5072,185.8,0.707,47.76
5105,185.9,0.707,47.07
5118,186.0,0.707,47.07
5130,186.1,0.707,47.07
5130,186.2,0.708,47.07
5155,186.3,0.708,47.27
5158,186.4,0.708,47.27
5180,186.5,0.709,47.27
5192,186.6,0.708,47.27
5217,186.7,0.709,47.27
5227,186.8,0.708,47.27
5240,186.9,0.709,47.27
5258,187.0,0.709,56.98
5279,187.1,0.709,56.98
5304,187.2,0.709,57.57
5314,187.3,0.71,57.57
5321,187.4,0.709,57.57
5338,187.5,0.71,57.57
5368,187.6,0.71,57.07
5380,187.7,0.712,57.07
5390,187.8,0.712,57.07
5405,188.0,0.712,57.66
5417,188.1,0.713,57.66
5430,188.2,0.713,57.66
5442,188.3,0.713,57.66
5451,188.4,0.713,56.98
5463,188.6,0.714,56.98
5479,188.7,0.714,56.98
5505,188.8,0.714,57.57
5515,188.9,0.715,57.57
5529,189.0,0.714,57.57
5532,189.1,0.714,57.57
5552,189.2,0.715,67.57
5564,189.3,0.715,67.57
5577,189.4,0.715,67.57
5589,189.5,0.714,67.57
5602,189.6,0.715,66.69
5614,189.7,0.715,66.69
5630,189.8,0.715,66.69
5642,189.9,0.717,66.69
5654,190.0,0.717,66.78
5664,190.1,0.715,66.78
5673,190.2,0.717,66.78
5691,190.3,0.717,66.78
5701,190.4,0.717,66.88
5728,190.5,0.717,66.88
5732,190.6,0.718,66.88
5753,190.7,0.717,76.59
5765,190.8,0.717,76.59
5767,190.9,0.715,76.59
5800,191.0,0.715,77.28
5827,191.1,0.715,77.28
5851,191.2,0.715,76.59
5863,191.3,0.715,76.59
5879,191.4,0.715,76.59
5889,191.5,0.715,76.59
5915,191.6,0.717,76.59
5922,191.7,0.717,76.59
5939,191.8,0.717,76.59
5958,191.9,0.717,76.49
5970,192.0,0.715,76.49
5986,192.1,0.717,76.49
6002,192.2,0.715,76.98
6027,192.3,0.715,76.98
6039,192.4,0.717,76.98
6047,192.5,0.715,76.49
6064,192.6,0.715,76.49
6077,192.7,0.715,76.49
6088,192.8,0.715,76.49
6101,192.9,0.715,86.98
6111,193.0,0.717,86.98
6127,193.2,0.715,86.98
6128,193.3,0.717,86.98
6155,193.5,0.718,87.08
6167,193.6,0.718,87.08
6179,193.7,0.718,87.08
6193,193.8,0.718,87.08
6214,193.9,0.718,87.18
6226,194.0,0.717,87.18
6263,194.1,0.715,87.08
6277,194.2,0.717,87.08
6289,194.3,0.715,87.08
6302,194.4,0.715,86.98
6318,194.5,0.715,86.98
6337,194.6,0.715,86.98
6351,194.7,0.717,96.3
6355,194.8,0.715,96.3
6367,194.9,0.717,96.3
6385,195.0,0.715,96.3
6404,195.1,0.717,96.3
6417,195.2,0.717,96.3
6427,195.3,0.717,96.3
6434,195.4,0.717,96.3
6454,195.5,0.717,96.5
6469,195.6,0.715,96.5
6478,195.7,0.717,96.5
6487,195.8,0.717,96.5
6515,195.9,0.717,96.5
6527,196.0,0.715,96.5
6548,196.1,0.715,96.11
6575,196.2,0.715,96.11
6575,196.3,0.714,96.11
6608,196.4,0.715,96.3
6635,196.5,0.714,96.3
6661,196.6,0.715,106.4
6678,196.7,0.715,106.4
6699,196.8,0.715,106.4
6728,196.9,0.715,106.4
6740,197.0,0.715,106.4
6763,197.1,0.715,106.5
6787,197.2,0.714,106.5
6813,197.3,0.715,106.79
6832,197.4,0.713,106.79
6873,197.5,0.714,106.79
6892,197.6,0.714,106.6
6915,197.7,0.714,106.6
6928,197.8,0.714,106.6
6953,197.9,0.717,106.7
6965,198.1,0.715,106.7
6977,198.2,0.715,106.7
6986,198.4,0.717,106.7
6994,198.5,0.717,106.6
7004,198.6,0.717,106.6
7021,198.7,0.717,106.6
7049,198.8,0.717,116.4
7075,198.9,0.715,116.4
7086,199.0,0.717,116.4
7098,199.1,0.715,116.01
7113,199.2,0.717,116.01
7114,199.3,0.715,116.01
7137,199.4,0.715,116.01
7150,199.5,0.717,116.6
7156,199.6,0.717,116.6
7178,199.7,0.717,116.6
7191,199.8,0.717,116.6
7203,199.9,0.717,115.82
7216,200.0,0.717,115.82
7228,200.1,0.718,115.82
7234,200.2,0.718,115.82
7252,200.3,0.718,116.21
7262,200.4,0.717,116.21
7289,200.5,0.717,116.21
7311,200.6,0.718,126.21
7326,200.7,0.717,126.21
7350,200.8,0.715,125.53
7376,200.9,0.715,125.53
7387,201.0,0.715,125.53
7412,201.1,0.715,126.41
7414,201.2,0.715,126.41
7441,201.3,0.715,126.41
7451,201.4,0.717,125.92
7478,201.5,0.715,125.92
7516,201.6,0.715,125.62
7537,201.7,0.715,125.62
7564,201.8,0.715,126.41
7577,201.9,0.715,126.41
7588,202.0,0.715,126.41
7613,202.1,0.715,126.41
7637,202.2,0.715,126.41
7649,202.3,0.715,135.72
7684,202.4,0.715,135.72
7700,202.5,0.714,135.92
7727,202.6,0.715,135.92
7729,202.7,0.715,135.92
7763,202.8,0.717,135.92
7769,202.9,0.717,135.92
7789,203.1,0.717,135.92
7801,203.2,0.718,135.53
7813,203.4,0.717,135.53
7825,203.5,0.718,135.53
7838,203.6,0.718,135.53
7850,203.7,0.718,135.43
7861,203.8,0.717,135.43
7873,203.9,0.715,135.43
7898,204.0,0.717,145.14
7922,204.1,0.717,145.14
7931,204.2,0.717,145.14
7947,204.3,0.717,145.43
7958,204.4,0.717,145.43
7970,204.5,0.718,145.43
7987,204.6,0.717,145.43
7987,204.7,0.718,145.24
8013,204.8,0.718,145.24
8026,204.9,0.718,145.24
8038,205.0,0.718,145.24
8051,205.1,0.718,145.53
8061,205.2,0.718,145.53
