Time,Length,Pressure,Force
5,199.7,0.525,55.8
2090,199.6,0.522,55.5
3651,199.7,0.523,54.7
3714,199.8,0.525,54.9
3750,199.9,0.525,55.6
3790,200.0,0.525,56.6
3799,200.1,0.525,56.6
3812,200.2,0.526,56.6
3830,200.3,0.525,56.6
3840,200.4,0.525,58.3
3847,200.5,0.525,58.3
3865,200.6,0.525,58.3
3873,200.7,0.525,58.3
3883,200.8,0.525,60.6
3898,200.9,0.526,60.6
3915,201.0,0.526,60.6
3933,201.1,0.525,62.9
3949,201.2,0.526,62.9
3975,201.3,0.526,62.9
3991,201.4,0.526,64.6
4001,201.5,0.526,64.6
4014,201.6,0.527,64.6
4014,201.7,0.526,64.6
4040,201.8,0.526,66.4
4052,201.9,0.526,66.4
4064,202.0,0.526,66.4
4075,202.1,0.526,66.4
4089,202.2,0.526,68.4
4115,202.3,0.527,68.4
4126,202.4,0.526,68.4
4139,202.5,0.526,70.6
4149,202.6,0.526,70.6
4173,202.7,0.526,70.6
4188,202.8,0.527,72.4
4193,202.9,0.527,72.4
4206,203.0,0.526,72.4
4221,203.1,0.527,72.4
4239,203.2,0.526,74.2
4249,203.3,0.527,74.2
4277,203.4,0.527,74.2
4288,203.5,0.527,76.3
4297,203.6,0.528,76.3
4314,203.8,0.527,76.3
4323,203.9,0.527,76.3
4340,204.0,0.527,78.4
4348,204.1,0.527,78.4
4364,204.2,0.528,78.4
4375,204.3,0.527,78.4
4385,204.4,0.528,80.7
4398,204.5,0.528,80.7
4398,204.6,0.528,80.7
4424,204.7,0.528,80.7
4431,204.8,0.528,82.9
4447,204.9,0.528,82.9
4463,205.0,0.528,82.9
4464,205.1,0.528,82.9
4490,205.2,0.528,85.2
4500,205.4,0.53,85.2
4515,205.5,0.53,85.2
4526,205.7,0.53,85.2
4539,205.8,0.53,87.8
4548,205.9,0.53,87.8
4559,206.0,0.53,87.8
4569,206.1,0.53,87.8
4587,206.2,0.53,90.8
4602,206.3,0.531,90.8
4603,206.4,0.53,90.8
4621,206.5,0.53,90.8
4637,206.6,0.53,92.9
4651,206.7,0.531,92.9
4662,206.8,0.531,92.9
4669,206.9,0.53,92.9
4687,207.0,0.53,95.2
4696,207.1,0.531,95.2
4713,207.2,0.53,95.2
4721,207.3,0.53,95.2
4739,207.4,0.53,97.5
4750,207.5,0.531,97.5
4763,207.6,0.531,97.5
4777,207.7,0.531,97.5
4801,207.8,0.531,99.7
4813,207.9,0.531,99.7
4821,208.0,0.531,99.7
4839,208.1,0.531,101.7
4848,208.2,0.531,101.7
4855,208.4,0.531,101.7
4870,208.5,0.531,101.7
4887,208.7,0.531,103.7
4902,208.8,0.532,103.7
4937,208.9,0.531,106.7
4962,209.0,0.531,106.7
4982,209.1,0.531,107.9
4998,209.2,0.531,107.9
5015,209.3,0.532,107.9
5025,209.4,0.532,107.9
5032,209.5,0.532,109.1
5052,209.6,0.532,109.1
5064,209.7,0.532,109.1
5064,209.9,0.532,109.1
5082,210.0,0.532,111.3
5097,210.1,0.533,111.3
5113,210.2,0.533,111.3
5113,210.3,0.533,111.3
5138,210.4,0.533,114.0
5146,210.5,0.533,114.0
5162,210.6,0.533,114.0
5174,210.7,0.533,114.0
5184,210.9,0.533,116.2
5195,211.0,0.533,116.2
5211,211.1,0.533,116.2
5213,211.2,0.533,116.2
5230,211.3,0.533,118.6
5262,211.4,0.533,118.6
5268,211.5,0.533,118.6
5288,211.6,0.533,120.6
5314,211.7,0.534,120.6
5334,211.8,0.534,122.3
5362,211.9,0.534,122.3
5387,212.0,0.533,123.4
5425,212.1,0.533,123.4
5597,212.2,0.532,124.4
5631,212.3,0.533,124.5
5656,212.4,0.533,124.5
5673,212.5,0.533,124.5
5683,212.6,0.533,125.5
5693,212.7,0.533,125.5
5705,212.8,0.533,125.5
5721,212.9,0.533,125.5
5721,213.1,0.533,127.5
5747,213.2,0.534,127.5
5753,213.3,0.534,127.5
5773,213.4,0.533,127.5
5800,213.5,0.536,130.3
5825,213.6,0.534,130.3
5835,213.7,0.534,132.3
5861,213.8,0.536,132.3
5870,213.9,0.536,132.3
5886,214.0,0.536,133.9
5896,214.1,0.537,133.9
5911,214.2,0.536,133.9
5924,214.3,0.537,133.9
5925,214.4,0.536,135.9
5944,214.5,0.537,135.9
5960,214.7,0.536,135.9
5960,214.8,0.536,135.9
5977,214.9,0.537,138.5
5996,215.0,0.537,138.5
6011,215.1,0.537,138.5
6020,215.3,0.537,138.5
6038,215.4,0.537,141.3
6048,215.5,0.538,141.3
6061,215.6,0.538,141.3
6070,215.7,0.538,141.3
6099,215.8,0.539,144.4
6099,215.9,0.538,144.4
6117,216.0,0.538,144.4
6138,216.1,0.539,146.4
6150,216.3,0.538,146.4
6161,216.4,0.539,146.4
6174,216.5,0.539,146.4
6178,216.6,0.539,148.8
6195,216.7,0.539,148.8
6211,216.8,0.539,148.8
6222,216.9,0.539,148.8
6235,217.0,0.539,151.6
6248,217.1,0.541,151.6
6260,217.2,0.539,151.6
6270,217.3,0.539,151.6
6278,217.4,0.541,154.2
6295,217.5,0.541,154.2
6312,217.6,0.541,154.2
6322,217.7,0.539,154.2
6348,217.8,0.542,156.7
6348,217.9,0.542,156.7
6374,218.0,0.542,156.7
6381,218.1,0.542,158.8
6397,218.2,0.543,158.8
6412,218.3,0.542,158.8
6432,218.4,0.542,161.0
6443,218.5,0.543,161.0
6461,218.6,0.543,161.0
6478,218.7,0.541,163.0
6535,218.8,0.541,164.2
6574,218.9,0.542,164.2
6599,219.0,0.542,164.7
6607,219.1,0.543,164.7
6614,219.2,0.542,164.7
6634,219.3,0.542,165.8
6661,219.4,0.543,165.8
6667,219.5,0.543,165.8
6685,219.6,0.543,167.8
6698,219.7,0.544,167.8
6711,219.8,0.544,167.8
6721,219.9,0.544,167.8
6735,220.0,0.543,170.1
6740,220.1,0.545,170.1
6757,220.2,0.544,170.1
6768,220.3,0.544,170.1
6780,220.4,0.544,172.8
6797,220.5,0.545,172.8
6807,220.6,0.544,172.8
6818,220.7,0.544,172.8
6830,220.8,0.545,175.5
6862,220.9,0.545,175.5
6872,221.0,0.545,175.5
6882,221.1,0.545,177.5
6896,221.2,0.545,177.5
6924,221.3,0.547,177.5
6929,221.4,0.545,179.5
6953,221.5,0.545,179.5
6985,221.6,0.547,181.3
6995,221.7,0.547,181.3
7012,221.8,0.545,181.3
7030,221.9,0.547,182.7
7055,222.0,0.545,182.7
7071,222.1,0.547,182.7
7099,222.2,0.548,184.4
7111,222.3,0.548,184.4
7124,222.4,0.547,184.4
7144,222.5,0.548,186.0
7161,222.6,0.548,186.0
7169,222.7,0.548,186.0
7185,222.8,0.549,188.0
7190,222.9,0.549,188.0
7203,223.0,0.549,188.0
7217,223.1,0.549,188.0
7235,223.2,0.549,190.4
7243,223.3,0.55,190.4
7260,223.4,0.548,190.4
7271,223.5,0.549,190.4
7294,223.6,0.549,193.1
7326,223.7,0.549,194.7
7366,223.8,0.55,194.7
7386,223.9,0.55,195.5
7396,224.0,0.549,195.5
7396,224.1,0.549,195.5
7422,224.2,0.55,195.5
7432,224.3,0.55,196.9
7445,224.4,0.552,196.9
7460,224.5,0.552,196.9
7467,224.6,0.55,196.9
7497,224.7,0.552,199.5
7509,224.8,0.55,199.5
7534,224.9,0.552,201.6
7558,225.0,0.55,201.6
7583,225.1,0.55,202.9
7595,225.2,0.552,202.9
7609,225.4,0.55,202.9
7635,225.5,0.553,204.7
7645,225.6,0.553,204.7
7668,225.7,0.553,204.7
7686,225.8,0.553,207.0
7702,225.9,0.553,207.0
7719,226.0,0.553,207.0
7735,226.1,0.553,208.4
7739,226.2,0.553,208.4
7771,226.3,0.553,208.4
7796,226.4,0.553,210.0
7818,226.5,0.552,210.0
7845,226.6,0.552,210.6
7846,226.7,0.552,210.6
7873,226.8,0.552,210.6
7879,226.9,0.552,210.4
7896,227.0,0.553,210.4
7910,227.1,0.552,210.4
7912,227.2,0.55,210.4
7930,227.3,0.55,210.2
7944,227.4,0.548,210.2
7955,227.5,0.547,210.2
7971,227.6,0.545,210.2
7984,227.7,0.547,202.7
7995,227.8,0.547,202.7
8377,227.9,0.543,188.3
8407,228.0,0.543,188.3
8434,228.1,0.544,188.6
8447,228.2,0.543,188.6
9019,228.3,0.542,190.8
9069,228.4,0.541,190.7
9257,228.5,0.541,192.6
9295,228.6,0.542,192.6
9368,228.7,0.541,193.7
9402,228.8,0.542,194.2
9426,228.9,0.543,194.6
9466,229.0,0.542,194.6
9640,229.1,0.541,196.1
9650,229.2,0.542,196.1
9680,229.3,0.543,196.8
9688,229.4,0.542,196.8
10716,229.3,0.538,197.1
10739,229.2,0.538,196.7
10763,229.1,0.538,196.7
10792,229.0,0.538,195.0
10815,228.9,0.538,195.0
10867,228.8,0.538,192.6
10904,228.7,0.537,191.1
10921,228.6,0.536,190.0
10941,228.5,0.536,190.0
10963,228.4,0.536,190.0
10970,228.2,0.534,188.5
10988,228.1,0.534,188.5
11006,228.0,0.534,188.5
11030,227.9,0.534,185.7
11087,227.8,0.533,183.6
11098,227.7,0.533,183.6
11107,227.6,0.533,183.6
11130,227.5,0.534,183.0
11155,227.4,0.532,183.0
11165,227.3,0.532,183.0
11172,227.2,0.532,180.5
11190,227.1,0.531,180.5
11204,227.0,0.531,180.5
11205,226.9,0.531,180.5
11229,226.7,0.531,177.8
11237,226.6,0.53,177.8
11254,226.5,0.528,177.8
11265,226.4,0.53,177.8
11281,226.2,0.53,174.6
11293,226.1,0.528,174.6
11305,226.0,0.528,174.6
11317,225.8,0.528,174.6
11326,225.7,0.528,170.9
11342,225.5,0.527,170.9
11353,225.4,0.526,170.9
11366,225.3,0.527,170.9
11393,225.2,0.527,166.8
11416,225.1,0.526,166.8
11416,225.0,0.527,163.8
11453,224.9,0.525,163.8
11464,224.8,0.525,163.8
11473,224.7,0.525,162.1
11491,224.6,0.523,162.1
11502,224.5,0.523,162.1
11513,224.4,0.523,162.1
11523,224.3,0.525,159.7
11542,224.2,0.523,159.7
11543,224.1,0.523,159.7
11581,223.9,0.525,157.3
11604,223.8,0.522,157.3
11618,223.7,0.523,157.3
11645,223.6,0.522,154.8
11840,223.5,0.521,152.7
11857,223.4,0.521,152.7
11866,223.2,0.522,152.7
11879,223.0,0.521,152.1
11892,222.9,0.52,152.1
11904,222.8,0.52,152.1
11916,222.7,0.521,152.1
11928,222.6,0.52,148.7
11953,222.5,0.52,148.7
11953,222.3,0.519,148.7
11974,222.2,0.519,145.9
11990,222.1,0.517,145.9
12002,222.0,0.517,145.9
12012,221.8,0.517,145.9
12018,221.7,0.517,143.0
12038,221.6,0.516,143.0
12052,221.4,0.517,143.0
12069,221.3,0.517,143.0
12079,221.1,0.517,139.6
12090,220.9,0.515,139.6
12104,220.7,0.516,139.6
12114,220.5,0.516,139.6
12129,220.4,0.516,135.4
12138,220.3,0.515,135.4
12154,220.2,0.516,135.4
12167,220.1,0.516,135.4
12177,220.0,0.515,131.4
12191,219.9,0.515,131.4
12197,219.8,0.515,131.4
12209,219.6,0.515,131.4
12223,219.5,0.515,128.8
12241,219.4,0.515,128.8
12250,219.2,0.514,128.8
12263,219.1,0.514,128.8
12277,219.0,0.514,125.7
12289,218.8,0.514,125.7
12303,218.7,0.514,125.7
12317,218.6,0.514,125.7
12329,218.5,0.514,122.6
12339,218.3,0.515,122.6
12354,218.2,0.515,122.6
12366,218.1,0.515,122.6
12372,217.9,0.514,119.7
12391,217.8,0.515,119.7
12401,217.7,0.515,119.7
12414,217.6,0.515,119.7
12414,217.5,0.516,116.7
12440,217.4,0.515,116.7
12446,217.2,0.515,116.7
