Time,Length,Pressure,Force
3,175.7,0.611,-0.1
3392,175.8,0.61,0.0
3426,175.9,0.611,-0.1
3452,176.0,0.611,-0.1
3483,176.1,0.611,-0.8
3490,176.2,0.611,-0.8
3501,176.3,0.611,-0.8
3520,176.4,0.611,-0.8
3530,176.5,0.613,-1.8
3545,176.6,0.611,-1.8
3557,176.8,0.611,-1.8
3568,176.9,0.611,-1.8
3594,177.0,0.611,-3.2
3606,177.1,0.611,-3.2
3627,177.2,0.611,-4.6
3643,177.3,0.611,-4.6
3647,177.4,0.61,-4.6
3666,177.5,0.61,-4.6
3679,177.6,0.61,-5.5
3707,177.7,0.61,-5.5
3720,177.8,0.613,-5.5
3732,177.9,0.611,-6.6
3742,178.0,0.611,-6.6
3751,178.1,0.611,-6.6
3768,178.2,0.611,-6.6
3788,178.3,0.611,-7.8
3799,178.4,0.611,-7.8
3815,178.5,0.611,-7.8
3830,178.6,0.611,-9.0
3840,178.7,0.611,-9.0
3847,178.9,0.611,-9.0
3863,179.0,0.613,-9.0
3881,179.1,0.611,-10.3
3890,179.3,0.61,-10.3
3917,179.4,0.611,-10.3
3922,179.5,0.61,-11.9
3957,179.6,0.61,-11.9
3967,179.7,0.613,-11.9
3967,179.8,0.611,-13.2
3994,179.9,0.611,-13.2
4005,180.0,0.611,-13.2
4016,180.1,0.613,-13.2
4016,180.2,0.611,-14.3
4042,180.3,0.611,-14.3
4053,180.4,0.611,-14.3
4068,180.6,0.611,-14.3
4093,180.7,0.611,-15.8
4105,180.8,0.613,-15.8
4118,180.9,0.613,-15.8
4129,181.0,0.611,-17.3
4142,181.1,0.611,-17.3
4154,181.2,0.611,-17.3
4159,181.4,0.611,-17.3
4168,181.5,0.611,-18.6
4187,181.6,0.611,-18.6
4202,181.7,0.611,-18.6
4219,181.9,0.613,-18.6
4229,182.0,0.611,-20.3
4244,182.1,0.611,-20.3
4257,182.2,0.613,-20.3
4268,182.3,0.613,-20.3
4282,182.4,0.613,-22.1
4292,182.5,0.611,-22.1
4306,182.6,0.611,-22.1
4317,182.7,0.613,-22.1
4327,182.8,0.611,-23.6
4343,182.9,0.611,-23.6
4349,183.0,0.611,-23.6
4368,183.1,0.613,-23.6
4378,183.2,0.611,-25.2
4389,183.3,0.611,-25.2
4402,183.4,0.611,-25.2
4417,183.5,0.611,-25.2
4429,183.6,0.611,-26.7
4442,183.8,0.611,-26.7
4454,183.9,0.611,-26.7
4469,184.0,0.613,-26.7
4469,184.2,0.611,-28.3
4486,184.3,0.613,-28.3
4503,184.4,0.613,-28.3
4521,184.5,0.613,-30.2
4531,184.6,0.611,-30.2
4556,184.7,0.613,-30.2
4569,184.8,0.613,-31.8
4581,184.9,0.613,-31.8
4593,185.0,0.613,-31.8
4605,185.1,0.613,-31.8
4618,185.2,0.613,-31.8
4628,185.3,0.611,-33.1
4642,185.4,0.611,-33.1
4652,185.5,0.613,-33.1
4667,185.7,0.613,-33.1
4670,185.8,0.611,-34.6
4688,186.0,0.611,-34.6
4703,186.1,0.613,-34.6
4703,186.2,0.613,-36.5
4731,186.3,0.613,-36.5
4741,186.4,0.613,-36.5
4755,186.5,0.613,-36.5
4766,186.6,0.614,-38.6
4781,186.7,0.613,-38.6
4788,186.8,0.613,-38.6
4805,186.9,0.613,-38.6
4816,187.0,0.614,-40.1
4831,187.1,0.613,-40.1
4840,187.2,0.613,-40.1
4852,187.3,0.613,-40.1
4868,187.4,0.614,-41.6
4878,187.5,0.613,-41.6
4889,187.6,0.613,-41.6
4902,187.7,0.613,-41.6
4917,187.9,0.613,-41.6
4917,188.0,0.613,-43.3
4934,188.1,0.613,-43.3
4952,188.2,0.613,-43.3
4965,188.3,0.614,-45.2
4978,188.5,0.611,-45.2
4993,188.6,0.613,-45.2
4999,188.7,0.614,-45.2
5017,188.8,0.614,-47.1
5026,189.0,0.614,-47.1
