Time,Length,Pressure,Force
6,0.0,0.407,-320.5
4414,0.1,0.407,-220.3
4476,0.2,0.409,79.7
4547,0.3,0.409,79.7
4580,0.5,0.407,179.7
4601,0.7,0.409,379.7
4617,0.8,0.409,-320.3
4638,1.0,0.409,-20.3
4653,1.1,0.409,179.7
4677,1.3,0.409,379.7
4693,1.5,0.407,-320.3
4715,1.8,0.407,-20.3
4738,2.0,0.409,179.7
4755,2.3,0.409,579.7
4773,2.5,0.409,-20.3
4838,2.6,0.409,-320.3
4849,2.7,0.409,579.7
4875,2.9,0.409,-220.3
4885,3.0,0.41,79.7
4917,3.3,0.409,279.7
4937,3.5,0.41,579.7
4948,3.7,0.41,-20.3
4974,4.0,0.41,379.7
4998,4.4,0.41,-220.3
5019,4.7,0.41,279.7
5040,4.9,0.411,-120.3
5056,5.0,0.411,479.7
5088,5.1,0.41,379.7
5118,5.3,0.411,379.7
5138,5.5,0.411,579.7
5151,5.7,0.411,-20.3
5178,5.8,0.411,479.7
5198,6.0,0.411,-120.3
5212,6.3,0.412,379.7
5237,6.5,0.412,-120.3
5256,6.7,0.413,479.7
5277,7.0,0.413,79.7
5298,7.2,0.413,-220.3
5318,7.3,0.413,579.7
5338,7.4,0.413,179.7
5356,7.6,0.413,479.7
5372,7.8,0.413,-120.3
5389,8.0,0.415,479.7
5414,8.2,0.415,179.7
5422,8.4,0.415,-20.3
5458,8.6,0.416,-220.3
5477,8.8,0.416,479.7
5497,9.0,0.417,279.7
5518,9.3,0.416,179.7
5539,9.5,0.416,79.7
5542,9.6,0.417,-20.3
5574,9.7,0.417,-220.3
5591,9.8,0.417,379.7
5616,9.9,0.417,-220.3
5638,10.1,0.418,179.7
5656,10.3,0.42,-120.3
5678,10.5,0.418,-220.3
5699,10.6,0.418,579.7
5715,10.8,0.42,379.7
5736,10.9,0.42,79.7
5756,11.0,0.42,-220.3
5778,11.2,0.42,479.7
5797,11.3,0.421,79.7
5818,11.4,0.421,-220.3
5833,11.5,0.421,279.7
5858,11.7,0.421,-120.3
5877,11.9,0.422,579.7
5895,12.0,0.422,379.7
5916,12.2,0.422,179.7
5936,12.4,0.423,79.7
5956,12.5,0.423,-20.3
5970,12.7,0.423,-120.3
5996,12.8,0.423,-320.3
6018,12.9,0.426,479.7
6033,13.1,0.426,279.7
6055,13.2,0.424,79.7
6073,13.3,0.426,-120.3
6091,13.5,0.426,-320.3
6118,13.6,0.426,379.7
6137,13.8,0.427,79.7
6157,13.9,0.427,-120.3
6178,14.1,0.427,-220.3
6182,14.2,0.428,579.7
6215,14.3,0.428,479.7
6235,14.4,0.428,279.7
6334,14.6,0.428,-120.3
6354,14.8,0.429,179.7
6375,14.9,0.429,79.7
6382,15.0,0.429,379.7
6431,15.1,0.429,-320.3
6474,15.2,0.431,279.7
6497,15.3,0.429,579.7
6501,15.4,0.431,79.7
6533,15.5,0.432,-220.3
6556,15.6,0.432,379.7
6576,15.8,0.432,79.7
6596,15.9,0.433,-220.3
6616,16.0,0.433,579.7
6623,16.1,0.433,379.7
6654,16.2,0.434,179.7
6673,16.4,0.434,-120.3
6689,16.5,0.434,-320.3
6716,16.6,0.434,479.7
6732,16.8,0.434,179.7
6755,16.9,0.435,79.7
6776,17.1,0.435,79.7
6796,17.2,0.437,79.7
6813,17.4,0.437,79.7
6833,17.5,0.438,-20.3
6854,17.7,0.438,79.7
6876,17.8,0.439,179.7
6893,18.0,0.439,379.7
6915,18.1,0.44,379.7
6936,18.3,0.44,379.7
6956,18.5,0.442,479.7
6971,18.6,0.442,579.7
6994,18.8,0.442,-120.3
7014,19.0,0.443,79.7
7034,19.1,0.443,279.7
7052,19.3,0.443,579.7
7136,19.4,0.443,-120.3
7170,19.5,0.444,79.7
7187,19.6,0.444,479.7
7215,19.8,0.445,79.7
7235,19.9,0.446,-20.3
7255,20.0,0.446,-20.3
7274,20.2,0.445,-20.3
7292,20.3,0.446,-20.3
7314,20.4,0.446,-220.3
7331,20.5,0.446,479.7
7343,20.6,0.446,179.7
7374,20.7,0.446,-120.3
7393,20.8,0.445,379.7
7415,20.9,0.446,-20.3
7452,21.0,0.446,-20.3
7472,21.1,0.446,479.7
7566,21.0,0.444,479.7
7579,20.9,0.443,279.7
7612,20.8,0.442,579.7
7632,20.7,0.442,279.7
7653,20.6,0.442,-120.3
7671,20.4,0.442,-120.3
7694,20.3,0.44,-220.3
7714,20.2,0.439,-320.3
7734,20.1,0.439,479.7
7751,20.0,0.439,279.7
8171,19.9,0.438,479.7
8193,19.7,0.437,479.7
8206,19.6,0.437,-20.3
8232,19.4,0.435,579.7
8292,19.3,0.435,179.7
