Time,Length,Pressure,Force
1,0.0,0.597,0.0
2297,-0.1,0.596,0.3
2398,-0.2,0.596,0.5
2636,-0.1,0.596,0.5
2679,0.0,0.596,0.2
2699,0.1,0.596,0.1
2714,0.3,0.596,0.1
2740,0.5,0.594,0.3
2756,0.7,0.596,0.7
2768,0.8,0.597,1.0
2818,0.9,0.596,1.4
2834,1.0,0.596,1.4
2851,1.1,0.596,1.5
2879,1.2,0.596,1.7
2916,1.3,0.596,2.0
2937,1.4,0.597,2.2
2958,1.5,0.597,2.4
2972,1.6,0.597,2.6
2999,1.7,0.596,2.8
3019,1.8,0.596,2.9
3030,1.9,0.597,3.1
3043,2.1,0.596,3.3
3077,2.2,0.596,3.6
3098,2.3,0.597,3.9
3118,2.4,0.597,4.1
3138,2.6,0.597,4.4
3158,2.8,0.597,4.8
3178,2.9,0.598,5.1
3199,3.1,0.597,5.6
3216,3.2,0.597,6.0
3236,3.3,0.597,6.3
4568,3.4,0.596,6.2
4596,3.5,0.597,6.4
4636,3.6,0.597,7.1
4653,3.8,0.597,7.4
4674,3.9,0.598,7.8
4694,4.0,0.597,8.2
4714,4.2,0.597,8.5
4735,4.3,0.597,8.9
4755,4.4,0.598,9.3
4770,4.6,0.598,9.8
4796,4.7,0.598,10.2
4811,4.8,0.597,10.6
4832,4.9,0.598,11.1
4854,5.0,0.598,11.4
4872,5.2,0.599,11.7
4892,5.3,0.598,12.2
4915,5.4,0.599,12.7
4971,5.5,0.599,13.0
5014,5.6,0.599,13.4
6348,5.7,0.599,13.3
6386,5.8,0.599,13.9
6430,5.9,0.599,14.4
6467,6.0,0.599,14.9
6484,6.1,0.599,15.2
6508,6.2,0.599,15.4
6546,6.3,0.599,16.0
6567,6.4,0.599,16.2
6611,6.5,0.6,16.8
6631,6.6,0.6,17.0
6652,6.7,0.6,17.4
6689,6.8,0.6,18.0
6704,6.9,0.6,18.3
6726,7.0,0.602,18.7
6742,7.2,0.6,19.1
6762,7.3,0.602,19.6
6789,7.4,0.602,20.2
6810,7.6,0.602,20.8
6889,7.7,0.602,21.5
6907,7.8,0.602,21.9
6950,7.9,0.603,22.3
8446,8.0,0.602,22.2
8459,8.1,0.602,22.7
8487,8.2,0.602,23.4
8522,8.3,0.602,23.9
8559,8.4,0.603,24.3
8605,8.5,0.602,24.9
8622,8.6,0.603,25.2
8646,8.7,0.603,25.6
8667,8.8,0.604,26.0
8706,8.9,0.603,26.8
8725,9.0,0.604,27.2
8731,9.2,0.604,27.7
8762,9.3,0.604,28.2
8777,9.4,0.604,28.8
8803,9.5,0.605,29.3
8826,9.7,0.605,30.0
8847,9.8,0.605,30.6
8867,10.0,0.605,31.3
8880,10.1,0.607,32.0
8900,10.2,0.607,32.6
8944,10.4,0.607,33.3
8960,10.5,0.607,33.9
8976,10.7,0.608,34.6
10325,10.8,0.607,35.0
10364,10.9,0.607,35.7
10404,11.0,0.607,36.3
10424,11.1,0.607,36.6
10464,11.2,0.607,37.2
10467,11.3,0.608,37.6
10523,11.4,0.608,38.4
10545,11.5,0.607,38.7
10564,11.6,0.608,39.1
10604,11.7,0.609,39.9
10625,11.8,0.608,40.3
10661,11.9,0.609,41.0
10679,12.0,0.609,41.4
10695,12.1,0.61,41.8
10715,12.3,0.609,42.3
10743,12.4,0.61,43.0
10764,12.7,0.611,43.9
10784,12.8,0.611,45.0
10840,12.9,0.611,46.2
10874,13.0,0.611,46.6
12361,13.1,0.611,46.4
12371,13.2,0.61,46.9
12397,13.3,0.611,47.4
12425,13.4,0.611,48.3
12459,13.5,0.611,48.8
12475,13.6,0.611,49.3
12520,13.7,0.611,49.9
12558,13.8,0.613,50.6
12575,13.9,0.613,50.9
12612,14.0,0.613,51.6
12640,14.1,0.613,52.1
12658,14.2,0.613,52.6
12674,14.3,0.615,53.2
12701,14.5,0.615,53.8
12711,14.6,0.614,54.6
12740,14.7,0.615,55.3
12758,14.8,0.616,55.9
12779,14.9,0.616,56.5
12877,15.0,0.616,57.1
12896,15.1,0.616,57.5
12919,15.2,0.618,58.1
14234,15.3,0.616,58.0
14257,15.4,0.616,58.3
14278,15.5,0.615,59.1
14294,15.6,0.616,59.8
14315,15.7,0.616,60.4
14355,15.8,0.618,61.3
14385,15.9,0.618,61.9
14417,16.0,0.619,62.2
14451,16.1,0.619,63.0
14516,16.2,0.619,63.8
14572,16.3,0.619,64.1
14614,16.4,0.619,64.7
14631,16.5,0.619,65.1
14654,16.6,0.62,65.5
14675,16.7,0.62,66.1
14696,16.8,0.621,66.7
14713,16.9,0.621,67.3
14736,17.0,0.621,67.9
14753,17.1,0.621,68.6
14774,17.2,0.622,69.3
14793,17.3,0.622,70.1
14815,17.4,0.622,70.8
15392,17.5,0.622,70.4
15411,17.6,0.621,71.0
17711,17.7,0.621,71.2
