Time,Length,Pressure,Force
2,0.0,0.5,0.0
3565,0.1,0.498,0.0
3582,0.2,0.499,0.4
3603,0.3,0.498,0.7
3623,0.4,0.499,1.0
3644,0.5,0.499,1.3
3664,0.6,0.499,1.6
3685,0.7,0.499,1.8
3705,0.8,0.499,2.0
3726,0.9,0.499,2.2
3763,1.0,0.499,2.7
3783,1.1,0.499,2.9
3804,1.2,0.499,3.0
3845,1.3,0.5,3.4
3864,1.4,0.499,3.6
3902,1.5,0.499,3.9
3922,1.6,0.5,4.1
3942,1.7,0.5,4.3
3963,1.8,0.5,4.5
3984,1.9,0.5,4.8
4004,2.0,0.5,5.1
4024,2.1,0.499,5.3
4044,2.2,0.499,5.6
4062,2.3,0.5,5.8
4076,2.4,0.5,6.1
4102,2.5,0.5,6.4
4122,2.6,0.5,6.6
4143,2.7,0.5,6.8
4177,2.8,0.5,7.2
4194,2.9,0.501,7.4
4241,3.0,0.5,7.7
4303,3.1,0.5,8.0
4381,3.2,0.5,8.3
4442,3.3,0.5,8.6
4481,3.4,0.501,9.0
4520,3.5,0.501,9.3
5798,3.6,0.501,9.0
5832,3.7,0.501,9.8
5848,3.8,0.501,10.3
5877,3.9,0.501,10.6
5900,4.0,0.501,10.9
5921,4.1,0.501,11.2
5937,4.2,0.501,11.5
5954,4.3,0.501,11.9
5976,4.4,0.501,12.2
5994,4.5,0.503,12.6
6018,4.6,0.501,13.0
6039,4.7,0.503,13.3
6058,4.8,0.503,13.7
6074,4.9,0.503,14.1
6101,5.0,0.503,14.5
6117,5.1,0.504,14.9
6138,5.2,0.503,15.3
6159,5.3,0.504,15.7
6177,5.5,0.504,16.2
6193,5.6,0.504,16.9
6218,5.8,0.505,17.7
6240,5.9,0.504,18.3
6259,6.0,0.504,18.7
6293,6.1,0.505,19.3
6318,6.2,0.504,19.6
7796,6.3,0.503,19.1
7826,6.4,0.503,19.7
7875,6.5,0.503,20.6
7896,6.6,0.503,21.0
7911,6.7,0.504,21.6
7930,6.8,0.504,22.2
7950,6.9,0.504,22.8
7976,7.1,0.504,23.3
7983,7.2,0.504,23.9
8014,7.3,0.505,24.4
8035,7.4,0.505,25.0
8052,7.5,0.506,25.6
8075,7.6,0.505,26.1
8095,7.7,0.506,26.7
8116,7.8,0.505,27.2
8136,7.9,0.505,27.6
8172,8.0,0.506,28.2
8210,8.1,0.505,28.8
8234,8.2,0.506,29.2
8250,8.3,0.506,29.7
8276,8.4,0.506,30.2
9692,8.5,0.503,29.3
9743,8.6,0.504,30.1
9768,8.7,0.503,30.5
9808,8.8,0.504,31.4
9832,8.9,0.504,32.0
9853,9.0,0.504,32.5
9873,9.1,0.505,33.2
9878,9.2,0.505,34.0
9909,9.4,0.504,34.7
9930,9.5,0.505,35.4
9951,9.6,0.505,36.1
9971,9.7,0.505,36.8
9992,9.8,0.506,37.5
10012,10.0,0.506,38.1
10033,10.1,0.506,38.7
10054,10.2,0.506,39.4
10070,10.3,0.506,40.1
10090,10.4,0.508,40.9
10108,10.5,0.506,41.5
