Time,Length,Pressure,Force
1,0.0,0.797,0.0
3515,0.1,0.795,0.1
3536,0.2,0.793,0.5
3577,0.3,0.796,1.3
3595,0.4,0.795,1.7
3607,0.5,0.796,2.1
3632,0.6,0.796,2.5
3653,0.7,0.796,2.9
3671,0.8,0.797,3.3
3689,0.9,0.796,3.7
3717,1.1,0.796,4.1
3734,1.2,0.796,4.5
3757,1.3,0.796,4.9
3777,1.4,0.797,5.3
3791,1.5,0.797,5.6
3820,1.6,0.796,6.0
5015,1.7,0.796,5.9
5056,1.8,0.796,6.5
5073,1.9,0.796,6.9
5093,2.0,0.796,7.2
5109,2.1,0.797,7.6
5127,2.3,0.797,7.9
5142,2.4,0.796,8.3
5191,2.5,0.796,8.8
5208,2.6,0.796,8.9
5225,2.7,0.796,9.2
5253,2.8,0.797,9.5
5273,2.9,0.797,9.8
5291,3.0,0.797,10.1
5314,3.1,0.797,10.4
5333,3.2,0.797,10.7
5346,3.3,0.797,11.0
5372,3.4,0.797,11.3
5396,3.5,0.797,11.7
5412,3.6,0.797,12.0
5430,3.7,0.797,12.4
5441,3.8,0.798,12.7
5474,3.9,0.798,13.1
5491,4.0,0.798,13.4
5513,4.2,0.798,13.8
5534,4.3,0.798,14.2
5555,4.4,0.798,14.6
5557,4.5,0.798,14.9
5613,4.6,0.798,15.5
5641,4.7,0.798,15.8
6890,4.8,0.8,15.4
6903,4.9,0.8,15.7
6930,5.0,0.798,16.4
6952,5.1,0.8,16.9
6986,5.2,0.798,17.4
7010,5.3,0.798,17.7
7030,5.4,0.798,18.0
7071,5.5,0.8,18.6
7091,5.6,0.8,18.9
7112,5.7,0.8,19.2
7126,5.8,0.798,19.5
7137,5.9,0.798,19.8
7191,6.0,0.8,20.4
7206,6.1,0.801,20.7
7231,6.2,0.801,21.1
7250,6.3,0.801,21.5
7272,6.4,0.801,21.8
7288,6.5,0.801,22.1
8424,6.6,0.801,22.2
8467,6.7,0.8,22.6
8499,6.8,0.801,23.2
8525,6.9,0.801,23.5
8545,7.0,0.801,23.9
8566,7.2,0.801,24.3
8586,7.3,0.801,24.9
8607,7.4,0.802,25.5
8627,7.5,0.802,26.0
8645,7.6,0.801,26.3
8664,7.7,0.802,26.7
8681,7.8,0.801,27.0
8703,7.9,0.801,27.4
8712,8.0,0.802,27.8
8745,8.1,0.802,28.2
8761,8.2,0.803,28.6
8787,8.3,0.802,29.0
8803,8.4,0.803,29.4
8828,8.5,0.803,29.8
8847,8.6,0.804,30.2
8850,8.7,0.803,30.6
8882,8.9,0.802,31.1
8899,9.0,0.804,31.5
8915,9.1,0.804,32.0
8946,9.2,0.803,32.5
8965,9.3,0.803,33.0
8987,9.4,0.804,33.4
9001,9.5,0.806,33.8
10198,9.6,0.803,33.7
10263,9.7,0.803,33.8
10281,9.9,0.803,34.4
10306,10.0,0.804,35.2
10308,10.1,0.804,35.9
10364,10.2,0.804,36.4
10406,10.3,0.804,36.8
