Time,Length,Pressure,Force
4,0.0,0.704,0.0
2663,0.1,0.703,0.0
2681,0.2,0.703,0.4
2686,0.4,0.703,0.8
2720,0.6,0.704,1.2
2740,0.9,0.704,1.6
2762,1.3,0.704,2.2
2782,1.6,0.704,2.9
2799,1.9,0.704,3.7
2820,2.1,0.703,4.5
2861,2.3,0.704,5.0
2881,2.5,0.706,5.3
2898,2.8,0.706,5.9
2922,3.0,0.706,6.6
2941,3.4,0.706,7.4
2956,3.7,0.706,8.2
2975,4.0,0.706,9.2
2995,4.4,0.707,10.4
3021,4.7,0.707,11.6
3037,4.9,0.708,12.7
3062,5.2,0.708,13.7
3082,5.5,0.708,14.8
3102,5.7,0.708,15.9
3116,5.9,0.709,16.9
3135,6.2,0.709,17.9
3157,6.6,0.709,19.1
3180,7.0,0.71,20.7
3196,7.1,0.712,22.4
3222,7.3,0.71,23.4
3237,7.5,0.712,24.1
3260,7.8,0.712,25.1
3279,8.0,0.713,26.3
3299,8.3,0.714,27.6
3320,8.7,0.714,29.0
3340,9.1,0.715,30.8
3360,9.5,0.717,33.0
3376,9.8,0.717,35.2
3399,10.0,0.718,36.9
3422,10.3,0.718,38.3
3441,10.6,0.718,39.8
3459,10.9,0.719,41.3
3476,11.2,0.719,42.9
3500,11.6,0.721,44.8
3520,11.9,0.723,47.0
3541,12.1,0.723,48.9
3554,12.2,0.721,50.0
3580,12.5,0.723,50.9
3602,12.8,0.724,52.2
3620,13.0,0.725,53.8
3639,13.4,0.725,55.3
3659,13.8,0.726,57.3
3680,14.1,0.729,59.5
3695,14.4,0.729,62.0
3721,14.7,0.73,64.0
3741,14.9,0.73,65.6
3762,15.2,0.731,67.2
3773,15.5,0.732,69.1
3799,15.8,0.734,70.7
3815,16.1,0.735,72.3
3839,16.5,0.736,74.6
3853,16.8,0.737,77.2
3878,17.0,0.737,79.6
3898,17.2,0.737,80.9
3916,17.4,0.739,81.9
3937,17.7,0.74,83.4
3952,18.0,0.741,85.2
3979,18.3,0.741,87.1
3999,18.7,0.743,89.1
4019,19.1,0.746,91.5
4038,19.5,0.746,94.4
4059,19.8,0.747,97.4
4081,20.1,0.747,99.7
4098,20.3,0.747,101.7
4116,20.6,0.747,103.4
4138,20.9,0.747,104.8
4159,21.3,0.747,106.8
4180,21.6,0.748,109.2
4200,21.8,0.747,111.8
4221,22.0,0.747,113.2
4237,22.2,0.746,114.0
4257,22.4,0.747,115.1
4271,22.7,0.747,116.6
4297,23.1,0.746,118.4
4318,23.5,0.748,120.7
4339,24.0,0.75,123.5
4360,24.3,0.75,126.8
4380,24.5,0.747,129.3
4401,24.7,0.747,130.6
4417,24.9,0.747,131.6
4435,25.1,0.748,133.3
4453,25.3,0.746,134.7
4479,25.5,0.746,135.5
4489,25.8,0.746,136.6
4517,26.1,0.748,138.4
4540,26.6,0.748,140.8
4549,26.8,0.748,144.0
4575,26.9,0.748,146.0
4598,27.1,0.747,146.9
4618,27.4,0.747,148.0
4639,27.7,0.747,149.7
4659,28.0,0.748,151.7
4667,28.4,0.748,154.2
4700,28.8,0.748,156.9
4717,29.0,0.748,159.7
4737,29.2,0.748,161.6
4757,29.4,0.747,162.8
4775,29.7,0.748,163.9
4799,29.9,0.747,165.8
4819,30.0,0.747,167.6
4839,30.2,0.747,168.7
4859,30.5,0.747,169.7
4873,30.8,0.747,171.4
4883,31.2,0.75,173.7
4915,31.5,0.748,176.6
4935,31.7,0.748,179.3
4956,31.9,0.748,180.7
4964,32.1,0.748,181.7
4997,32.4,0.748,183.1
5019,32.7,0.748,185.0
5040,33.0,0.748,187.3
5056,33.4,0.751,190.0
5065,33.8,0.75,193.1
5097,34.0,0.75,196.2
5112,34.1,0.748,198.1
5136,34.3,0.748,198.6
5159,34.5,0.748,199.5
5176,34.7,0.747,201.2
5192,34.9,0.746,202.7
5209,35.0,0.747,203.5
5237,35.2,0.746,204.3
5257,35.5,0.746,205.5
5277,35.9,0.75,207.5
5298,36.2,0.75,210.6
5305,36.3,0.748,214.0
5338,36.4,0.748,215.4
5353,36.5,0.747,215.2
5370,36.7,0.746,215.7
5390,36.8,0.746,216.7
5417,37.0,0.747,217.7
5437,37.3,0.747,219.3
5457,37.5,0.747,221.5
5478,37.7,0.747,223.3
5498,37.9,0.747,224.9
5505,38.1,0.746,226.6
5533,38.3,0.747,228.1
5541,38.5,0.748,229.7
5576,38.7,0.748,231.6
5597,38.8,0.748,233.4
5691,38.9,0.742,231.9
6230,38.8,0.739,230.5
6249,38.4,0.734,228.8
6266,38.1,0.732,223.6
6298,38.0,0.73,219.6
6317,37.8,0.73,217.3
6336,37.6,0.728,215.7
6354,37.4,0.725,213.7
6375,37.1,0.724,211.4
6396,36.7,0.72,208.3
6409,36.3,0.715,204.6
6436,35.8,0.712,200.5
6444,35.6,0.71,195.8
6473,35.4,0.709,192.4
6492,35.2,0.709,190.5
6514,34.8,0.706,188.2
6532,34.5,0.704,185.4
6556,34.1,0.702,182.2
6576,33.8,0.698,178.7
6596,33.6,0.698,175.4
6617,33.4,0.698,173.1
6633,33.2,0.697,171.9
6645,32.9,0.697,170.2
6671,32.7,0.696,168.2
6695,32.4,0.697,166.4
6715,32.2,0.696,164.7
