Time,Length,Pressure,Force
7,0.0,0.801,0.0
2384,0.1,0.798,0.0
2405,0.3,0.8,0.2
2425,0.4,0.8,0.4
2442,0.6,0.798,0.6
2462,0.7,0.798,0.9
2481,0.9,0.8,1.2
2493,1.0,0.8,1.6
2519,1.2,0.8,2.0
2543,1.4,0.798,2.4
2562,1.6,0.8,2.9
2583,1.8,0.8,3.3
2600,2.0,0.8,3.8
2618,2.3,0.8,4.5
2643,2.6,0.801,5.3
2662,2.8,0.801,6.1
2676,3.0,0.801,6.7
2703,3.2,0.801,7.4
2725,3.5,0.801,8.2
2743,3.8,0.801,9.1
2762,4.0,0.801,10.1
2775,4.4,0.801,11.1
2792,4.7,0.803,12.4
2823,5.0,0.802,13.8
2843,5.1,0.803,14.9
2863,5.3,0.802,15.8
2882,5.5,0.803,16.8
2904,5.7,0.803,17.8
2908,5.9,0.804,18.8
2942,6.1,0.804,19.8
2960,6.4,0.803,21.1
2974,6.7,0.806,22.5
3000,7.0,0.806,24.2
3023,7.2,0.807,26.1
3044,7.3,0.808,27.5
3063,7.6,0.806,28.4
3080,7.8,0.807,29.6
3101,8.1,0.808,31.4
3118,8.3,0.808,33.3
3142,8.6,0.811,35.1
3162,9.0,0.809,36.9
3182,9.4,0.812,39.1
3190,9.6,0.812,42.0
3223,9.8,0.812,44.4
3238,10.0,0.813,45.9
3260,10.2,0.813,47.1
3268,10.4,0.814,48.8
3301,10.6,0.814,50.6
3322,10.8,0.815,52.1
3341,11.1,0.817,53.7
3362,11.4,0.818,55.7
3381,11.8,0.819,58.3
3394,12.0,0.819,61.2
3420,12.1,0.82,63.7
3441,12.3,0.82,64.9
3461,12.5,0.823,65.9
3481,12.8,0.822,67.5
3502,13.0,0.823,69.9
3522,13.3,0.823,72.0
3537,13.6,0.825,74.3
3561,13.9,0.828,77.0
3575,14.3,0.826,80.2
3593,14.4,0.829,83.4
3612,14.6,0.829,85.5
3640,14.8,0.829,86.8
3660,15.0,0.83,88.2
3682,15.2,0.831,90.2
3694,15.4,0.831,92.4
3717,15.6,0.834,94.4
3740,15.9,0.833,96.2
3760,16.1,0.835,98.5
3774,16.4,0.837,101.0
3802,16.6,0.835,103.6
3812,16.7,0.835,105.9
3841,16.8,0.836,107.3
3863,16.9,0.835,107.7
3880,17.1,0.835,108.4
3899,17.3,0.836,109.8
3915,17.5,0.835,111.6
3941,17.7,0.837,113.6
3961,18.0,0.837,116.1
3974,18.4,0.837,118.9
3990,18.7,0.839,121.9
4022,19.1,0.839,125.3
4039,19.3,0.837,128.8
4059,19.4,0.836,131.2
4080,19.5,0.835,132.5
4100,19.7,0.836,133.5
4116,19.9,0.835,134.8
4141,20.1,0.835,136.5
4159,20.2,0.836,138.4
4169,20.4,0.836,140.2
4195,20.7,0.836,142.0
4218,20.9,0.837,144.5
4233,21.2,0.836,147.2
4259,21.4,0.836,149.6
4266,21.5,0.836,151.6
4298,21.7,0.836,153.3
4321,21.9,0.837,155.0
4331,22.2,0.836,157.1
4358,22.4,0.836,159.5
4378,22.6,0.837,161.9
4386,22.9,0.836,164.3
4417,23.1,0.837,166.7
4438,23.4,0.837,169.3
4459,23.6,0.837,172.0
4481,23.8,0.837,174.7
4499,24.0,0.837,177.1
4538,24.1,0.834,179.5
4661,24.2,0.833,178.0
4677,24.4,0.834,178.7
4694,24.5,0.835,181.1
4714,24.6,0.836,183.3
4735,24.8,0.835,184.8
4753,24.9,0.835,186.2
4780,25.0,0.835,187.5
4801,25.2,0.835,189.1
4817,25.4,0.836,190.8
4831,25.6,0.839,192.9
4858,26.0,0.839,196.1
4879,26.3,0.84,199.8
4898,26.4,0.839,203.8
4920,26.5,0.837,206.0
4940,26.6,0.835,206.1
4960,26.8,0.836,206.7
4979,27.0,0.837,209.0
4996,27.2,0.836,211.6
5018,27.4,0.837,213.6
5038,27.6,0.836,215.6
5059,27.8,0.836,217.8
5079,28.0,0.835,219.8
5099,28.1,0.836,222.0
5114,28.3,0.836,224.1
5140,28.5,0.835,226.0
5238,28.6,0.833,227.3
5280,28.8,0.834,227.3
5296,29.0,0.835,229.7
5316,29.1,0.836,233.2
6253,29.0,0.826,230.3
6268,28.6,0.824,228.8
6296,28.3,0.822,222.4
6316,28.1,0.819,216.5
6336,27.9,0.815,213.2
6357,27.7,0.814,210.3
6373,27.4,0.813,207.2
6388,27.1,0.811,203.9
6413,26.8,0.807,200.2
6420,26.4,0.802,195.9
6453,26.0,0.8,191.0
6472,25.8,0.798,185.3
6484,25.6,0.796,181.5
6517,25.5,0.796,178.9
6537,25.3,0.795,176.8
6554,25.0,0.793,175.0
6572,24.8,0.792,172.4
6590,24.4,0.792,169.3
6608,24.1,0.792,165.9
6636,23.8,0.792,162.2
6654,23.6,0.793,158.9
6670,23.4,0.792,156.8
6696,23.2,0.792,155.0
6717,22.9,0.793,153.1
6734,22.7,0.795,151.0
6755,22.5,0.793,148.9
6776,22.3,0.793,146.6
6787,22.0,0.793,144.3
6817,21.6,0.792,141.7
6837,21.1,0.79,137.9
6855,20.8,0.792,133.1
6871,20.7,0.793,130.0
6888,20.5,0.795,128.7
6914,20.2,0.795,127.0
6935,19.9,0.793,124.9
6955,19.6,0.792,122.1
6976,19.2,0.792,119.0
6994,18.9,0.793,115.6
7011,18.7,0.793,112.2
7027,18.5,0.795,110.3
7054,18.3,0.795,109.0
7065,18.1,0.793,107.1
7095,17.8,0.793,105.0
7112,17.6,0.793,102.8
7131,17.2,0.793,100.2
7156,16.9,0.792,97.4
7172,16.5,0.793,94.6
7196,16.1,0.792,91.2
7212,15.9,0.793,87.6
7232,15.7,0.795,85.3
7251,15.4,0.795,83.4
7266,15.1,0.795,81.2
7292,14.8,0.793,78.4
7315,14.5,0.793,75.8
