Time,Length,Pressure,Force
2,0.0,0.801,0.0
3214,0.1,0.801,0.0
3231,0.3,0.801,0.4
3248,0.5,0.802,0.9
3264,0.7,0.802,1.3
3296,0.8,0.801,1.6
3316,0.9,0.801,1.9
3355,1.0,0.801,2.2
3375,1.1,0.801,2.3
3415,1.2,0.801,2.5
3425,1.3,0.802,2.7
3451,1.4,0.801,2.8
3496,1.5,0.801,3.3
3517,1.7,0.802,3.6
3534,1.8,0.801,3.9
3554,2.0,0.802,4.2
3566,2.1,0.802,4.5
3592,2.3,0.801,4.9
3615,2.4,0.802,5.3
3651,2.5,0.802,5.7
3682,2.6,0.802,5.9
3734,2.7,0.802,6.2
3775,2.8,0.802,6.7
4772,2.9,0.802,6.6
4790,3.0,0.801,7.2
4812,3.1,0.802,7.6
4827,3.2,0.801,8.0
4852,3.3,0.802,8.3
4873,3.4,0.801,8.7
4889,3.5,0.802,9.0
4906,3.6,0.801,9.2
4932,3.7,0.801,9.6
4972,3.8,0.801,10.2
4979,3.9,0.802,10.6
5011,4.0,0.801,10.9
5033,4.1,0.802,11.4
5053,4.2,0.802,11.8
5074,4.3,0.802,12.1
5094,4.4,0.803,12.5
5111,4.5,0.802,12.8
5118,4.6,0.803,13.2
5171,4.7,0.802,13.9
5179,4.8,0.804,14.2
5211,4.9,0.803,14.6
5253,5.0,0.802,15.2
6327,5.1,0.801,14.4
6351,5.2,0.802,14.6
6368,5.3,0.802,15.6
6388,5.4,0.801,16.6
6405,5.5,0.802,17.3
6429,5.7,0.802,18.1
6445,5.8,0.803,18.7
6464,5.9,0.803,19.4
6476,6.0,0.803,20.0
6503,6.1,0.803,20.5
6531,6.2,0.803,20.8
6538,6.3,0.804,21.2
6568,6.4,0.803,21.7
6589,6.5,0.804,22.3
6609,6.6,0.803,22.8
6627,6.7,0.803,23.5
6647,6.9,0.803,24.3
6660,7.0,0.804,25.2
6686,7.2,0.804,26.1
6708,7.3,0.804,27.0
6725,7.4,0.806,27.8
7703,7.5,0.802,27.3
7745,7.6,0.803,28.3
7768,7.7,0.804,29.0
7805,7.8,0.804,30.2
7826,7.9,0.804,31.0
7846,8.0,0.803,31.8
7867,8.1,0.804,32.5
7884,8.2,0.806,33.1
7908,8.3,0.806,33.8
7922,8.4,0.806,34.5
7949,8.5,0.806,35.2
7965,8.6,0.807,35.9
7986,8.7,0.806,36.5
8007,8.8,0.807,37.2
8013,8.9,0.806,37.9
8046,9.0,0.808,38.6
8062,9.1,0.808,39.3
8080,9.2,0.808,40.0
8105,9.4,0.808,40.8
8122,9.5,0.809,41.7
8166,9.6,0.807,43.0
8185,9.7,0.808,43.6
8206,9.8,0.809,44.3
8225,10.0,0.809,45.0
9377,10.1,0.808,45.1
9391,10.2,0.808,45.7
9423,10.3,0.809,47.0
9443,10.4,0.809,47.9
9464,10.5,0.809,48.8
9484,10.6,0.811,49.6
9510,10.7,0.809,50.9
9543,10.8,0.811,51.5
9575,10.9,0.811,52.7
9591,11.0,0.809,53.3
9624,11.1,0.811,54.1
9643,11.2,0.812,54.9
9665,11.4,0.811,55.9
9682,11.5,0.812,57.0
9702,11.6,0.813,58.0
9714,11.8,0.813,59.2
9734,11.9,0.814,60.2
9760,12.0,0.814,61.3
9801,12.1,0.814,62.6
9823,12.2,0.814,63.0
9839,12.3,0.814,63.7
