Time,Length,Pressure,Force
0,,0.803,0.0
1,0.0,0.803,0.0
1891,0.1,0.801,0.1
1918,0.2,0.802,0.0
1924,0.3,0.802,0.1
1958,0.4,0.803,0.2
1974,0.6,0.802,0.3
1998,0.9,0.802,0.3
2021,1.1,0.803,0.4
2041,1.5,0.802,0.6
2061,1.9,0.803,0.6
2081,2.0,0.802,0.9
2098,2.1,0.801,1.0
2116,2.3,0.802,1.0
2131,2.4,0.802,1.1
2158,2.6,0.803,1.3
2181,2.9,0.802,1.6
2198,3.2,0.802,1.8
2221,3.5,0.803,2.2
2237,3.8,0.803,2.9
2257,4.2,0.802,3.7
2278,4.6,0.803,4.6
2284,4.9,0.803,5.5
2318,5.2,0.803,6.5
2335,5.5,0.802,7.4
2354,5.8,0.803,8.3
2380,6.2,0.803,9.4
2398,6.7,0.803,10.8
2415,7.0,0.803,12.7
2433,7.1,0.804,14.4
2459,7.2,0.804,15.0
2479,7.3,0.804,15.4
2498,7.6,0.806,16.0
2513,7.9,0.804,17.1
2530,8.3,0.804,18.6
2557,8.7,0.807,20.1
2563,9.2,0.807,22.1
2597,9.5,0.807,24.5
2613,9.8,0.808,26.8
2631,10.0,0.809,28.4
2660,10.3,0.808,29.8
2680,10.6,0.809,31.7
2700,11.0,0.811,33.8
2720,11.4,0.811,36.2
2739,11.7,0.812,38.9
2758,11.9,0.812,41.7
2771,12.0,0.812,43.3
2798,12.2,0.813,44.2
2820,12.4,0.813,45.4
2839,12.8,0.814,47.4
2857,13.1,0.814,49.7
2876,13.4,0.815,52.2
2897,13.8,0.817,54.8
2917,14.2,0.818,57.8
2939,14.4,0.818,61.0
2958,14.6,0.818,63.3
2974,14.9,0.818,65.0
2992,15.1,0.819,66.7
3011,15.4,0.82,69.0
3040,15.7,0.822,71.3
3058,16.0,0.822,73.7
3075,16.4,0.822,76.4
3098,16.6,0.823,79.3
3118,16.7,0.824,81.7
3138,16.9,0.824,83.0
3158,17.0,0.825,83.9
3179,17.3,0.825,85.2
3194,17.5,0.826,87.4
3216,17.8,0.826,89.8
3224,18.1,0.828,92.3
3257,18.5,0.829,95.0
3274,18.9,0.831,98.1
3292,19.2,0.831,101.7
3319,19.4,0.833,105.3
3338,19.6,0.831,107.4
3359,19.8,0.831,109.0
3374,20.1,0.834,111.0
3393,20.3,0.835,113.4
3415,20.6,0.835,116.2
3427,20.9,0.837,118.7
3453,21.2,0.837,121.5
3476,21.5,0.839,124.9
3492,21.6,0.839,127.9
3518,21.7,0.839,129.5
3540,21.9,0.84,130.2
3556,22.1,0.84,131.5
3576,22.4,0.841,134.0
3597,22.7,0.841,137.1
3618,23.0,0.842,140.2
3635,23.3,0.844,143.4
3654,23.7,0.845,146.8
3667,24.0,0.844,150.8
3694,24.2,0.844,154.5
3717,24.4,0.845,156.7
3737,24.6,0.844,158.3
3757,24.9,0.845,160.1
3777,25.1,0.844,162.8
3798,25.4,0.844,165.7
3818,25.6,0.845,168.2
3839,25.9,0.844,170.8
3854,26.2,0.844,173.7
3872,26.3,0.844,176.3
3889,26.4,0.845,178.1
3909,26.6,0.844,179.4
3937,26.8,0.844,180.6
3956,27.0,0.844,182.2
3978,27.2,0.844,184.4
3998,27.5,0.844,186.9
4015,27.8,0.845,189.9
4036,28.1,0.845,193.1
4043,28.5,0.845,196.8
4075,28.9,0.846,201.0
4092,29.0,0.845,205.5
4135,29.1,0.844,207.7
4151,29.3,0.844,207.7
4175,29.6,0.844,209.6
4197,29.9,0.844,212.2
4215,30.1,0.844,215.2
4236,30.2,0.844,218.0
4256,30.4,0.842,219.9
4277,30.6,0.842,221.4
4297,30.8,0.844,223.5
4318,31.1,0.844,225.8
4334,31.4,0.845,228.3
4354,31.5,0.844,231.4
4362,31.7,0.844,234.2
4396,31.9,0.844,235.7
4416,32.1,0.844,237.3
4436,32.4,0.845,239.7
4457,32.6,0.845,242.8
4467,32.9,0.846,246.0
4481,33.2,0.846,249.2
4514,33.6,0.846,252.7
4530,33.8,0.846,256.7
4594,33.9,0.844,259.5
4615,34.1,0.842,259.3
4633,34.3,0.844,261.3
4654,34.5,0.844,264.2
4674,34.7,0.844,266.5
4695,34.9,0.844,268.4
4713,35.0,0.842,270.2
4734,35.1,0.842,271.8
4756,35.3,0.842,273.0
4777,35.5,0.844,274.5
4790,35.8,0.845,276.7
4812,36.1,0.845,279.8
4835,36.3,0.845,283.8
4875,36.4,0.842,287.2
4896,36.5,0.842,286.5
4916,36.6,0.844,287.0
4926,36.8,0.844,288.9
4953,37.1,0.844,291.3
4960,37.3,0.845,293.8
4994,37.6,0.845,296.7
5013,37.8,0.845,299.8
5035,38.2,0.846,303.2
5042,38.5,0.847,307.2
5075,38.7,0.846,311.3
5113,38.8,0.845,314.6
5129,39.0,0.844,314.2
5154,39.1,0.844,315.5
5171,39.3,0.844,317.8
5195,39.4,0.844,319.5
5208,39.6,0.842,321.0
5235,39.8,0.844,322.8
5256,39.9,0.844,324.6
5273,40.0,0.842,325.7
5293,40.1,0.842,326.6
5313,40.2,0.842,327.6
5333,40.4,0.842,329.1
5354,40.7,0.845,330.9
5369,40.9,0.845,333.8
5381,41.1,0.846,337.6
5407,41.2,0.844,340.6
5630,41.3,0.837,337.0
5665,41.4,0.837,338.0
5751,41.5,0.839,339.5
5792,41.6,0.839,340.9
5854,41.7,0.84,341.9
5873,41.8,0.84,342.5
5889,42.0,0.841,344.5
5905,42.1,0.842,346.8
5923,42.3,0.842,349.3
5953,42.4,0.844,351.4
5972,42.5,0.842,352.9
5993,42.6,0.842,354.1
6032,42.7,0.844,356.0
6047,42.8,0.844,356.7
6069,42.9,0.844,357.6
6078,43.1,0.844,358.9
6112,43.3,0.845,360.8
6129,43.4,0.845,363.3
6146,43.5,0.845,366.0
7007,43.4,0.835,360.1
7028,43.1,0.834,357.9
7053,43.0,0.831,352.3
7070,42.8,0.83,348.3
7091,42.7,0.83,345.6
7112,42.5,0.828,343.1
7132,42.3,0.828,340.5
7143,42.0,0.825,337.4
7170,41.8,0.823,333.7
7187,41.4,0.82,329.2
7208,40.9,0.815,323.7
7230,40.7,0.813,317.4
7244,40.5,0.813,311.9
7271,40.2,0.811,308.5
7292,39.9,0.808,304.9
7308,39.6,0.807,301.3
7329,39.4,0.806,297.0
7351,39.0,0.803,292.8
7369,38.7,0.8,288.2
7389,38.4,0.798,283.6
7410,38.1,0.796,279.2
7430,37.9,0.795,275.3
7451,37.6,0.793,271.4
7463,37.3,0.792,267.8
7488,37.1,0.792,264.3
7509,36.8,0.79,260.7
7529,36.5,0.789,257.5
7546,36.1,0.789,253.9
7563,35.7,0.787,249.3
7588,35.5,0.789,244.2
7610,35.2,0.79,241.8
7627,35.0,0.79,239.6
7638,34.7,0.79,237.3
7664,34.4,0.79,234.5
