Time,Length,Pressure,Force
19,0.0,0.703,0.0
2235,0.2,0.703,0.0
2253,0.4,0.704,0.1
2270,0.6,0.703,0.4
2295,0.8,0.704,0.6
2317,1.0,0.704,0.8
2318,1.2,0.703,1.1
2351,1.4,0.703,1.4
2373,1.6,0.704,2.0
2385,1.8,0.704,2.6
2410,2.1,0.703,3.3
2435,2.3,0.703,4.0
2457,2.5,0.703,4.7
2477,2.7,0.703,5.3
2492,2.9,0.704,5.8
2503,3.2,0.703,6.6
2535,3.4,0.703,7.6
2556,3.7,0.703,8.6
2570,4.0,0.703,9.5
2584,4.2,0.704,10.6
2618,4.5,0.703,11.8
2636,4.8,0.703,13.1
2653,5.0,0.703,14.3
2674,5.2,0.704,15.3
2695,5.4,0.704,16.5
2715,5.6,0.704,17.1
2736,5.8,0.703,17.9
2753,5.9,0.703,18.8
2774,6.1,0.703,19.4
2795,6.3,0.704,20.4
2811,6.6,0.704,21.8
2834,6.9,0.704,23.6
2854,7.2,0.704,25.4
2875,7.4,0.704,27.2
2895,7.5,0.704,28.5
2914,7.7,0.704,29.4
2936,7.9,0.704,30.2
2956,8.1,0.704,31.3
2972,8.3,0.704,32.5
2992,8.4,0.706,33.8
3008,8.7,0.704,35.0
3034,8.9,0.704,36.3
3056,9.1,0.706,37.7
3076,9.4,0.704,39.3
3096,9.7,0.706,41.0
3116,9.9,0.706,43.0
3132,10.2,0.706,45.0
3153,10.4,0.706,46.7
3164,10.6,0.707,48.1
3190,10.8,0.706,49.3
3213,11.0,0.706,50.7
3229,11.3,0.706,52.1
3247,11.6,0.707,54.1
3274,11.9,0.707,56.4
3281,12.1,0.707,58.7
3312,12.3,0.707,60.5
3333,12.4,0.707,61.8
3353,12.6,0.707,63.0
3373,12.8,0.708,64.1
3392,13.0,0.708,65.6
3408,13.2,0.708,67.1
3431,13.4,0.707,68.7
3448,13.7,0.708,70.4
3463,13.9,0.709,72.3
3489,14.2,0.709,74.4
3511,14.4,0.708,76.5
3534,14.7,0.708,78.4
3554,14.9,0.709,80.2
3575,15.1,0.709,82.0
3580,15.3,0.709,83.7
3611,15.5,0.709,85.3
3629,15.6,0.709,86.8
3649,15.8,0.71,88.0
3669,16.1,0.71,89.3
3694,16.4,0.71,91.4
3713,16.7,0.71,94.0
3734,16.8,0.71,96.4
3754,17.0,0.712,98.2
3771,17.2,0.712,99.5
3791,17.4,0.712,101.0
3809,17.6,0.712,102.6
3827,17.8,0.713,104.3
3853,18.0,0.712,105.8
3873,18.2,0.713,107.4
3888,18.4,0.714,109.2
3915,18.7,0.713,111.1
3916,19.0,0.714,113.2
3950,19.2,0.714,115.6
3972,19.5,0.715,118.0
3992,19.7,0.715,120.2
4013,19.9,0.717,122.2
4033,20.1,0.717,124.3
4053,20.3,0.715,126.1
4074,20.5,0.715,127.7
4091,20.8,0.715,129.4
4102,21.1,0.718,131.3
4119,21.4,0.718,133.7
4152,21.7,0.718,136.7
4173,21.8,0.718,139.3
4193,22.0,0.718,141.0
4213,22.2,0.719,142.2
4234,22.4,0.719,143.8
4243,22.5,0.719,145.5
4269,22.7,0.72,147.3
4292,22.9,0.721,148.9
4312,23.1,0.721,150.5
4333,23.3,0.721,152.3
4351,23.5,0.72,154.0
4363,23.7,0.721,155.9
4390,24.0,0.723,157.8
4414,24.3,0.723,159.8
4430,24.5,0.724,162.4
4450,24.7,0.724,165.0
4470,24.8,0.724,167.1
4477,25.0,0.724,168.5
4510,25.1,0.725,169.7
4527,25.2,0.725,171.1
4547,25.3,0.725,172.2
4567,25.4,0.726,173.2
4672,25.3,0.725,173.3
4692,25.2,0.724,172.2
4709,25.1,0.725,171.2
