Time,Length,Pressure,Force
14,0.0,-0.001,45.8
16741,-0.1,0.014,48.8
16778,-0.2,0.018,48.6
16840,-0.3,0.022,49.1
16881,-0.4,0.027,49.0
16901,-0.5,0.03,49.0
16942,-0.6,0.035,49.1
16958,-0.7,0.037,49.2
16979,-0.8,0.04,49.2
17020,-1.0,0.051,49.5
17041,-1.2,0.057,50.6
17061,-1.5,0.06,51.5
17081,-1.8,0.068,49.2
17098,-1.9,0.075,48.3
17119,-2.2,0.082,49.2
17139,-2.4,0.085,50.8
17160,-2.7,0.093,50.7
17180,-3.0,0.099,49.6
17200,-3.4,0.106,50.7
17220,-3.8,0.114,50.6
17241,-4.2,0.12,50.2
17258,-4.6,0.129,49.9
17278,-5.1,0.134,50.6
17298,-5.6,0.145,50.3
17319,-6.3,0.153,50.1
17339,-6.9,0.157,52.3
17360,-7.6,0.169,50.1
17380,-8.5,0.179,49.4
17400,-9.3,0.18,52.1
17417,-10.1,0.194,49.9
17438,-11.0,0.202,49.3
17459,-12.0,0.207,51.7
17479,-13.1,0.219,51.0
17499,-14.2,0.227,51.0
17520,-15.4,0.231,52.1
17540,-16.7,0.247,50.6
17560,-18.1,0.252,51.1
17577,-19.6,0.258,53.4
17598,-21.1,0.272,50.3
17618,-22.6,0.28,50.3
17638,-24.0,0.288,51.7
17659,-25.4,0.301,49.7
17679,-26.7,0.31,50.3
17700,-28.0,0.318,51.8
17720,-29.2,0.329,51.2
17738,-30.5,0.34,50.6
17758,-31.7,0.345,51.7
17778,-32.9,0.356,51.9
17798,-34.0,0.367,51.1
17819,-35.1,0.373,51.7
17839,-36.1,0.383,51.2
17859,-37.0,0.394,50.1
17880,-37.8,0.401,50.2
17896,-38.6,0.41,50.6
17918,-39.3,0.421,50.4
17938,-40.0,0.431,50.6
17957,-40.8,0.437,51.6
17979,-41.5,0.444,51.3
17999,-42.2,0.45,51.1
18020,-42.9,0.46,50.2
18040,-43.5,0.467,49.6
18056,-44.0,0.476,50.2
18077,-44.5,0.484,50.1
18097,-44.9,0.49,50.8
18117,-45.4,0.499,50.8
18139,-45.8,0.506,51.0
18160,-46.3,0.512,51.0
18180,-46.7,0.517,50.9
18199,-47.1,0.523,50.4
18216,-47.5,0.53,50.2
18236,-47.8,0.536,50.3
18257,-48.0,0.541,50.4
18278,-48.3,0.547,50.6
18298,-48.6,0.552,50.6
18318,-48.9,0.556,50.9
18339,-49.1,0.559,50.9
18359,-49.4,0.565,50.4
18376,-49.6,0.569,50.2
18399,-49.8,0.572,50.3
18417,-49.9,0.575,50.3
18437,-50.1,0.58,50.1
18458,-50.2,0.582,50.4
18478,-50.3,0.585,50.6
18499,-50.5,0.588,50.5
18519,-50.6,0.587,50.3
18540,-50.7,0.591,50.5
18556,-50.8,0.592,50.4
18599,-50.9,0.596,50.4
18617,-51.0,0.597,50.4
18896,-50.9,0.578,46.8
18939,-50.8,0.575,46.3
18957,-50.7,0.572,46.3
18977,-50.6,0.569,46.1
18994,-50.4,0.564,45.9
19014,-50.2,0.558,45.6
19035,-50.0,0.553,45.4
19056,-49.7,0.548,45.3
19076,-49.4,0.542,45.3
19097,-49.1,0.537,45.5
19117,-48.8,0.531,45.7
19138,-48.5,0.525,45.8
19157,-48.2,0.517,45.5
19174,-47.9,0.51,45.0
19195,-47.5,0.504,44.6
19215,-47.1,0.497,44.5
19236,-46.6,0.489,44.7
19256,-46.2,0.481,44.8
19277,-45.7,0.475,45.0
19297,-45.2,0.465,44.8
19314,-44.7,0.457,44.7
19334,-44.2,0.45,44.2
19356,-43.6,0.442,43.9
19376,-43.0,0.434,44.1
19396,-42.3,0.427,44.1
19416,-41.7,0.417,44.6
19436,-41.0,0.409,45.0
19457,-40.4,0.4,44.8
19477,-39.6,0.391,44.3
19493,-38.9,0.384,44.0
19515,-38.1,0.374,44.1
19535,-37.3,0.366,44.0
19555,-36.4,0.357,43.7
19577,-35.4,0.348,44.0
19596,-34.5,0.339,44.2
19616,-33.5,0.33,44.0
19633,-32.4,0.321,43.8
19653,-31.3,0.312,43.7
19675,-30.2,0.305,43.6
19694,-29.1,0.296,44.0
19715,-28.0,0.286,44.3
19736,-26.8,0.278,43.9
19756,-25.5,0.269,43.6
19777,-24.2,0.26,43.3
19794,-22.9,0.252,43.5
19814,-21.6,0.244,43.5
19834,-20.3,0.235,43.8
19854,-19.0,0.227,44.3
19875,-17.7,0.219,43.9
19895,-16.5,0.211,44.3
19915,-15.3,0.201,44.5
19936,-14.1,0.192,44.0
19953,-12.9,0.186,43.3
19973,-11.7,0.178,43.9
19994,-10.6,0.168,45.1
20015,-9.7,0.157,45.6
20036,-8.8,0.151,45.1
20055,-7.9,0.143,45.0
20075,-7.2,0.135,45.4
20096,-6.6,0.125,45.5
20112,-5.9,0.119,45.0
20132,-5.4,0.112,45.2
