Time,Length,Pressure,Force
4,0.0,0.302,0.0
1890,-0.1,0.304,0.4
2381,0.0,0.302,0.4
2462,0.1,0.304,0.2
2479,0.2,0.302,0.4
2500,0.3,0.304,0.8
2519,0.4,0.302,1.1
2531,0.6,0.302,1.6
2558,0.7,0.302,2.1
2578,0.8,0.302,2.4
2600,0.9,0.302,2.6
2611,1.0,0.302,3.0
2662,1.1,0.302,3.6
2679,1.2,0.302,3.9
2699,1.3,0.302,4.1
2720,1.4,0.302,4.4
2736,1.5,0.302,4.7
2761,1.6,0.304,5.0
2779,1.8,0.304,5.3
2800,1.9,0.302,5.6
2819,2.0,0.302,5.9
2849,2.1,0.304,6.4
2877,2.2,0.304,6.7
2900,2.4,0.304,6.9
2921,2.5,0.302,7.3
2941,2.6,0.302,7.6
2961,2.8,0.304,8.0
2975,2.9,0.302,8.4
2993,3.0,0.304,8.9
3012,3.1,0.302,9.2
4388,3.2,0.304,8.9
4436,3.3,0.302,9.5
4457,3.4,0.304,9.7
4477,3.5,0.304,10.0
4537,3.6,0.302,10.6
4575,3.7,0.302,10.9
4592,3.8,0.304,11.1
4611,3.9,0.302,11.4
4633,4.0,0.304,11.6
4658,4.1,0.304,12.0
4677,4.2,0.302,12.3
4698,4.3,0.304,12.7
4714,4.4,0.302,13.0
4731,4.5,0.304,13.3
4747,4.6,0.304,13.6
4774,4.7,0.304,14.0
4795,4.9,0.304,14.4
4814,5.0,0.304,14.8
4829,5.1,0.304,15.1
4857,5.2,0.304,15.5
4866,5.3,0.304,15.8
4916,5.4,0.304,16.4
4928,5.5,0.304,16.6
4954,5.6,0.304,16.9
4994,5.7,0.304,17.4
5073,5.6,0.304,17.3
6193,5.7,0.302,16.7
6250,5.8,0.304,17.2
6283,5.9,0.302,17.7
6313,6.0,0.304,17.9
6353,6.1,0.304,18.4
6375,6.2,0.304,18.8
6394,6.3,0.304,19.1
6414,6.4,0.302,19.5
6434,6.5,0.304,19.8
6451,6.6,0.304,20.2
6470,6.7,0.304,20.6
6485,6.8,0.304,21.0
6512,6.9,0.304,21.4
6519,7.0,0.304,21.7
6553,7.1,0.304,22.1
6567,7.2,0.304,22.4
6594,7.3,0.304,22.8
6610,7.5,0.304,23.2
6631,7.6,0.304,23.6
6652,7.8,0.304,24.2
6669,8.0,0.304,24.9
6690,8.1,0.305,25.7
7961,8.2,0.304,25.4
7987,8.3,0.302,25.6
8012,8.4,0.304,26.2
8027,8.5,0.304,26.6
8043,8.6,0.304,27.1
8070,8.8,0.304,27.5
8077,8.9,0.304,28.0
8130,9.0,0.305,28.8
8151,9.1,0.304,29.2
8170,9.2,0.304,29.6
8188,9.3,0.304,29.9
8204,9.4,0.305,30.2
8220,9.5,0.304,30.5
8247,9.6,0.305,30.9
8270,9.7,0.305,31.3
8286,9.9,0.305,31.8
8310,10.0,0.304,32.3
8329,10.2,0.305,32.9
8347,10.4,0.305,33.6
8368,10.5,0.304,34.3
8427,10.6,0.305,35.0
9708,10.7,0.304,34.7
9767,10.8,0.304,35.1
9801,10.9,0.304,35.5
9843,11.0,0.304,35.9
9864,11.1,0.304,36.2
9887,11.2,0.304,36.6
9924,11.3,0.305,37.2
9941,11.4,0.305,37.6
9961,11.5,0.305,38.1
9982,11.6,0.304,38.5
10007,11.7,0.305,38.9
10024,11.8,0.304,39.3
10042,11.9,0.305,39.7
10062,12.0,0.305,40.1
10088,12.1,0.305,40.5
10099,12.2,0.305,40.9
10125,12.4,0.305,41.4
10146,12.5,0.305,41.8
10166,12.6,0.305,42.3
10182,12.7,0.305,42.9
10198,12.8,0.305,43.3
10224,12.9,0.305,43.8
11541,13.0,0.304,43.3
11564,13.1,0.304,43.7
11582,13.2,0.304,44.2
11601,13.3,0.304,44.7
11624,13.4,0.304,45.1
11644,13.5,0.304,45.5
11660,13.6,0.304,45.9
11681,13.7,0.304,46.3
11691,13.8,0.305,46.6
11723,13.9,0.305,47.1
11740,14.0,0.304,47.5
11781,14.1,0.305,48.3
11804,14.2,0.305,48.7
11820,14.3,0.305,49.0
11838,14.4,0.305,49.4
11882,14.5,0.305,50.0
11903,14.6,0.305,50.4
11911,14.7,0.305,50.7
11961,14.8,0.305,51.4
11980,14.9,0.305,51.6
11997,15.0,0.305,51.9
12029,15.1,0.306,52.6
12063,15.2,0.306,52.9
12082,15.3,0.305,53.3
12103,15.4,0.305,53.7
12154,15.5,0.305,54.3
13321,15.6,0.304,53.7
13361,15.7,0.305,54.4
13381,15.8,0.304,54.8
13398,15.9,0.304,55.2
13418,16.0,0.305,55.6
