Time,Length,Pressure,Force
2390,0.0,0.798,0.0
3911,1.8,0.798,1.9
6313,4.8,0.798,8.2
8030,7.1,0.8,16.1
10023,9.5,0.802,26.4
11808,11.6,0.804,37.7
13733,14.5,0.809,54.0
15497,16.8,0.813,68.8
17271,19.3,0.819,85.6
19007,21.9,0.828,103.8
21062,24.2,0.83,120.2
22742,26.9,0.83,139.2
25077,29.1,0.83,154.3
26927,31.4,0.831,172.1
28804,34.0,0.829,190.7
30883,36.4,0.829,208.8
34857,39.1,0.826,227.9
36615,36.9,0.809,202.8
38677,34.4,0.798,179.7
40608,31.8,0.798,159.8
42763,29.0,0.8,140.0
44594,26.6,0.798,123.0
46617,24.3,0.797,107.1
48327,21.8,0.796,89.6
50465,19.3,0.798,73.7
52322,16.7,0.797,57.2
54739,14.5,0.797,43.7
56713,12.1,0.797,29.9
58509,9.6,0.798,15.9
60268,7.2,0.797,6.5
62185,4.8,0.797,1.6
63921,2.3,0.798,1.9
68591,-0.1,0.798,4.2
